ID	bs_cd_1	bs_cd_2	bs_cd_3	bs_cd_4	bs_cd_5	bs_cd_6	bs_cd_7	bs_cd_8
Zotu8732					1			1
Zotu19019								
Zotu660	25	28	19	10	20	42	24	30
Zotu2743	6	3		7	1	4	4	2
Zotu12508						1		
Zotu13468			1		3	1	1	
Zotu15022		2				1		
Zotu9047	1	1			1			2
Zotu14638	1		1		1		2	
Zotu13090		1	1					1
Zotu16961								
Zotu16957		1						
Zotu6379	4	2	1		1	2		1
Zotu14854			1			2	1	1
Zotu1339	14	15	7	2	4	13	3	11
Zotu13019								
Zotu18198				1				
Zotu1167	10	6		4	13	8	11	7
Zotu2726	5	3		2	3	2	3	1
Zotu4286	2	1		2	1	3		
Zotu9256						1	1	
Zotu3037	1	1	1	1	5			
Zotu8901					1			
Zotu4690						2		
Zotu1459	1						2	1
Zotu13020							1	
Zotu14673	2							
Zotu18869	1							
Zotu5195			1		2	2		1
Zotu20373								
Zotu1777	2	6	6	5	5	11	1	4
Zotu1418	3		4	1	2	1	3	4
Zotu9167								
Zotu243		4	1			1		3
Zotu14972	1							
Zotu8628	3			2			3	
Zotu9626						1		
Zotu13112								
Zotu3089	1	1	1					
Zotu20287								
Zotu10160								
Zotu3877	3					1		
Zotu934	17	14	6	3	7	10	19	8
Zotu100	146	122	98	107	96	114	91	101
Zotu250	59	76	51	52	56	88	56	49
Zotu4187	1	1	1	2	3	3	3	1
Zotu2513	5	5	10	8	3	9	8	10
Zotu5529	2	1	1	2	3	2		1
Zotu8269		1		2	1	1	2	
Zotu1582	2	3	2	1	2			1
Zotu6193	1	3	1	2	1	1	2	1
Zotu6020	1			1				
Zotu10704				1		1		4
Zotu1415	2	4		6	6	3	6	5
Zotu14700				1				
Zotu13925								
Zotu17981								
Zotu10422								
Zotu17961								
Zotu10413								
Zotu14746								
Zotu12100		2			1			
Zotu9120					1			1
Zotu18596								
Zotu7052	1	2		2			1	
Zotu5217	4	3		1	1	2	3	1
Zotu15218	1							
Zotu5870	1	1		1	1	1	1	3
Zotu11630	1							
Zotu11995	1	1					4	
Zotu12013						1		2
Zotu351	37	43	35	43	17	36	33	36
Zotu1837	12	8	7	8	6	9	8	6
Zotu17250								
Zotu4662		1		2			1	2
Zotu3352					2			
Zotu4596	1	3	3		2	1	7	1
Zotu15187		1		1				1
Zotu8007	4	3	1	1				3
Zotu4393	1	1	1	1	3		1	1
Zotu1137	1							2
Zotu8436								
Zotu1698	2	2	2	5	3	1	1	2
Zotu5369	1	1	1	1	1		1	1
Zotu4725		1	2	1			1	
Zotu13577								
Zotu1494	2	2	7	6		2	2	4
Zotu265	14	6	9	7	5	6	8	7
Zotu679	4	2	3	2	3	3		2
Zotu11077				1				
Zotu1825	1	1		3	2	2	1	
Zotu6235					1			3
Zotu8034								
Zotu3720							2	
Zotu5968								
Zotu8117		1		1				
Zotu9615								
Zotu14467								
Zotu5113								
Zotu15936								
Zotu20825								
Zotu652	1		1	1		2		
Zotu7558						2	2	
Zotu20642								
Zotu2363								
Zotu16217								
Zotu3403					1			1
Zotu3793			1					
Zotu11245			1					2
Zotu12636								
Zotu16705								
Zotu17596								
Zotu15440			6	2	1		1	
Zotu13838								
Zotu19086								
Zotu9772								
Zotu136	3	9	24	15	3	1	4	7
Zotu547	2	2	12	5	1	2	1	1
Zotu26	6	2	15	12	3	5	8	7
Zotu17432								
Zotu14546								
Zotu20816								
Zotu17094								
Zotu4857								
Zotu4919								
Zotu2087				3			2	
Zotu3903								
Zotu13437								
Zotu986	1		7	1		3		2
Zotu442		1						
Zotu15302								
Zotu6146								
Zotu9196			3	2	1	2		
Zotu12	11	32	97	25	16	10	14	9
Zotu22				1				
Zotu427						1		
Zotu1005			4					
Zotu716								
Zotu19109								
Zotu6453								
Zotu13788						1		
Zotu3312			1					
Zotu1116			1					
Zotu8389								
Zotu970				1			1	
Zotu5515								
Zotu20521								
Zotu19396								
Zotu20645								
Zotu7						1	1	
Zotu18424								
Zotu8358	1		2			4		
Zotu856	3		6	2		3		
Zotu1563	1		4	1	1	1		1
Zotu2325			1					
Zotu647								
Zotu3490								
Zotu1244	1	1	4	1	1	4	3	2
Zotu62	1	6	8	6	3	2	3	5
Zotu2657							1	
Zotu6501								
Zotu16501								
Zotu583	2		3	2				
Zotu3562								
Zotu1705								
Zotu1509								
Zotu1646	4	1		8		2		7
Zotu4486								
Zotu2	2		133	142	4	10	3	5
Zotu10344			1	2				
Zotu20627			1	2		1		
Zotu3137								
Zotu15096								
Zotu1883			1	3	1	1	1	
Zotu10164				1				
Zotu694		2	3	2	4	1	1	5
Zotu1971			5			1		1
Zotu16177			2					
Zotu5972			1					1
Zotu5376						1		
Zotu15362								
Zotu8298								
Zotu5798		1						
Zotu19353								
Zotu8402		1	1					
Zotu3780		1		1	2			1
Zotu7963			2	1		1		
Zotu1210		2		1	1		1	
Zotu5579					1		1	
Zotu1691								
Zotu293		24		6	2	1		11
Zotu15422								
Zotu1275			2	5	3	1		2
Zotu3684						1		
Zotu6089	1	1			1		3	2
Zotu1122		2						
Zotu7183			3	3				
Zotu9467			1					
Zotu7745								
Zotu14657				3				
Zotu6405								
Zotu18998								
Zotu2620								
Zotu2688								
Zotu15199			1					
Zotu5063								
Zotu5223		1	1					
Zotu16320								
Zotu6463					3		1	2
Zotu7294								
Zotu5626				2			1	
Zotu133	5	3	11	9	5	8	4	11
Zotu81	21	7	8	19	7	33	7	17
Zotu1360	15	8	3	8	9	7	13	9
Zotu8279		1						
Zotu7645		1	1		2	1	1	
Zotu16054								
Zotu5076		7	3	2			4	1
Zotu6582	3			1	1	2		1
Zotu19534			2					
Zotu8331	2			1		1	1	2
Zotu12328	1	2		1				1
Zotu19966							2	
Zotu8484					4			7
Zotu19774				4				
Zotu9243					1	3		
Zotu9589				1				
Zotu9810	2	1			2			1
Zotu16378		1						
Zotu15950								
Zotu13610				1				
Zotu18138	1	1	1					2
Zotu19015		1						
Zotu18148			2		1			
Zotu19127		1						
Zotu4105								
Zotu13806			1	2	1			
Zotu10702								
Zotu283	45	36	44	49	50	78	47	38
Zotu4248	6	2	3	1	3	3	4	3
Zotu1980					1	1	1	
Zotu1269	4		5	5	3	4	6	4
Zotu4197		1	4		2		2	5
Zotu20340					1			
Zotu19334								
Zotu4454	1							
Zotu6052	5		4				1	
Zotu9186								
Zotu15168			1					
Zotu3233	4	3		3			8	
Zotu2669	5		3	6	3	3		7
Zotu16383								
Zotu17347							1	
Zotu14944								
Zotu12913								
Zotu19621								
Zotu15750	1				1			
Zotu14847					1	1		
Zotu8722								
Zotu8820		1		1		1		
Zotu15285					2			1
Zotu13667		1	1	1	1	2		
Zotu18636			2					
Zotu3344	1	2	1	5	5			1
Zotu7318	1	1	1		1			
Zotu13989		1			1			1
Zotu3356	1		1	1	4	2	1	
Zotu14255							1	
Zotu10386						1		
Zotu17712							1	
Zotu3888	4	2	6		2	1	2	1
Zotu19124				1				
Zotu4659	1	4	1		3	1	2	
Zotu4237	5	1	6	1	1		4	8
Zotu11740				1				
Zotu13054	1		1	1		1		
Zotu1159	4	3	8	3	6	5	12	4
Zotu13064								
Zotu3446		1						
Zotu1855	1					1		2
Zotu7825	1	2	1	1	1	4	1	2
Zotu6770		1	1		2		1	
Zotu7642								
Zotu9797								
Zotu13360		1						
Zotu9407								
Zotu3865								
Zotu4382			4	1	2	1		2
Zotu3609		1			1		1	
Zotu5175					1	2		
Zotu2636	1	2		2	3		2	
Zotu5139		1		2			5	1
Zotu16408				1				
Zotu14624			2		1		1	
Zotu3245	1	1	2	1	3	1	1	1
Zotu173	25	36	39	27	41	36	35	47
Zotu684	15	12	7	9	10	16	6	14
Zotu1676	16	3	7	7	20	12	3	3
Zotu2864	2		3	2	4	1		5
Zotu9351								
Zotu3792	2	2	1			1	1	1
Zotu12431								
Zotu19364								
Zotu13410								
Zotu6614						1		
Zotu8359				1				
Zotu9422		2						
Zotu20677								
Zotu9525								
Zotu12276								
Zotu12179								
Zotu5848								
Zotu18639								
Zotu19487		2				1	2	2
Zotu16137								
Zotu16410							1	
Zotu15739								1
Zotu4392	1	1	2					2
Zotu20495								
Zotu8512	1	2	1	1				
Zotu15975				1				
Zotu14488								1
Zotu19283								
Zotu11475								
Zotu4523	1		1					
Zotu4637			1				1	
Zotu777	2	6	2	1	9	1	3	6
Zotu7077		1						
Zotu4711					1			
Zotu12218								
Zotu7371		1				1		
Zotu9666								1
Zotu14360					1			
Zotu3697	1	8	1	2	1		1	
Zotu1446	1			1		3		
Zotu13964								
Zotu17979								
Zotu19004								
Zotu5697								
Zotu6058	6				1			
Zotu18282								
Zotu13454	1					2		
Zotu476	17	5	29	18	22	29	21	14
Zotu15332					1			
Zotu4880		1						
Zotu11676								
Zotu11465						1		
Zotu15444		1	1		2		1	1
Zotu20346								
Zotu8531	1					2		
Zotu7647	1	1				1	1	1
Zotu16907				2				
Zotu1525	6	2	8	7	12	2	4	6
Zotu4317	3	1		2		1		2
Zotu12353					1			
Zotu15678			1					
Zotu13939								
Zotu4442		1		1				
Zotu9962							2	
Zotu8490								
Zotu10440					3			
Zotu17846		1						
Zotu15513							1	
Zotu18397	2	1				2		
Zotu3291								
Zotu2866								
Zotu7100								
Zotu3259								
Zotu5089				2				
Zotu6773								
Zotu16324								
Zotu11459								
Zotu7359	2			1	5		1	2
Zotu14692								
Zotu6449								
Zotu5556								
Zotu15876								
Zotu20294								
Zotu3674								
Zotu9053								
Zotu15237								
Zotu15062								
Zotu7704								
Zotu9221								
Zotu6113								
Zotu2298								
Zotu3320								
Zotu3408								
Zotu3844								
Zotu16390			1					
Zotu10370		1						
Zotu3594								
Zotu19913								
Zotu5071								
Zotu4851								
Zotu8772						1	2	2
Zotu19032								
Zotu5981								
Zotu12992								
Zotu11293								
Zotu14965								
Zotu17989								2
Zotu14405								
Zotu12670								
Zotu18386								
Zotu10674								
Zotu16425								
Zotu6532								
Zotu8668								
Zotu18495								
Zotu15116								
Zotu8423								
Zotu16175								
Zotu12216								
Zotu778								
Zotu13339								
Zotu11970								
Zotu15408	1			1				
Zotu4563	4				1		6	5
Zotu17669								
Zotu19629								
Zotu18417								
Zotu5636	1		2		1	1	2	2
Zotu10991			2	1				1
Zotu5128								1
Zotu11542		1		1				
Zotu19858								
Zotu5368		3					1	
Zotu9767								2
Zotu16970								
Zotu11437			1		2			
Zotu19585								2
Zotu10191	1	1	3		1	3	1	
Zotu13056	1	1					1	
Zotu3867		3		4	2	4	6	2
Zotu12566		1	2		1			2
Zotu9226					2			1
Zotu17018					1			
Zotu16019								1
Zotu1092	9	3	6	11	7	11	7	5
Zotu2660	1	8		2	4	3	2	2
Zotu6931						1	1	
Zotu4374	3	2	2	3	3	3	5	1
Zotu3934	7	6	1	1	5	3	1	1
Zotu1820	5	15	6	7	3	6	3	3
Zotu5548	3	1		1	2		3	1
Zotu1014	8	15	12	18	9	13	11	11
Zotu1329	15	12	11	8	11	11	4	9
Zotu5101	3	2	2	1	2		1	4
Zotu19975								
Zotu5226	3	1		2		1		1
Zotu16362	3	2	4	7	7	4	5	6
Zotu16397	2	2	2	1				
Zotu19198								
Zotu19911								
Zotu13061			2					1
Zotu20336								
Zotu17692	33	25	43	29	37	25	41	40
Zotu20273								
Zotu18526								
Zotu13857							1	
Zotu20408								
Zotu17938			1					
Zotu20362								
Zotu14640								
Zotu14203								
Zotu19976								
Zotu19332								
Zotu19692								
Zotu14297								
Zotu17755								
Zotu18807								
Zotu19161								
Zotu19298	1		1	2	5		1	1
Zotu19191								
Zotu20068								
Zotu13963			1					
Zotu6623			3		4	1		
Zotu1466	3	4	4	4	7	4	2	6
Zotu7885	1			1				
Zotu6087								
Zotu13711								
Zotu20773		1		1				
Zotu19711					1			
Zotu2950								
Zotu14156		1	1		2			
Zotu7297								
Zotu16868						1		
Zotu17508								
Zotu11070								
Zotu14329								
Zotu3405								
Zotu9027								
Zotu2972	1	2	2		1	1		
Zotu621	15	27	18	22	10	22	21	15
Zotu1586	6	9	8	7	5	7	3	4
Zotu3619	2			2		2	2	3
Zotu5333			1					3
Zotu950	5	4	7	4	4	9	9	2
Zotu15367			1					
Zotu19209								1
Zotu1381	2	2	2	2		2	1	
Zotu11635			1					
Zotu18222								
Zotu15350	1	1						
Zotu17534								
Zotu2963								
Zotu10535	2			1				1
Zotu2371								
Zotu3084								1
Zotu6203								
Zotu13290								
Zotu6009	1		3			1		
Zotu8449		1				2		
Zotu18337								
Zotu1762	8	5	5	4	8	2	4	5
Zotu16706								
Zotu13762					2			
Zotu8536	1				3	1		
Zotu7540			1					2
Zotu10977				2				
Zotu1284	4	3	3	4	5	4	2	5
Zotu14146			2					2
Zotu1677	5	9	5	2	10	13	5	6
Zotu11004	1				2	2		1
Zotu3808	3	2	2	4			1	3
Zotu7347		1	1				1	
Zotu11616	1			1			2	
Zotu2389	4	3	2	8	2	12	4	6
Zotu8715	2	1		1				
Zotu12184			1					
Zotu7125	2		1		1			2
Zotu15875					2	1		
Zotu6338	1			1		1		
Zotu19960	1							
Zotu9139	1		2	1		2		
Zotu6093		3	2	1	1	1	3	2
Zotu14236	1	2			1	1		
Zotu18668						2		1
Zotu4654	1	4	3	1	1	5		2
Zotu17351								
Zotu17950								
Zotu13553	1		1		3			
Zotu18508		1						
Zotu11849						1		
Zotu11882			2					
Zotu18774								
Zotu13220		1	2		1			
Zotu14978	4	1						2
Zotu14895				1	1	2		
Zotu6097		1		1		3		
Zotu11945								
Zotu16411	1							
Zotu19031								
Zotu8858								
Zotu20565								
Zotu11238								
Zotu11860								
Zotu13751								
Zotu10768								
Zotu12127								
Zotu6486								
Zotu885								
Zotu4756				1				
Zotu17478								
Zotu13055	1		1		1			1
Zotu16157	1		1		1			
Zotu5238						2	1	
Zotu15094								
Zotu19026	1							1
Zotu9240		1	1		2	1		
Zotu13121								
Zotu13583								
Zotu17626	1						1	
Zotu11957		1				1		2
Zotu17655								
Zotu17673				1			1	
Zotu3825	1		1		2	1	1	3
Zotu10810								
Zotu17341			1	1				
Zotu3133	3	3	1		1		3	3
Zotu6707	3		2	2	1		1	2
Zotu16124								2
Zotu19649		1				1		
Zotu9784	1	5		1			1	1
Zotu13663	1					1		
Zotu14982						1		
Zotu11444	1		4	2				
Zotu8874	2							
Zotu7734	2							
Zotu17514								
Zotu16513								
Zotu10724	1	1						
Zotu7342	2	1			5		2	2
Zotu19319								
Zotu12450	2	2				1		
Zotu13970		1						
Zotu13338							1	2
Zotu12174	1	1						1
Zotu6364	2	1		1	3	2		3
Zotu8957	1					2		1
Zotu7800					2			
Zotu13998								
Zotu7011	2	2	2		1	1		1
Zotu3289	4	1	1		2	4	1	1
Zotu7871	1			1			1	1
Zotu13002							1	
Zotu9504								
Zotu4277	1		1		3	2	2	5
Zotu7117	1	1						
Zotu10040	1	1		1	3	1	2	
Zotu10833							1	1
Zotu10788	2	1						2
Zotu16396				2				
Zotu20753					1	1	2	1
Zotu19821						1		
Zotu5919		1		1		2	1	2
Zotu5354	1	2	1	1		3		2
Zotu10197	2		1			1	1	2
Zotu1555	8	1	4	6	2	5	6	4
Zotu7356	2	2	1	1				4
Zotu17308	3	1						
Zotu14242					1	1		2
Zotu9495						1		1
Zotu6408		3	2			3	1	2
Zotu2878	8	6	1	1	2	10	2	12
Zotu6687	3	1		2		3		
Zotu5255	3	4	1	1	1	3	6	3
Zotu14003	1					1		
Zotu13984	1				1	3		
Zotu17024								
Zotu6834	4	3			2	7	2	
Zotu16902	1							
Zotu19045								
Zotu13980	1			1				2
Zotu2380	10	10	5	1	8	11	8	11
Zotu6490						1		2
Zotu15816	2					1	1	1
Zotu10556					1			1
Zotu3733	1		1			2		
Zotu7191	2				1	1	1	2
Zotu7715			1					
Zotu20466	1							
Zotu14553		1				3		
Zotu18399								
Zotu18910							1	
Zotu18510	1						1	
Zotu4039		2		1				3
Zotu10761								
Zotu16211								
Zotu10434								
Zotu9318	1			1	1			
Zotu10549			1		1	1		
Zotu6667		3		1		1		
Zotu10219							1	
