ID	bs_ck_1	bs_ck_2	bs_ck_3	bs_ck_4	bs_ck_5	bs_ck_6	bs_ck_7	bs_ck_8
Zotu8732							3	1
Zotu19019								
Zotu660	22	9	7	17	12	14	16	12
Zotu2743	2	1	4	13	2	3	2	4
Zotu12508					1			
Zotu13468		1		2	1	1		
Zotu15022				1				
Zotu9047	2		1	3				
Zotu14638				1		2		2
Zotu13090				2				
Zotu16961					2			1
Zotu16957								
Zotu6379	1	1		1	1	1	4	2
Zotu14854					2			
Zotu1339	4	3	13	14	13	13	7	9
Zotu13019								
Zotu18198	2							1
Zotu1167	5	3	8	6	5	7	6	5
Zotu2726	7	3	1	5	2		6	3
Zotu4286	1			2		1		1
Zotu9256				2				
Zotu3037		4	2		2	6	8	6
Zotu8901			1			1		
Zotu4690							1	1
Zotu1459					1			1
Zotu13020						1		
Zotu14673				1				1
Zotu18869								
Zotu5195	1		2	1	2	1		3
Zotu20373				1	2			
Zotu1777	4	2	2	4	3	6	1	6
Zotu1418	5		13		11	5	2	4
Zotu9167								
Zotu243		1		2		2		1
Zotu14972								
Zotu8628				5				
Zotu9626					1	4	1	1
Zotu13112			1			4		
Zotu3089	2	1	1		2		1	3
Zotu20287	1							
Zotu10160			1	1		1	1	1
Zotu3877	4	3		1	1	1	2	4
Zotu934	9	10	15	13	17	11	3	9
Zotu100	41	30	36	47	45	29	34	36
Zotu250	18	20	27	22	33	40	30	10
Zotu4187	5	4	3	4	3	3	4	3
Zotu2513	1	2	4		1	2		
Zotu5529				1				1
Zotu8269			2	1			5	2
Zotu1582			4	3	1	2	3	1
Zotu6193	1			3		2	1	1
Zotu6020	2	3				1		1
Zotu10704			1			2		
Zotu1415	3	1	10	5	4	23	2	6
Zotu14700		2	1		2	1		
Zotu13925								
Zotu17981								
Zotu10422								
Zotu17961								
Zotu10413			1		1			
Zotu14746								
Zotu12100							1	
Zotu9120		2		1				
Zotu18596		1						
Zotu7052	3					1		1
Zotu5217	2	3		1		1	1	5
Zotu15218	1	3	1	1	2			
Zotu5870		2	2		1		1	1
Zotu11630			1	1	1			1
Zotu11995						1		
Zotu12013		2		1	1			
Zotu351	22	15	38	37	25	19	20	16
Zotu1837	8	5	8	9	2	12	5	4
Zotu17250							1	
Zotu4662	2		2		1	2		2
Zotu3352								
Zotu4596	2	2		1	3	2	8	5
Zotu15187								
Zotu8007				1		2	1	
Zotu4393			9	1	1			
Zotu1137	1	2	1	1	1		2	2
Zotu8436								
Zotu1698	3	4	8	5	2	5	8	1
Zotu5369		1	2	2		1	2	1
Zotu4725								1
Zotu13577								
Zotu1494		2		3	2	2	1	2
Zotu265	21	7	12	8	3	10	8	11
Zotu679	1		10	6	1	3	2	2
Zotu11077								
Zotu1825	1		1	2	3	2	1	3
Zotu6235	1					1	1	
Zotu8034			2					
