ID	bs_f_1	bs_f_2	bs_f_3	bs_f_4	bs_f_5	bs_f_6	bs_f_7	bs_f_8
Zotu8732	1	2			2	1		3
Zotu19019							1	
Zotu660	11	12	13	10	13	31	10	7
Zotu2743	1	6	6	3	2	2		3
Zotu12508	1	1	6					
Zotu13468		1	1	2			1	
Zotu15022								1
Zotu9047	1	3		1		2	1	
Zotu14638		3		1		1	1	
Zotu13090							2	1
Zotu16961						1		
Zotu16957								1
Zotu6379	2		1	1	2	2	3	2
Zotu14854								1
Zotu1339	3	10	8	5	21	7	10	2
Zotu13019								
Zotu18198								1
Zotu1167		7	8	10	7	10	13	7
Zotu2726	2	3	2	8	3	3	8	2
Zotu4286	2			2	3	1	2	
Zotu9256			2				2	
Zotu3037	2	2	2		1	4	3	3
Zotu8901						1		
Zotu4690						2		
Zotu1459		1						1
Zotu13020		2						
Zotu14673			1			2		
Zotu18869							1	
Zotu5195		6		4		1	4	3
Zotu20373				2				
Zotu1777	1	7	6	6	8	2	2	3
Zotu1418	20	7	9	10	8	9	1	4
Zotu9167								
Zotu243		1	1			1		
Zotu14972	1		2			1		1
Zotu8628		1	2	1	1			1
Zotu9626	1		3				2	
Zotu13112			1					
Zotu3089		1	2		1		1	1
Zotu20287								
Zotu10160			5		1	1		1
Zotu3877	1	3		2	4	2	3	1
Zotu934	8	14	12	9	3	9	21	10
Zotu100	9	24	30	17	58	70	82	58
Zotu250	14	20	23	22	42	39	33	42
Zotu4187	1	5	3	4	1		2	5
Zotu2513			3	3	1	2	2	1
Zotu5529		3	1		3		1	1
Zotu8269			1	1	1			1
Zotu1582		4	2	2	7	2	2	2
Zotu6193		1	2	1	1	1		
Zotu6020								
Zotu10704	2		1					2
Zotu1415	1	12	8	11	7	8	2	8
Zotu14700		1	2	2			3	
Zotu13925								2
Zotu17981					2			
Zotu10422								
Zotu17961		2						
Zotu10413								
Zotu14746								
Zotu12100								
Zotu9120							1	
Zotu18596								
Zotu7052								
Zotu5217	3	5		4	3	1	5	1
Zotu15218				1	2		1	
Zotu5870		4		1	1		1	2
Zotu11630			1	1				
Zotu11995	1							
Zotu12013			1					
Zotu351	15	16	21	12	37	40	52	35
Zotu1837	5	4	9	3	6	10	7	5
Zotu17250								
Zotu4662		3	1	4	1	6	3	
Zotu3352	2	1						
Zotu4596		2	5	1	4	3		5
Zotu15187						1	1	
Zotu8007				1		3		
Zotu4393		1	1	1	4	1	4	1
Zotu1137	1		1	1	1	1	6	
Zotu8436								
Zotu1698	1	4	9		8	2	3	
Zotu5369		1			1		1	1
Zotu4725		1					1	
Zotu13577						1		
Zotu1494	3	2	2		6	3	5	3
Zotu265	10	6	2	12	17	14	11	16
Zotu679	3	2	1	8	4	6	8	6
Zotu11077			1		1			
Zotu1825	1	2	2	4	5		1	3
Zotu6235		1		1				1
Zotu8034								
Zotu3720	1				1			1
Zotu5968								
Zotu8117	2			1		1		1
Zotu9615								
Zotu14467								
Zotu5113								
Zotu15936					1			
Zotu20825		1						
Zotu652	2			3	1	2		2
Zotu7558								
Zotu20642								
Zotu2363								
Zotu16217								
Zotu3403								
Zotu3793								1
Zotu11245								
Zotu12636								
Zotu16705								
Zotu17596								
Zotu15440	1							2
Zotu13838								
Zotu19086								
Zotu9772					1			
Zotu136	9	1	7		2	5	12	3
Zotu547	4		3	3	14	1	2	2
