ID	bs_f_cd_1	bs_f_cd_2	bs_f_cd_3	bs_f_cd_4	bs_f_cd_5	bs_f_cd_6	bs_f_cd_7	bs_f_cd_8
Zotu8732				1	2			2
Zotu19019								
Zotu660	20	23	15	34	7	32	13	7
Zotu2743	4	1	6	3		8	4	4
Zotu12508	1							2
Zotu13468	1	1	2					1
Zotu15022								
Zotu9047	1	2		1	1			
Zotu14638	2				1			
Zotu13090								
Zotu16961								
Zotu16957								
Zotu6379		2		2		1		3
Zotu14854			1				1	
Zotu1339	5	1	5	5	7	13	6	5
Zotu13019								
Zotu18198								
Zotu1167	2	4	4	9	6	6	9	7
Zotu2726	1	4	1	4	3		3	1
Zotu4286	1	1	2	3	4	3	2	
Zotu9256							1	
Zotu3037	1		2	2	2	2		2
Zotu8901								
Zotu4690				1				
Zotu1459	1			1	1			
Zotu13020	2				1	1		
Zotu14673	1		1		2	1		
Zotu18869					1			
Zotu5195	1		2					
Zotu20373								
Zotu1777	4	1	4	2		2	4	5
Zotu1418	1	2	10	3	8		6	2
Zotu9167								
Zotu243			5		4	2	2	1
Zotu14972								
Zotu8628		2	1	3	3	2	1	
Zotu9626							1	1
Zotu13112						2		
Zotu3089		1	3		1			
Zotu20287								1
Zotu10160					5			
Zotu3877	1	1			6			
Zotu934	8	10	13	7	9	9	12	8
Zotu100	47	65	63	66	84	56	45	69
Zotu250	25	28	55	41	52	57	37	42
Zotu4187	1	1	2	3	1	1	4	1
Zotu2513	6	5	7	5	12	5	1	3
Zotu5529		2	7	3	4	2	3	3
Zotu8269	1	1		2	1		1	3
Zotu1582	1			1		1		
Zotu6193						2	2	
Zotu6020								
Zotu10704					1	1		
Zotu1415	2	3	4	1	3	4	5	8
Zotu14700						2	2	
Zotu13925								1
Zotu17981								
Zotu10422								
Zotu17961								
Zotu10413								
Zotu14746								
Zotu12100						1		
Zotu9120		1		2		1		
Zotu18596	1							
Zotu7052				2				
Zotu5217	2		1	2	1			2
Zotu15218				1			1	
Zotu5870			1		2			2
Zotu11630			1		2		1	1
Zotu11995							1	
Zotu12013					3	1		
Zotu351	30	18	15	31	21	34	15	17
Zotu1837	10	5	8	15	4	9	7	6
Zotu17250								
Zotu4662	1	3		1			4	
Zotu3352		2		2				
Zotu4596		2	2	3	5		1	1
Zotu15187								
Zotu8007	2			1		4	2	1
Zotu4393		3		1	2	1	1	1
Zotu1137					1			
Zotu8436								
Zotu1698	2	4	2		2	3	1	2
Zotu5369			1	3		1		
Zotu4725			1					
Zotu13577								
Zotu1494	1	2	1	1	2	4	5	1
Zotu265	4	3	8	8	8	13	4	5
Zotu679	2	3	2	6	1		1	1
