ID	hp_f_1	hp_f_2	hp_f_3	hp_f_4	hp_f_5	hp_f_6	hp_f_7	hp_f_8
Zotu8732			1		1	1	4	1
Zotu19019	2				1	2		
Zotu660	10	17	9	4	7	13	13	2
Zotu2743	2	3	6	5	8	4	1	
Zotu12508			1		1			
Zotu13468			1	3				
Zotu15022								
Zotu9047	1		5					1
Zotu14638	1						1	1
Zotu13090			1					
Zotu16961			4		1			2
Zotu16957	1		3			1		
Zotu6379	1	1	1	4		6	3	1
Zotu14854			1					
Zotu1339	3	9	3	2	6	6	1	3
Zotu13019								
Zotu18198			2					
Zotu1167	9	14	10	7	9	7	7	
Zotu2726	1	5	5	2				
Zotu4286	2		1	1	3		1	
Zotu9256								1
Zotu3037	5	1	12	6	7	6	4	7
Zotu8901		1				2		
Zotu4690								
Zotu1459								
Zotu13020			1			1		
Zotu14673			1					
Zotu18869			2					
Zotu5195	1	1	3		1	2	2	
Zotu20373								
Zotu1777	4	2	1	5	1	6	1	1
Zotu1418	3	12	5	9	6	7	10	4
Zotu9167								
Zotu243	4		2	3	3	1	1	4
Zotu14972								
Zotu8628	3		1		3	3		1
Zotu9626	2		4				2	1
Zotu13112		2				4		
Zotu3089	5		5	1	1			
Zotu20287	1	1	3					
Zotu10160						1		
Zotu3877	4	7	8	6	7	4	2	
Zotu934	9	5	13	10	12	17	10	
Zotu100	99	137	165	65	97	131	103	29
Zotu250	36	58	47	41	59	30	60	23
Zotu4187	6	5	5	1	6	5	19	
Zotu2513	1		2			1	1	1
Zotu5529	2		1	1				
Zotu8269								
Zotu1582	1	2	4	3	1	2	2	2
Zotu6193	1	3	4				3	
Zotu6020			1				1	
Zotu10704		2		3				
Zotu1415	2	4	2	5	9	3	7	2
Zotu14700								
Zotu13925								
Zotu17981								
Zotu10422								
Zotu17961								
Zotu10413			2					
Zotu14746			1					
Zotu12100								
Zotu9120	3		3					
Zotu18596								
Zotu7052			1					1
Zotu5217	1	1	1	2	1	4	3	6
Zotu15218			1	1	1			
Zotu5870	1		2		2		2	2
Zotu11630				1	1			
Zotu11995					4			
Zotu12013				1				
Zotu351	30	15	20	27	23	17	33	35
Zotu1837	4	2	3			2	3	5
Zotu17250								
Zotu4662	2	7	6	2	5	6	2	4
Zotu3352					1			
Zotu4596		2		3	2		4	
Zotu15187								2
Zotu8007							1	
Zotu4393		2		1	1		2	4
Zotu1137	1	1		3		3	2	3
Zotu8436								
Zotu1698	2	4	1		6	4	2	2
Zotu5369	7				3	1	5	
Zotu4725								
Zotu13577								
Zotu1494	2	1	1	4	2	1	5	7
Zotu265	7	3	17	1	8	16	7	27
Zotu679	4	2		1		4	5	4
Zotu11077								
Zotu1825	2	4	1	3	1	2	1	2
Zotu6235							3	
Zotu8034	1							
Zotu3720	1			1		1	1	
Zotu5968						2		
Zotu8117			1	1	2			
Zotu9615								
Zotu14467								
Zotu5113			1					2
Zotu15936								
Zotu20825								
Zotu652			3	4	2		2	1
Zotu7558								
Zotu20642								
Zotu2363								
Zotu16217								
Zotu3403			1	3				
Zotu3793								
Zotu11245								
Zotu12636							1	
Zotu16705								
Zotu17596								
Zotu15440								
Zotu13838								
Zotu19086								
Zotu9772								
Zotu136	20	8	4	2	2	4		11
Zotu547	8	11	8	6	9	3	1	25
Zotu26	3	13	3	9	3	13	11	19
Zotu17432	1	2						
Zotu14546								
Zotu20816								
Zotu17094		3		1				
Zotu4857								
Zotu4919								
Zotu2087			1					2
Zotu3903								
Zotu13437								
Zotu986	2			1	7			
Zotu442								
Zotu15302								
Zotu6146								
Zotu9196								
Zotu12	41	31	6	25	24	18	4	13
Zotu22								
Zotu427								
Zotu1005								
Zotu716								
Zotu19109								
Zotu6453								
Zotu13788								
Zotu3312								
Zotu1116								
Zotu8389								
Zotu970								
Zotu5515								
Zotu20521								
Zotu19396								
Zotu20645								
Zotu7								1
Zotu18424								
Zotu8358								
Zotu856	10	5		4	2	7	2	1
Zotu1563		1	1		2	4	2	
Zotu2325								
Zotu647								
Zotu3490								
Zotu1244	3			6				8
Zotu62	13	5	3	11	14	22	9	6
Zotu2657								
Zotu6501								
Zotu16501								
Zotu583	2	1						3
Zotu3562								
Zotu1705					2			
Zotu1509					2	1		
Zotu1646	1	2				2		1
Zotu4486								
Zotu2	1		1	1				
Zotu10344								1
Zotu20627	1		3					
Zotu3137								
Zotu15096								
Zotu1883		3						
Zotu10164								
Zotu694	2				1			1
Zotu1971						2		
Zotu16177								
Zotu5972								
Zotu5376			1	1			1	
Zotu15362								
Zotu8298								
Zotu5798								
Zotu19353								
Zotu8402				1				
Zotu3780		1					1	
Zotu7963								
Zotu1210								
Zotu5579						2		
Zotu1691								
Zotu293			2	1				
Zotu15422								
Zotu1275	2	1				1		1
Zotu3684								
Zotu6089		3				2		
Zotu1122								
Zotu7183								
Zotu9467	1							
Zotu7745	1	2	2	5	4	3	1	
Zotu14657								
Zotu6405								
Zotu18998	2							
Zotu2620								
Zotu2688				1				
Zotu15199					2			
Zotu5063								
Zotu5223								
Zotu16320								
Zotu6463								
Zotu7294								
Zotu5626						2		
Zotu133		1		5	1		10	
Zotu81	8	1	2	2	7	1	5	
Zotu1360		1	4		1		4	1
Zotu8279							1	
Zotu7645						1		
Zotu16054						1		
Zotu5076	1			2				
Zotu6582	2				3		3	
Zotu19534								
