ID	hp_f_cd_1	hp_f_cd_2	hp_f_cd_3	hp_f_cd_4	hp_f_cd_5	hp_f_cd_6	hp_f_cd_7	hp_f_cd_8
Zotu8732								1
Zotu19019		4				1		
Zotu660	8	19	18	15	17	19	16	12
Zotu2743		1	9	4	1		2	4
Zotu12508				1				
Zotu13468					1			1
Zotu15022								
Zotu9047		1		1				
Zotu14638		1	1					
Zotu13090				1	2			
Zotu16961								2
Zotu16957	1			3			1	1
Zotu6379							2	1
Zotu14854						1	2	1
Zotu1339	4		4	6	2	4	4	4
Zotu13019								
Zotu18198					1			
Zotu1167	10	3	6	16	2	10	15	7
Zotu2726			3	1	1	1	4	4
Zotu4286			1	1			1	2
Zotu9256			2				2	
Zotu3037	1	1						4
Zotu8901								
Zotu4690							2	
Zotu1459						2		
Zotu13020	1	1		2	1			
Zotu14673	1				1			
Zotu18869				2				
Zotu5195		2	1	6	3	1		1
Zotu20373	1		1					
Zotu1777	1	2		8		2	2	2
Zotu1418	8	7	6	4	5	8	2	6
Zotu9167								
Zotu243	1		1		2			
Zotu14972								
Zotu8628				1				
Zotu9626				1				
Zotu13112			4					1
Zotu3089	1	1			1			
Zotu20287								
Zotu10160	1		1				1	
Zotu3877	2		3	1	1	4		1
Zotu934	16	12	13	13	11	15	11	9
Zotu100	126	141	136	119	242	144	274	172
Zotu250	43	62	56	49	58	38	97	47
Zotu4187	1	1	6	4	2		7	5
Zotu2513	3	1	1	11	2	3		4
Zotu5529	3		2					
Zotu8269		2	1				1	
Zotu1582	2	4				3		
Zotu6193				1			1	
Zotu6020					2			
Zotu10704						1	1	
Zotu1415	12	5	7	2	5		16	4
Zotu14700								2
Zotu13925								
Zotu17981								
Zotu10422								
Zotu17961								
Zotu10413								
Zotu14746								
Zotu12100							1	1
Zotu9120			2					
Zotu18596								
Zotu7052							3	1
Zotu5217	2	4		1	6	2		1
Zotu15218	4				1			
Zotu5870			1		1		3	
Zotu11630				1				
Zotu11995		1			2	1		
Zotu12013	1		1					
Zotu351	20	19	33	22	32	32	31	25
Zotu1837		2	4	6	5	5	3	3
Zotu17250					1			
Zotu4662		2	5	2	2		3	1
Zotu3352								
Zotu4596		4		4		2		3
Zotu15187	1	4		1				
Zotu8007				1				1
Zotu4393					2		4	
Zotu1137		1			1	4	1	1
Zotu8436								
Zotu1698	3	10	3	1	4	1		
Zotu5369	2			1	1	1		
Zotu4725								
Zotu13577								
Zotu1494	4	3	2		1	20	1	2
Zotu265	3	10	1	6	4	7	14	6
Zotu679		4		1		10	7	3
Zotu11077						2		
Zotu1825	3		3		3			2
Zotu6235					1	1		
Zotu8034								1
Zotu3720							3	
Zotu5968		2						
Zotu8117	1	2	1				1	
Zotu9615								
Zotu14467								
Zotu5113					1			
Zotu15936								
Zotu20825								
Zotu652			1				2	8
Zotu7558								2
Zotu20642								
Zotu2363								
Zotu16217								
Zotu3403								
Zotu3793			1					
Zotu11245			3					
Zotu12636								
Zotu16705								
Zotu17596								
Zotu15440								
Zotu13838								
Zotu19086								
Zotu9772								
Zotu136	2	18	3	2	5	151	2	43
Zotu547	14	6	8	8	14	9	4	3
Zotu26	8	11	8	10	3	50	7	1
Zotu17432						5		
Zotu14546			1					
Zotu20816		1	1			4		
Zotu17094								
Zotu4857								
Zotu4919								
Zotu2087								
Zotu3903								
Zotu13437								
Zotu986								
Zotu442								
Zotu15302			1					
Zotu6146								
Zotu9196								
Zotu12	8	13	17	3	5	101	5	5
Zotu22			3					
Zotu427								
Zotu1005								
Zotu716								
Zotu19109								
Zotu6453								
Zotu13788								
Zotu3312			1					
Zotu1116								
Zotu8389								
Zotu970								
Zotu5515								
Zotu20521								
Zotu19396								
Zotu20645								
Zotu7	1		13					
Zotu18424								
Zotu8358								
Zotu856	4	1	2	8	7	1	2	
Zotu1563	1	5	2	1	5	4		
Zotu2325								2
Zotu647								
Zotu3490								
Zotu1244			2			2		1
Zotu62	3	4	10	8	1	2	1	4
Zotu2657						1		
Zotu6501								
Zotu16501								
Zotu583	1	1			2	1	5	
Zotu3562								
Zotu1705								
Zotu1509				1		1		
Zotu1646			3			3		
Zotu4486								
Zotu2	1	4	9	2		7		3
Zotu10344	1							
Zotu20627								
Zotu3137								
Zotu15096								
Zotu1883								
Zotu10164								
Zotu694	1		4	1		5	2	
Zotu1971	2			1				
Zotu16177		1						
Zotu5972								
Zotu5376								
Zotu15362								
Zotu8298						2		
Zotu5798								
Zotu19353								
Zotu8402								
Zotu3780								
Zotu7963					2			
Zotu1210		2						
Zotu5579					2		1	
Zotu1691								
Zotu293		6						
Zotu15422								
Zotu1275								1
Zotu3684								
Zotu6089					1			
Zotu1122								
Zotu7183								
Zotu9467		4						
Zotu7745	5	2	4	7	1	4	5	5
Zotu14657								
Zotu6405								
Zotu18998								
Zotu2620								
Zotu2688								1
Zotu15199								
Zotu5063								
Zotu5223					2			
Zotu16320								
Zotu6463								
Zotu7294								
Zotu5626						1		
Zotu133		1	2	1	1	10	1	1
Zotu81	7	4	3	3	8	19	8	10
Zotu1360	3	6	1	1	3		3	2
Zotu8279								
Zotu7645		3			1	1		
Zotu16054								
Zotu5076	3	3			1	2		5
Zotu6582	1			1	2			
Zotu19534								
Zotu8331	2				2		1	
Zotu12328	1							2
Zotu19966				1	1			
Zotu8484	7	1	3		1		3	1
Zotu19774								
Zotu9243						7		
Zotu9589								
Zotu9810							2	
Zotu16378								
Zotu15950								
Zotu13610		1				1		
Zotu18138			2					
Zotu19015								3
Zotu18148								
Zotu19127								
Zotu4105								
Zotu13806								
Zotu10702								
Zotu283	52	26	28	36	26	26	30	36
Zotu4248	3	9	8	3	3	3	3	6
Zotu1980				3			3	
Zotu1269	2	5	3	1	2	3	8	2
Zotu4197	3	1	1	3		2	6	
Zotu20340		1						
Zotu19334								
Zotu4454						1		
Zotu6052					1			
Zotu9186	1	1						
Zotu15168								3
Zotu3233	3	1	4	1	10		4	2
Zotu2669	1	4	2	1		3	3	
Zotu16383			1					
Zotu17347								
Zotu14944								
Zotu12913						5		
Zotu19621								
Zotu15750							1	
Zotu14847				3		1	1	1
Zotu8722								
Zotu8820					2	1		
Zotu15285	2							1
Zotu13667	2						2	
Zotu18636								
Zotu3344				2			4	1
Zotu7318	1	1			2	3	1	
Zotu13989								
Zotu3356		1		1	3		1	2
Zotu14255								
Zotu10386				2		1		1
Zotu17712								
Zotu3888	3	2				2	2	3
Zotu19124								
Zotu4659			1		1	3		
Zotu4237	4	5		1		1		1
Zotu11740					2			
Zotu13054								
Zotu1159	7	4			2		2	2
Zotu13064	1							
Zotu3446								
Zotu1855					1		1	
Zotu7825							1	4
Zotu6770								
Zotu7642								
Zotu9797								
Zotu13360	1							
Zotu9407						1	3	
Zotu3865								
Zotu4382								
Zotu3609							1	
Zotu5175					1			1
Zotu2636		1						
Zotu5139								
Zotu16408								
Zotu14624					1			
Zotu3245	1	3	2	1	3		1	
Zotu173	11	25	14	13	14	15	16	14
Zotu684	3	3	1		2	5	13	7
Zotu1676	3	2	2	2	1	2	8	8
Zotu2864	2		1				4	
Zotu9351			1	1			2	
Zotu3792		1				2		1
Zotu12431								
Zotu19364								
Zotu13410								
Zotu6614								
Zotu8359								
Zotu9422								
Zotu20677								
Zotu9525			5					
Zotu12276								
Zotu12179								
Zotu5848								
Zotu18639								
Zotu19487								
Zotu16137								
Zotu16410	3							
Zotu15739		2					2	2
Zotu4392		3			6			3
Zotu20495			1					
Zotu8512	2					2		
Zotu15975								
Zotu14488								1
Zotu19283			1					
Zotu11475				3				1
Zotu4523		1			3		7	2
Zotu4637		1	1				1	
Zotu777	3	4	4	4	1	2	3	4
Zotu7077								
Zotu4711		1				1	2	1
Zotu12218		2	1				2	1
Zotu7371								
Zotu9666						4		
Zotu14360					1			
Zotu3697	4						1	1
Zotu1446	2	15	4		1	3	3	1
Zotu13964								
Zotu17979								
Zotu19004						1		
Zotu5697								
Zotu6058				1			2	
Zotu18282								
Zotu13454		2						
Zotu476	17	58	40	14	21	15	36	21
Zotu15332			2	1	1			
Zotu4880				2	1			
Zotu11676			1	1	1			
Zotu11465								
Zotu15444								
Zotu20346								
Zotu8531		1					3	1
Zotu7647	1	1				3	3	4
Zotu16907								
Zotu1525	6	4	8		7	2	10	8
Zotu4317		2	1	2	2		1	3
Zotu12353			1		1			
Zotu15678								
Zotu13939								
Zotu4442						2		
Zotu9962						6		
Zotu8490								
Zotu10440								
Zotu17846								
Zotu15513								
Zotu18397								
Zotu3291								
Zotu2866								
Zotu7100								
Zotu3259						1		
Zotu5089						2		2
Zotu6773								
Zotu16324								
Zotu11459								
Zotu7359			1					
Zotu14692						4		
Zotu6449								
Zotu5556								
Zotu15876								
Zotu20294								
Zotu3674								
Zotu9053								
Zotu15237								
Zotu15062								
Zotu7704								
Zotu9221								
Zotu6113								
Zotu2298								
Zotu3320							1	
Zotu3408								
Zotu3844	2							
Zotu16390								
Zotu10370		1					1	1
Zotu3594			2					1
Zotu19913	2							
Zotu5071								
Zotu4851					1			
Zotu8772								
Zotu19032	2							
Zotu5981								
Zotu12992								
Zotu11293								
Zotu14965								1
Zotu17989					1			1
Zotu14405								
Zotu12670								
Zotu18386					1	1		1
Zotu10674								
Zotu16425				1				
Zotu6532								
Zotu8668								
Zotu18495								
Zotu15116								
Zotu8423								
Zotu16175								
Zotu12216						1		
Zotu778								
Zotu13339								
Zotu11970								
Zotu15408								2
Zotu4563				1	1	2		
Zotu17669								1
Zotu19629							1	
Zotu18417						4		
Zotu5636			6					1
Zotu10991								
Zotu5128		2					1	4
Zotu11542				1	1			
Zotu19858								
Zotu5368			1		2		1	
Zotu9767								3
Zotu16970								
Zotu11437								
Zotu19585								
Zotu10191	2			1				
Zotu13056								2
Zotu3867		2	3	2	1		4	
Zotu12566							1	
Zotu9226								
Zotu17018								
Zotu16019								
Zotu1092	11	5	4	4	6	4	3	2
Zotu2660	1	4	3		4		5	3
Zotu6931	1		1					1
Zotu4374	1			2		3		1
Zotu3934			2		1	4	3	2
Zotu1820	5		1			2	1	2
Zotu5548				1	5		3	5
Zotu1014	10	8	5	4	10	11	16	4
Zotu1329	1	6	4	2	3	2	5	6
Zotu5101							2	
Zotu19975								
Zotu5226	1	2	2		2		3	
Zotu16362	11	10	16	13	9	13	17	12
Zotu16397		4	4	1		5	2	5
Zotu19198	3		7			50		
Zotu19911								
Zotu13061								
Zotu20336								
Zotu17692	65	70	43	53	40	66	66	64
Zotu20273								
Zotu18526								
Zotu13857	1	4		2	6	5		5
Zotu20408								
Zotu17938			2					
Zotu20362								
Zotu14640								
Zotu14203								
Zotu19976								
Zotu19332								
Zotu19692								
Zotu14297		1						
Zotu17755								
Zotu18807								
Zotu19161								
Zotu19298	3	5	4	2	5	3		2
Zotu19191								
Zotu20068	8							
Zotu13963							4	3
Zotu6623		1	2		1			
Zotu1466	1	6	6		5		10	2
Zotu7885			1			2		
Zotu6087								
Zotu13711							2	
Zotu20773								
Zotu19711								
Zotu2950								
Zotu14156		1						
Zotu7297								
Zotu16868								
Zotu17508								
Zotu11070								
Zotu14329								
Zotu3405								
Zotu9027								
Zotu2972		3	1		1	1		2
