ID	hps_cd_1	hps_cd_2	hps_cd_3	hps_cd_4	hps_cd_5	hps_cd_6	hps_cd_7	hps_cd_8
Zotu8732			1		2	1		
Zotu19019						2		
Zotu660	13	19	26	13	22	23	17	18
Zotu2743	4	3	8	3	2	3	2	1
Zotu12508	1	2		2	1			
Zotu13468								3
Zotu15022		1						
Zotu9047	1		1					1
Zotu14638					1			1
Zotu13090	2							
Zotu16961			1					
Zotu16957			1					
Zotu6379			2		1		3	
Zotu14854		3						
Zotu1339	7	5	4	7	2	8	12	11
Zotu13019								
Zotu18198		1						
Zotu1167	10	8	5	9	17	6	5	9
Zotu2726		1	1	2	3	1	3	2
Zotu4286		1	2		2			
Zotu9256			1					
Zotu3037	1			2	1			
Zotu8901		1						
Zotu4690								
Zotu1459			2	2		1		
Zotu13020	1	1				1	2	2
Zotu14673					1	1		
Zotu18869								
Zotu5195	2				3	1	1	
Zotu20373						2		
Zotu1777	2	5	5	3	7	6	5	5
Zotu1418	2	3		3	5	1	6	12
Zotu9167								
Zotu243		1		3	4		2	2
Zotu14972			1			1		
Zotu8628				1		1		
Zotu9626								
Zotu13112	2							
Zotu3089						1		
Zotu20287								
Zotu10160		1		2	1			
Zotu3877	1	3	1	1	2	1		1
Zotu934	18	4	4	10	16	10	13	17
Zotu100	98	119	106	65	49	81	93	122
Zotu250	58	50	58	27	47	33	57	69
Zotu4187	2	3	4	3	1		1	3
Zotu2513	2	5	3	8	8	8	9	9
Zotu5529			1	1	4	2	3	1
Zotu8269		5	1					1
Zotu1582	1				1		2	
Zotu6193		1	1	4	2		1	1
Zotu6020	1	2						
Zotu10704	1							
Zotu1415	7	5	9	3	14	4	7	5
Zotu14700					2			
Zotu13925								
Zotu17981								
Zotu10422								
Zotu17961								
Zotu10413								
Zotu14746								
Zotu12100	1						1	
Zotu9120					2			
Zotu18596								
Zotu7052								
Zotu5217	1	1		2	1	1	4	
Zotu15218			1		1			3
Zotu5870			4	4	2	3		4
Zotu11630		1						1
Zotu11995								
Zotu12013			3			1		
Zotu351	25	35	19	19	23	26	23	23
Zotu1837	6	6	3	6	8	14	6	6
Zotu17250				3				
Zotu4662	1	2			4			
Zotu3352			1	1				
Zotu4596	1	1		2	3		1	
Zotu15187		1						
Zotu8007			6			2		
Zotu4393	2	2	4	1	2		2	3
Zotu1137	1	2		1	2		1	
Zotu8436								
Zotu1698		2	3	3	3	2	1	3
Zotu5369		1		2				
Zotu4725								
Zotu13577								
Zotu1494		2	3	8		2	9	6
Zotu265	3	16	5	34	11	10	10	8
Zotu679	8	6	1	5		1		8
Zotu11077	3	1			1			
Zotu1825	1	1	1	1	1	2		1
Zotu6235								
Zotu8034								
Zotu3720			1	1				4
Zotu5968								
Zotu8117		1	1		1			1
Zotu9615					1			
Zotu14467								
Zotu5113	1							
Zotu15936								
Zotu20825								
Zotu652		1	1		2		1	
Zotu7558						1		
Zotu20642								
Zotu2363							1	
Zotu16217	1		1					
Zotu3403	1		1			1		
Zotu3793							2	
Zotu11245								
Zotu12636								
Zotu16705								
Zotu17596								
Zotu15440	2						1	
Zotu13838								
Zotu19086								
Zotu9772							5	
Zotu136	5	15	1	3	4	1	167	6
Zotu547		2	1	2	3	4	1	
Zotu26	18	16	14	20	8	6	227	8
Zotu17432			1				4	
Zotu14546							1	1
Zotu20816		1				1	1	
Zotu17094								
Zotu4857	1							
Zotu4919								
Zotu2087	1	2	1	4			3	
Zotu3903								
Zotu13437								
Zotu986					1	2	1	
Zotu442			7	8				3
Zotu15302		1						
Zotu6146								
Zotu9196		4		4				
Zotu12	34	148	28	23	17	14	188	27
Zotu22	1	2		1			1	
Zotu427		1						
Zotu1005							1	
Zotu716								
Zotu19109		1						
Zotu6453								
Zotu13788								
Zotu3312								
Zotu1116	3		1	1	1	1	2	
Zotu8389								
Zotu970								1
Zotu5515							1	
Zotu20521								
Zotu19396								
Zotu20645								
Zotu7	3	1		6	4	2	4	121
Zotu18424								
Zotu8358	1						4	
Zotu856		3		2	3	1	4	
Zotu1563	1	1	3	1	2	1		
Zotu2325	1		2				2	
Zotu647								
Zotu3490								
Zotu1244		2			1		1	3
Zotu62	1	4	2	4	6		12	5
Zotu2657							1	
Zotu6501								
Zotu16501								
Zotu583	6	5		3		1		2
Zotu3562						1		
Zotu1705		1		2			1	
Zotu1509			1	3			1	1
Zotu1646		4		10	3	2	13	
Zotu4486								
Zotu2	19	14	26	21	10	12	1009	117
Zotu10344		1				1	17	7
Zotu20627							9	4
Zotu3137								
Zotu15096								
Zotu1883							9	
Zotu10164								
Zotu694	1		2	2		2	1	1
Zotu1971	1	1	1	1				
Zotu16177								
Zotu5972			1		1			
Zotu5376	2	2				2		2
Zotu15362								
Zotu8298								
Zotu5798								
Zotu19353							1	
Zotu8402								
Zotu3780		2						
Zotu7963	1	1					1	
Zotu1210		2		2			1	
Zotu5579								1
Zotu1691								
Zotu293	3	1		1		1	21	3
Zotu15422		2						
Zotu1275	2	3			5	1	2	
Zotu3684		1	1		3			
Zotu6089		1					1	
Zotu1122							2	
Zotu7183		1	1	10				
Zotu9467					1			
Zotu7745							1	
Zotu14657								
Zotu6405								
Zotu18998	1							
Zotu2620							1	
Zotu2688						1		
Zotu15199		1						
Zotu5063								
Zotu5223						1	1	2
Zotu16320								
Zotu6463		3					1	
Zotu7294		1						
Zotu5626						1		
Zotu133	1	7		3	7	4	6	3
Zotu81	16	13	15	3	13	14	19	7
Zotu1360	6	6	3	7	4	6	8	9
Zotu8279	1	1			1		5	
Zotu7645				2		1	2	1
Zotu16054								
Zotu5076								3
Zotu6582	1	1					1	
Zotu19534						1		
Zotu8331			1		2	1	1	
Zotu12328		1						2
Zotu19966							1	
Zotu8484		1		1	1	1		
Zotu19774	2							
Zotu9243		1		4	1			
Zotu9589								
Zotu9810							1	
Zotu16378			1	4		1		
Zotu15950				1				
Zotu13610				1				
Zotu18138								
Zotu19015			1					
Zotu18148								
Zotu19127	1							
Zotu4105								
Zotu13806		1						
Zotu10702			1			1		1
Zotu283	36	45	37	26	34	60	35	35
Zotu4248	7	4	6	1	8		7	8
Zotu1980	5		3	1	5	4	2	
Zotu1269	3	4	4	4	11	6	6	6
Zotu4197	2	5	3		4	2	1	1
Zotu20340								
Zotu19334								
Zotu4454	1			6				
Zotu6052			1	1	1	2		2
Zotu9186		2	1		1			
Zotu15168								
Zotu3233	4	1	2	2	2	4	5	4
Zotu2669	4	1	1	1	2	1		2
Zotu16383						1		
Zotu17347								
Zotu14944			1					
Zotu12913								
Zotu19621								
Zotu15750								
Zotu14847			1		1	1		
Zotu8722								
Zotu8820				1		1		
Zotu15285					1			1
Zotu13667			1		2			1
Zotu18636								
Zotu3344	1	3			2	1	1	2
Zotu7318	3	2			1			
Zotu13989	3							
Zotu3356		3	2	1	1	1		1
Zotu14255								
Zotu10386	1	1						1
Zotu17712	1	3						
Zotu3888		1	1			3	1	3
Zotu19124				1		2	2	1
Zotu4659	1		1			2	5	1
Zotu4237	2	1	2		2	2		3
Zotu11740						1		2
Zotu13054	1							
Zotu1159	6	4	8	6	10	17	7	12
Zotu13064					2			
Zotu3446								
Zotu1855						1		
Zotu7825		1	1		2		1	
Zotu6770		1						1
Zotu7642								
Zotu9797								
Zotu13360								
Zotu9407	2				1			
Zotu3865								2
Zotu4382	3			3		1	1	
Zotu3609				2				
Zotu5175				1				
Zotu2636			2		2			3
Zotu5139			2			2	4	
Zotu16408	1				1		1	
Zotu14624				2		1		2
Zotu3245	2	2	1	3	2			3
Zotu173	27	27	49	36	44	13	39	49
Zotu684	6	9	9	8	6	11	17	9
Zotu1676	5	4	14	3	3	6	6	3
Zotu2864	1		3		2	1		5
Zotu9351		2				1		
Zotu3792							1	
Zotu12431								
Zotu19364								
Zotu13410			1					
Zotu6614								
Zotu8359				2				
Zotu9422						1		
Zotu20677								
Zotu9525		1		1				
Zotu12276					1			
Zotu12179								
Zotu5848								
Zotu18639								
Zotu19487								
Zotu16137							3	
Zotu16410					1			
Zotu15739	1					1		
Zotu4392		1	1	2	1			3
Zotu20495								
Zotu8512								
Zotu15975								
Zotu14488				1				
Zotu19283								
Zotu11475					4			
Zotu4523	1	1	1	5				
Zotu4637	3	1						1
Zotu777	8	3	5	7	13	4	1	31
Zotu7077					1			
Zotu4711		2	1		4			
Zotu12218	1							1
Zotu7371								
Zotu9666				1				
Zotu14360			1		1			
Zotu3697			2		5		1	
Zotu1446	2	4	1	1	2	1	2	
Zotu13964				11				
Zotu17979	1							
Zotu19004		1						
Zotu5697				21				1
Zotu6058								1
Zotu18282								
Zotu13454								
Zotu476	19	17	14	16	57	19	21	36
Zotu15332				1				1
Zotu4880								
Zotu11676								
Zotu11465								
Zotu15444			2					
Zotu20346								
Zotu8531	2	1			2			1
Zotu7647	1			5		1		1
Zotu16907				5				
Zotu1525	1	3	10	1	10	12	3	24
Zotu4317	2	1					1	2
Zotu12353					1	1		1
Zotu15678				1				
Zotu13939								
Zotu4442				1			3	
Zotu9962							1	
Zotu8490								
Zotu10440								
Zotu17846								
Zotu15513								
Zotu18397			1					
Zotu3291			3					
Zotu2866			1					
Zotu7100								
Zotu3259			1	1				
Zotu5089	1				2			1
Zotu6773								
Zotu16324								
Zotu11459								
Zotu7359		2		9			2	1
Zotu14692				2				
Zotu6449								
Zotu5556	1	1						
Zotu15876								
Zotu20294								
Zotu3674								
Zotu9053								
Zotu15237								
Zotu15062								
Zotu7704								
Zotu9221								
Zotu6113								
Zotu2298								
Zotu3320								
Zotu3408				2				
Zotu3844			1					
Zotu16390								
Zotu10370								
Zotu3594								
Zotu19913								
Zotu5071								
Zotu4851								
Zotu8772								
Zotu19032								
Zotu5981								
Zotu12992								
Zotu11293								
Zotu14965	2					1		
Zotu17989								
Zotu14405								
Zotu12670								
Zotu18386								
Zotu10674								
Zotu16425								
Zotu6532								
Zotu8668								
Zotu18495								
Zotu15116								
Zotu8423								
Zotu16175								
Zotu12216								
Zotu778								
Zotu13339								
Zotu11970								
Zotu15408								
Zotu4563		4		5		1		
Zotu17669								
Zotu19629								
Zotu18417								
Zotu5636				1	3			4
Zotu10991	2	1						
Zotu5128			2					
Zotu11542								
Zotu19858								
Zotu5368		1		1				
Zotu9767	2		1					
Zotu16970		1						
Zotu11437	1	1			1			
Zotu19585		1						
Zotu10191						1		
