ID	hps_ck_1	hps_ck_2	hps_ck_3	hps_ck_4	hps_ck_5	hps_ck_6	hps_ck_7	hps_ck_8
Zotu8732	1			1		2		
Zotu19019						1		
Zotu660	13	19	7	11	14	4	5	18
Zotu2743		4	1	2	4	1	9	1
Zotu12508	1	3	1			1		1
Zotu13468	4		2	1		3	2	5
Zotu15022					1			
Zotu9047		2	2			1		2
Zotu14638					1			1
Zotu13090			1			1		
Zotu16961			1		1	2		
Zotu16957	1	2		2		2		1
Zotu6379	2	4	1		5	3	4	
Zotu14854		2						
Zotu1339	5	12	9	11	5	7	7	15
Zotu13019								
Zotu18198								
Zotu1167	13	1	9	11	6	6	9	10
Zotu2726	2	1	1	1		3	4	4
Zotu4286	1		6	1	2	1	2	6
Zotu9256		1		1		1	1	
Zotu3037	2	2	2	14		4	6	3
Zotu8901	1	1						2
Zotu4690								
Zotu1459				3	3		2	1
Zotu13020								
Zotu14673					1			
Zotu18869								
Zotu5195	1	3	2	3		4		
Zotu20373				3				
Zotu1777	4	5	3	8	8	3	5	2
Zotu1418	1	1	13	8	8	3	4	3
Zotu9167			1					
Zotu243				1		2		1
Zotu14972								1
Zotu8628		1		1				1
Zotu9626			1	4				
Zotu13112								
Zotu3089	1	3	2	4		1	2	3
Zotu20287				1				1
Zotu10160	1			3			3	
Zotu3877	2		1	2	1	1	11	
Zotu934	7	2	15	17	10	17	14	11
Zotu100	45	43	63	50	30	119	68	75
Zotu250	40	37	53	40	25	45	26	35
Zotu4187	4	1		2	4	5	2	4
Zotu2513	5	2	3		1			1
Zotu5529			1	1			3	1
Zotu8269	1	1	1		1		1	1
Zotu1582		1	1	1		2		5
Zotu6193	1	1		3			1	
Zotu6020				1	2	2	1	
Zotu10704	8	3	1					
Zotu1415	7	6	9	16	6	14	6	8
Zotu14700		1	1		1			1
Zotu13925								
Zotu17981	1							
Zotu10422								
Zotu17961								
Zotu10413		1						
Zotu14746					1			
Zotu12100		1				1		1
Zotu9120	1		1	2				3
Zotu18596	2							
Zotu7052			1	1		1	1	1
Zotu5217	3	1	4	2	8	2	8	
