ID	hps_f_cd_1	hps_f_cd_2	hps_f_cd_3	hps_f_cd_4	hps_f_cd_5	hps_f_cd_6	hps_f_cd_7	hps_f_cd_8
Zotu8732	1							
Zotu19019								
Zotu660				1	2	2		
Zotu2743								
Zotu12508								
Zotu13468								
Zotu15022								
Zotu9047								
Zotu14638								
Zotu13090								
Zotu16961								
Zotu16957								
Zotu6379								
Zotu14854								
Zotu1339						2	6	
Zotu13019								
Zotu18198								
Zotu1167							1	1
Zotu2726								
Zotu4286								
Zotu9256								
Zotu3037			1					
Zotu8901								
Zotu4690				1	35			
Zotu1459	2		1					
Zotu13020								
Zotu14673								
Zotu18869								
Zotu5195								
Zotu20373								
Zotu1777			1					
Zotu1418		55				9		
Zotu9167								
Zotu243							1	
Zotu14972								
Zotu8628								
Zotu9626								
Zotu13112								
Zotu3089	1	44						
Zotu20287								
Zotu10160								
Zotu3877						20	2	
Zotu934					2	3		2
Zotu100	1	19	1	216	56	51	18	3
Zotu250	1	1		2	3	8	6	2
Zotu4187							1	
Zotu2513								
Zotu5529								
Zotu8269								
Zotu1582		1						
Zotu6193							1	
Zotu6020								
Zotu10704								
Zotu1415	2				24		1	1
Zotu14700								
Zotu13925								
Zotu17981								
Zotu10422								
Zotu17961								
Zotu10413								
Zotu14746								
Zotu12100						5		
Zotu9120								
Zotu18596								
Zotu7052								1
Zotu5217							1	1
Zotu15218							1	
Zotu5870								
Zotu11630								
Zotu11995								
Zotu12013								
Zotu351	1	2			1		5	2
Zotu1837						4		
Zotu17250								
Zotu4662								
Zotu3352				79	2			
Zotu4596	1						1	
Zotu15187								
Zotu8007								
Zotu4393								
Zotu1137				1				
Zotu8436								
Zotu1698						25		
Zotu5369								
Zotu4725								
Zotu13577								
Zotu1494		1						
Zotu265		57		2	1	26	1	110
Zotu679		1						
Zotu11077								
Zotu1825	1			64				
Zotu6235								
Zotu8034								
Zotu3720								
Zotu5968								
Zotu8117								
Zotu9615							13	
Zotu14467								
Zotu5113								
Zotu15936								
Zotu20825								
Zotu652						19		
Zotu7558								
Zotu20642								
Zotu2363	93							
Zotu16217								
Zotu3403					1			
Zotu3793								
Zotu11245								
Zotu12636								
Zotu16705								
Zotu17596								
Zotu15440								
Zotu13838								
Zotu19086								
Zotu9772								
Zotu136			2			7	7	2
Zotu547		1						
Zotu26	4	38	106	1	17	1	10	4
Zotu17432								
Zotu14546								
Zotu20816		1						
Zotu17094					1			
Zotu4857								
Zotu4919						10		
Zotu2087							128	
Zotu3903								
Zotu13437								
Zotu986								
Zotu442				4	68	632		
Zotu15302					1			
Zotu6146								
Zotu9196								
Zotu12	27	16	21	2	1	379	2701	4
Zotu22								
Zotu427								
Zotu1005								
Zotu716								
Zotu19109	1		1					
Zotu6453								
Zotu13788								
Zotu3312								
Zotu1116							87	
Zotu8389							17	
Zotu970	2							
Zotu5515								
Zotu20521								
Zotu19396		1		1				
Zotu20645		1						
Zotu7	66	28	32	3	1	1	3	
Zotu18424								
Zotu8358							14	
Zotu856	169	1	2		1			
Zotu1563				55				
Zotu2325					2		1	
Zotu647	4	1	511					
Zotu3490						1		
Zotu1244				1				
Zotu62	1	1				1	1	
Zotu2657								
Zotu6501								
Zotu16501								
Zotu583	3	3	1	1				
Zotu3562							20	
Zotu1705								
Zotu1509							1	
Zotu1646				1			2	
Zotu4486								
Zotu2	94	148	65	15	18	2737	148	8
Zotu10344	1					6		
Zotu20627								
Zotu3137								
Zotu15096								
Zotu1883						1	1	
Zotu10164								
Zotu694		1			1		3	
Zotu1971								
Zotu16177								
Zotu5972								
Zotu5376								
Zotu15362						1		
Zotu8298								
Zotu5798								
Zotu19353								
Zotu8402								
Zotu3780								
Zotu7963								
Zotu1210								
Zotu5579								
Zotu1691								
Zotu293	2			1	1	39		
Zotu15422								
Zotu1275	1							
Zotu3684						20		
Zotu6089								
Zotu1122						10		
Zotu7183								
Zotu9467				1				
Zotu7745								
