ID	rs_cd_1	rs_cd_2	rs_cd_3	rs_cd_4	rs_cd_5	rs_cd_6	rs_cd_7	rs_cd_8
Zotu8732							1	
Zotu19019								
Zotu660	1	1					1	
Zotu2743		1	1	1			1	
Zotu12508								
Zotu13468								
Zotu15022								
Zotu9047								
Zotu14638				1		1		
Zotu13090				1	3			
Zotu16961								
Zotu16957								
Zotu6379								
Zotu14854								
Zotu1339			1				1	
Zotu13019								
Zotu18198								
Zotu1167	2	7	2	1	1	6	2	2
Zotu2726	1	1	2	1		1		
Zotu4286	1	1	2	2	1			
Zotu9256								
Zotu3037	1		1		2		1	
Zotu8901								
Zotu4690								
Zotu1459								
Zotu13020	1							
Zotu14673								
Zotu18869								
Zotu5195				1				
Zotu20373								
Zotu1777	2	1	7		5	7	2	
Zotu1418	1		1	2		3		2
Zotu9167								
Zotu243	4	5	7	4	5	3	4	11
Zotu14972								
Zotu8628								
Zotu9626						1		
Zotu13112								
Zotu3089				1				
Zotu20287								
Zotu10160								
Zotu3877								
Zotu934	1		1	1		4		
Zotu100	15	10	8	12	14	5	25	12
Zotu250	2	5	7	7	9	8	7	5
Zotu4187	1						2	1
Zotu2513	2	2	1		1	6		2
Zotu5529		1		1		1	1	1
Zotu8269								
Zotu1582	1	2	1		1	3		
Zotu6193		1		1			1	
Zotu6020	1							
Zotu10704								
Zotu1415	2	10	2	3	1	4		3
Zotu14700					2			
Zotu13925								
Zotu17981								2
Zotu10422								
Zotu17961								
Zotu10413			1					
Zotu14746	2							
Zotu12100	1							
Zotu9120								
Zotu18596								2
Zotu7052	1					1	2	
Zotu5217						2		
Zotu15218	1							
Zotu5870				1				
Zotu11630								
Zotu11995								
Zotu12013								
Zotu351	3	3	3	7	9	6	5	5
Zotu1837	4	1	2			1	1	
Zotu17250	1							
Zotu4662						1		1
Zotu3352								
Zotu4596								
Zotu15187								
Zotu8007				1		1	1	
Zotu4393	1			1			2	
Zotu1137	4	1	5	3	2	1	4	3
Zotu8436								
Zotu1698	2	3	1	1	1	1	1	3
Zotu5369	1		1	1	1	2	1	
Zotu4725	1	1	1	1				
Zotu13577			1					
Zotu1494	1	3	4	4	3	3	1	2
Zotu265	18	22	13	4	12	13	4	13
Zotu679	4	7	1	10	4	3	10	2
Zotu11077					2			
Zotu1825						1		
Zotu6235						1		
Zotu8034			2		1			
Zotu3720	1		3		1	1		1
Zotu5968					2			
Zotu8117								
Zotu9615								1
Zotu14467								
Zotu5113								
Zotu15936	1	1		1				
Zotu20825								1
Zotu652	6	3	3	3	11	5	3	5
Zotu7558					2			2
Zotu20642								
Zotu2363								
Zotu16217				1				1
Zotu3403		2	1	1				
Zotu3793								
Zotu11245								
Zotu12636								
Zotu16705								
Zotu17596		1						
Zotu15440	2		1					
Zotu13838								
Zotu19086						2		
Zotu9772			1	2				
Zotu136	17	8	18	18	34	5	12	14
Zotu547	7	36	16	14	15	6	11	3
Zotu26	63	47	64	52	49	74	69	36
Zotu17432		1			1		1	
Zotu14546								
Zotu20816								
Zotu17094				1		1		
Zotu4857	2			2		2	2	
Zotu4919							2	
Zotu2087					1			
Zotu3903					1			
Zotu13437								
Zotu986		9						1
Zotu442								
Zotu15302								
Zotu6146								
Zotu9196				1				
Zotu12	15	27	26	80	25	26	43	6
Zotu22				2			1	
Zotu427		2			1	1		
Zotu1005	3							
Zotu716			1	5			9	1
Zotu19109				1				
Zotu6453								
Zotu13788				2				
Zotu3312		1				1	9	
Zotu1116	1			2				
Zotu8389								
Zotu970	3	4	1	3		2	1	
Zotu5515							1	
Zotu20521								
Zotu19396								
Zotu20645								
Zotu7	70	7	6	180	6	8	27	2
Zotu18424				1				
Zotu8358							1	
Zotu856	2		5	3	1	3	1	2
Zotu1563	1				3			
Zotu2325			2					
Zotu647							1	
Zotu3490							1	
Zotu1244	1				2	3	3	3
Zotu62	11	14	15	23	40	27	22	25
Zotu2657		2					1	
Zotu6501				4				
