ID	rs_ck_1	rs_ck_2	rs_ck_3	rs_ck_4	rs_ck_5	rs_ck_6	rs_ck_7	rs_ck_8
Zotu8732								
Zotu19019								
Zotu660	3		5	3	2	1	3	1
Zotu2743					1			1
Zotu12508								
Zotu13468				1			1	1
Zotu15022			1					
Zotu9047		1		1		1		1
Zotu14638								
Zotu13090								
Zotu16961								
Zotu16957					1			
Zotu6379								
Zotu14854								
Zotu1339		4		1	2	2	2	
Zotu13019								
Zotu18198			1					1
Zotu1167	1	1	1	7		4	2	3
Zotu2726	2	4	1	1	1	1		1
Zotu4286					1	1	2	2
Zotu9256								
Zotu3037		3	1			2		2
Zotu8901								2
Zotu4690								
Zotu1459								
Zotu13020								
Zotu14673								
Zotu18869			1					
Zotu5195								
Zotu20373					2			
Zotu1777	1	2	2	6	3	1	2	3
Zotu1418	4	1	10	3	1	5	1	1
Zotu9167								
Zotu243	6	5	8	8	18	4	5	5
Zotu14972								1
Zotu8628				1				
Zotu9626		2			1			
Zotu13112			2					
Zotu3089		1	2					
Zotu20287								
Zotu10160								
Zotu3877					1			
Zotu934	4	1	1		1		1	1
Zotu100	36	24	12	32	20	15	28	18
Zotu250	7	4	12	7	8	12	8	5
Zotu4187	1	1	2	1			2	
Zotu2513	2							
Zotu5529								
Zotu8269							1	
Zotu1582	4			3		5	2	3
Zotu6193	1							
Zotu6020	1					1	1	
Zotu10704								
Zotu1415	1	4	3	1	1	3	2	1
Zotu14700			1		1			
Zotu13925	2							
Zotu17981								
Zotu10422	2							
Zotu17961					1			
Zotu10413		2				1		
Zotu14746								
Zotu12100			1					
Zotu9120			1			1		
Zotu18596								
Zotu7052	1	2					1	
Zotu5217	1		1		1	1	2	
Zotu15218								
Zotu5870								
Zotu11630					1	1	1	
Zotu11995								
Zotu12013								
Zotu351	15	12	8	8	11	17	13	7
Zotu1837			3	4	3	1		2
Zotu17250								
Zotu4662		2		1				
Zotu3352	2	1						
Zotu4596					1			
Zotu15187				1			1	
Zotu8007		1						1
Zotu4393			1		1			1
Zotu1137	10	3		7	4	3	7	5
Zotu8436								
Zotu1698	3	4	1	3	2	2	6	7
Zotu5369	2	2	1			3	2	1
Zotu4725	1			1			1	1
Zotu13577								2
Zotu1494	4	3	4	6	7	6	7	
Zotu265	20	20	18	23	31	15	26	19
Zotu679	4	3	4	5	13	9	5	8
Zotu11077								
Zotu1825	4		1	3		1		1
Zotu6235		1			1			1
Zotu8034	3							
Zotu3720	3	1	1		1	1	2	
Zotu5968								
Zotu8117					1			
Zotu9615			1					
Zotu14467								
Zotu5113		2		1				
Zotu15936								
Zotu20825								
Zotu652	18	11	8	13	27	14	22	9
Zotu7558	1				1			
Zotu20642					1		1	
Zotu2363		4						
Zotu16217	1							
Zotu3403	3							
Zotu3793	4						2	
Zotu11245	3						1	
Zotu12636								
Zotu16705								
Zotu17596								
Zotu15440					1			
Zotu13838	1				1			1
Zotu19086	1							
Zotu9772	6	4	3	1	1		7	
Zotu136	34	7	34	12	11	15	14	17
Zotu547	11	8	18	3	21	16	18	8
Zotu26	236	170	187	187	472	131	382	66
Zotu17432	2		4	3	3			1
Zotu14546		1	1		2		2	
Zotu20816			2		1		1	1
Zotu17094								
Zotu4857	8	1	1			4	3	3
Zotu4919								
Zotu2087	3	2						
Zotu3903	1							
Zotu13437					1			
Zotu986		1			2		1	
Zotu442	13	5	4	7				
Zotu15302			1					1
Zotu6146							1	
Zotu9196	1							
Zotu12	329	72	62	48	52	77	88	26
Zotu22		4				2	3	1
Zotu427			1					
Zotu1005	3		1					
Zotu716					2			
Zotu19109	2	1					1	
Zotu6453				1	1			
Zotu13788					4		1	
Zotu3312	1	1				1	3	1
Zotu1116	11		1	1		2		
Zotu8389								
Zotu970	12	2	3			6	1	3
Zotu5515								
Zotu20521		1						
Zotu19396				1				
Zotu20645								
Zotu7	404	134	51	3	23	42	193	14
Zotu18424							3	
Zotu8358								
Zotu856	2	8	1	10	4		1	1
Zotu1563	1	1	3		2	2	2	
Zotu2325								
Zotu647				16			1	
Zotu3490	4			1	3		1	
Zotu1244	3	4	2	4	4	4	8	4
Zotu62	86	42	132	83	171	101	82	33
Zotu2657	1					2		
Zotu6501	30		1					
Zotu16501	1				1			
Zotu583	12	4	1	1	2		2	
Zotu3562						2		
Zotu1705	6	1	1		1		4	
Zotu1509	13	5	7	7	21	8	6	7
Zotu1646	5	6	3	8	12	9	7	3
Zotu4486								
Zotu2	681	116	184	40	38	518	139	39
Zotu10344	5		4		2	4	3	1
Zotu20627	2	1						
Zotu3137								
Zotu15096								
Zotu1883	1	2	4	5	2	6	3	
Zotu10164	1						1	
Zotu694	6		1		3	1	8	2
Zotu1971	2	1	3		5	1	1	5
Zotu16177				1				1
Zotu5972								
Zotu5376		2				3		
Zotu15362								
Zotu8298							1	
Zotu5798	4				1		1	
Zotu19353							1	
Zotu8402								
Zotu3780		1			1		1	
Zotu7963				3			2	
Zotu1210	5		3		3	1	3	
Zotu5579		3		1	1		1	
Zotu1691								
Zotu293	15	2	6	4	28	8	9	3
Zotu15422								
Zotu1275	6	4	1	1	13	3	2	2
Zotu3684	1	1	3		3	1	1	
Zotu6089	1	1	1	2		1		
Zotu1122	1		1	1	4			
Zotu7183	3	2					1	
Zotu9467		1					2	
Zotu7745								
Zotu14657							1	1
Zotu6405	1							
Zotu18998						1		
Zotu2620	13		3		1			
Zotu2688								
Zotu15199								
Zotu5063	10							
Zotu5223								
Zotu16320		1						
Zotu6463	2			2				1
Zotu7294	1	4		1	1	1		
Zotu5626							1	
Zotu133	17	15	19	27	37	27	25	12
Zotu81	52	22	32	59	88	29	64	24
Zotu1360	10	1	21	9	17	10	10	4
Zotu8279	1		1	1	1		1	1
Zotu7645		1				1		
Zotu16054								
Zotu5076	1				1			
Zotu6582		1					2	5
Zotu19534							1	
Zotu8331			1					
Zotu12328								
Zotu19966								
Zotu8484					1			
Zotu19774						1		
Zotu9243			1			1		
Zotu9589			1					2
Zotu9810						1		
Zotu16378								
Zotu15950								
Zotu13610								
Zotu18138								
Zotu19015								
Zotu18148								
Zotu19127								
Zotu4105								
Zotu13806							1	
Zotu10702								
Zotu283	11	11	13	13	6	6	5	4
Zotu4248		1		1	1			
Zotu1980		10	5	1	3	5	5	4
Zotu1269	2		1	2	1	3	1	1
Zotu4197		1	1	1	1			
Zotu20340								
Zotu19334								
Zotu4454	1	1	2	1	1	1		2
Zotu6052		1					1	
Zotu9186		1					1	
Zotu15168			1					
Zotu3233	1							1
Zotu2669	1	1		1	2	2		2
Zotu16383								
Zotu17347								
Zotu14944			1					1
Zotu12913	2							4
Zotu19621								
Zotu15750							1	
Zotu14847								
Zotu8722								
Zotu8820					1			
Zotu15285								
Zotu13667		1		1				
Zotu18636	1						1	
Zotu3344	5	1	2	2	3	1	2	2
Zotu7318								
Zotu13989				1				
Zotu3356		2		1	5	1	1	1
Zotu14255								
Zotu10386				2	1			
Zotu17712			1					
Zotu3888	2	1			3	1		3
Zotu19124	1					1		1
Zotu4659				1				
Zotu4237			1		5	2		
Zotu11740								
Zotu13054							3	
Zotu1159	5	3	5	4	3	9	3	5
Zotu13064						1		3
Zotu3446	3	1	2	1	2		1	
Zotu1855			2		1		1	
Zotu7825				1				
Zotu6770								
Zotu7642								4
Zotu9797								
Zotu13360								
Zotu9407			1					
