ID	rs_f_1	rs_f_2	rs_f_3	rs_f_4	rs_f_5	rs_f_6	rs_f_7	rs_f_8
Zotu8732				1		1		
Zotu19019								
Zotu660	1	3	1		4	4		3
Zotu2743					1			1
Zotu12508					1			
Zotu13468						1		
Zotu15022								
Zotu9047				1	1			
Zotu14638								
Zotu13090								
Zotu16961								
Zotu16957								
Zotu6379	1				1		1	
Zotu14854								
Zotu1339	2	1	1		3	3	1	
Zotu13019								
Zotu18198								1
Zotu1167	1	6	3	2	7	6		1
Zotu2726		1	1	1	1			5
Zotu4286			1		4	1		
Zotu9256							1	
Zotu3037	1	3	3	1	2	1	1	
Zotu8901								
Zotu4690								
Zotu1459				1	1			
Zotu13020								
Zotu14673		1						
Zotu18869								
Zotu5195						1		
Zotu20373						1		
Zotu1777	2	1	1		7		1	3
Zotu1418	1		5	3	5	7	2	
Zotu9167								
Zotu243	4	8	3	6	9	5	2	8
Zotu14972					2			
Zotu8628								
Zotu9626								
Zotu13112								
Zotu3089		1			1	2		
Zotu20287								
Zotu10160								
Zotu3877						1		2
Zotu934		1	2		4	1	1	2
Zotu100	10	19	35	17	23	33	12	9
Zotu250	7	13	27	11	20	21	11	8
Zotu4187	1	2	2		3			4
Zotu2513			1					
Zotu5529		2				1		
Zotu8269								2
Zotu1582			1		1	2		
Zotu6193				1		1	1	
Zotu6020	1					1	5	
Zotu10704								3
Zotu1415	1		3	5	1	1	3	4
Zotu14700								
Zotu13925			1					
Zotu17981				1				
Zotu10422								
Zotu17961								
Zotu10413		1				2		
Zotu14746								
Zotu12100								
Zotu9120		2	2	2	1			
Zotu18596								
Zotu7052					1	4		
Zotu5217		2	1		1	2		1
Zotu15218								
Zotu5870		1						1
Zotu11630		1	1					
Zotu11995								
Zotu12013								
Zotu351	6	14	21	5	13	19	14	19
Zotu1837		2	6	2	3	3		
Zotu17250								
Zotu4662						2		3
Zotu3352								
Zotu4596					3			1
Zotu15187		1			2			
Zotu8007		1						
Zotu4393	2	1	1	1				
Zotu1137		4	8	9	1	1	4	3
Zotu8436								
Zotu1698	1	3	3	5	1	1	1	2
Zotu5369	4	3	2	3	1	1	2	1
Zotu4725	1	1	1	1		3		1
Zotu13577	1	3						
Zotu1494	2	5	2	12	2	6	4	5
Zotu265	16	23	19	16	32	20	12	18
Zotu679	9	3	11	4	26	8	3	5
Zotu11077							1	
Zotu1825	3	6	1	1	5	2		
Zotu6235	1	3	1	2	1		1	1
Zotu8034		1	3			4	1	1
Zotu3720		4	4		2	3		
Zotu5968			1	2	1		1	
Zotu8117		3	1					
Zotu9615	1	1	1					
Zotu14467		1						
Zotu5113	2	1		2	4	3	3	1
Zotu15936	1					1		1
Zotu20825								
Zotu652	13	15	17	14	13	10	6	14
Zotu7558	1		2			1		
Zotu20642		1						
Zotu2363						1		
Zotu16217		1						
Zotu3403		1	1					1
Zotu3793					1	1		1
Zotu11245								
Zotu12636								
Zotu16705								
Zotu17596								
Zotu15440	1							
Zotu13838			1					1
Zotu19086								
Zotu9772			2					3
Zotu136	18	7	15	13	8	21	5	17
Zotu547	10	4	27	56	14	17	3	34
Zotu26	52	118	130	107	116	84	41	206
Zotu17432		2			3		3	9
Zotu14546						2		1
Zotu20816		1		2				1
Zotu17094				2				
Zotu4857				1		1		4
Zotu4919						6	1	
Zotu2087								
Zotu3903		2				1		
Zotu13437								
Zotu986	4	4				4	1	
Zotu442						1		
Zotu15302						2		1
Zotu6146								
Zotu9196	2							
Zotu12	27	15	21	159	36	22	14	40
Zotu22				2		2		
Zotu427							1	
Zotu1005								
Zotu716							1	1
Zotu19109								
Zotu6453		1	1					
Zotu13788								1
Zotu3312				2				
Zotu1116				2		1	1	
Zotu8389								
Zotu970						1		2
Zotu5515	1			2			1	
Zotu20521								
Zotu19396								
Zotu20645								
Zotu7	5	2	16	16	5	8	7	122
Zotu18424								1
Zotu8358								
Zotu856		1	1	6	2			
Zotu1563			1			1		1
Zotu2325								17
Zotu647								
Zotu3490		1						
Zotu1244	4	3	3	2	8	2		4
Zotu62	33	87	98	51	80	58	14	54
Zotu2657	1							
Zotu6501			2					
Zotu16501							1	1
Zotu583			3	3		2	1	3
Zotu3562				2		2		1
Zotu1705			2					
Zotu1509	1	7	5	9	20	10	8	6
Zotu1646	2	7	6	2	3	3		3
Zotu4486								
Zotu2	20	14	27	115	23	26	13	95
Zotu10344		4		3		1	4	4
Zotu20627			1		1		1	4
Zotu3137								
Zotu15096								
Zotu1883	2		5	1	2	1	2	5
Zotu10164		2						
Zotu694			1	4	1		2	1
Zotu1971			1	1	4	2		2
Zotu16177								
Zotu5972				3		2		1
Zotu5376		4		2	2			1
Zotu15362				1				
Zotu8298					1		1	
Zotu5798								
Zotu19353								
Zotu8402								
Zotu3780							1	3
Zotu7963					1	2		1
Zotu1210			1	1				
Zotu5579								
Zotu1691								
Zotu293		1	4	3	3	1		4
Zotu15422							1	
Zotu1275	3	2	4	8	2	6	7	6
Zotu3684	3	1				3		
Zotu6089				1				
Zotu1122						1		
Zotu7183						1		
Zotu9467								
Zotu7745	1							
Zotu14657								
Zotu6405								
Zotu18998								
Zotu2620	1		4			1		1
Zotu2688								
Zotu15199						1		
Zotu5063				1		4		
Zotu5223		1		1	1		1	
Zotu16320			1					
Zotu6463								
Zotu7294	1			3				
Zotu5626								
Zotu133	8	26	28	13	14	9	7	19
Zotu81	12	39	22	25	35	30	15	32
Zotu1360	4	9	9	7	12	4	2	7
Zotu8279			1		2			1
Zotu7645	1	1						
Zotu16054					1	1	1	
Zotu5076			1			1		
Zotu6582			1	1				
Zotu19534								
Zotu8331								
Zotu12328								
Zotu19966								
Zotu8484								
Zotu19774								
Zotu9243							1	
Zotu9589		2				2		
Zotu9810						2		
Zotu16378								
Zotu15950								
Zotu13610								
Zotu18138								
Zotu19015								
Zotu18148								
Zotu19127								
Zotu4105								
Zotu13806						1		
Zotu10702								
Zotu283	5	3	9	3	6	10	7	5
Zotu4248						1		
Zotu1980	5	8	5	4		4	8	4
Zotu1269	2	4	1		1	4	2	1
Zotu4197		1						
Zotu20340								
Zotu19334		3						
Zotu4454		2	6	3	4		1	
Zotu6052		1	1					
Zotu9186	5	1		2	1	2		
Zotu15168				1				
Zotu3233		1		2		1		
Zotu2669	2	3	1		1	6	1	1
Zotu16383	1							
Zotu17347								
Zotu14944	1							
Zotu12913								
Zotu19621		1				1		
Zotu15750			1					
Zotu14847								
Zotu8722					1			
Zotu8820	1					1		
Zotu15285						1		2
Zotu13667		1	1					
Zotu18636								
Zotu3344	1	4	1	1		1	1	2
Zotu7318	1	1					1	2
Zotu13989				1				
Zotu3356		1		2		1	4	
Zotu14255								
Zotu10386								2
Zotu17712					1			
Zotu3888		1	1		1	1		
Zotu19124					1	1		1
Zotu4659		1					1	
Zotu4237	2	4	2	1	5			1
Zotu11740					2	2		2
Zotu13054				4			2	
Zotu1159	6	3	8	7	6	2	2	1
Zotu13064			2					1
Zotu3446	2	1		2	1	5	4	3
Zotu1855		1						
Zotu7825								
Zotu6770			1	1	1			
Zotu7642		1						
Zotu9797								1
Zotu13360						1		
Zotu9407								
Zotu3865		4	3				1	1
Zotu4382			1	1	1			3
Zotu3609		1				5		1
Zotu5175	5	1	1	1		1		
Zotu2636	2	6	4	1	1		1	1
Zotu5139			1	1		1		1
Zotu16408								
Zotu14624				1		2		
Zotu3245		5	10	1	2	3	2	
Zotu173	24	40	49	29	38	24	40	37
Zotu684	4	12	9	5	10	6	10	4
Zotu1676	2	4	6		3	5	2	2
Zotu2864		2	5		3	2	1	
Zotu9351		1	3			2	1	
Zotu3792		1	1	2		1		1
Zotu12431				1				
Zotu19364	1							1
Zotu13410		1	1					
Zotu6614				1				
Zotu8359		1					1	
Zotu9422						4	3	1
Zotu20677								
Zotu9525			1			2		
Zotu12276	1					1		1
Zotu12179								
Zotu5848								
Zotu18639								
Zotu19487								
Zotu16137				2				
Zotu16410								
Zotu15739								
Zotu4392					1			
Zotu20495		1						
Zotu8512								
Zotu15975								
Zotu14488								
Zotu19283								
Zotu11475								1
Zotu4523			2					
Zotu4637	1				1			
Zotu777	6		3	2	1	3		2
Zotu7077			1					
Zotu4711								
Zotu12218			1	2				
Zotu7371	2		1	1		1		1
Zotu9666							1	
Zotu14360					1		1	
Zotu3697			1					
Zotu1446	1							
Zotu13964	1							
Zotu17979								
Zotu19004			1					
Zotu5697			1					1
Zotu6058		1		2				
Zotu18282			1					
Zotu13454								1
Zotu476		2	3	4		2	1	1
Zotu15332								
Zotu4880								
Zotu11676								
Zotu11465								
Zotu15444								
Zotu20346								
Zotu8531								
Zotu7647				1	1			
Zotu16907								
Zotu1525								2
Zotu4317	1					1		
Zotu12353								
Zotu15678								
Zotu13939								
Zotu4442								
Zotu9962								
Zotu8490								
Zotu10440								1
Zotu17846								
Zotu15513							1	1
Zotu18397	1							
Zotu3291								
Zotu2866						1		1
Zotu7100								
Zotu3259								
Zotu5089								
Zotu6773								
Zotu16324								
Zotu11459								
Zotu7359						3		
Zotu14692				1				
Zotu6449								
Zotu5556				1				
Zotu15876								
Zotu20294								
Zotu3674								
Zotu9053								
Zotu15237								
Zotu15062								
Zotu7704								
Zotu9221								
Zotu6113								
Zotu2298		1			1			1
Zotu3320								
Zotu3408								
Zotu3844								
Zotu16390								
Zotu10370								
Zotu3594								
Zotu19913								
Zotu5071								
Zotu4851								
Zotu8772	1							
Zotu19032								
Zotu5981								
Zotu12992								
Zotu11293								
Zotu14965			1		1			
Zotu17989								
Zotu14405		1						1
Zotu12670								
Zotu18386								
Zotu10674					1			1
Zotu16425								
Zotu6532								
Zotu8668								
Zotu18495								
Zotu15116				1				
Zotu8423						1		
Zotu16175								
Zotu12216	1		1	1			1	3
Zotu778				1				
Zotu13339								
Zotu11970								
Zotu15408								
Zotu4563		1	1	1	2			1
Zotu17669								
Zotu19629								
Zotu18417						1	2	
Zotu5636								
Zotu10991						1		
Zotu5128								
Zotu11542								
Zotu19858								
Zotu5368								1
Zotu9767						1		
Zotu16970								
Zotu11437				1		2		
Zotu19585								
Zotu10191								
Zotu13056				1				
Zotu3867	1	1	1				4	
Zotu12566								
Zotu9226	1							
Zotu17018								
Zotu16019							1	
Zotu1092	1	6	2		1	2	5	2
Zotu2660			3		1	1		2
Zotu6931				2				1
Zotu4374		1	3	1	1	2		
Zotu3934			5	2	2			
Zotu1820	2	1		1	2			1
Zotu5548		1		2				
Zotu1014	1	3	1	1	5		1	1
Zotu1329	2	8	2	2	6	2	1	1
Zotu5101		1		1				
Zotu19975								
Zotu5226						1		
Zotu16362	1	2	1	3	1	1	4	
Zotu16397		1			2	4		1
Zotu19198	3	1		2	1			
Zotu19911								
Zotu13061								
Zotu20336								
Zotu17692	27	16	16	19	25	25	10	11
Zotu20273								
Zotu18526						1		
Zotu13857					1			
Zotu20408								
Zotu17938					1			
Zotu20362								
Zotu14640								
Zotu14203				3				
Zotu19976								
Zotu19332								
Zotu19692								
Zotu14297	1							
Zotu17755								
Zotu18807								
Zotu19161								
Zotu19298	5		1	17		13		2
Zotu19191								
Zotu20068								
Zotu13963								
Zotu6623								
Zotu1466			4		1		2	
Zotu7885					1	1	3	
Zotu6087	1				2			2
Zotu13711							1	
Zotu20773		1	1					
Zotu19711				1	1			
Zotu2950	8	24	2		1	6	3	1
Zotu14156								
Zotu7297								
Zotu16868								1
Zotu17508			1				1	
Zotu11070								
Zotu14329								
Zotu3405	2				1	1		
Zotu9027								
Zotu2972	1	1	2		2			
Zotu621	3	7	4	6	9	8	2	10
Zotu1586	1	1		3	2		1	2
Zotu3619		1			3	1		2
Zotu5333	2	1		1				
Zotu950	6	2		1	4	2		6
Zotu15367								
Zotu19209								
Zotu1381		1	2			4	4	3
Zotu11635								1
Zotu18222				1				1
Zotu15350								
Zotu17534								
Zotu2963			1					
Zotu10535								
Zotu2371		2	1			2		1
Zotu3084	1		1		2			1
Zotu6203								
Zotu13290			2					
Zotu6009	1	1	1	1		1		
Zotu8449								
Zotu18337								
Zotu1762	1	3	1			1	3	
Zotu16706								
Zotu13762								1
Zotu8536	1	1			1			1
Zotu7540			1	2				1
Zotu10977								
Zotu1284		2	1	2	5	4	1	3
Zotu14146						3		
Zotu1677		2	5		1	3	2	1
Zotu11004								
Zotu3808	1					1		1
Zotu7347						1		
Zotu11616								
Zotu2389			1	1	4	1	4	1
Zotu8715			2					
Zotu12184								
Zotu7125			1		1		1	
Zotu15875								
Zotu6338								
Zotu19960								
Zotu9139								
Zotu6093					1			
Zotu14236								
Zotu18668		1			1			
Zotu4654	1		1		1			
Zotu17351								
Zotu17950				1				
Zotu13553								
Zotu18508								
Zotu11849				1			1	
Zotu11882								
Zotu18774								
Zotu13220								
Zotu14978								
Zotu14895								
Zotu6097		2	3	3		1		1
Zotu11945					1		1	
Zotu16411					1			
Zotu19031		2				2		
Zotu8858						1		
Zotu20565								
Zotu11238								
Zotu11860								
Zotu13751								
Zotu10768								
Zotu12127				1				
Zotu6486								
Zotu885		2		6				
Zotu4756								
Zotu17478								
Zotu13055								
Zotu16157			1			3		
Zotu5238		1	3	5	5	2	2	2
Zotu15094			1	3		1		
Zotu19026		1						
Zotu9240				2			1	
Zotu13121			1		1	1		2
Zotu13583		1	2		1			1
Zotu17626								
Zotu11957		1						
Zotu17655								
Zotu17673				1				
Zotu3825	3	1	1					2
Zotu10810								
Zotu17341								
Zotu3133		3	1	1	1		1	
Zotu6707				2				
Zotu16124								
Zotu19649								
Zotu9784			1					
Zotu13663				1				1
Zotu14982								
Zotu11444								
Zotu8874								
Zotu7734								
Zotu17514								
Zotu16513			1					
Zotu10724								
Zotu7342								
Zotu19319								
Zotu12450						2		
Zotu13970								
Zotu13338								
Zotu12174								
Zotu6364								
Zotu8957								
Zotu7800	1							
Zotu13998								
Zotu7011	1							
Zotu3289								
Zotu7871			1					
Zotu13002								
Zotu9504								
Zotu4277			1	1				
Zotu7117								
Zotu10040								
Zotu10833				2				
Zotu10788								
Zotu16396								
Zotu20753								
Zotu19821								
Zotu5919		3						1
Zotu5354		1		1	1		1	
Zotu10197								
Zotu1555			1		2			
Zotu7356				2				
Zotu17308								
Zotu14242								
Zotu9495								2
Zotu6408								
Zotu2878					1			
Zotu6687								
Zotu5255								
Zotu14003			1					
Zotu13984								
Zotu17024								
Zotu6834		1		2		1		
Zotu16902								
Zotu19045								
Zotu13980								
Zotu2380					1			
Zotu6490		2	1		2			3
Zotu15816								
Zotu10556								
Zotu3733								
Zotu7191								
Zotu7715	1	1						
Zotu20466								
Zotu14553								
Zotu18399								
Zotu18910								
Zotu18510	1							
Zotu4039								
Zotu10761			1					1
Zotu16211								
Zotu10434								
Zotu9318					3			
Zotu10549				1				
Zotu6667	1		1					
Zotu10219								
Zotu11391								
Zotu6703			3	1		1		1
Zotu3193								
Zotu9390								
Zotu11797			1				2	
Zotu1400	5	6	1	2	4	1	1	1
Zotu13456		1						
Zotu1340				1	2			
Zotu5793					2			
Zotu14282			1			1		
Zotu7233		1				1		
Zotu9697								
Zotu13251								
Zotu7473			1					
Zotu14049								
Zotu19484								
Zotu886	2	3	4	5	5	7	7	2
Zotu602	8	2	4	9	3	7	11	11
Zotu477	7	12	7	6	6	5	7	19
Zotu19793								
Zotu18673						1		
Zotu19261								
Zotu6815		3			1		1	
Zotu18915								
Zotu6483						1		
Zotu7463	3	2	2			1	2	1
Zotu7041							1	1
Zotu4926		2		2	1		1	
Zotu19467								
Zotu11779								1
Zotu16269					1			
Zotu19331								
Zotu15482		1					2	
Zotu20018								
Zotu17942								
Zotu4198	2							2
Zotu8387								
Zotu2597	2	1				1		
Zotu17194								
Zotu14835								
Zotu20732								
Zotu19529								
Zotu6353								
Zotu9384								
Zotu17358								
Zotu2202	1		1			1		1
Zotu18975			2		2			
Zotu15606								1
Zotu18299					1			
Zotu14428								1
Zotu7187							4	
Zotu20791	1							
Zotu5379								
Zotu13578								
Zotu1351			2		2		1	
Zotu1893	2			1	1	3	1	1
Zotu20700								
Zotu9290								2
