ID	rs_f_cd_1	rs_f_cd_2	rs_f_cd_3	rs_f_cd_4	rs_f_cd_5	rs_f_cd_6	rs_f_cd_7	rs_f_cd_8
Zotu8732								
Zotu19019								
Zotu660			4	3		1		1
Zotu2743						2	1	1
Zotu12508	1							
Zotu13468		1					1	
Zotu15022								1
Zotu9047								
Zotu14638								
Zotu13090		1						
Zotu16961								
Zotu16957							1	1
Zotu6379								1
Zotu14854			1					
Zotu1339	1		1			1		2
Zotu13019								
Zotu18198								
Zotu1167	8	3	1	10		3	4	3
Zotu2726	1			1	1			1
Zotu4286				1				1
Zotu9256								
Zotu3037	4	1			2			2
Zotu8901		1	2		2	2		
Zotu4690			1					
Zotu1459								
Zotu13020								
Zotu14673		1						
Zotu18869								
Zotu5195								
Zotu20373	1							
Zotu1777	1	1	2	3			4	
Zotu1418			1	1	1		2	
Zotu9167		1						
Zotu243	21		2	9	13	8	3	18
Zotu14972				1			1	
Zotu8628								
Zotu9626							1	
Zotu13112								
Zotu3089		1						2
Zotu20287								
Zotu10160	1							
Zotu3877								1
Zotu934	1		3				1	2
Zotu100	23	12	27	34	3	5	10	15
Zotu250	13	12	27	10	4	2	5	19
Zotu4187		2	5	2	1		2	3
Zotu2513	1	3	1	5			1	3
Zotu5529	1			1				
Zotu8269								
Zotu1582	2	1	2	3				
Zotu6193	2			3	2	1		
Zotu6020	1			4	1		2	
Zotu10704								
Zotu1415	3	3	7	10	2		4	
Zotu14700								
Zotu13925								
Zotu17981				1				
Zotu10422								
Zotu17961								
Zotu10413				1				
Zotu14746					1			
Zotu12100								
Zotu9120			1				1	
Zotu18596								
Zotu7052			2					
Zotu5217								
Zotu15218				3				
Zotu5870							1	
Zotu11630								
Zotu11995								
Zotu12013	2							
Zotu351	9	9	18	12	7	6	6	3
Zotu1837	1	2	1	4	3			2
Zotu17250								
Zotu4662								
Zotu3352								2
Zotu4596								
Zotu15187								
Zotu8007								
Zotu4393		1		4	1	1	1	1
Zotu1137	4	1	2	12		6	4	5
Zotu8436								
Zotu1698	1		4	2		2	1	7
Zotu5369	4			1	1		1	7
Zotu4725	1	1	2	2			1	
Zotu13577					1		2	2
Zotu1494	8	1	4	24	3	3		8
Zotu265	38	10	12	35	29	8	13	19
Zotu679	22	8	4	21	14	5	3	7
Zotu11077	1	3			1	2		
Zotu1825	2							
Zotu6235	2	1	1	2			2	1
Zotu8034								5
Zotu3720	2			1	2		1	1
Zotu5968	1		1		1			
Zotu8117		1						1
Zotu9615								
Zotu14467								
Zotu5113	3		1	2	2		1	
Zotu15936		1						
Zotu20825				1				
Zotu652	9	8	14	10	15	10	2	8
Zotu7558				1	2			
Zotu20642								3
Zotu2363								
Zotu16217				1				
Zotu3403				1				
Zotu3793								
Zotu11245	1							
Zotu12636								1
Zotu16705								
Zotu17596		1						
Zotu15440								
Zotu13838	1			1				
Zotu19086	3			2		1	1	
Zotu9772								1
Zotu136	15	15	17	12	8	6	8	27
Zotu547	7	5	9	6	13	9	6	212
Zotu26	154	66	122	129	68	59	45	166
Zotu17432	4	1	2	1	1			4
Zotu14546	3	2						
Zotu20816	1				3			1
Zotu17094								1
Zotu4857	2	4		9			2	1
Zotu4919								
Zotu2087								
Zotu3903								
Zotu13437								
Zotu986	13							
Zotu442				1				
Zotu15302			2			1		
Zotu6146								
Zotu9196					1			
Zotu12	19	25	16	39	32	17	13	70
Zotu22				15	1	1		
Zotu427			1	9	1			
Zotu1005								
Zotu716	8	5	1		6	5	2	2
Zotu19109								
Zotu6453						1		1
Zotu13788				3				
Zotu3312		1		1		2	8	
Zotu1116							1	
Zotu8389								
Zotu970	1		1	2		1		
Zotu5515		1		2	1			
Zotu20521								
Zotu19396								
Zotu20645								
Zotu7	19	9	11	54	4	4	9	17
Zotu18424				1				
Zotu8358								
Zotu856	1	1	2	2	1	1		13
Zotu1563	1		2	1			1	14
Zotu2325								
Zotu647			2					
Zotu3490								
Zotu1244		1	5	7	2			15
Zotu62	38	19	32	42	16	32	19	61
Zotu2657			3					2
Zotu6501								
Zotu16501				1				
Zotu583	1		6	1	1	1		2
Zotu3562				13	1	2	1	
Zotu1705		1				1	1	
Zotu1509	7	1	6	3	2	1	4	2
Zotu1646	1	1	2	5	4	2	4	6
Zotu4486								
Zotu2	42	51	14	1105	35	28	29	51
Zotu10344	3	1		15		2	1	5
Zotu20627	1	1		5		1		1
Zotu3137	1					4		
Zotu15096					1			
Zotu1883	2	1	1	7		2	2	2
Zotu10164								
Zotu694	10	1	1	4	2	3		6
Zotu1971	1	1		5		1	1	3
Zotu16177								
Zotu5972	1							
Zotu5376			1	1				4
Zotu15362		1						
Zotu8298								1
Zotu5798	1							
Zotu19353	1							1
Zotu8402								
Zotu3780	1	1		2	3			1
Zotu7963								
Zotu1210	6	1		2	5		1	1
Zotu5579		1			2	1		
Zotu1691								
Zotu293	6	3	1	4	1	1	2	3
Zotu15422					1			
Zotu1275	6	1		6	7	4	6	4
Zotu3684			1					1
Zotu6089	2	2	1				1	3
Zotu1122	1	2		2			1	
Zotu7183	1							
Zotu9467			1	1				
Zotu7745								
Zotu14657								1
Zotu6405								
Zotu18998								
Zotu2620	1	3			1	1		
Zotu2688								
Zotu15199								
Zotu5063					1	2		2
Zotu5223		1			2	1	1	1
Zotu16320		1						
Zotu6463						1		
Zotu7294					1			
Zotu5626								
Zotu133	43	19	20	26	17	14	10	27
Zotu81	85	16	37	78	27	18	16	33
Zotu1360	6	1	9	11	3		2	2
Zotu8279	1		3	2	1			1
Zotu7645	1							
Zotu16054					1			
Zotu5076			1					
Zotu6582				1				1
Zotu19534								
Zotu8331								
Zotu12328								
Zotu19966								
Zotu8484	18							
Zotu19774								
Zotu9243					1			
Zotu9589		1		1				
Zotu9810				1	1		1	3
Zotu16378					1			
Zotu15950		1					1	
Zotu13610	1		1					
Zotu18138						1		
Zotu19015								
Zotu18148								
Zotu19127								
Zotu4105								
Zotu13806								
Zotu10702	1							
Zotu283	7	4	13	10			4	6
Zotu4248				2	1			
Zotu1980	4	6	2	1	6	1	1	2
Zotu1269	3		1				1	
Zotu4197		1	1					1
Zotu20340								
Zotu19334								
Zotu4454		1					1	
Zotu6052					1			1
Zotu9186								
Zotu15168		1						1
Zotu3233		1		1				
Zotu2669	1	3	1		1			
Zotu16383								
Zotu17347								
Zotu14944					1	1		
Zotu12913		1						
Zotu19621								
Zotu15750				1				
Zotu14847	1							
Zotu8722					2			
Zotu8820		1						
Zotu15285								
Zotu13667	1							
Zotu18636						1		
Zotu3344	1	3		2	2			2
Zotu7318							1	
Zotu13989	1							
Zotu3356	1			2		2		
Zotu14255				1				
Zotu10386			1					
Zotu17712								
Zotu3888								
Zotu19124								
Zotu4659						1		
Zotu4237	1	1		3	1	3	1	3
Zotu11740								
Zotu13054								
Zotu1159	5	1	1	2	6	7	4	7
Zotu13064								
Zotu3446	3		3			5		2
Zotu1855							1	1
Zotu7825		1						
Zotu6770						1		
Zotu7642								
Zotu9797								
Zotu13360								
Zotu9407								
Zotu3865	1	5	3		1		1	6
Zotu4382			1		4		2	1
Zotu3609	1		5	1	2	2	1	1
Zotu5175		2	1		2	1		
Zotu2636	2	2	8	1	2		4	12
Zotu5139	2	1	5				1	
Zotu16408								
Zotu14624								
Zotu3245	3	3						1
Zotu173	46	19	38	36	14	1	15	23
