Zotu,com_id,cor,p
Zotu51,Com_10032_pos,-0.880952381,0.00385032
Zotu339,Com_1010_neg,0.85548378,0.00675133
Zotu48,Com_1014_pos,0.847024363,0.007954271
Zotu23,Com_10146_pos,-0.922172222,0.001110817
Zotu339,Com_10184_pos,-0.951876318,0.000268663
Zotu48,Com_10262_neg,-0.883851509,0.003583935
Zotu48,Com_10269_pos,-0.847024363,0.007954271
Zotu48,Com_1027_neg,-0.883851509,0.003583935
Zotu68,Com_10287_pos,0.868376055,0.005152949
Zotu48,Com_103_pos,0.90840294,0.001791685
Zotu222,Com_10372_neg,0.857142857,0.006530017
Zotu68,Com_10438_pos,0.906686764,0.001891774
Zotu314,Com_1066_neg,0.883851509,0.003583935
Zotu343,Com_10694_pos,0.862290909,0.005872991
Zotu73,Com_10694_pos,-0.843434712,0.008503234
Zotu23,Com_10707_neg,0.862290909,0.005872991
Zotu48,Com_1082_pos,0.969781517,6.74E-05
Zotu23,Com_10826_pos,-0.862290909,0.005872991
Zotu48,Com_10858_pos,-0.969781517,6.74E-05
Zotu314,Com_10866_pos,-0.90840294,0.001791685
Zotu32,Com_1092_neg,-0.910195959,0.001690861
Zotu165,Com_1092_neg,-0.857142857,0.006530017
Zotu314,Com_10921_pos,0.871575794,0.004798257
Zotu68,Com_10959_neg,-0.932227236,0.000739205
Zotu314,Com_11003_pos,-0.969781517,6.74E-05
Zotu52,Com_11008_pos,0.903680049,0.002075752
Zotu8,Com_11008_pos,-0.928571429,0.000862968
Zotu33,Com_11008_pos,-0.857142857,0.006530017
Zotu114,Com_1103_neg,-0.904761905,0.002008276
Zotu314,Com_11089_pos,-0.90840294,0.001791685
Zotu343,Com_1112_neg,0.874267171,0.004512386
Zotu73,Com_11129_pos,0.85548378,0.00675133
Zotu130,Com_11135_neg,-0.878310066,0.004103934
Zotu30,Com_11135_neg,0.857142857,0.006530017
Zotu314,Com_11168_pos,0.871575794,0.004798257
Zotu48,Com_11176_neg,-0.932954371,0.000716066
Zotu14,Com_1119_pos,-0.897117993,0.002516695
Zotu26,Com_1126_pos,-0.843434712,0.008503234
Zotu100,Com_11301_neg,-0.922172222,0.001110817
Zotu1,Com_11301_neg,0.951502571,0.000274893
Zotu10,Com_11365_pos,0.850314646,0.007471415
Zotu48,Com_11404_pos,-0.883851509,0.003583935
Zotu68,Com_11447_neg,-0.855605819,0.00673489
Zotu48,Com_11460_pos,-0.847024363,0.007954271
Zotu339,Com_11490_pos,-0.891630982,0.002928681
Zotu339,Com_1150_pos,-0.891630982,0.002928681
Zotu24,Com_11509_pos,0.880952381,0.00385032
