"","com_id","Zotu","cor","p","Phylum","Class","Order","Family","Genus","Species","com_name"
"1","Com_10032_pos","Zotu51",-0.880952381,0.00385032,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid"
"2","Com_1010_neg","Zotu339",0.85548378,0.00675133,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","MAG (18:4)"
"3","Com_1014_pos","Zotu48",0.847024363,0.007954271,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","TNK"
"4","Com_10146_pos","Zotu23",-0.922172222,0.001110817,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","uncultured Acidobacteriales bacterium","Piperine"
"5","Com_10184_pos","Zotu339",-0.951876318,0.000268663,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","Glycerophosphocholine"
"6","Com_10262_neg","Zotu48",-0.883851509,0.003583935,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","FAHFA (2:0/23:0)"
"7","Com_10269_pos","Zotu48",-0.847024363,0.007954271,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","LDGTS 21:2"
"8","Com_1027_neg","Zotu48",-0.883851509,0.003583935,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","Miquelianin"
"9","Com_10287_pos","Zotu68",0.868376055,0.005152949,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured Terrimonas sp.","NAT13-331713_POS"
"10","Com_103_pos","Zotu48",0.90840294,0.001791685,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","??-Eleostearic acid"
"11","Com_10372_neg","Zotu222",0.857142857,0.006530017,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","NA","MGDG (2:0/16:0)"
"12","Com_10438_pos","Zotu68",0.906686764,0.001891774,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured Terrimonas sp.","Bifonazole"
"13","Com_1066_neg","Zotu314",0.883851509,0.003583935,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505","(2??,3??,19??)-2,3,19-Trihydroxyolean-12-en-28-oic acid"
"14","Com_10694_pos","Zotu343",0.862290909,0.005872991,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","MND1","NA","Bestatin"
"15","Com_10694_pos","Zotu73",-0.843434712,0.008503234,"Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","NA","NA","Bestatin"
