"","com_id","name_type","rtmin","mz","C","H","O","HC_ratio","OC_ratio","com_name","rs_ck_1","rs_ck_2","rs_ck_3","rs_ck_4","rs_ck_5","rs_ck_6","rs_ck_7","rs_ck_8","rs_f_1","rs_f_2","rs_f_3","rs_f_4","rs_f_5","rs_f_6","rs_f_7","rs_f_8","rs_f_cd_1","rs_f_cd_2","rs_f_cd_3","rs_f_cd_4","rs_f_cd_5","rs_f_cd_6","rs_f_cd_7","rs_f_cd_8","rs_cd_1","rs_cd_2","rs_cd_3","rs_cd_4","rs_cd_5","rs_cd_6","rs_cd_7","rs_cd_8","hps_ck_1","hps_ck_2","hps_ck_3","hps_ck_4","hps_ck_5","hps_ck_6","hps_ck_7","hps_ck_8","hps_f_1","hps_f_2","hps_f_3","hps_f_4","hps_f_5","hps_f_6","hps_f_7","hps_f_8","hps_f_cd_1","hps_f_cd_2","hps_f_cd_3","hps_f_cd_4","hps_f_cd_5","hps_f_cd_6","hps_f_cd_7","hps_f_cd_8","hps_cd_1","hps_cd_2","hps_cd_3","hps_cd_4","hps_cd_5","hps_cd_6","hps_cd_7","hps_cd_8"
"1","Com_1_neg","MS2_name",1.42,341.10892,12,22,11,1.83333333333333,0.916666666666667,"??,??-Trehalose",12640293961.5,13724823752.8,11540372997.4,16137596434.9,10047866766.5,11586156368.1,15393956790.4,12866974853.3,13860785698.3,9951633383.26,8940977475.41,11424310587.7,11390545434.1,11784619830.7,13207056296.8,10743788183.2,9695774184.17,12414111964.1,10504476378.5,13129486620.2,10967114780.1,10891395158.9,10951743123.9,10965263452.4,12606826677.4,11686258339.1,12177010203.8,14346916107.8,13229904128.5,14048826252.5,11868915494,8916138393.91,12854596672.9,13647638622.4,14657386957.5,15100897690.8,12204591386.5,13094002488,17582782209,14189489856.4,8138507410.68,10387390757.8,10940559248.2,10612475238.9,13171067469.5,10759203879.8,12006970707,12648531161,12264219777.1,12485102752.4,11647479771.9,11890810197.8,13036161392.7,5545571119.72,11046515201.2,13670251640,8330172820.38,16894570935.2,17440792104.2,14592927137,12864294783,15584997410.5,13222986652.4,10252799246.4
"2","Com_100_neg","MS2_name",5.975,144.06697,6,11,3,1.83333333333333,0.5,"4-Acetamidobutanoic acid",93619796.3602,95305368.6482,7810098.82759,130048565.363,67280832.3132,82569523.4891,114255603.648,5169670.60191,138275446.303,346218466.548,20919151.1902,129872244.013,80002976.2324,30538950.0228,347874729.958,117318341.591,297371865.967,400115823.816,64394181.8731,20542327.3288,159093789.175,39085017.8993,290716133.928,224257778.216,219666297.193,12671013.624,17492584.5185,96012641.0678,73697786.4753,10446425.4167,9925101.49222,113926080.254,270431983.779,451529040.624,187312560.853,252611252.884,161136775.646,832761989.087,148369791.247,188362537.601,1074764922.98,872283328.412,842616220.637,624768910.631,648255040.493,648440647.838,726101591.826,503726807.983,11098944.3762,353828275.583,789508748.231,513368153.374,372496525.824,216683850.896,418926821.316,478778605.598,808686251.449,347513892.339,204747190.333,401079307.936,442179022.804,304186277.156,354223047.117,425736110.55
"3","Com_10015_pos","MS2_name",9.264,382.29211,25,27,1,1.08,0.04,"Cyclopentyl fentanyl-d5",1126335.54035836,1323761.51882566,863892.818118072,1200371.91726873,696612.379734159,1034734.5911814,665056.993925081,448786.521191457,1046635.72294102,976892.79076009,1412326.45274359,891504.977647158,1284044.07222685,781094.695117862,3300445.94224924,1424007.6428482,611206.425578397,1175402.69064219,1382101.41218167,747551.606611595,1496345.15574138,2044718.83710768,1146331.61096666,1123536.93929101,1208993.933164,887995.670128718,1467230.4320858,962113.837373671,925004.876555112,1285362.05675302,937766.591843561,375225.599663267,1519063.51946628,2084421.51708296,1934206.28229194,1651384.79921078,707224.915914268,1705550.5658852,2109975.54621623,1778784.90650469,1217702.41123186,3891209.06137835,1730780.54594093,1575988.31931077,1656889.13975574,1231854.51771119,838741.999562923,1672167.57377688,1929852.87589072,1331866.13813033,7022003.90451197,3819647.87828497,4817988.33704622,2669856.15915203,5175178.08677304,5912234.72462795,2590316.79698143,5307039.728485,2919015.1232186,2638628.65826341,8942771.29696555,1515855.51951379,2201998.0039781,2478703.52050274
"4","Com_10032_pos","MS2_name",5.887,225.1118,10,18,4,1.8,0.4,"2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid",1725105.99961573,1989950.6378594,2460630.58193551,1200833.83259082,4403258.2500175,1968529.40737013,1822664.66553764,4365176.89026638,10318080.6498315,2582473.30824181,2068149.06031441,3068128.27033798,3077503.07928614,2367537.24398396,2012547.63266641,1042584.26934696,1582727.43008393,1441912.87035871,1716262.55288969,1532016.32507599,2736125.74808253,1766131.8518361,1904010.88144737,1829128.15548563,1921824.47158178,2243893.10529786,2467656.65838329,2160045.52688274,2143202.6662992,2417543.0497148,2025975.55335798,3084711.67516687,546957.900122179,345565.505814101,1304481.26627142,1715124.93975369,2300428.35112541,365684.594385888,1667602.93273369,1285512.67431502,2307536.82324114,1311858.10317711,1465030.37510118,1237364.0011965,1264212.99440721,3785311.15144545,1320959.85478228,2453458.23800077,1437033.0135113,850212.114293479,943109.817928611,822783.765363101,1107772.05245209,661189.052025577,1343437.37885549,1223074.43896528,763098.628752433,918591.642421509,1235030.82971234,940401.33694226,1079038.96429396,1205448.14204144,886149.047632827,933225.562131381
"5","Com_10076_pos","MS2_name",5.271,219.07637,11,10,3,0.909090909090909,0.272727272727273,"4-(3-Methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl)benzoic acid",6499107.6736714,6476620.69660221,6084216.74724645,9842615.0318422,6151677.02609941,4990120.75119883,5201977.72585925,6585227.15890636,5790106.53139113,3968918.17151396,3253598.8327905,5109793.26182635,4301002.59172994,7647438.42805799,8690099.99229722,3783967.31008924,2812741.45016166,5351262.54988506,3240426.66940218,3918823.70714736,4570081.7633696,4317690.58356117,4399740.41637193,4837603.5252351,6322178.26237628,4221272.36371874,7091130.66694976,5157611.90311425,6116820.69956,4028822.61184381,4964585.0794643,2369868.70571941,9161053.95192972,7887930.24054802,10035141.8259585,10662518.2645578,3869541.50977349,9874741.12276382,12648398.6530732,9759541.47833083,5999722.5343016,6362481.78758817,9167483.22430717,6750459.7874039,9703771.08179039,7787609.65258374,10718616.078644,7941095.98917347,8883499.22201529,6031454.6294841,6936566.12803235,4696926.76918856,4971433.35451041,1385599.80488437,4448121.64411077,8784584.36482601,4155636.79305684,8718182.54042778,10141928.6860548,9389099.6853324,8357704.5067537,11776344.0510141,8507469.43710249,4146714.84428608
"6","Com_10094_pos","MS2_name",7.159,453.18802,26,30,8,1.15384615384615,0.307692307692308,"Limonin",2998522.55312992,2442950.43590784,2185651.70958225,11305202.6258731,2882569.62515419,1673970.41561821,2055132.93566143,2177043.38523755,3689588.4278553,2833123.08513142,1432471.93260229,2318899.66595522,3062938.62928064,4189151.06818604,3051742.52672142,2038184.94432353,1573142.71884557,1822557.74275426,4434688.61289119,1648314.8672668,2706536.24146283,1310565.08713494,3203356.60810533,3428913.14783027,2215793.68030295,3037613.77463998,3887262.46809935,2566701.25271724,3968208.2182504,2279178.81464777,1958398.33349656,1174658.37698016,4362011.89668759,3637929.57854475,5319610.95506914,6429480.26682737,2577016.15465601,6402452.58184071,6816723.18358537,3742692.4493663,8264784.77859622,6166293.47126759,5676411.99252276,5104317.52393327,10145529.3505761,4663135.78135304,4507372.33724168,4342093.0024896,6584434.78008248,2581269.36627983,3661106.27902559,1825627.19762867,4668499.81622386,877824.237714235,4134824.63184186,4581960.89340131,2532730.87868892,9633130.13371255,13240051.1923828,11235046.0150422,3762990.96092473,6695546.37900766,5081745.18698214,3871046.36192713
"7","Com_1010_neg","MS1_name",8.43,349.23849,21,34,4,1.61904761904762,0.19047619047619,"MAG (18:4)",40035748.2499,43550754.0002,17746887.2387,100238390.218,28049161.3707,57379482.3524,30245695.8824,41064414.7148,64786236.8846,60233120.0402,23575271.8224,32193644.0842,64225529.4011,72092890.4129,52050939.9703,51684698.4675,22571125.5756,69979585.994,17222576.6664,13429425.2004,39079159.3195,50048339.5706,40814320.5095,35306172.3224,54936314.8706,13972795.4816,19888850.5686,16462541.7206,30016813.1381,18552984.3513,12549437.908,5551626.77717,64015878.2018,55302481.3044,66796531.0055,99108547.9968,24093153.2154,40548859.5821,48402626.0833,53881485.5045,41379096.8718,33760145.5136,98076103.9161,30139435.0152,56610836.6458,29755690.7034,51704159.3543,42133222.2948,54680051.0026,62931228.1299,41911985.3637,57723193.3973,36344496.4362,11534242.3446,37674580.5946,38796256.6953,13610737.793,58663358.6868,36671749.221,35810671.7752,48179058.2951,111207696.683,35943568.9578,19371318.6389
"8","Com_10103_pos","MS2_name",6.792,270.31458,18,39,0,2.16666666666667,0,"Octadecanamine",1553634.3761516,5940032.9564095,2422811.82064472,2786335.04270232,2976920.31928509,2913229.61749461,2246791.75033258,693311.941014127,1803336.27490345,1050740.78306286,662562.019143179,1552717.83804213,3233910.00757757,823828.950498297,4170589.65806717,817898.899562973,940752.669824695,1823085.63943556,1464141.59464389,2141610.50067346,3571359.32425395,1490698.7711201,2993245.90417889,1448687.97371408,2670243.33692252,1347392.55908195,1734615.28973375,3468550.11088253,1110122.17505775,2176648.48925377,2083457.10809859,456514.812090498,4790054.01145001,1965729.24615233,3469971.01043742,1599170.71200552,793222.095323561,1062009.59386039,4129174.19113747,2757583.50723576,1209265.11220525,1725696.26722502,1329957.96565581,3073048.26970024,2520815.52335855,2540312.07942939,3357257.42302621,2033100.670207,1092484.48236226,1281173.04696751,2877897.8368412,2467024.66258285,5389060.88254778,3428610.21123216,2225292.88985757,5784430.83902665,1076722.5874022,9198246.20023751,4094065.3580297,5325224.03665729,3789315.67193706,5266351.73342561,4116732.13283354,2899037.74950169
"9","Com_1011_neg","MS2_name",3.591,344.04074,10,12,7,1.2,0.7,"Guanosine-3',5'-cyclic monophosphate",3906486.1617,3659051.91585,6674814.32931,2507326.92983,1338297.05344,2464204.12398,3167218.25858,3536473.25895,1344537.31279,1044734.18194,1949078.78797,1525486.80974,1540094.75867,838865.23257,1381769.68283,3693765.34168,1496337.81104,621989.454222,786571.040006,2184790.50098,694325.773619,714718.677345,734309.140359,1085928.77505,965568.221284,971474.345062,4790773.40875,934961.556434,526981.678932,1675408.52163,1259068.05308,1322463.02323,263657.42757,294789.801074,642022.698654,230701.539047,1061387.65056,687645.237565,747476.804186,504223.502259,421429.194167,1039399.02311,400018.670184,352410.999046,349574.176245,975881.818594,305897.989239,685950.900321,398290.858289,186132.831121,1310980.07105,305633.804616,1606145.08889,56917641.8289,1811741.23799,768206.164518,24691846.8574,399051.212407,344675.353991,366094.56048,420895.211315,296220.236125,2940914.14882,6437328.60553
"10","Com_10122_pos","MS2_name",6.733,422.26489,24,31,2,1.29166666666667,0.0833333333333333,"Otenzepad",788754.430721413,761272.453222315,657571.863731127,1000485.61370611,726606.964524165,657688.831368717,682250.107086817,728375.639801792,729702.782698395,751350.867548909,649046.612024182,655747.582232652,764208.254487263,848938.062958751,774445.518264148,556349.822737594,684688.24257636,616154.980093698,1002920.81693274,439010.014798354,802693.894709163,498562.896071216,731710.774723374,820298.587369618,740694.710335588,536809.066041515,722536.751780528,487981.523676433,818302.863857426,513925.577141488,570557.374985044,470258.417685685,1096146.4909514,1077204.2213926,999610.916352345,1114340.1841332,531553.409474022,985900.577063752,1054665.87628599,912725.3769678,749839.008176976,645667.702300411,994559.435608573,726966.635913708,886448.767001798,745274.667201638,908574.590912821,809638.753233588,877670.615205678,566408.42928955,726433.825393412,474910.178250169,615909.299848687,3419334.45878498,476340.773995844,761077.103593427,2161949.27559474,1068117.17538909,1106181.70599959,1204556.91446712,744612.696132983,1176988.5960397,818750.260631641,424290.744463276
