Source,Target,Label,inter,cor,p
2337,1012,1,pp,0.898219696,0.002438797
1863,1012,1,pp,0.904761905,0.002008276
2308,1012,1,pp,0.857142857,0.006530017
2165,1012,1,pp,0.874267171,0.004512386
2095,1012,-1,np,-0.85548378,0.00675133
1723,1209,1,pp,0.927778183,0.000891495
2101,1209,1,pp,0.878310066,0.004103934
1720,1209,1,pp,0.850314646,0.007471415
2268,1209,-1,np,-0.970077272,6.55E-05
1791,1209,-1,np,-0.928571429,0.000862968
1801,1209,-1,np,-0.850314646,0.007471415
2334,1209,1,pp,0.838338383,0.009323116
2097,1209,-1,np,-0.891630982,0.002928681
2219,1209,1,pp,0.904761905,0.002008276
1906,1264,-1,np,-0.853912564,0.006965288
1952,1264,1,pp,0.850314646,0.007471415
2225,1264,1,pp,0.857142857,0.006530017
1769,1264,1,pp,0.886243434,0.003373343
2029,1264,-1,np,-0.886243434,0.003373343
1985,1264,1,pp,0.946124747,0.000375312
2224,1264,-1,np,-0.904761905,0.002008276
1997,1264,-1,np,-0.850314646,0.007471415
1981,1264,1,pp,0.853912564,0.006965288
2239,1264,-1,np,-0.867532847,0.005249136
1706,1264,-1,np,-0.850314646,0.007471415
1989,1264,-1,np,-0.857142857,0.006530017
1966,1264,-1,np,-0.904761905,0.002008276
2149,1264,-1,np,-0.904761905,0.002008276
1971,1264,-1,np,-0.880952381,0.00385032
1822,1264,-1,np,-0.970077272,6.55E-05
2015,1264,-1,np,-0.922172222,0.001110817
1883,1264,-1,np,-0.915729116,0.001403174
1787,1264,-1,np,-0.898219696,0.002438797
2267,1264,-1,np,-0.878310066,0.004103934
2139,1264,1,pp,0.857142857,0.006530017
2022,71,1,pp,0.850314646,0.007471415
2169,71,1,pp,0.847024363,0.007954271
2217,71,1,pp,0.880952381,0.00385032
2050,71,1,pp,0.951876318,0.000268663
1809,1512,1,pp,0.920678655,0.001174651
2018,1512,-1,np,-0.898219696,0.002438797
2303,1512,-1,np,-0.886243434,0.003373343
1837,1512,-1,np,-0.928571429,0.000862968
2208,1512,1,pp,0.904761905,0.002008276
2211,1512,1,pp,0.927778183,0.000891495
1877,1512,1,pp,0.886243434,0.003373343
2192,1512,1,pp,0.928571429,0.000862968
2064,1512,1,pp,0.874267171,0.004512386
2172,1512,1,pp,0.904761905,0.002008276
1894,1512,-1,np,-0.886243434,0.003373343
1817,1512,-1,np,-0.874267171,0.004512386
2072,1355,-1,np,-0.934148484,0.000679106
2005,1355,-1,np,-0.934148484,0.000679106
1729,1355,-1,np,-0.898219696,0.002438797
1925,1355,-1,np,-0.910195959,0.001690861
2057,1355,-1,np,-0.857142857,0.006530017
