Source,Target,Label,inter,cor,p
2128,1013,1,pp,0.952380952,0.0002604
1981,1013,1,pp,0.970077272,6.55E-05
1900,1013,1,pp,0.853912564,0.006965288
2076,1013,1,pp,0.874267171,0.004512386
1822,1013,1,pp,0.976190476,3.31E-05
2117,1013,-1,np,-0.874267171,0.004512386
1920,1013,1,pp,0.970077272,6.55E-05
1657,1013,1,pp,0.922172222,0.001110817
2096,1013,1,pp,0.857142857,0.006530017
1998,1013,1,pp,0.898219696,0.002438797
1728,1013,-1,np,-0.862290909,0.005872991
2314,1212,-1,np,-0.879581914,0.003980559
1774,1212,-1,np,-0.860748345,0.006065193
2176,1212,-1,np,-0.857142857,0.006530017
2138,1212,-1,np,-0.850314646,0.007471415
1965,1212,1,pp,0.904761905,0.002008276
2140,1212,-1,np,-0.910195959,0.001690861
1696,1267,-1,np,-0.910195959,0.001690861
1911,1267,-1,np,-0.898219696,0.002438797
2337,1267,-1,np,-0.874267171,0.004512386
1666,1267,-1,np,-0.951502571,0.000274893
2117,1267,1,pp,0.850314646,0.007471415
1953,1267,-1,np,-0.880952381,0.00385032
1710,1267,-1,np,-0.862290909,0.005872991
2189,1267,-1,np,-0.902707567,0.002137647
2313,1267,-1,np,-0.880952381,0.00385032
2090,1267,-1,np,-0.910195959,0.001690861
1973,1267,-1,np,-0.874267171,0.004512386
1703,1267,-1,np,-0.910195959,0.001690861
2058,1267,-1,np,-0.880952381,0.00385032
1905,1267,-1,np,-0.850314646,0.007471415
2097,1267,-1,np,-0.857142857,0.006530017
1887,1267,-1,np,-0.976190476,3.31E-05
1988,1267,1,pp,0.853912564,0.006965288
1911,71,-1,np,-0.850314646,0.007471415
2275,71,-1,np,-0.850314646,0.007471415
1846,71,1,pp,0.850314646,0.007471415
2090,71,-1,np,-0.838338383,0.009323116
2058,71,-1,np,-0.904761905,0.002008276
1650,71,1,pp,0.857142857,0.006530017
2284,1513,1,pp,0.857142857,0.006530017
2195,1513,-1,np,-0.902707567,0.002137647
1734,1513,-1,np,-0.843434712,0.008503234
1768,1513,1,pp,0.898219696,0.002438797
2271,1513,-1,np,-0.857142857,0.006530017
2249,1513,-1,np,-0.891630982,0.002928681
1748,1357,-1,np,-0.891630982,0.002928681
2042,1357,1,pp,0.847024363,0.007954271
1785,1357,-1,np,-0.898219696,0.002438797
1884,1357,-1,np,-0.862290909,0.005872991
1706,1357,-1,np,-0.838338383,0.009323116
2140,1357,-1,np,-0.838338383,0.009323116
1726,1628,-1,np,-0.976190476,3.31E-05
2157,1628,1,pp,0.886243434,0.003373343
2189,1628,-1,np,-0.927105069,0.00091618
1973,1628,-1,np,-0.862290909,0.005872991
2009,1628,-1,np,-0.928571429,0.000862968
1947,1628,-1,np,-0.904761905,0.002008276
2055,1628,-1,np,-0.922172222,0.001110817
2185,1628,-1,np,-0.859300078,0.006249269
2097,1628,-1,np,-0.880952381,0.00385032
1911,916,1,pp,0.850314646,0.007471415
2337,916,1,pp,0.922172222,0.001110817
1666,916,1,pp,0.902707567,0.002137647
2189,916,1,pp,0.878310066,0.004103934
2313,916,1,pp,0.857142857,0.006530017
1973,916,1,pp,0.898219696,0.002438797
2009,916,1,pp,0.904761905,0.002008276
1703,916,1,pp,0.898219696,0.002438797
2185,916,1,pp,0.834748647,0.009929687
2058,916,1,pp,0.857142857,0.006530017
2097,916,1,pp,0.952380952,0.0002604
1887,916,1,pp,0.904761905,0.002008276
2071,1400,1,pp,0.891630982,0.002928681
2300,1400,1,pp,0.850314646,0.007471415
2155,1400,-1,np,-0.902707567,0.002137647
1656,1400,-1,np,-0.853912564,0.006965288
2027,1400,1,pp,0.857142857,0.006530017
2252,1400,-1,np,-0.922172222,0.001110817
2203,1400,1,pp,0.857142857,0.006530017
2056,1400,-1,np,-0.898219696,0.002438797
2179,1575,1,pp,0.850314646,0.007471415
2339,1575,-1,np,-0.928571429,0.000862968
1706,1575,-1,np,-0.898219696,0.002438797
2054,1575,1,pp,0.853912564,0.006965288
1911,780,1,pp,0.886243434,0.003373343
2337,780,1,pp,0.838338383,0.009323116
1666,780,1,pp,0.853912564,0.006965288
1790,780,-1,np,-0.898219696,0.002438797
1806,780,1,pp,0.838338383,0.009323116
2296,780,1,pp,0.850314646,0.007471415
2009,780,1,pp,0.857142857,0.006530017
2058,780,1,pp,0.904761905,0.002008276
2097,780,1,pp,0.976190476,3.31E-05
1887,780,1,pp,0.880952381,0.00385032
1704,1555,-1,np,-0.857142857,0.006530017
1689,1555,1,pp,0.898219696,0.002438797
1936,1555,1,pp,0.857142857,0.006530017
2292,1555,1,pp,0.903680049,0.002075752
2177,1555,-1,np,-0.880952381,0.00385032
1658,61,1,pp,0.880952381,0.00385032
1942,61,1,pp,0.970077272,6.55E-05
2165,61,-1,np,-0.850314646,0.007471415
1780,61,1,pp,0.969781517,6.74E-05
2040,61,1,pp,0.843434712,0.008503234
2124,1287,-1,np,-0.857142857,0.006530017
1911,1287,-1,np,-0.886243434,0.003373343
2221,1287,-1,np,-0.85548378,0.00675133
2069,1287,-1,np,-0.850314646,0.007471415
1666,1287,-1,np,-0.927105069,0.00091618
1710,1287,-1,np,-0.838338383,0.009323116
2296,1287,-1,np,-0.850314646,0.007471415
2058,1287,-1,np,-0.928571429,0.000862968
2097,1287,-1,np,-0.904761905,0.002008276
1887,1287,-1,np,-0.880952381,0.00385032
1988,1287,1,pp,0.951502571,0.000274893
1986,1554,1,pp,0.898219696,0.002438797
2008,1554,-1,np,-0.857142857,0.006530017
1828,1554,1,pp,0.951876318,0.000268663
1649,1554,-1,np,-0.928571429,0.000862968
1725,1554,-1,np,-0.874267171,0.004512386
2003,1060,-1,np,-0.910195959,0.001690861
1758,1060,-1,np,-0.862290909,0.005872991
1739,1060,1,pp,0.934148484,0.000679106
2195,1060,1,pp,0.902707567,0.002137647
1958,1060,-1,np,-0.880952381,0.00385032
1881,1060,-1,np,-0.880952381,0.00385032
1897,1060,1,pp,0.904761905,0.002008276
1816,1060,1,pp,0.874267171,0.004512386
1961,1060,1,pp,0.862488692,0.005848633
1662,1060,1,pp,0.898219696,0.002438797
2048,1060,1,pp,0.880952381,0.00385032
2253,935,1,pp,0.838338383,0.009323116
1759,935,1,pp,0.862290909,0.005872991
1680,935,-1,np,-0.850314646,0.007471415
1712,935,1,pp,0.910195959,0.001690861
1797,935,1,pp,0.896127224,0.00258811
2234,935,-1,np,-0.860748345,0.006065193
1649,935,-1,np,-0.904761905,0.002008276
2212,935,1,pp,0.922172222,0.001110817
1901,935,-1,np,-0.853912564,0.006965288
2033,935,-1,np,-0.853912564,0.006965288
