Source,Target,Label,inter,cor,p
753,520,1,pp,0.843434712,0.008503234
745,549,1,pp,0.857142857,0.006530017
721,31,1,pp,0.878310066,0.004103934
728,31,-1,np,-0.880952381,0.00385032
711,706,1,pp,0.853912564,0.006965288
749,28,1,pp,0.904761905,0.002008276
745,28,1,pp,0.880952381,0.00385032
729,673,1,pp,0.850314646,0.007471415
732,673,-1,np,-0.928571429,0.000862968
749,673,-1,np,-0.904761905,0.002008276
744,673,-1,np,-0.880952381,0.00385032
730,289,-1,np,-0.904761905,0.002008276
728,289,-1,np,-0.857142857,0.006530017
748,289,1,pp,0.963925385,0.000114214
755,289,-1,np,-0.928571429,0.000862968
740,289,-1,np,-0.952380952,0.0002604
745,289,-1,np,-0.857142857,0.006530017
754,289,1,pp,0.904761905,0.002008276
732,443,-1,np,-0.880952381,0.00385032
756,443,1,pp,0.843434712,0.008503234
745,443,-1,np,-0.928571429,0.000862968
729,8,1,pp,0.862290909,0.005872991
713,234,-1,np,-0.850314646,0.007471415
713,56,-1,np,-0.886243434,0.003373343
717,16,-1,np,-0.857142857,0.006530017
729,16,-1,np,-0.898219696,0.002438797
734,83,1,pp,0.928571429,0.000862968
714,83,1,pp,0.904761905,0.002008276
756,20,-1,np,-0.85548378,0.00675133
756,343,-1,np,-0.927778183,0.000891495
743,625,1,pp,0.915729116,0.001403174
732,136,1,pp,0.880952381,0.00385032
749,136,1,pp,0.857142857,0.006530017
744,136,1,pp,0.857142857,0.006530017
726,683,-1,np,-0.834748647,0.009929687
714,683,-1,np,-0.880952381,0.00385032
730,260,-1,np,-0.952380952,0.0002604
755,260,-1,np,-0.928571429,0.000862968
745,260,-1,np,-0.857142857,0.006530017
731,260,-1,np,-0.880952381,0.00385032
756,430,-1,np,-0.891630982,0.002928681
729,211,-1,np,-0.874267171,0.004512386
752,561,1,pp,0.868376055,0.005152949
732,23,1,pp,0.904761905,0.002008276
749,23,1,pp,0.880952381,0.00385032
716,21,-1,np,-0.850314646,0.007471415
736,659,1,pp,0.880952381,0.00385032
746,82,-1,np,-0.883851509,0.003583935
738,82,1,pp,0.834748647,0.009929687
714,437,-1,np,-0.857142857,0.006530017
729,11,1,pp,0.874267171,0.004512386
732,11,-1,np,-0.928571429,0.000862968
737,463,1,pp,0.934148484,0.000679106
713,352,-1,np,-0.946124747,0.000375312
746,352,-1,np,-0.847024363,0.007954271
711,352,1,pp,0.878310066,0.004103934
732,690,1,pp,0.880952381,0.00385032
734,139,1,pp,0.928571429,0.000862968
756,626,-1,np,-0.903680049,0.002075752
722,460,-1,np,-0.860748345,0.006065193
756,460,-1,np,-0.85548378,0.00675133
723,81,1,pp,0.904761905,0.002008276
722,127,1,pp,0.957734074,0.000182828
756,288,-1,np,-0.843434712,0.008503234
711,17,1,pp,0.951502571,0.000274893
735,474,1,pp,0.879581914,0.003980559
750,53,-1,np,-0.857142857,0.006530017
729,278,-1,np,-0.850314646,0.007471415
714,297,-1,np,-0.904761905,0.002008276
756,297,-1,np,-0.843434712,0.008503234
732,402,1,pp,0.880952381,0.00385032
753,261,1,pp,0.963925385,0.000114214
732,89,1,pp,0.928571429,0.000862968
753,478,-1,np,-0.891630982,0.002928681
726,193,1,pp,0.896127224,0.00258811
712,193,1,pp,0.874267171,0.004512386
748,193,1,pp,0.951876318,0.000268663
740,193,-1,np,-0.880952381,0.00385032
729,476,-1,np,-0.922172222,0.001110817
732,476,1,pp,0.857142857,0.006530017
750,26,-1,np,-0.880952381,0.00385032
749,140,1,pp,0.857142857,0.006530017
744,140,1,pp,0.904761905,0.002008276
732,513,1,pp,0.880952381,0.00385032
756,513,-1,np,-0.843434712,0.008503234
745,513,1,pp,0.928571429,0.000862968
732,180,1,pp,0.857142857,0.006530017
732,328,1,pp,0.904761905,0.002008276
716,405,-1,np,-0.850314646,0.007471415
719,330,-1,np,-0.874267171,0.004512386
717,666,1,pp,0.904761905,0.002008276
730,416,-1,np,-0.857142857,0.006530017
749,416,-1,np,-0.952380952,0.0002604
745,416,-1,np,-0.857142857,0.006530017
716,477,1,pp,0.850314646,0.007471415
728,226,-1,np,-0.880952381,0.00385032
745,226,-1,np,-0.904761905,0.002008276
750,90,-1,np,-0.904761905,0.002008276
741,677,-1,np,-0.843434712,0.008503234
721,594,-1,np,-0.853912564,0.006965288
728,223,-1,np,-0.880952381,0.00385032
745,223,-1,np,-0.904761905,0.002008276
737,610,-1,np,-0.838338383,0.009323116
732,126,-1,np,-0.928571429,0.000862968
744,126,-1,np,-0.904761905,0.002008276
738,685,-1,np,-0.883851509,0.003583935
721,496,-1,np,-0.853912564,0.006965288
736,496,1,pp,0.880952381,0.00385032
730,155,-1,np,-0.880952381,0.00385032
728,155,-1,np,-0.928571429,0.000862968
755,155,-1,np,-0.952380952,0.0002604
745,155,-1,np,-0.976190476,3.31E-05
731,155,-1,np,-0.857142857,0.006530017
729,622,1,pp,0.850314646,0.007471415
749,622,-1,np,-0.880952381,0.00385032
744,622,-1,np,-0.976190476,3.31E-05
716,591,1,pp,0.850314646,0.007471415
715,650,-1,np,-0.880952381,0.00385032
739,650,-1,np,-0.850314646,0.007471415
749,704,-1,np,-0.904761905,0.002008276
744,704,-1,np,-0.880952381,0.00385032
728,133,-1,np,-0.880952381,0.00385032
755,133,-1,np,-0.857142857,0.006530017
756,133,1,pp,0.891630982,0.002928681
745,133,-1,np,-0.976190476,3.31E-05
721,530,-1,np,-0.853912564,0.006965288
756,168,-1,np,-0.879581914,0.003980559
721,433,-1,np,-0.902707567,0.002137647
749,219,-1,np,-0.857142857,0.006530017
728,154,-1,np,-0.880952381,0.00385032
755,154,-1,np,-0.857142857,0.006530017
756,154,1,pp,0.915729116,0.001403174
745,154,-1,np,-0.928571429,0.000862968
728,340,-1,np,-0.880952381,0.00385032
755,340,-1,np,-0.857142857,0.006530017
756,340,1,pp,0.915729116,0.001403174
745,340,-1,np,-0.928571429,0.000862968
732,680,-1,np,-0.928571429,0.000862968
715,251,1,pp,0.904761905,0.002008276
752,251,-1,np,-0.855605819,0.00673489
750,345,-1,np,-0.857142857,0.006530017
750,347,-1,np,-0.904761905,0.002008276
724,638,-1,np,-0.904761905,0.002008276
732,412,1,pp,0.880952381,0.00385032
756,412,-1,np,-0.843434712,0.008503234
745,412,1,pp,0.928571429,0.000862968
734,108,1,pp,0.904761905,0.002008276
756,489,-1,np,-0.951876318,0.000268663
741,503,1,pp,0.891630982,0.002928681
744,703,-1,np,-0.904761905,0.002008276
733,495,-1,np,-0.838338383,0.009323116
722,500,1,pp,0.909241209,0.001744075
749,194,1,pp,0.904761905,0.002008276
739,582,1,pp,0.850314646,0.007471415
