Source,Target,Label,inter,cor,p
183,128,-1,np,-0.850314646,0.007471415
187,128,-1,np,-0.857142857,0.006530017
184,169,-1,np,-0.928571429,0.000862968
177,6,1,pp,0.857142857,0.006530017
186,6,-1,np,-0.95810101,0.000178157
181,23,-1,np,-0.976190476,3.31E-05
182,79,-1,np,-0.857142857,0.006530017
181,158,-1,np,-0.880952381,0.00385032
186,26,1,pp,0.874267171,0.004512386
186,165,1,pp,0.886243434,0.003373343
181,164,-1,np,-0.904761905,0.002008276
183,22,-1,np,-0.850314646,0.007471415
185,107,-1,np,-0.857142857,0.006530017
181,110,-1,np,-0.880952381,0.00385032
182,1,-1,np,-0.952380952,0.0002604
188,62,-1,np,-0.880952381,0.00385032
181,65,1,pp,0.904761905,0.002008276
182,51,-1,np,-0.857142857,0.006530017
181,40,1,pp,0.904761905,0.002008276
181,157,1,pp,0.904761905,0.002008276
184,151,-1,np,-0.880952381,0.00385032
177,130,1,pp,0.857142857,0.006530017
182,83,-1,np,-0.904761905,0.002008276
177,105,1,pp,0.857142857,0.006530017
186,105,-1,np,-0.95810101,0.000178157
188,168,1,pp,0.880952381,0.00385032
188,19,-1,np,-0.880952381,0.00385032
178,81,1,pp,0.838338383,0.009323116
178,31,1,pp,0.862290909,0.005872991
178,173,1,pp,0.886243434,0.003373343
178,143,1,pp,0.850314646,0.007471415
182,66,-1,np,-0.904761905,0.002008276
180,82,-1,np,-0.847024363,0.007954271
180,92,1,pp,0.945230086,0.000394052
179,99,-1,np,-0.857142857,0.006530017
185,99,1,pp,0.857142857,0.006530017
180,146,1,pp,0.834748647,0.009929687
181,29,1,pp,0.952380952,0.0002604
186,45,-1,np,-0.910195959,0.001690861
181,58,-1,np,-0.952380952,0.0002604
178,54,-1,np,-0.874267171,0.004512386
186,54,-1,np,-0.850314646,0.007471415
182,21,-1,np,-0.857142857,0.006530017
181,9,-1,np,-0.904761905,0.002008276
186,93,1,pp,0.874267171,0.004512386
182,56,-1,np,-0.904761905,0.002008276
177,63,1,pp,0.904761905,0.002008276
186,71,1,pp,0.898219696,0.002438797
177,141,1,pp,0.904761905,0.002008276
186,141,-1,np,-0.898219696,0.002438797
183,90,-1,np,-0.850314646,0.007471415
176,39,1,pp,0.874267171,0.004512386
181,88,-1,np,-0.904761905,0.002008276
179,171,-1,np,-0.880952381,0.00385032
186,162,1,pp,0.886243434,0.003373343
182,156,-1,np,-0.857142857,0.006530017
185,34,1,pp,0.904761905,0.002008276
181,8,-1,np,-0.976190476,3.31E-05
182,121,1,pp,0.904761905,0.002008276
187,33,1,pp,0.880952381,0.00385032
181,89,1,pp,0.880952381,0.00385032
179,123,-1,np,-0.857142857,0.006530017
182,87,-1,np,-0.904761905,0.002008276
182,161,-1,np,-0.928571429,0.000862968
182,50,1,pp,0.857142857,0.006530017
179,5,1,pp,0.928571429,0.000862968
181,4,-1,np,-0.857142857,0.006530017
181,102,1,pp,0.880952381,0.00385032
176,122,1,pp,0.850314646,0.007471415
183,49,1,pp,0.898219696,0.002438797
182,149,-1,np,-0.857142857,0.006530017
181,131,1,pp,0.904761905,0.002008276
182,28,-1,np,-0.928571429,0.000862968
182,126,-1,np,-0.880952381,0.00385032
182,13,-1,np,-0.857142857,0.006530017
180,140,-1,np,-0.834748647,0.009929687
179,155,-1,np,-0.880952381,0.00385032
176,106,-1,np,-0.922172222,0.001110817
186,106,-1,np,-0.850314646,0.007471415
187,10,1,pp,0.857142857,0.006530017
183,91,-1,np,-0.874267171,0.004512386
177,55,1,pp,0.857142857,0.006530017
177,170,1,pp,0.904761905,0.002008276
183,152,-1,np,-0.850314646,0.007471415
182,61,-1,np,-0.857142857,0.006530017
183,127,-1,np,-0.922172222,0.001110817
187,127,-1,np,-0.857142857,0.006530017
185,147,-1,np,-0.880952381,0.00385032
176,111,-1,np,-0.862290909,0.005872991
188,38,-1,np,-0.904761905,0.002008276
184,32,-1,np,-0.904761905,0.002008276
183,144,1,pp,0.934148484,0.000679106
176,57,1,pp,0.898219696,0.002438797
183,124,-1,np,-0.850314646,0.007471415
181,69,1,pp,0.880952381,0.00385032
178,12,1,pp,0.898219696,0.002438797
186,117,1,pp,0.898219696,0.002438797
181,101,-1,np,-0.857142857,0.006530017
181,133,1,pp,0.880952381,0.00385032
179,25,-1,np,-0.880952381,0.00385032
185,25,1,pp,0.904761905,0.002008276
177,142,1,pp,0.880952381,0.00385032
177,115,1,pp,0.904761905,0.002008276
186,72,1,pp,0.922172222,0.001110817
184,97,-1,np,-0.928571429,0.000862968
188,2,1,pp,0.904761905,0.002008276
176,159,-1,np,-0.934148484,0.000679106
176,175,1,pp,0.898219696,0.002438797
177,68,1,pp,0.857142857,0.006530017
182,68,-1,np,-0.880952381,0.00385032
180,37,1,pp,0.969781517,6.74E-05
187,27,-1,np,-0.928571429,0.000862968
183,48,-1,np,-0.838338383,0.009323116
187,172,-1,np,-0.880952381,0.00385032
179,135,-1,np,-0.928571429,0.000862968
185,135,1,pp,0.857142857,0.006530017
180,46,-1,np,-0.847024363,0.007954271
