Source,Target,Label,inter,cor,p
2090,1014,1,pp,0.838338383,0.009323116
2030,1014,1,pp,0.847024363,0.007954271
1839,1014,-1,np,-0.853912564,0.006965288
1971,1014,-1,np,-0.850314646,0.007471415
2247,1014,-1,np,-0.902707567,0.002137647
2165,1014,1,pp,0.879581914,0.003980559
1990,1014,-1,np,-0.843434712,0.008503234
1784,1014,-1,np,-0.880952381,0.00385032
1655,1213,-1,np,-0.952380952,0.0002604
2291,1213,1,pp,0.880952381,0.00385032
2220,1213,-1,np,-0.838338383,0.009323116
2320,1213,-1,np,-0.857142857,0.006530017
2203,1213,1,pp,0.904761905,0.002008276
1724,1213,1,pp,0.898219696,0.002438797
1791,1213,1,pp,0.850314646,0.007471415
1930,1213,1,pp,0.857142857,0.006530017
2026,1213,1,pp,0.898219696,0.002438797
1684,1213,1,pp,0.838338383,0.009323116
2057,1213,1,pp,0.880952381,0.00385032
1785,1213,1,pp,0.880952381,0.00385032
2015,1268,-1,np,-0.838338383,0.009323116
1976,1268,1,pp,0.904761905,0.002008276
1940,1268,1,pp,0.838338383,0.009323116
1735,1268,1,pp,0.862290909,0.005872991
2184,1268,1,pp,0.898219696,0.002438797
2199,1268,1,pp,0.855605819,0.00673489
1977,1268,1,pp,0.857142857,0.006530017
2030,71,-1,np,-0.834748647,0.009929687
1947,71,1,pp,0.857142857,0.006530017
2078,71,1,pp,0.891630982,0.002928681
1839,71,1,pp,0.853912564,0.006965288
2316,71,1,pp,0.975900073,3.44E-05
2247,71,1,pp,0.927105069,0.00091618
1995,71,1,pp,0.837121378,0.009526041
2102,71,-1,np,-0.886243434,0.003373343
2069,1516,1,pp,0.915729116,0.001403174
1964,1516,-1,np,-0.902707567,0.002137647
1727,1516,1,pp,0.904761905,0.002008276
2253,1516,1,pp,0.857142857,0.006530017
2160,1516,1,pp,0.85548378,0.00675133
1762,1516,1,pp,0.843434712,0.008503234
1769,1516,1,pp,0.867532847,0.005249136
1972,1516,-1,np,-0.862290909,0.005872991
2200,1516,1,pp,0.857142857,0.006530017
1664,1516,-1,np,-0.850314646,0.007471415
2152,1516,-1,np,-0.891630982,0.002928681
1919,1359,1,pp,0.896127224,0.00258811
1884,1359,1,pp,0.951502571,0.000274893
2314,1359,1,pp,0.933487642,0.000699402
1794,1359,1,pp,0.853912564,0.006965288
2060,1359,1,pp,0.933487642,0.000699402
2106,1359,1,pp,0.928571429,0.000862968
1753,1359,1,pp,0.880952381,0.00385032
2112,1359,1,pp,0.946124747,0.000375312
2178,1359,1,pp,0.904761905,0.002008276
2198,1359,1,pp,0.857142857,0.006530017
1746,1631,1,pp,0.886243434,0.003373343
1970,1631,1,pp,0.951876318,0.000268663
2326,1631,1,pp,0.879581914,0.003980559
1762,1631,1,pp,0.843434712,0.008503234
1814,1631,-1,np,-0.857142857,0.006530017
2155,1631,1,pp,0.862290909,0.005872991
2275,1631,1,pp,0.904761905,0.002008276
2348,1631,1,pp,0.880952381,0.00385032
2131,1631,-1,np,-0.857142857,0.006530017
2128,1631,-1,np,-0.880952381,0.00385032
1672,1631,1,pp,0.857142857,0.006530017
1971,917,-1,np,-0.874267171,0.004512386
1814,917,1,pp,0.857142857,0.006530017
1972,917,1,pp,0.898219696,0.002438797
1672,917,-1,np,-0.880952381,0.00385032
2173,917,-1,np,-0.878310066,0.004103934
2151,917,1,pp,0.898219696,0.002438797
1746,1402,1,pp,0.886243434,0.003373343
1765,1402,-1,np,-0.920678655,0.001174651
2348,1402,1,pp,0.857142857,0.006530017
1954,1402,1,pp,0.880952381,0.00385032
1989,1402,1,pp,0.843434712,0.008503234
1857,1402,1,pp,0.904761905,0.002008276
1728,1578,-1,np,-0.898219696,0.002438797
1678,1578,1,pp,0.946124747,0.000375312
1937,1578,-1,np,-0.963925385,0.000114214
2055,1578,-1,np,-0.857142857,0.006530017
2205,1578,-1,np,-0.838338383,0.009323116
1975,1578,-1,np,-0.880952381,0.00385032
1971,781,-1,np,-0.850314646,0.007471415
2173,781,-1,np,-0.902707567,0.002137647
2151,781,1,pp,0.886243434,0.003373343
2257,1558,1,pp,0.970077272,6.55E-05
1807,1558,1,pp,0.934148484,0.000679106
2336,1558,1,pp,0.850314646,0.007471415
1828,1558,1,pp,0.904761905,0.002008276
2304,1558,1,pp,0.857142857,0.006530017
2116,1558,1,pp,0.915729116,0.001403174
2256,1558,-1,np,-0.838338383,0.009323116
2280,1558,-1,np,-0.927105069,0.00091618
2287,1558,-1,np,-0.850314646,0.007471415
2018,1558,1,pp,0.922172222,0.001110817
2032,1558,-1,np,-0.946124747,0.000375312
2010,1558,-1,np,-0.963925385,0.000114214
1780,1558,-1,np,-0.970077272,6.55E-05
2176,61,-1,np,-0.838338383,0.009323116
2038,61,1,pp,0.976190476,3.31E-05
2261,61,-1,np,-0.857142857,0.006530017
2013,1288,1,pp,0.898219696,0.002438797
1996,1288,-1,np,-0.952380952,0.0002604
2084,1288,1,pp,0.903680049,0.002075752
2256,1288,1,pp,0.95810101,0.000178157
2274,1288,1,pp,0.838338383,0.009323116
1921,1288,1,pp,0.904761905,0.002008276
2283,1288,-1,np,-0.874267171,0.004512386
1661,1288,-1,np,-0.928571429,0.000862968
2174,1288,-1,np,-0.922172222,0.001110817
1779,1288,1,pp,0.910195959,0.001690861
1645,1557,1,pp,0.874267171,0.004512386
1750,1557,-1,np,-0.904761905,0.002008276
1976,1557,-1,np,-0.857142857,0.006530017
2016,1557,-1,np,-0.904761905,0.002008276
2206,1557,1,pp,0.904761905,0.002008276
1993,1557,1,pp,0.850314646,0.007471415
2284,1557,1,pp,0.934148484,0.000679106
1860,1557,-1,np,-0.945230086,0.000394052
2145,1557,1,pp,0.976190476,3.31E-05
1877,1557,-1,np,-0.880952381,0.00385032
2281,1061,-1,np,-0.857142857,0.006530017
2192,1061,1,pp,0.857142857,0.006530017
2291,1061,-1,np,-0.857142857,0.006530017
1665,1061,-1,np,-0.857142857,0.006530017
2202,1061,-1,np,-0.857142857,0.006530017
1721,1061,-1,np,-0.904761905,0.002008276
1899,1061,-1,np,-0.904761905,0.002008276
2300,1061,-1,np,-0.850314646,0.007471415
2030,1061,1,pp,0.932954371,0.000716066
1947,1061,-1,np,-0.880952381,0.00385032
2078,1061,-1,np,-0.927778183,0.000891495
1839,1061,-1,np,-0.853912564,0.006965288
1929,1061,1,pp,0.838338383,0.009323116
1896,1061,-1,np,-0.946124747,0.000375312
2316,1061,-1,np,-0.878310066,0.004103934
2247,1061,-1,np,-0.878310066,0.004103934
1778,1061,-1,np,-0.838338383,0.009323116
1995,1061,-1,np,-0.938590635,0.000552616
1785,1061,-1,np,-0.952380952,0.0002604
2102,1061,1,pp,0.886243434,0.003373343
1652,1061,-1,np,-0.970077272,6.55E-05
1811,936,1,pp,0.850314646,0.007471415
2229,936,-1,np,-0.886243434,0.003373343
1955,936,-1,np,-0.904761905,0.002008276
1833,936,-1,np,-0.838338383,0.009323116
1929,936,1,pp,0.850314646,0.007471415
2351,936,-1,np,-0.880952381,0.00385032
1657,936,-1,np,-0.898219696,0.002438797
2023,936,-1,np,-0.915729116,0.001403174
1870,936,1,pp,0.850314646,0.007471415
1854,936,-1,np,-0.928571429,0.000862968
1755,936,-1,np,-0.838338383,0.009323116
1767,936,1,pp,0.963925385,0.000114214
2263,936,1,pp,0.886243434,0.003373343
1877,936,-1,np,-0.880952381,0.00385032
2140,936,1,pp,0.915729116,0.001403174
1806,666,-1,np,-0.874267171,0.004512386
1777,666,1,pp,0.838338383,0.009323116
2079,666,1,pp,0.886243434,0.003373343
1924,666,-1,np,-0.922172222,0.001110817
2085,666,1,pp,0.85548378,0.00675133
1919,1036,1,pp,0.945230086,0.000394052
1884,1036,1,pp,0.902707567,0.002137647
2060,1036,1,pp,0.860748345,0.006065193
1883,1036,1,pp,0.874267171,0.004512386
2112,1036,1,pp,0.898219696,0.002438797
2178,1036,1,pp,0.952380952,0.0002604
1712,1036,1,pp,0.970077272,6.55E-05
1833,1199,1,pp,0.886243434,0.003373343
2016,1199,1,pp,0.880952381,0.00385032
1762,1199,1,pp,0.879581914,0.003980559
1814,1199,-1,np,-0.857142857,0.006530017
2001,1199,1,pp,0.874267171,0.004512386
2348,1199,1,pp,0.857142857,0.006530017
1769,1199,1,pp,0.951876318,0.000268663
2131,1199,-1,np,-0.952380952,0.0002604
2023,1199,1,pp,0.843434712,0.008503234
2284,1199,-1,np,-0.898219696,0.002438797
1870,1199,-1,np,-0.970077272,6.55E-05
2237,1199,-1,np,-0.904761905,0.002008276
1923,1199,-1,np,-0.850314646,0.007471415
2140,1199,-1,np,-0.903680049,0.002075752
1809,18,-1,np,-0.862290909,0.005872991
1847,18,1,pp,0.878310066,0.004103934
2158,18,-1,np,-0.857142857,0.006530017
2186,18,1,pp,0.928571429,0.000862968
1757,18,1,pp,0.884994777,0.003482252
2112,18,1,pp,0.850314646,0.007471415
1665,70,1,pp,0.857142857,0.006530017
1721,70,1,pp,0.928571429,0.000862968
1898,70,1,pp,0.970077272,6.55E-05
2191,70,-1,np,-0.857142857,0.006530017
2073,70,-1,np,-0.886243434,0.003373343
1947,70,1,pp,0.880952381,0.00385032
2351,70,1,pp,0.880952381,0.00385032
2159,70,1,pp,0.862290909,0.005872991
1896,70,1,pp,0.898219696,0.002438797
2331,70,1,pp,0.850314646,0.007471415
2342,70,1,pp,0.857142857,0.006530017
2103,70,-1,np,-0.850314646,0.007471415
1849,70,-1,np,-0.857142857,0.006530017
2102,70,-1,np,-0.862290909,0.005872991
1652,70,1,pp,0.874267171,0.004512386
1788,70,-1,np,-0.874267171,0.004512386
1723,70,-1,np,-0.880952381,0.00385032
1716,1346,1,pp,0.853912564,0.006965288
2176,1346,1,pp,0.862290909,0.005872991
2038,1346,-1,np,-0.880952381,0.00385032
2320,539,1,pp,0.880952381,0.00385032
2203,539,-1,np,-0.928571429,0.000862968
1724,539,-1,np,-0.95810101,0.000178157
1684,539,-1,np,-0.910195959,0.001690861
1686,539,-1,np,-0.886243434,0.003373343
2057,539,-1,np,-1,0
1750,1501,-1,np,-0.904761905,0.002008276
1853,1501,1,pp,0.880952381,0.00385032
2206,1501,1,pp,0.857142857,0.006530017
1993,1501,1,pp,0.934148484,0.000679106
2284,1501,1,pp,0.898219696,0.002438797
