Source,Target,Label,inter,cor,p
2125,1011,-1,np,-0.898219696,0.002438797
2233,1011,-1,np,-0.857142857,0.006530017
2246,1011,-1,np,-0.879581914,0.003980559
1776,1011,-1,np,-0.922172222,0.001110817
1928,1011,-1,np,-0.904761905,0.002008276
1669,1011,-1,np,-0.843434712,0.008503234
1784,1011,-1,np,-0.838338383,0.009323116
1779,1011,1,pp,0.891630982,0.002928681
1980,1210,1,pp,0.857142857,0.006530017
2214,1210,1,pp,0.915729116,0.001403174
1951,1210,1,pp,0.878310066,0.004103934
2192,1210,1,pp,0.910195959,0.001690861
1807,1210,1,pp,0.898219696,0.002438797
2264,1210,1,pp,0.928571429,0.000862968
1739,1210,1,pp,0.874267171,0.004512386
1687,1210,1,pp,0.928571429,0.000862968
1769,1265,-1,np,-0.952380952,0.0002604
2080,1265,-1,np,-0.85548378,0.00675133
2102,1265,-1,np,-0.915729116,0.001403174
1981,1265,-1,np,-0.898219696,0.002438797
2165,1265,-1,np,-0.910195959,0.001690861
1835,1265,1,pp,0.834748647,0.009929687
1932,1265,1,pp,0.910195959,0.001690861
1922,70,-1,np,-0.838338383,0.009323116
1655,70,-1,np,-0.838338383,0.009323116
2137,70,1,pp,0.838338383,0.009323116
1870,70,1,pp,0.898219696,0.002438797
2298,1513,-1,np,-0.838338383,0.009323116
2076,1513,1,pp,0.928571429,0.000862968
1720,1513,-1,np,-0.857142857,0.006530017
2003,1513,-1,np,-0.910195959,0.001690861
2227,1513,-1,np,-0.920678655,0.001174651
2175,1513,-1,np,-0.904761905,0.002008276
1985,1513,-1,np,-0.909241209,0.001744075
2190,1513,-1,np,-0.874267171,0.004512386
2112,1513,1,pp,0.843434712,0.008503234
1885,1513,-1,np,-0.871575794,0.004798257
2134,1513,1,pp,0.946124747,0.000375312
1958,1513,-1,np,-0.898219696,0.002438797
1705,1513,-1,np,-0.891630982,0.002928681
1650,1513,-1,np,-0.898219696,0.002438797
2292,1513,-1,np,-0.853912564,0.006965288
1757,1513,1,pp,0.975900073,3.44E-05
2131,1513,-1,np,-0.857142857,0.006530017
1947,1356,1,pp,0.902707567,0.002137647
1790,1356,1,pp,0.946124747,0.000375312
2228,1356,-1,np,-0.880952381,0.00385032
1866,1356,1,pp,0.879581914,0.003980559
1815,1628,1,pp,0.904761905,0.002008276
1998,1628,1,pp,0.934148484,0.000679106
2245,1628,1,pp,0.95810101,0.000178157
2205,1628,1,pp,0.850314646,0.007471415
1697,1628,1,pp,0.857142857,0.006530017
1846,1628,1,pp,0.857142857,0.006530017
2193,1628,1,pp,0.886243434,0.003373343
1709,1628,1,pp,0.902707567,0.002137647
1957,1628,-1,np,-0.934148484,0.000679106
2013,914,1,pp,0.874267171,0.004512386
2228,914,1,pp,0.857142857,0.006530017
1799,914,-1,np,-0.847024363,0.007954271
1908,914,1,pp,0.857142857,0.006530017
