Source,Target,Label,inter,cor,p
1756,985,-1,np,-0.836501913,0.009630399
1609,985,-1,np,-0.904761905,0.002008276
1890,1179,1,pp,0.928571429,0.000862968
1717,1179,-1,np,-0.922172222,0.001110817
1616,1179,-1,np,-0.843434712,0.008503234
1945,1179,-1,np,-0.934148484,0.000679106
1861,1179,-1,np,-0.862290909,0.005872991
2151,1179,-1,np,-0.970077272,6.55E-05
1798,1179,-1,np,-0.837121378,0.009526041
1699,1179,1,pp,0.857142857,0.006530017
1956,1179,1,pp,0.843434712,0.008503234
2104,1231,-1,np,-0.976190476,3.31E-05
1626,1231,-1,np,-0.898219696,0.002438797
1776,1231,-1,np,-0.880952381,0.00385032
1634,1231,-1,np,-0.946124747,0.000375312
1834,1231,-1,np,-0.879581914,0.003980559
1881,1231,-1,np,-0.969781517,6.74E-05
2029,1231,-1,np,-0.878310066,0.004103934
1849,1231,-1,np,-0.928571429,0.000862968
2006,1231,-1,np,-0.904761905,0.002008276
2047,1231,-1,np,-0.904761905,0.002008276
2099,69,1,pp,0.879581914,0.003980559
1756,69,1,pp,0.884994777,0.003482252
1678,69,-1,np,-0.928571429,0.000862968
1750,69,-1,np,-0.886243434,0.003373343
2162,69,-1,np,-0.951502571,0.000274893
2193,1472,1,pp,0.874267171,0.004512386
2159,1472,1,pp,0.857142857,0.006530017
2019,1472,1,pp,0.898219696,0.002438797
1626,1472,1,pp,0.922172222,0.001110817
2063,1472,-1,np,-0.850314646,0.007471415
2052,1472,-1,np,-0.904761905,0.002008276
1678,1319,-1,np,-0.857142857,0.006530017
1965,1319,-1,np,-0.904761905,0.002008276
1855,1319,-1,np,-0.864790869,0.005569863
2101,1585,1,pp,0.838338383,0.009323116
1607,1585,1,pp,0.843434712,0.008503234
1678,1585,1,pp,0.928571429,0.000862968
2024,1585,-1,np,-0.867532847,0.005249136
1764,1585,1,pp,0.880952381,0.00385032
1938,1585,1,pp,0.843434712,0.008503234
2203,892,1,pp,0.896127224,0.00258811
2200,892,1,pp,0.891630982,0.002928681
2147,892,-1,np,-0.874267171,0.004512386
1908,892,1,pp,0.922172222,0.001110817
2150,892,1,pp,0.946124747,0.000375312
1910,1361,1,pp,0.880952381,0.00385032
2068,1361,1,pp,0.850314646,0.007471415
2203,1361,1,pp,0.896127224,0.00258811
1847,1361,-1,np,-0.867532847,0.005249136
2135,1361,-1,np,-0.838338383,0.009323116
1912,1533,-1,np,-0.886243434,0.003373343
1974,1533,-1,np,-0.879581914,0.003980559
1884,1533,1,pp,0.874267171,0.004512386
2130,1533,-1,np,-0.915729116,0.001403174
2127,1533,-1,np,-0.98802352,4.26E-06
1692,1533,1,pp,0.857142857,0.006530017
2203,758,1,pp,0.896127224,0.00258811
1711,758,-1,np,-0.874267171,0.004512386
2200,758,1,pp,0.98802352,4.26E-06
1617,758,-1,np,-0.898219696,0.002438797
2147,758,-1,np,-0.898219696,0.002438797
1908,758,1,pp,0.934148484,0.000679106
2150,758,1,pp,0.922172222,0.001110817
2090,1513,1,pp,0.878310066,0.004103934
2002,1513,1,pp,0.857142857,0.006530017
1780,1513,-1,np,-0.922172222,0.001110817
1805,59,1,pp,0.879581914,0.003980559
2088,59,1,pp,0.850314646,0.007471415
1919,59,1,pp,0.904761905,0.002008276
2074,1251,-1,np,-0.880952381,0.00385032
1756,1251,-1,np,-0.836501913,0.009630399
1950,1251,-1,np,-0.880952381,0.00385032
1962,1251,-1,np,-0.874267171,0.004512386
1678,1251,1,pp,0.904761905,0.002008276
2024,1251,-1,np,-0.915729116,0.001403174
2162,1251,1,pp,0.853912564,0.006965288
2160,1512,-1,np,-0.85548378,0.00675133
2049,1512,-1,np,-0.843434712,0.008503234
1772,1512,-1,np,-0.838338383,0.009323116
2167,1031,-1,np,-0.843434712,0.008503234
2097,1031,1,pp,0.850314646,0.007471415
1691,1031,-1,np,-0.928571429,0.000862968
1770,1031,-1,np,-0.886243434,0.003373343
1610,1031,-1,np,-0.902707567,0.002137647
1772,1031,-1,np,-0.898219696,0.002438797
2043,911,1,pp,0.898219696,0.002438797
1757,911,1,pp,0.857142857,0.006530017
1657,911,1,pp,0.874267171,0.004512386
1870,911,-1,np,-0.880952381,0.00385032
1711,911,1,pp,0.850314646,0.007471415
2200,911,-1,np,-0.843434712,0.008503234
1832,911,1,pp,0.838338383,0.009323116
1882,911,1,pp,0.85548378,0.00675133
1700,911,-1,np,-0.880952381,0.00385032
1850,911,-1,np,-0.904761905,0.002008276
1966,911,-1,np,-0.874267171,0.004512386
1793,1006,-1,np,-0.927105069,0.00091618
1756,1006,1,pp,0.884994777,0.003482252
1896,1006,1,pp,0.847024363,0.007954271
2102,1166,-1,np,-0.891630982,0.002928681
2029,1166,1,pp,0.927105069,0.00091618
2147,1166,-1,np,-0.850314646,0.007471415
1849,1166,1,pp,0.880952381,0.00385032
1599,18,1,pp,0.928571429,0.000862968
1603,18,-1,np,-0.857142857,0.006530017
1727,18,1,pp,0.850314646,0.007471415
1761,18,1,pp,0.910195959,0.001690861
1930,18,-1,np,-0.970077272,6.55E-05
1916,18,1,pp,0.862290909,0.005872991
1960,18,1,pp,0.886243434,0.003373343
1838,18,-1,np,-0.857142857,0.006530017
1616,18,1,pp,0.843434712,0.008503234
1861,18,1,pp,0.850314646,0.007471415
1648,18,1,pp,0.904761905,0.002008276
1646,18,-1,np,-0.880952381,0.00385032
1705,18,1,pp,0.902707567,0.002137647
1778,18,1,pp,0.857142857,0.006530017
1878,18,-1,np,-0.862290909,0.005872991
2139,68,-1,np,-0.910195959,0.001690861
2101,68,-1,np,-0.898219696,0.002438797
2024,68,1,pp,0.867532847,0.005249136
1938,68,-1,np,-0.843434712,0.008503234
2146,1306,-1,np,-0.850314646,0.007471415
2078,1306,1,pp,0.874267171,0.004512386
2095,1306,1,pp,0.902707567,0.002137647
1724,1306,1,pp,0.857142857,0.006530017
2202,525,1,pp,0.838338383,0.009323116
2203,525,1,pp,0.847024363,0.007954271
2030,525,1,pp,0.843434712,0.008503234
2187,525,-1,np,-0.880952381,0.00385032
2175,525,-1,np,-0.857142857,0.006530017
1982,525,-1,np,-0.857142857,0.006530017
1795,525,1,pp,0.896127224,0.00258811
1896,1457,1,pp,0.834748647,0.009929687
1877,1457,-1,np,-0.886243434,0.003373343
1847,124,-1,np,-0.879581914,0.003980559
1620,1047,1,pp,0.834748647,0.009929687
1743,1047,-1,np,-0.862290909,0.005872991
1812,1047,1,pp,0.838338383,0.009323116
1811,1047,-1,np,-0.867532847,0.005249136
2024,1047,-1,np,-0.867532847,0.005249136
2124,1047,1,pp,0.928571429,0.000862968
2071,1047,-1,np,-0.932227236,0.000739205
2207,1047,-1,np,-0.878310066,0.004103934
1599,38,-1,np,-0.880952381,0.00385032
2120,38,-1,np,-0.867532847,0.005249136
1746,38,-1,np,-0.952380952,0.0002604
2111,38,-1,np,-0.915729116,0.001403174
1977,38,-1,np,-0.850314646,0.007471415
1950,38,-1,np,-0.880952381,0.00385032
1774,38,-1,np,-0.857142857,0.006530017
1962,38,-1,np,-0.838338383,0.009323116
1960,38,-1,np,-0.862290909,0.005872991
2060,38,-1,np,-0.850314646,0.007471415
1705,38,-1,np,-0.902707567,0.002137647
2116,38,-1,np,-0.875172349,0.004418764
1836,38,-1,np,-0.952380952,0.0002604
2109,183,1,pp,0.904761905,0.002008276
1649,183,1,pp,0.838338383,0.009323116
1922,183,1,pp,0.904761905,0.002008276
1706,183,1,pp,0.904761905,0.002008276
2156,183,1,pp,0.886243434,0.003373343
1687,183,1,pp,0.898219696,0.002438797
1676,183,1,pp,0.970077272,6.55E-05
2056,183,1,pp,0.862290909,0.005872991
1827,183,1,pp,0.838338383,0.009323116
2201,183,1,pp,0.886243434,0.003373343
1826,183,1,pp,0.886243434,0.003373343
1906,183,1,pp,0.857142857,0.006530017
1948,183,1,pp,0.934148484,0.000679106
1853,183,1,pp,0.904761905,0.002008276
1909,183,1,pp,0.850314646,0.007471415
1896,183,1,pp,0.883851509,0.003583935
1905,183,1,pp,0.886243434,0.003373343
1901,183,1,pp,0.95810101,0.000178157
2025,183,1,pp,0.857142857,0.006530017
1886,183,1,pp,0.904761905,0.002008276
1983,183,1,pp,0.853912564,0.006965288
2044,183,1,pp,0.880952381,0.00385032
1605,183,1,pp,0.857142857,0.006530017
2112,183,1,pp,0.857142857,0.006530017
1911,183,-1,np,-0.85548378,0.00675133
2010,183,-1,np,-0.898219696,0.002438797
1726,183,1,pp,0.867532847,0.005249136
2015,183,1,pp,0.874267171,0.004512386
2050,183,1,pp,0.862290909,0.005872991
1935,183,1,pp,0.886243434,0.003373343
1873,45,-1,np,-0.857142857,0.006530017
2016,45,1,pp,0.850314646,0.007471415
1999,45,1,pp,0.862290909,0.005872991
2063,45,1,pp,0.886243434,0.003373343
2106,45,-1,np,-0.904761905,0.002008276
1987,1455,1,pp,0.857142857,0.006530017
1756,1455,1,pp,0.897117993,0.002516695
2179,1455,-1,np,-0.904761905,0.002008276
2073,1455,1,pp,0.850314646,0.007471415
1635,1455,1,pp,0.880952381,0.00385032
1940,765,1,pp,0.850314646,0.007471415
1934,765,1,pp,0.857142857,0.006530017
1993,765,1,pp,0.874267171,0.004512386
2156,765,-1,np,-0.874267171,0.004512386
1676,765,-1,np,-0.838338383,0.009323116
1885,765,-1,np,-0.857142857,0.006530017
1886,765,-1,np,-0.857142857,0.006530017
2005,765,-1,np,-0.891630982,0.002928681
1656,765,-1,np,-0.857142857,0.006530017
2015,765,-1,np,-0.850314646,0.007471415
1688,765,1,pp,0.880952381,0.00385032
1674,1419,1,pp,0.850314646,0.007471415
2159,1419,-1,np,-0.928571429,0.000862968
2144,1419,-1,np,-0.857142857,0.006530017
1626,1419,-1,np,-0.850314646,0.007471415
2038,1419,-1,np,-0.928571429,0.000862968
1992,1419,-1,np,-0.867532847,0.005249136
2165,1419,-1,np,-0.850314646,0.007471415
1972,1419,-1,np,-0.850314646,0.007471415
2063,1419,1,pp,0.898219696,0.002438797
2006,1419,-1,np,-0.904761905,0.002008276
1940,1484,1,pp,0.874267171,0.004512386
1614,1484,1,pp,0.874267171,0.004512386
1623,1484,1,pp,0.857142857,0.006530017
1993,1484,1,pp,0.970077272,6.55E-05
2005,1484,-1,np,-0.867532847,0.005249136
1656,1484,-1,np,-0.857142857,0.006530017
2102,107,-1,np,-0.915729116,0.001403174
1895,107,1,pp,0.891630982,0.002928681
2081,107,-1,np,-0.867532847,0.005249136
2029,107,1,pp,0.853912564,0.006965288
2147,107,-1,np,-0.862290909,0.005872991
1716,107,-1,np,-0.850314646,0.007471415
1681,107,1,pp,0.880952381,0.00385032
2106,107,1,pp,0.928571429,0.000862968
1918,1168,1,pp,0.857142857,0.006530017
1643,1429,-1,np,-0.857142857,0.006530017
1767,1429,-1,np,-0.915729116,0.001403174
2119,1429,1,pp,0.922172222,0.001110817
1854,1429,1,pp,0.880952381,0.00385032
2209,1429,1,pp,0.857142857,0.006530017
2099,495,1,pp,0.891630982,0.002928681
1757,495,1,pp,0.904761905,0.002008276
1735,495,1,pp,0.843434712,0.008503234
2031,495,-1,np,-0.880952381,0.00385032
1672,495,1,pp,0.850314646,0.007471415
2141,495,-1,np,-0.857142857,0.006530017
1966,495,-1,np,-0.850314646,0.007471415
1928,495,-1,np,-0.898219696,0.002438797
2077,495,-1,np,-0.843434712,0.008503234
