Source,Target,Label,inter,cor,p
1959,1015,-1,np,-0.880952381,0.00385032
2041,1015,-1,np,-0.891630982,0.002928681
1659,1015,1,pp,0.874267171,0.004512386
2014,1015,-1,np,-0.909241209,0.001744075
1814,1015,1,pp,0.898219696,0.002438797
1712,1015,-1,np,-0.915729116,0.001403174
2046,1015,-1,np,-0.98802352,4.26E-06
1871,1015,-1,np,-0.952380952,0.0002604
1762,1015,-1,np,-0.880952381,0.00385032
1741,1015,1,pp,0.850314646,0.007471415
1722,1015,-1,np,-0.85548378,0.00675133
2205,1015,1,pp,0.843434712,0.008503234
1967,1213,1,pp,0.952380952,0.0002604
1938,1213,1,pp,0.857142857,0.006530017
2186,1213,1,pp,0.904761905,0.002008276
1824,1213,1,pp,0.898219696,0.002438797
1758,1213,1,pp,0.874267171,0.004512386
2224,1213,-1,np,-0.847024363,0.007954271
2058,1213,1,pp,0.874267171,0.004512386
1872,1213,-1,np,-0.898219696,0.002438797
1846,1213,-1,np,-0.880952381,0.00385032
1894,1213,-1,np,-0.952380952,0.0002604
1944,1213,1,pp,0.838338383,0.009323116
1787,1213,1,pp,0.862290909,0.005872991
2302,1213,1,pp,0.898219696,0.002438797
1689,1213,1,pp,0.886243434,0.003373343
1684,1213,1,pp,0.915729116,0.001403174
2282,1213,-1,np,-0.952380952,0.0002604
1967,1268,1,pp,0.857142857,0.006530017
2008,1268,1,pp,0.880952381,0.00385032
1789,1268,1,pp,0.857142857,0.006530017
2053,1268,-1,np,-0.898219696,0.002438797
2167,1268,-1,np,-0.880952381,0.00385032
1767,1268,1,pp,0.952380952,0.0002604
1689,1268,1,pp,0.850314646,0.007471415
1809,1268,-1,np,-0.838338383,0.009323116
1717,1268,-1,np,-0.994029797,5.30E-07
2048,71,-1,np,-0.898219696,0.002438797
2222,71,1,pp,0.843434712,0.008503234
1803,71,-1,np,-0.847024363,0.007954271
1927,71,-1,np,-0.850314646,0.007471415
1884,71,-1,np,-0.891630982,0.002928681
1786,71,-1,np,-0.886243434,0.003373343
1923,71,-1,np,-0.862290909,0.005872991
2259,1515,1,pp,0.843434712,0.008503234
2011,1515,-1,np,-0.834748647,0.009929687
1963,1515,1,pp,0.922172222,0.001110817
1960,1515,-1,np,-0.857142857,0.006530017
1932,1515,-1,np,-0.880952381,0.00385032
