"ID","Name","Phylum","Class","Order","Family","Genus","Species","com_name"
1,"Com_10032_pos",NA,NA,NA,NA,NA,NA,"2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid"
2,"Com_1010_neg",NA,NA,NA,NA,NA,NA,"MAG (18:4)"
3,"Com_1014_pos",NA,NA,NA,NA,NA,NA,"TNK"
4,"Com_10146_pos",NA,NA,NA,NA,NA,NA,"Piperine"
5,"Com_10184_pos",NA,NA,NA,NA,NA,NA,"Glycerophosphocholine"
6,"Com_10262_neg",NA,NA,NA,NA,NA,NA,"FAHFA (2:0/23:0)"
7,"Com_10269_pos",NA,NA,NA,NA,NA,NA,"LDGTS 21:2"
8,"Com_1027_neg",NA,NA,NA,NA,NA,NA,"Miquelianin"
9,"Com_10287_pos",NA,NA,NA,NA,NA,NA,"NAT13-331713_POS"
10,"Com_103_pos",NA,NA,NA,NA,NA,NA,"??-Eleostearic acid"
11,"Com_10372_neg",NA,NA,NA,NA,NA,NA,"MGDG (2:0/16:0)"
12,"Com_10438_pos",NA,NA,NA,NA,NA,NA,"Bifonazole"
13,"Com_1066_neg",NA,NA,NA,NA,NA,NA,"(2??,3??,19??)-2,3,19-Trihydroxyolean-12-en-28-oic acid"
14,"Com_10694_pos",NA,NA,NA,NA,NA,NA,"Bestatin"
15,"Com_10707_neg",NA,NA,NA,NA,NA,NA,"(S)-beta-Aminoisobutyric Acid"
16,"Com_1082_pos",NA,NA,NA,NA,NA,NA,"2-Methylbutyroylcarnitine"
17,"Com_10826_pos",NA,NA,NA,NA,NA,NA,"(2E)-3-(3,4-dimethoxyphenyl)prop-2-enoic acid"
18,"Com_10858_pos",NA,NA,NA,NA,NA,NA,"3-Phosphonopropionic acid"
19,"Com_10866_pos",NA,NA,NA,NA,NA,NA,"Propionyl-L-carnitine"
20,"Com_1092_neg",NA,NA,NA,NA,NA,NA,"2'-Deoxyuridine"
21,"Com_10921_pos",NA,NA,NA,NA,NA,NA,"SKK"
22,"Com_10959_neg",NA,NA,NA,NA,NA,NA,"MGDG (16:1/16:2)"
23,"Com_11003_pos",NA,NA,NA,NA,NA,NA,"3-(allylsulfanyl)-4-[4-(benzyloxy)phenyl]-5-methyl-4H-1,2,4-triazole"
24,"Com_11008_pos",NA,NA,NA,NA,NA,NA,"acenaphtho[1,2-b]quinoxaline"
25,"Com_1103_neg",NA,NA,NA,NA,NA,NA,"(+/-)9(10)-EpOME"
26,"Com_11089_pos",NA,NA,NA,NA,NA,NA,"HPH"
27,"Com_1112_neg",NA,NA,NA,NA,NA,NA,"4-oxo-4,5,6,7-tetrahydrobenzo[b]furan-3-carboxylic acid"
28,"Com_11129_pos",NA,NA,NA,NA,NA,NA,"JNJ-1661010"
29,"Com_11135_neg",NA,NA,NA,NA,NA,NA,"DGDG (2:0/16:3)"
