"ID","Name","Phylum","Class","Order","Family","Genus","Species","com_name"
1,"Com_10015_pos",NA,NA,NA,NA,NA,NA,"Cyclopentyl fentanyl-d5"
2,"Com_10159_pos",NA,NA,NA,NA,NA,NA,"1,7-bis(3,4-dihydroxyphenyl)heptan-3-one"
3,"Com_10176_pos",NA,NA,NA,NA,NA,NA,"octadec-9-ynoic acid"
4,"Com_10184_pos",NA,NA,NA,NA,NA,NA,"Glycerophosphocholine"
5,"Com_10269_pos",NA,NA,NA,NA,NA,NA,"LDGTS 21:2"
6,"Com_1027_neg",NA,NA,NA,NA,NA,NA,"Miquelianin"
7,"Com_103_pos",NA,NA,NA,NA,NA,NA,"??-Eleostearic acid"
8,"Com_10438_pos",NA,NA,NA,NA,NA,NA,"Bifonazole"
9,"Com_10461_pos",NA,NA,NA,NA,NA,NA,"Ergosta-5,7,9(11),22-Tetraen-3-beta-Ol"
10,"Com_10619_neg",NA,NA,NA,NA,NA,NA,"ADBICA N-pentanoic acid metabolite"
11,"Com_10826_pos",NA,NA,NA,NA,NA,NA,"(2E)-3-(3,4-dimethoxyphenyl)prop-2-enoic acid"
12,"Com_10861_pos",NA,NA,NA,NA,NA,NA,"N-{[(2R,4S,5R)-5-Ethyl-1-azabicyclo[2.2.2]oct-2-yl]methyl}-2-furamide"
13,"Com_10921_pos",NA,NA,NA,NA,NA,NA,"SKK"
14,"Com_10959_neg",NA,NA,NA,NA,NA,NA,"MGDG (16:1/16:2)"
15,"Com_11_neg",NA,NA,NA,NA,NA,NA,"(??)9(10)-DiHOME"
16,"Com_11003_pos",NA,NA,NA,NA,NA,NA,"3-(allylsulfanyl)-4-[4-(benzyloxy)phenyl]-5-methyl-4H-1,2,4-triazole"
17,"Com_11011_pos",NA,NA,NA,NA,NA,NA,"4-hydroxy-3-(3-methylbut-2-en-1-yl)benzoic acid"
18,"Com_11135_neg",NA,NA,NA,NA,NA,NA,"DGDG (2:0/16:3)"
19,"Com_1115_pos",NA,NA,NA,NA,NA,NA,"gamma-Glutamyltyrosine"
20,"Com_11168_pos",NA,NA,NA,NA,NA,NA,"Sodium cholate"
21,"Com_1119_pos",NA,NA,NA,NA,NA,NA,"4-Phenylbutyric acid"
22,"Com_1126_pos",NA,NA,NA,NA,NA,NA,"5,8-dihydroxy-10-methyl-5,8,9,10-tetrahydro-2H-oxecin-2-one"
23,"Com_11401_pos",NA,NA,NA,NA,NA,NA,"Morphine"
24,"Com_11460_pos",NA,NA,NA,NA,NA,NA,"LDGTS 19:2"
25,"Com_11509_pos",NA,NA,NA,NA,NA,NA,"2-[(7-methyl-2,3-dihydro-1H-inden-4-yl)oxy]pyridin-3-amine"
26,"Com_11575_pos",NA,NA,NA,NA,NA,NA,"EKK"
27,"Com_11608_neg",NA,NA,NA,NA,NA,NA,"N-Acetylmethionine"
28,"Com_1162_pos",NA,NA,NA,NA,NA,NA,"Apocynin"
29,"Com_11660_pos",NA,NA,NA,NA,NA,NA,"D-Proline"
30,"Com_11773_pos",NA,NA,NA,NA,NA,NA,"Pitavastatin"
31,"Com_11777_pos",NA,NA,NA,NA,NA,NA,"Perospirone"
32,"Com_11795_pos",NA,NA,NA,NA,NA,NA,"Cyclobutyl fentanyl-d5"
33,"Com_1182_neg",NA,NA,NA,NA,NA,NA,"N-Acetyl-DL-alanine"
34,"Com_11865_neg",NA,NA,NA,NA,NA,NA,"MGDG (4:0/18:2)"
35,"Com_11895_pos",NA,NA,NA,NA,NA,NA,"Hydroxyprogesterone caproate"
36,"Com_1191_pos",NA,NA,NA,NA,NA,NA,"Nicotinuric acid"
37,"Com_11923_neg",NA,NA,NA,NA,NA,NA,"Delta-Tridecalactone"
38,"Com_12000_neg",NA,NA,NA,NA,NA,NA,"Thymidine 3,5-cyclic monophosphate"
39,"Com_12026_pos",NA,NA,NA,NA,NA,NA,"GPK"
40,"Com_12046_pos",NA,NA,NA,NA,NA,NA,"TQH"
41,"Com_12100_pos",NA,NA,NA,NA,NA,NA,"SB 205607"
42,"Com_1214_neg",NA,NA,NA,NA,NA,NA,"L-Threonic acid"
43,"Com_1214_pos",NA,NA,NA,NA,NA,NA,"6-Hydroxynicotinic acid"
44,"Com_12167_pos",NA,NA,NA,NA,NA,NA,"WLH"
45,"Com_1225_neg",NA,NA,NA,NA,NA,NA,"2-Hydroxy-1-(4-methoxyphenyl)propyl hexopyranoside"
46,"Com_12361_pos",NA,NA,NA,NA,NA,NA,"Pentazocine"
47,"Com_12637_neg",NA,NA,NA,NA,NA,NA,"Oxoadipic Acid"
48,"Com_12687_pos",NA,NA,NA,NA,NA,NA,"Heptadecanoic Acid"
49,"Com_12847_pos",NA,NA,NA,NA,NA,NA,"C-12 NBD-dihydro-ceramide"
50,"Com_12859_pos",NA,NA,NA,NA,NA,NA,"Choline bitartrate"
51,"Com_12910_neg",NA,NA,NA,NA,NA,NA,"1-Methylguanosine"
52,"Com_12928_pos",NA,NA,NA,NA,NA,NA,"12,13-EODE"
53,"Com_1293_neg",NA,NA,NA,NA,NA,NA,"Nigericin"
54,"Com_130_neg",NA,NA,NA,NA,NA,NA,"p-Mentha-1,3,8-triene"
55,"Com_13049_pos",NA,NA,NA,NA,NA,NA,"Hydroquinone"
56,"Com_13321_pos",NA,NA,NA,NA,NA,NA,"4-(2,3-dihydro-1H-indol-1-yl)-1-phenyl-1H-pyrazolo[3,4-d]pyrimidine"
57,"Com_13338_pos",NA,NA,NA,NA,NA,NA,"3-{[(4-chlorophenyl)sulfonyl]methyl}-N'-hydroxybenzenecarboximidamide"
58,"Com_1345_pos",NA,NA,NA,NA,NA,NA,"1-benzyl-3-(2-methylphenyl)-3,7-dihydro-1H-purine-2,6-dione"
59,"Com_13453_pos",NA,NA,NA,NA,NA,NA,"Cer-NDS (d18:0/16:0)"
60,"Com_13530_pos",NA,NA,NA,NA,NA,NA,"4-methyl-3-(methylthio)-5-undecyl-4H-1,2,4-triazole"
61,"Com_1372_pos",NA,NA,NA,NA,NA,NA,"4-acetyl-4-(ethoxycarbonyl)heptanedioic acid"
62,"Com_1390_pos",NA,NA,NA,NA,NA,NA,"Methyl dihydrojasmonate"
63,"Com_13924_pos",NA,NA,NA,NA,NA,NA,"8-{[(3S)-3-(1H-Benzimidazol-2-yl)-1-pyrrolidinyl]sulfonyl}quinoline"
64,"Com_1393_pos",NA,NA,NA,NA,NA,NA,"6 ??-Hydroxycortisol"
65,"Com_14086_pos",NA,NA,NA,NA,NA,NA,"6??-Naltrexol"
66,"Com_1414_pos",NA,NA,NA,NA,NA,NA,"N-Acetyl-aspartic acid"
67,"Com_14140_pos",NA,NA,NA,NA,NA,NA,"pentane-1,2,3,4,5-pentol"
68,"Com_1424_neg",NA,NA,NA,NA,NA,NA,"2-Methoxyestradiol"
69,"Com_14285_pos",NA,NA,NA,NA,NA,NA,"Veratrole"
70,"Com_14313_neg",NA,NA,NA,NA,NA,NA,"ethyl 1-cyclohexyl-4,5-dioxopyrrolidine-3-carboxylate"
71,"Com_14326_pos",NA,NA,NA,NA,NA,NA,"6-Methoxy-2-naphthoic acid"
72,"Com_1434_pos",NA,NA,NA,NA,NA,NA,"Hexamethylene?0?2bisacetamide"
73,"Com_14348_pos",NA,NA,NA,NA,NA,NA,"2-((Dimethylamino)methyl)phenol"
74,"Com_1435_neg",NA,NA,NA,NA,NA,NA,"LPG 18:1"
75,"Com_1436_pos",NA,NA,NA,NA,NA,NA,"16,16-Dimethyl prostaglandin A1"
76,"Com_14449_neg",NA,NA,NA,NA,NA,NA,"LPS 18:2"
77,"Com_14474_pos",NA,NA,NA,NA,NA,NA,"Etiocholanolone"
78,"Com_14479_neg",NA,NA,NA,NA,NA,NA,"Eicosenoic acid"
79,"Com_14496_pos",NA,NA,NA,NA,NA,NA,"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one"
80,"Com_14533_pos",NA,NA,NA,NA,NA,NA,"1,4-Cyclohexanedione"
81,"Com_14557_pos",NA,NA,NA,NA,NA,NA,"Sphingosine (d18:1)"
82,"Com_14596_neg",NA,NA,NA,NA,NA,NA,"DGDG (16:0/16:1)"
83,"Com_14618_neg",NA,NA,NA,NA,NA,NA,"LPA 14:0"
