"ID","Name","Phylum","Class","Order","Family","Genus","Species","com_name"
1,"Com_1_neg",NA,NA,NA,NA,NA,NA,"??,??-Trehalose"
2,"Com_100_neg",NA,NA,NA,NA,NA,NA,"4-Acetamidobutanoic acid"
3,"Com_10015_pos",NA,NA,NA,NA,NA,NA,"Cyclopentyl fentanyl-d5"
4,"Com_10032_pos",NA,NA,NA,NA,NA,NA,"2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid"
5,"Com_10076_pos",NA,NA,NA,NA,NA,NA,"4-(3-Methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl)benzoic acid"
6,"Com_10094_pos",NA,NA,NA,NA,NA,NA,"Limonin"
7,"Com_1010_neg",NA,NA,NA,NA,NA,NA,"MAG (18:4)"
8,"Com_10103_pos",NA,NA,NA,NA,NA,NA,"Octadecanamine"
9,"Com_1011_neg",NA,NA,NA,NA,NA,NA,"Guanosine-3',5'-cyclic monophosphate"
10,"Com_10122_pos",NA,NA,NA,NA,NA,NA,"Otenzepad"
11,"Com_1014_pos",NA,NA,NA,NA,NA,NA,"TNK"
12,"Com_10146_pos",NA,NA,NA,NA,NA,NA,"Piperine"
13,"Com_10159_pos",NA,NA,NA,NA,NA,NA,"1,7-bis(3,4-dihydroxyphenyl)heptan-3-one"
14,"Com_10176_pos",NA,NA,NA,NA,NA,NA,"octadec-9-ynoic acid"
15,"Com_1018_pos",NA,NA,NA,NA,NA,NA,"Cuminaldehyde"
16,"Com_10184_pos",NA,NA,NA,NA,NA,NA,"Glycerophosphocholine"
17,"Com_102_neg",NA,NA,NA,NA,NA,NA,"(+/-)9-HpODE"
18,"Com_10203_pos",NA,NA,NA,NA,NA,NA,"L-Palmitoylcarnitine"
19,"Com_10207_pos",NA,NA,NA,NA,NA,NA,"4-fluoro-N-[4-(4-methylpiperazino)phenyl]benzenesulfonamide"
20,"Com_10262_neg",NA,NA,NA,NA,NA,NA,"FAHFA (2:0/23:0)"
21,"Com_10269_pos",NA,NA,NA,NA,NA,NA,"LDGTS 21:2"
22,"Com_1027_neg",NA,NA,NA,NA,NA,NA,"Miquelianin"
23,"Com_10287_pos",NA,NA,NA,NA,NA,NA,"NAT13-331713_POS"
24,"Com_10296_pos",NA,NA,NA,NA,NA,NA,"N-Acetyl-L-asparagine"
25,"Com_103_pos",NA,NA,NA,NA,NA,NA,"??-Eleostearic acid"
26,"Com_10346_pos",NA,NA,NA,NA,NA,NA,"Propionylcarnitine"
27,"Com_10372_neg",NA,NA,NA,NA,NA,NA,"MGDG (2:0/16:0)"
28,"Com_10399_pos",NA,NA,NA,NA,NA,NA,"6??-Hydroxyfluoxymesterone"
29,"Com_1041_pos",NA,NA,NA,NA,NA,NA,"Estrone"
30,"Com_1042_pos",NA,NA,NA,NA,NA,NA,"Jasmone"
31,"Com_10438_pos",NA,NA,NA,NA,NA,NA,"Bifonazole"
32,"Com_10448_pos",NA,NA,NA,NA,NA,NA,"N'-[6-(tert-butyl)thieno[3,2-d]pyrimidin-4-yl]-4-methylbenzohydrazide"
33,"Com_10461_pos",NA,NA,NA,NA,NA,NA,"Ergosta-5,7,9(11),22-Tetraen-3-beta-Ol"
34,"Com_1054_neg",NA,NA,NA,NA,NA,NA,"5-Sulfosalicylate"
35,"Com_10561_pos",NA,NA,NA,NA,NA,NA,"1-Monostearin"
36,"Com_10606_pos",NA,NA,NA,NA,NA,NA,"8-[(4-phenethyl-1,4-diazepan-1-yl)sulfonyl]quinoline"
37,"Com_10619_neg",NA,NA,NA,NA,NA,NA,"ADBICA N-pentanoic acid metabolite"
38,"Com_10651_pos",NA,NA,NA,NA,NA,NA,"Pirenperone"
39,"Com_1066_neg",NA,NA,NA,NA,NA,NA,"(2??,3??,19??)-2,3,19-Trihydroxyolean-12-en-28-oic acid"
40,"Com_1068_pos",NA,NA,NA,NA,NA,NA,"8-Isoprostaglandin F1??"
41,"Com_10686_pos",NA,NA,NA,NA,NA,NA,"1-(2,4-diphenyl-2,3-dihydro-1H-1,5-benzodiazepin-1-yl)propan-1-one"
42,"Com_10694_pos",NA,NA,NA,NA,NA,NA,"Bestatin"
43,"Com_10707_neg",NA,NA,NA,NA,NA,NA,"(S)-beta-Aminoisobutyric Acid"
44,"Com_1071_neg",NA,NA,NA,NA,NA,NA,"Glucoraphanin"
45,"Com_1082_pos",NA,NA,NA,NA,NA,NA,"2-Methylbutyroylcarnitine"
46,"Com_10826_pos",NA,NA,NA,NA,NA,NA,"(2E)-3-(3,4-dimethoxyphenyl)prop-2-enoic acid"
47,"Com_1085_pos",NA,NA,NA,NA,NA,NA,"(5??,9??,16??)-17-Hydroxykauran-19-oic acid"
48,"Com_10858_pos",NA,NA,NA,NA,NA,NA,"3-Phosphonopropionic acid"
49,"Com_10861_pos",NA,NA,NA,NA,NA,NA,"N-{[(2R,4S,5R)-5-Ethyl-1-azabicyclo[2.2.2]oct-2-yl]methyl}-2-furamide"
50,"Com_10866_pos",NA,NA,NA,NA,NA,NA,"Propionyl-L-carnitine"
51,"Com_10872_neg",NA,NA,NA,NA,NA,NA,"(3R)-8-hydroxy-3-(4-methoxyphenyl)-3,4-dihydro-1H-2-benzopyran-1-one"
52,"Com_1092_neg",NA,NA,NA,NA,NA,NA,"2'-Deoxyuridine"
53,"Com_1092_pos",NA,NA,NA,NA,NA,NA,"2-Myristoylglycerol"
54,"Com_10920_pos",NA,NA,NA,NA,NA,NA,"Arachidonyl dopamine"
55,"Com_10921_pos",NA,NA,NA,NA,NA,NA,"SKK"
56,"Com_10926_pos",NA,NA,NA,NA,NA,NA,"1,3-Diphenylacetone"
57,"Com_10953_pos",NA,NA,NA,NA,NA,NA,"Brucine"
58,"Com_10959_neg",NA,NA,NA,NA,NA,NA,"MGDG (16:1/16:2)"
59,"Com_10962_pos",NA,NA,NA,NA,NA,NA,"6-Hydroxymelatonin"
60,"Com_11_neg",NA,NA,NA,NA,NA,NA,"(??)9(10)-DiHOME"
61,"Com_110_pos",NA,NA,NA,NA,NA,NA,"Prostaglandin H1"
62,"Com_11001_neg",NA,NA,NA,NA,NA,NA,"lipoamide"
63,"Com_11003_pos",NA,NA,NA,NA,NA,NA,"3-(allylsulfanyl)-4-[4-(benzyloxy)phenyl]-5-methyl-4H-1,2,4-triazole"
64,"Com_11007_neg",NA,NA,NA,NA,NA,NA,"Deoxycorticosterone 21-glucoside"
65,"Com_11008_pos",NA,NA,NA,NA,NA,NA,"acenaphtho[1,2-b]quinoxaline"
66,"Com_11011_pos",NA,NA,NA,NA,NA,NA,"4-hydroxy-3-(3-methylbut-2-en-1-yl)benzoic acid"
67,"Com_11021_neg",NA,NA,NA,NA,NA,NA,"Glycerophospho-N-palmitoyl ethanolamine"
68,"Com_11029_pos",NA,NA,NA,NA,NA,NA,"6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one"
69,"Com_1103_neg",NA,NA,NA,NA,NA,NA,"(+/-)9(10)-EpOME"
70,"Com_1103_pos",NA,NA,NA,NA,NA,NA,"(-)-Erythromycin"
71,"Com_11033_pos",NA,NA,NA,NA,NA,NA,"15(R)-15-Methyl prostaglandin A2"
