Family,Accum_btw,Treatment
0319-6G20,0,Ctrl
67-14,24,Ctrl
A0839,0,Ctrl
A21b,0,Ctrl
A4b,27,Ctrl
Acetobacteraceae,0,Ctrl
Acidobacteriaceae (Subgroup 1),114.3333333,Ctrl
Aeromo0daceae,0,Ctrl
AKIW781,0,Ctrl
AKYH767,0,Ctrl
Ambiguous_taxa,0,Ctrl
A0erolineaceae,0,Ctrl
Archangiaceae,93,Ctrl
Armatimo0daceae,1,Ctrl
Azospirillaceae,0,Ctrl
B1-7BS,0,Ctrl
Bacillaceae,202.8333333,Ctrl
bacteriap25,0,Ctrl
Bacteriovoracaceae,0,Ctrl
bacterium LWQ8,2,Ctrl
bacterium WWH38,6,Ctrl
bacterium YC-LK-LKJ4,28,Ctrl
Bdellovibrio0ceae,0,Ctrl
Beijerinckiaceae,108.8333333,Ctrl
BIrii41,2,Ctrl
Blastocatellaceae,123.6666667,Ctrl
Burkholderiaceae,59.16666667,Ctrl
Caldilineaceae,0,Ctrl
Catenulisporaceae,0,Ctrl
Caulobacteraceae,0,Ctrl
Cellulomo0daceae,0,Ctrl
Chitinophagaceae,420.6666667,Ctrl
Chloroflexaceae,27.5,Ctrl
Chthoniobacteraceae,200.5,Ctrl
Chthonomo0daceae,0,Ctrl
Clostridiaceae 1,218.8333333,Ctrl
Coleofasciculaceae,0,Ctrl
CPla-3 termite group,1,Ctrl
Crocinitomicaceae,0,Ctrl
Cytophagaceae,0,Ctrl
Desulfarculaceae,0,Ctrl
Devosiaceae,29,Ctrl
Diplorickettsiaceae,1,Ctrl
Dongiaceae,2,Ctrl
Enterobacteriaceae,5,Ctrl
Enterococcaceae,0,Ctrl
env.OPS 17,9.166666667,Ctrl
Family XIII,0,Ctrl
Fibrobacteraceae,0,Ctrl
Fimbriimo0daceae,28,Ctrl
Flavobacteriaceae,0,Ctrl
Frankiaceae,0,Ctrl
Gaiellaceae,0,Ctrl
Gemmataceae,1,Ctrl
Gemmatimo0daceae,191.5,Ctrl
Geobacteraceae,75.33333333,Ctrl
Gracilibacteraceae,61.5,Ctrl
Haliangiaceae,0,Ctrl
Heliobacteriaceae,0,Ctrl
Holosporaceae,0,Ctrl
Hyphomicrobiaceae,17.66666667,Ctrl
Ilumatobacteraceae,24,Ctrl
Inquili0ceae,0,Ctrl
Intrasporangiaceae,30.66666667,Ctrl
JG30-KF-AS9,0,Ctrl
JG30-KF-CM45,7,Ctrl
KF-JG30-B3,48,Ctrl
Labraceae,0,Ctrl
Lachnospiraceae,5,Ctrl
Lactobacillaceae,0,Ctrl
Latescibacteraceae,0,Ctrl
Leptolyngbyaceae,0,Ctrl
metagenome,0,Ctrl
metal-contami0ted soil clone K20-27,0,Ctrl
Methyloligellaceae,0,Ctrl
Microbacteriaceae,0,Ctrl
Micrococcaceae,0,Ctrl
Micromonosporaceae,9,Ctrl
Micropepsaceae,2,Ctrl
Microscillaceae,0.333333333,Ctrl
Mitochondria,0,Ctrl
mle1-27,4,Ctrl
Moraxellaceae,0,Ctrl
Mycobacteriaceae,0,Ctrl
0nnocystaceae,0,Ctrl
Nitrosomo0daceae,8,Ctrl
Nitrospiraceae,2,Ctrl
Nocardiaceae,0,Ctrl
Nocardioidaceae,227,Ctrl
Nostocaceae,0,Ctrl
NS11-12 marine group,0,Ctrl
NS9 marine group,0,Ctrl
Oligoflexaceae,0,Ctrl
Opitutaceae,0,Ctrl
P3OB-42,0,Ctrl
Paenibacillaceae,14,Ctrl
Pedosphaeraceae,123.5,Ctrl
Peptostreptococcaceae,0,Ctrl
Phycisphaeraceae,6,Ctrl
Pirellulaceae,296,Ctrl
Planococcaceae,0,Ctrl
Polyangiaceae,0,Ctrl
Pseudomo0daceae,1,Ctrl
Pseudonocardiaceae,0,Ctrl
Pyrinomo0daceae,383.5,Ctrl
Reyranellaceae,0,Ctrl
Rhizobiaceae,25,Ctrl
Rhizobiales Incertae Sedis,0,Ctrl
Rhodanobacteraceae,34,Ctrl
Rhodocyclaceae,0,Ctrl
Roseiflexaceae,13,Ctrl
Rubinisphaeraceae,4.5,Ctrl
Rubritaleaceae,0,Ctrl
Ruminococcaceae,0,Ctrl
Saccharimo0daceae,0,Ctrl
Saccharum hybrid cultivar,2.5,Ctrl
Sandaraci0ceae,0,Ctrl
Saprospiraceae,1,Ctrl
SC-I-84,286.5,Ctrl
Simkaniaceae,0,Ctrl
soil bacterium WF55,0,Ctrl
Solibacteraceae (Subgroup 3),57.66666666,Ctrl
Sphingomo0daceae,391,Ctrl
Spirosomaceae,0,Ctrl
Sporichthyaceae,0,Ctrl
Steroidobacteraceae,38.83333333,Ctrl
Streptomycetaceae,87,Ctrl
Streptosporangiaceae,4,Ctrl
Tepidisphaeraceae,1,Ctrl
Terrimicrobiaceae,0,Ctrl
Thermoa0erobaculaceae,0,Ctrl
TRA3-20,17,Ctrl
uncultivated soil bacterium clone S111,0,Ctrl
uncultured,11,Ctrl
uncultured Acetobacteraceae bacterium,0,Ctrl
uncultured Acidimicrobiales bacterium,0,Ctrl
uncultured Acidobacteria bacterium,0,Ctrl
uncultured Armatimo0detes bacterium,0,Ctrl
uncultured bacterium,0,Ctrl
uncultured bacterium #0319-6E22,0,Ctrl
uncultured bacterium KF-JG30-B11,0,Ctrl
uncultured bacterium SBR1071,0,Ctrl
uncultured bacterium SBR2013,0,Ctrl
uncultured bacterium SBR2096,0,Ctrl
uncultured candidate division OS-K bacterium,0,Ctrl
uncultured candidate division SAM bacterium,0,Ctrl
uncultured Chloroflexi bacterium,4,Ctrl
uncultured Clostridia bacterium,0,Ctrl
uncultured Desulfovirga sp.,105.6666667,Ctrl
uncultured Desulfuromo0dales bacterium,0,Ctrl
uncultured Epsilonproteobacteria bacterium,8,Ctrl
