Family,Accum_btw,Treatment
0319-6G20,3,Ctrl
37-13,20,Ctrl
67-14,6.5,Ctrl
A21b,309.5,Ctrl
A4b,190.3333333,Ctrl
Acetobacteraceae,10,Ctrl
Acidobacteria bacterium Ellin7246,2,Ctrl
Acidobacteriaceae (Subgroup 1),361.5,Ctrl
Acidothermaceae,10.5,Ctrl
Aerococcaceae,0,Ctrl
AKYG1722,0,Ctrl
AKYH767,985,Ctrl
Alicyclobacillaceae,3,Ctrl
Alteromonadaceae,0,Ctrl
Ambiguous_taxa,20,Ctrl
Anaerolineaceae,9,Ctrl
Archangiaceae,0,Ctrl
Azospirillaceae,0,Ctrl
Bacillaceae,1311.166667,Ctrl
bacteriap25,104,Ctrl
bacterium enrichment culture clone Anammox_49,0,Ctrl
bacterium enrichment culture clone auto222_4W,0,Ctrl
bacterium WWH38,1,Ctrl
Bdellovibrionaceae,0,Ctrl
Beijerinckiaceae,54,Ctrl
BIrii41,0,Ctrl
Blastocatellaceae,321.7666667,Ctrl
Burkholderiaceae,160,Ctrl
Caldilineaceae,16.5,Ctrl
Candidatus Doudnabacteria bacterium RIFCSPHIGHO2_01_48_18,0,Ctrl
Candidatus Nomurabacteria bacterium GW2011_GWB1_35_20,0,Ctrl
Candidatus Saccharibacteria bacterium RIFCSPHIGHO2_12_FULL_48_21,0,Ctrl
Catenulisporaceae,0,Ctrl
Caulobacteraceae,3.5,Ctrl
Chitinophagaceae,1494.733333,Ctrl
Chloroflexaceae,0,Ctrl
Chthoniobacteraceae,72,Ctrl
Chthonomonadaceae,0,Ctrl
Clostridiaceae 1,102.5,Ctrl
Coleofasciculaceae,0,Ctrl
Corynebacteriaceae,0,Ctrl
CPla-3 termite group,28.43333333,Ctrl
cvE6,0,Ctrl
Cytophagaceae,0,Ctrl
Desulfarculaceae,0,Ctrl
Devosiaceae,68,Ctrl
Diplorickettsiaceae,767,Ctrl
Dongiaceae,115,Ctrl
Enterobacteriaceae,25.75,Ctrl
Entotheonellaceae,0,Ctrl
env.OPS 17,18,Ctrl
Family XVIII,107,Ctrl
Fimbriimonadaceae,11,Ctrl
Frankiaceae,0,Ctrl
Gaiellaceae,589,Ctrl
Gemmataceae,33.25,Ctrl
Gemmatimonadaceae,2800.083333,Ctrl
Geodermatophilaceae,7,Ctrl
Gracilibacteraceae,0,Ctrl
groundwater metagenome,0,Ctrl
Haliangiaceae,52,Ctrl
Hymenobacteraceae,0,Ctrl
Hyphomicrobiaceae,15.5,Ctrl
Hyphomonadaceae,26,Ctrl
Iamiaceae,125,Ctrl
Ilumatobacteraceae,0,Ctrl
Inquilinaceae,0,Ctrl
Intrasporangiaceae,6,Ctrl
Isosphaeraceae,0,Ctrl
JG30-KF-AS9,460.6666667,Ctrl
JG30-KF-CM45,12,Ctrl
KF-JG30-B3,7,Ctrl
Kineosporiaceae,0,Ctrl
Ktedonobacteraceae,30.5,Ctrl
Lachnospiraceae,0,Ctrl
Latescibacteraceae,0,Ctrl
Leptolyngbyaceae,147,Ctrl
Longimicrobiaceae,104,Ctrl
metagenome,21,Ctrl
metal-contaminated soil clone K20-27,0,Ctrl
Methylacidiphilaceae,0,Ctrl
Methyloligellaceae,23,Ctrl
Microbacteriaceae,0,Ctrl
Micrococcaceae,0,Ctrl
Micromonosporaceae,184.6666667,Ctrl
Micropepsaceae,22.5,Ctrl
Microscillaceae,23.5,Ctrl
Mitochondria,0,Ctrl
mle1-27,0,Ctrl
Moraxellaceae,0,Ctrl
Mycobacteriaceae,3,Ctrl
Nannocystaceae,78.25,Ctrl
Nitrosomonadaceae,54,Ctrl
Nitrospiraceae,38,Ctrl
Nocardiaceae,0,Ctrl
Nocardioidaceae,14.25,Ctrl
Nostocaceae,0,Ctrl
Nostocales Incertae Sedis,0,Ctrl
NS11-12 marine group,0,Ctrl
NS9 marine group,75,Ctrl
Opitutaceae,143.5,Ctrl
P3OB-42,0,Ctrl
Paenibacillaceae,1074.9,Ctrl
Parachlamydiaceae,0,Ctrl
Pedosphaeraceae,332.1666667,Ctrl
Peptostreptococcaceae,0,Ctrl
Phaselicystidaceae,0,Ctrl
Phycisphaeraceae,247.75,Ctrl
Pirellulaceae,289.25,Ctrl
Planococcaceae,0,Ctrl
Polyangiaceae,5.5,Ctrl
Propionibacteriaceae,0,Ctrl
Pseudomonadaceae,0,Ctrl
Pseudonocardiaceae,520,Ctrl
Pyrinomonadaceae,448.6666667,Ctrl
Reyranellaceae,22.5,Ctrl
Rhizobiaceae,44,Ctrl
Rhizobiales Incertae Sedis,80,Ctrl
Rhodanobacteraceae,15,Ctrl
Rhodocyclaceae,8,Ctrl
Rhodomicrobiaceae,0,Ctrl
Rhodospirillaceae,0,Ctrl
Roseiflexaceae,300.5,Ctrl
Rubinisphaeraceae,0,Ctrl
Saccharum hybrid cultivar,0,Ctrl
Sandaracinaceae,34,Ctrl
Saprospiraceae,17.5,Ctrl
SC-I-84,933.5,Ctrl
Schlesneriaceae,0,Ctrl
Simkaniaceae,2,Ctrl
Solibacteraceae (Subgroup 3),593.5,Ctrl
Solimonadaceae,0,Ctrl
Solirubrobacteraceae,3,Ctrl
Sphingobacteriaceae,0,Ctrl
Sphingomonadaceae,698,Ctrl
Spirosomaceae,0,Ctrl
Sporichthyaceae,0,Ctrl
Steroidobacteraceae,0,Ctrl
