Source,Target,Label,inter
1,50,1,pp
1,193,1,pp
1,747,1,pp
2,745,1,pp
3,122,1,pp
3,477,1,pp
3,887,1,pp
4,314,-1,np
5,854,1,pp
6,491,1,pp
6,548,1,pp
6,871,1,pp
7,1295,-1,np
8,1100,1,pp
9,1273,1,pp
10,21,-1,np
10,217,1,pp
10,324,1,pp
11,672,1,pp
12,837,1,pp
13,483,-1,np
13,848,1,pp
14,419,1,pp
14,1163,1,pp
15,400,-1,np
16,19,1,pp
17,700,1,pp
18,790,1,pp
18,1326,-1,np
18,1340,1,pp
19,926,-1,np
20,418,-1,np
20,829,-1,np
21,217,-1,np
21,324,-1,np
22,686,-1,np
23,98,-1,np
23,155,1,pp
23,194,1,pp
23,488,1,pp
24,753,-1,np
25,587,1,pp
25,1177,1,pp
26,645,1,pp
26,658,1,pp
27,205,1,pp
27,878,1,pp
27,1147,1,pp
28,100,-1,np
29,192,1,pp
29,253,1,pp
29,1165,-1,np
30,1185,1,pp
30,1316,1,pp
31,569,1,pp
32,182,-1,np
32,814,-1,np
33,967,-1,np
33,1311,-1,np
34,67,1,pp
34,1014,1,pp
35,381,1,pp
35,1290,-1,np
36,1023,1,pp
36,1040,1,pp
37,305,1,pp
37,667,1,pp
37,784,1,pp
38,434,1,pp
38,1334,1,pp
39,139,1,pp
40,1244,-1,np
40,1421,1,pp
41,846,1,pp
41,1193,1,pp
42,1047,1,pp
43,945,1,pp
44,1348,-1,np
45,386,-1,np
45,675,1,pp
46,361,-1,np
46,557,1,pp
46,776,-1,np
47,364,1,pp
48,1310,1,pp
49,824,1,pp
50,147,1,pp
51,835,1,pp
52,1178,1,pp
53,1098,-1,np
54,846,-1,np
55,405,1,pp
55,1091,1,pp
56,66,1,pp
57,325,1,pp
57,513,1,pp
58,746,-1,np
59,106,-1,np
59,1342,-1,np
60,598,1,pp
61,592,-1,np
62,505,1,pp
62,930,1,pp
62,1291,1,pp
63,534,1,pp
64,787,1,pp
64,846,-1,np
65,73,1,pp
67,1014,1,pp
68,319,-1,np
68,508,1,pp
69,780,-1,np
69,1103,-1,np
70,948,1,pp
70,1333,-1,np
71,707,1,pp
71,1076,1,pp
71,1263,1,pp
72,844,-1,np
72,1008,-1,np
72,1247,-1,np
73,317,-1,np
73,1233,1,pp
74,589,1,pp
75,1321,1,pp
76,1125,1,pp
77,755,-1,np
78,353,1,pp
79,570,-1,np
80,775,1,pp
80,1189,1,pp
80,1309,1,pp
81,90,1,pp
81,178,1,pp
81,884,1,pp
82,1111,1,pp
82,1115,1,pp
83,1100,1,pp
84,1272,1,pp
85,895,-1,np
86,127,1,pp
86,233,-1,np
86,504,1,pp
87,551,1,pp
88,1237,-1,np
89,1337,1,pp
90,103,1,pp
90,740,1,pp
90,741,1,pp
91,670,-1,np
92,838,1,pp
93,1319,1,pp
94,383,1,pp
94,1243,-1,np
95,200,1,pp
96,436,1,pp
