Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu660,3,5,5,1.50E-45,0,49,1.75,0
Zotu1339,1,0,0,2.69E-80,0,408,0,0
Zotu2726,3,5,5,1.50E-45,0,53,1.75,0
Zotu100,1,0,0,9.91E-61,0,187,0,0
Zotu250,1,0,0,2.69E-80,0,288,0,0
Zotu6193,3,14,16,7.32E-25,0.333333333,10,0.75,0
Zotu1415,1,0,0,9.91E-61,0,175,0,0
Zotu5870,1,0,0,9.91E-61,0,201,0,0
Zotu351,1,0,0,9.91E-61,0,189,0,0
Zotu1837,3,0,0,2.85E-18,1,58,0,0
Zotu4596,1,0,0,2.87E-53,0,62,-1,0
Zotu4393,1,0,0,2.69E-80,0,228,0,0
Zotu1698,2,60,60,6.39E-30,0,5,0,0
Zotu5369,2,0,0,3.66E-41,1,102,0,0
Zotu265,1,0,0,9.91E-61,0,154,0,0
Zotu136,1,0,0,1.83E-41,0,28,-1.020620726,0
Zotu547,1,0,0,2.69E-80,0,372,0,0
Zotu26,3,3,4,1.86E-25,0.333333333,79,0.75,0
Zotu62,2,5,5,3.66E-41,0,28,0.40824829,0
Zotu2,2,1,1,9.91E-61,0,150,0,0
Zotu694,3,0,0,2.85E-18,1,58,0,0
Zotu133,1,0,0,2.69E-80,0,263,0,0
Zotu81,4,0,0,0.435172818,1,3,0.536924844,0
Zotu283,1,0,0,2.69E-80,0,234,0,0
Zotu4248,2,1,1,9.91E-61,0,194,0,0
Zotu3888,2,0,0,3.66E-41,1,131,0,0
Zotu4237,3,1.5,2,6.34E-29,0.333333333,83,1.224744871,0
Zotu1159,1,0,0,2.69E-80,0,225,0,0
Zotu7825,3,14.5,29,1.68E-19,0.666666667,1,0.911322377,0
Zotu3245,2,0,0,3.66E-41,1,126,0,0
Zotu173,1,0,0,2.87E-53,0,69,-1,0
Zotu684,2,56,80,3.62E-24,0,6,-0.179605302,0
Zotu777,2,3,9,5.40E-20,0,39,-0.359210604,0
Zotu476,2,0,0,3.71E-29,1,16,0,0
Zotu1525,2,4,4,3.69E-49,0,44,0.816496581,0
