Source,Target,Label,inter
1,166,1,pp
1,346,1,pp
1,515,1,pp
1,1364,1,pp
2,850,-1,np
2,894,-1,np
3,1044,1,pp
4,58,-1,np
5,184,1,pp
5,794,1,pp
5,1232,1,pp
6,1291,1,pp
7,865,1,pp
8,169,1,pp
9,187,-1,np
9,403,-1,np
9,572,-1,np
9,574,-1,np
9,1038,-1,np
10,30,-1,np
11,896,1,pp
11,1022,1,pp
11,1346,1,pp
12,255,1,pp
12,290,1,pp
13,761,-1,np
13,1027,-1,np
14,634,-1,np
14,1127,1,pp
15,962,-1,np
15,1190,-1,np
16,1021,1,pp
17,1073,-1,np
18,1152,-1,np
19,1182,1,pp
20,954,1,pp
21,582,1,pp
22,1226,-1,np
23,1362,1,pp
24,213,1,pp
24,531,1,pp
25,366,-1,np
25,440,1,pp
26,1224,1,pp
27,149,-1,np
27,1248,-1,np
27,1291,-1,np
28,827,1,pp
28,847,1,pp
28,856,1,pp
28,885,-1,np
28,888,1,pp
29,83,1,pp
29,475,-1,np
31,132,1,pp
31,898,-1,np
32,357,-1,np
32,1222,1,pp
33,514,1,pp
33,543,1,pp
34,1040,-1,np
35,570,1,pp
36,45,1,pp
36,176,1,pp
37,752,-1,np
38,528,-1,np
38,568,-1,np
39,848,1,pp
40,831,1,pp
41,195,1,pp
41,296,1,pp
41,471,-1,np
41,997,-1,np
41,1071,-1,np
42,169,1,pp
42,406,1,pp
42,909,1,pp
42,997,-1,np
43,686,1,pp
44,363,1,pp
46,157,1,pp
46,316,1,pp
46,1239,-1,np
47,160,1,pp
47,190,1,pp
48,902,-1,np
49,380,-1,np
50,282,1,pp
51,205,-1,np
51,934,1,pp
52,1347,-1,np
53,102,-1,np
54,1094,1,pp
55,1175,-1,np
56,945,-1,np
57,952,-1,np
57,1348,-1,np
59,218,1,pp
60,369,1,pp
60,572,1,pp
60,895,-1,np
61,724,-1,np
62,150,1,pp
62,1357,1,pp
63,1115,-1,np
64,375,-1,np
64,1109,-1,np
65,355,1,pp
66,1259,1,pp
67,440,1,pp
68,1052,-1,np
69,701,1,pp
70,837,-1,np
71,1344,-1,np
72,857,-1,np
73,651,1,pp
74,1319,1,pp
75,658,1,pp
75,960,1,pp
75,1096,1,pp
75,1206,1,pp
76,217,1,pp
76,546,1,pp
77,142,1,pp
77,639,1,pp
78,1152,1,pp
79,156,-1,np
79,397,-1,np
79,529,-1,np
79,530,-1,np
79,618,-1,np
79,995,1,pp
80,90,-1,np
81,415,-1,np
82,152,1,pp
83,475,-1,np
84,455,-1,np
85,750,1,pp
86,810,-1,np
86,1071,1,pp
86,1082,1,pp
86,1089,1,pp
86,1287,1,pp
87,100,1,pp
87,723,1,pp
87,927,1,pp
87,1113,1,pp
87,1209,1,pp
87,1321,-1,np
88,595,1,pp
89,398,-1,np
90,226,-1,np
90,871,-1,np
91,342,-1,np
91,654,1,pp
91,866,-1,np
92,376,-1,np
92,852,1,pp
92,1185,1,pp
93,291,-1,np
93,295,-1,np
93,717,1,pp
94,538,-1,np
94,619,1,pp
95,189,-1,np
95,220,-1,np
95,472,1,pp
96,1279,1,pp
97,296,-1,np
97,305,-1,np
97,312,-1,np
97,471,1,pp
97,614,1,pp
98,223,-1,np
98,987,1,pp
98,1227,1,pp
99,1165,1,pp
100,587,1,pp
100,1209,1,pp
101,587,1,pp
101,999,1,pp
103,798,-1,np
103,1012,1,pp
103,1151,1,pp
104,413,-1,np
105,1297,1,pp
106,239,-1,np
106,418,-1,np
106,1140,1,pp
106,1256,1,pp
106,1257,1,pp
107,775,-1,np
107,841,-1,np
107,923,-1,np
108,154,1,pp
108,256,-1,np
108,325,-1,np
109,213,-1,np
109,402,-1,np
109,1015,1,pp
110,276,1,pp
110,826,1,pp
110,1111,1,pp
111,439,-1,np
112,374,1,pp
112,906,1,pp
112,913,1,pp
112,1223,1,pp
113,401,1,pp
113,1157,-1,np
113,1343,1,pp
114,242,1,pp
115,390,1,pp
116,164,1,pp
116,834,-1,np
117,904,1,pp
117,1057,1,pp
118,860,-1,np
118,1326,1,pp
119,1219,-1,np
120,320,1,pp
121,914,1,pp
122,1199,1,pp
123,692,-1,np
123,1285,-1,np
124,657,-1,np
124,1005,-1,np
125,207,-1,np
125,360,1,pp
126,1311,1,pp
127,203,1,pp
127,598,-1,np
127,630,1,pp
127,1064,1,pp
128,863,1,pp
129,622,1,pp
130,1334,1,pp
131,1102,1,pp
133,853,1,pp
134,335,-1,np
135,301,1,pp
136,1117,-1,np
137,870,-1,np
138,612,1,pp
138,802,1,pp
139,280,-1,np
139,384,-1,np
139,607,1,pp
140,1103,-1,np
140,1155,-1,np
141,512,1,pp
142,639,1,pp
143,458,1,pp
143,675,-1,np
144,425,1,pp
144,575,1,pp
145,421,-1,np
146,1271,1,pp
147,206,-1,np
148,815,1,pp
149,668,1,pp
149,1248,1,pp
151,378,-1,np
151,643,-1,np
153,375,-1,np
154,211,-1,np
154,256,-1,np
154,922,1,pp
155,322,1,pp
155,1002,-1,np
156,174,1,pp
156,201,1,pp
156,303,1,pp
156,618,1,pp
156,667,-1,np
156,1231,-1,np
157,316,1,pp
158,196,1,pp
158,376,1,pp
158,852,-1,np
159,658,-1,np
159,1080,-1,np
159,1206,-1,np
160,555,-1,np
161,190,1,pp
162,347,1,pp
163,617,1,pp
164,834,-1,np
165,228,-1,np
166,515,1,pp
167,754,-1,np
167,1060,-1,np
168,790,-1,np
168,1006,-1,np
169,347,1,pp
170,223,1,pp
170,341,1,pp
170,648,-1,np
170,1227,-1,np
170,1262,-1,np
171,259,1,pp
172,522,-1,np
172,1347,-1,np
173,213,1,pp
173,315,1,pp
173,1166,-1,np
174,201,1,pp
174,530,1,pp
174,667,-1,np
175,269,1,pp
175,1255,-1,np
175,1268,-1,np
177,921,-1,np
178,179,1,pp
178,326,1,pp
179,291,1,pp
179,295,1,pp
179,326,1,pp
179,331,1,pp
179,717,-1,np
180,756,-1,np
180,1007,1,pp
181,665,-1,np
182,334,1,pp
182,524,-1,np
182,1225,1,pp
183,790,-1,np
183,1170,-1,np
184,794,1,pp
184,1232,1,pp
185,250,1,pp
185,344,1,pp
185,698,-1,np
185,999,-1,np
185,1208,1,pp
186,299,1,pp
186,647,-1,np
186,1014,-1,np
187,403,1,pp
187,572,1,pp
187,574,1,pp
187,1038,1,pp
188,1187,-1,np
189,472,-1,np
189,997,-1,np
189,1071,-1,np
190,555,-1,np
191,844,1,pp
192,215,-1,np
192,710,1,pp
192,938,-1,np
192,1354,-1,np
193,818,-1,np
194,713,-1,np
195,296,1,pp
195,471,-1,np
195,997,-1,np
195,1071,-1,np
196,407,1,pp
197,422,-1,np
197,718,-1,np
197,731,-1,np
197,1137,1,pp
198,682,1,pp
199,798,1,pp
199,1151,-1,np
199,1294,-1,np
200,638,1,pp
201,530,1,pp
201,667,-1,np
202,313,1,pp
202,1356,1,pp
203,598,-1,np
203,630,1,pp
203,1064,1,pp
204,726,-1,np
204,977,-1,np
205,584,1,pp
207,360,-1,np
208,1028,-1,np
208,1170,-1,np
209,294,-1,np
209,1086,1,pp
209,1217,-1,np
209,1275,-1,np
210,1184,1,pp
211,325,1,pp
211,404,1,pp
211,1181,-1,np
211,1266,-1,np
212,348,1,pp
212,399,1,pp
212,403,1,pp
212,574,1,pp
213,402,1,pp
213,531,1,pp
213,1015,-1,np
214,903,1,pp
215,1118,-1,np
216,1298,-1,np
219,1265,-1,np
220,472,-1,np
220,489,-1,np
220,677,-1,np
221,467,-1,np
221,609,-1,np
222,711,-1,np
222,1019,-1,np
222,1138,-1,np
223,648,-1,np
223,987,-1,np
223,1095,-1,np
223,1227,-1,np
223,1262,-1,np
224,1359,1,pp
225,609,-1,np
225,1308,1,pp
227,410,1,pp
227,686,1,pp
227,797,1,pp
229,540,1,pp
230,385,1,pp
231,1250,-1,np
232,408,1,pp
233,317,1,pp
234,953,1,pp
235,508,1,pp
236,768,-1,np
237,1309,-1,np
238,1286,1,pp
239,753,-1,np
239,1140,-1,np
239,1257,-1,np
240,488,-1,np
241,1246,-1,np
243,245,1,pp
243,579,1,pp
243,906,1,pp
244,1203,1,pp
246,877,-1,np
247,965,-1,np
248,1332,1,pp
249,1370,1,pp
250,1129,-1,np
250,1208,1,pp
251,910,1,pp
252,1265,1,pp
253,785,1,pp
254,1004,-1,np
255,290,1,pp
256,325,1,pp
257,265,1,pp
258,1041,1,pp
260,429,-1,np
260,1106,-1,np
261,839,-1,np
261,1003,-1,np
262,490,-1,np
263,337,1,pp
263,438,1,pp
264,394,1,pp
264,451,-1,np
266,842,-1,np
267,942,1,pp
268,707,1,pp
269,1255,-1,np
269,1268,-1,np
270,288,1,pp
270,324,1,pp
270,329,1,pp
271,281,1,pp
272,956,-1,np
273,988,-1,np
273,1070,1,pp
274,499,-1,np
274,659,-1,np
274,1020,1,pp
275,931,1,pp
275,933,-1,np
277,860,1,pp
278,305,1,pp
278,309,1,pp
278,312,1,pp
278,995,-1,np
279,284,1,pp
279,982,-1,np
283,1095,-1,np
284,982,-1,np
285,786,-1,np
286,318,1,pp
286,352,1,pp
287,724,-1,np
288,329,1,pp
288,1293,-1,np
289,1141,-1,np
289,1170,-1,np
289,1173,-1,np
291,295,1,pp
291,296,1,pp
291,471,-1,np
291,717,-1,np
292,414,1,pp
293,705,1,pp
293,1339,1,pp
294,1275,1,pp
295,296,1,pp
295,471,-1,np
295,717,-1,np
296,462,-1,np
296,471,-1,np
296,717,-1,np
297,715,1,pp
298,641,-1,np
299,397,1,pp
299,507,1,pp
299,529,1,pp
300,989,-1,np
301,782,-1,np
301,1147,-1,np
302,1325,-1,np
304,676,1,pp
304,767,1,pp
305,312,1,pp
306,810,1,pp
306,1082,-1,np
307,810,1,pp
307,867,1,pp
308,769,-1,np
310,349,1,pp
311,666,-1,np
313,1356,1,pp
314,556,-1,np
316,1239,-1,np
317,349,1,pp
318,352,1,pp
319,596,1,pp
319,1236,1,pp
321,382,-1,np
321,1375,-1,np
322,1002,-1,np
323,505,1,pp
323,733,-1,np
324,329,1,pp
324,611,1,pp
324,1293,-1,np
327,347,1,pp
328,696,-1,np
328,869,-1,np
328,1141,-1,np
330,883,-1,np
330,1159,1,pp
330,1247,-1,np
331,867,1,pp
332,1121,-1,np
333,462,-1,np
333,965,-1,np
333,1170,-1,np
334,524,-1,np
334,1225,1,pp
334,1267,-1,np
336,1288,-1,np
337,438,1,pp
338,718,1,pp
339,1009,-1,np
340,595,1,pp
341,580,1,pp
341,648,-1,np
341,1262,-1,np
343,541,1,pp
343,957,1,pp
345,517,1,pp
346,1261,-1,np
348,577,1,pp
349,790,-1,np
349,976,-1,np
350,388,1,pp
351,765,-1,np
353,1091,-1,np
353,1335,-1,np
354,492,1,pp
356,939,1,pp
358,718,-1,np
359,1345,1,pp
361,1060,1,pp
361,1191,1,pp
362,548,1,pp
363,392,1,pp
363,1049,-1,np
364,509,1,pp
365,649,1,pp
366,440,-1,np
367,744,-1,np
367,1299,-1,np
368,534,1,pp
369,412,1,pp
369,573,1,pp
369,655,1,pp
369,895,-1,np
369,1245,-1,np
370,1108,1,pp
371,1018,1,pp
372,901,1,pp
373,956,1,pp
373,1196,1,pp
374,951,1,pp
374,1223,1,pp
376,852,-1,np
376,1295,-1,np
377,644,-1,np
378,1085,-1,np
379,545,-1,np
379,1294,1,pp
381,1341,1,pp
382,1375,1,pp
383,419,-1,np
383,670,-1,np
386,719,-1,np
387,509,-1,np
389,1130,-1,np
391,484,-1,np
391,684,1,pp
393,786,-1,np
394,451,-1,np
395,1336,1,pp
396,1159,1,pp
397,404,1,pp
397,529,1,pp
397,618,1,pp
399,405,1,pp
400,593,1,pp
402,1015,-1,np
403,572,1,pp
404,529,1,pp
405,1124,-1,np
407,647,-1,np
409,646,1,pp
409,845,1,pp
411,818,-1,np
412,655,1,pp
416,444,-1,np
417,900,1,pp
418,1151,-1,np
418,1257,-1,np
418,1294,-1,np
420,1297,1,pp
423,1353,-1,np
424,623,1,pp
424,897,1,pp
426,431,1,pp
427,479,-1,np
428,1136,1,pp
429,1061,-1,np
429,1106,1,pp
430,764,1,pp
432,666,1,pp
433,890,1,pp
434,590,1,pp
435,1333,-1,np
436,1105,-1,np
437,476,-1,np
438,1358,-1,np
441,551,1,pp
441,854,-1,np
441,1373,-1,np
442,1315,1,pp
443,1273,-1,np
443,1352,1,pp
445,502,-1,np
446,629,1,pp
446,1167,1,pp
446,1322,1,pp
447,876,-1,np
448,945,-1,np
449,633,1,pp
450,1145,-1,np
452,699,1,pp
452,1202,1,pp
453,463,-1,np
454,685,1,pp
454,1286,1,pp
456,663,1,pp
456,1329,-1,np
457,836,1,pp
457,1215,-1,np
457,1270,-1,np
458,1210,-1,np
459,713,1,pp
460,759,-1,np
460,1278,-1,np
461,1000,1,pp
462,471,1,pp
462,867,-1,np
462,1287,1,pp
464,1101,1,pp
465,645,1,pp
466,777,1,pp
467,943,1,pp
468,973,1,pp
469,930,1,pp
470,795,-1,np
470,835,-1,np
471,717,1,pp
473,589,-1,np
474,773,1,pp
477,804,1,pp
478,519,-1,np
478,755,-1,np
479,1207,-1,np
480,1198,-1,np
481,1179,1,pp
481,1277,1,pp
482,1119,1,pp
483,1230,1,pp
484,1148,-1,np
485,935,1,pp
486,659,-1,np
486,873,1,pp
487,904,1,pp
489,656,-1,np
489,1077,1,pp
491,770,1,pp
491,819,1,pp
492,948,-1,np
493,859,1,pp
494,537,1,pp
494,783,1,pp
495,636,-1,np
496,1162,-1,np
497,941,1,pp
498,1035,1,pp
498,1235,-1,np
500,1213,1,pp
501,874,-1,np
503,674,-1,np
503,1137,1,pp
504,748,-1,np
504,1033,1,pp
505,733,-1,np
506,1310,-1,np
510,674,-1,np
510,803,-1,np
510,1269,1,pp
511,772,-1,np
511,843,-1,np
513,1350,1,pp
513,1364,1,pp
514,543,1,pp
516,576,-1,np
518,771,-1,np
518,1237,-1,np
520,1271,-1,np
521,920,1,pp
522,790,1,pp
523,1123,-1,np
524,1225,-1,np
524,1267,1,pp
525,740,-1,np
526,627,1,pp
526,693,1,pp
527,1220,1,pp
528,533,1,pp
528,568,1,pp
529,618,1,pp
530,618,1,pp
530,667,-1,np
530,993,-1,np
532,911,1,pp
532,929,1,pp
533,568,1,pp
533,1284,1,pp
535,713,1,pp
535,1119,1,pp
536,1189,-1,np
538,619,-1,np
539,1052,1,pp
540,830,1,pp
541,957,1,pp
542,694,1,pp
542,1117,1,pp
544,1041,1,pp
547,1153,1,pp
549,1292,1,pp
550,944,-1,np
551,1373,-1,np
552,1338,-1,np
553,981,-1,np
554,892,1,pp
555,1181,1,pp
555,1266,1,pp
556,1147,1,pp
556,1184,-1,np
557,813,1,pp
557,1187,1,pp
558,864,1,pp
559,829,1,pp
559,1300,-1,np
560,628,-1,np
561,1000,-1,np
562,929,1,pp
563,1265,1,pp
564,1376,1,pp
565,632,-1,np
565,714,-1,np
566,798,1,pp
567,708,1,pp
569,762,-1,np
569,974,-1,np
571,609,1,pp
572,895,-1,np
573,655,1,pp
573,738,-1,np
573,1053,-1,np
578,1376,1,pp
579,906,1,pp
580,766,1,pp
581,1028,1,pp
581,1173,1,pp
583,1030,-1,np
585,814,1,pp
586,602,1,pp
586,1304,1,pp
587,723,1,pp
587,1113,1,pp
587,1129,1,pp
588,1139,1,pp
589,721,-1,np
591,1144,1,pp
592,729,-1,np
594,601,1,pp
594,628,1,pp
596,1236,1,pp
597,1328,1,pp
599,1318,1,pp
600,1372,1,pp
602,1304,1,pp
603,609,1,pp
604,1317,1,pp
605,758,-1,np
606,878,-1,np
608,792,1,pp
610,1008,1,pp
612,802,1,pp
612,820,1,pp
613,1010,-1,np
614,1247,1,pp
615,927,-1,np
615,1321,1,pp
616,706,1,pp
616,1046,1,pp
618,995,-1,np
620,950,1,pp
621,862,1,pp
621,1169,-1,np
623,897,1,pp
624,631,-1,np
624,1340,-1,np
