Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu660,4,28,28,8.41E-72,0.166666667,11,2.34520788,0
Zotu6379,2,12,12,7.29E-97,0,20,0.577350269,0
Zotu1339,1,0,0,2.05E-84,0,95,-1.414213562,0
Zotu2726,1,0,0,3.94E-153,0,393,0,0
Zotu3877,3,0,0,2.54E-55,1,63,0,0
Zotu934,1,0,0,8.00E-65,0,61,-1.414213562,0
Zotu250,1,0,0,3.94E-153,0,189,0,0
Zotu4187,1,0,0,0.000668192,0,12,-0.874157276,0
Zotu1415,5,17.33333333,73,1.80E-30,0.5,6,1.47570334,0
Zotu679,1,0,0,3.94E-153,0,251,0,0
Zotu1825,3,0,0,1.77E-52,1,22,0.353553391,0
Zotu547,2,0,0,2.03E-91,1,104,0,0
Zotu26,2,0,0,2.03E-91,1,91,0,0
Zotu12,2,0,0,2.03E-91,1,94,0,0
Zotu62,2,0,0,2.03E-91,1,110,0,0
Zotu133,1,0,0,3.94E-153,0,392,0,0
Zotu1360,1,0,0,3.94E-153,0,350,0,0
Zotu283,1,0,0,1.18E-98,0,35,-0.75,0
Zotu4248,1,0,0,3.94E-153,0,292,0,0
Zotu1269,1,0,0,3.94E-153,0,250,0,0
Zotu3233,1,0,0,3.94E-153,0,305,0,0
Zotu3344,1,0,0,3.94E-153,0,265,0,0
Zotu1159,1,0,0,3.94E-153,0,227,0,0
Zotu1676,2,0,0,6.23E-45,1,10,-0.442325868,0
Zotu4637,2,0,0,3.79E-84,1,81,0,0
Zotu777,1,0,0,3.94E-153,0,267,0,0
Zotu476,3,2,4,2.54E-64,0.666666667,61,0.707106781,0
Zotu1525,5,1.5,3,2.73E-25,0.7,42,1,0
Zotu4317,2,0,0,2.03E-91,1,89,0,0
Zotu4563,1,0,0,3.94E-153,0,251,0,0
Zotu2660,2,1,1,4.00E-122,0,123,0,0
Zotu3934,2,5,5,1.67E-98,0,23,0.632455532,0
Zotu5548,2,0,0,2.03E-91,1,80,0,0
Zotu1329,1,0,0,2.47E-15,0,0,-1.573312588,0
Zotu16362,1,0,0,3.94E-153,0,331,0,0
Zotu17692,2,1,1,4.00E-122,0,143,0,0
Zotu1284,1,0,0,3.94E-153,0,290,0,0
Zotu3133,2,0,0,1.01E-66,1,68,-0.5,0
Zotu2878,1,0,0,3.94E-153,0,256,0,0
Zotu1400,1,0,0,3.94E-153,0,249,0,0
Zotu602,5,1596.620695,101512,0.226759434,0.5,4,1.004975155,0
Zotu477,4,1369,22419,0.018843293,0,12,1.262671621,0.375
Zotu4198,1,0,0,1.18E-98,0,33,-0.75,0
Zotu564,1,0,0,1.83E-104,0,77,-0.577350269,0
Zotu629,1,0,0,2.00E-122,0,143,0,0
Zotu362,3,0.5,1,2.41E-69,0.666666667,67,1,0
Zotu548,2,1,2,5.18E-07,0,5,-1.186781658,0
Zotu830,1,0,0,1.87E-76,0,26,-1,0
Zotu274,1,0,0,3.94E-153,0,211,0,0
Zotu1640,1,0,0,3.94E-153,0,326,0,0
Zotu432,2,2,2,3.21E-110,0,51,1,0
Zotu2687,1,0,0,3.28E-07,0,2,-1.409004655,0
Zotu1052,1,0,0,3.94E-153,0,198,0,0
Zotu1294,1,0,0,3.94E-153,0,343,0,0
Zotu2132,1,0,0,3.94E-153,0,298,0,0
Zotu6886,1,0,0,2.00E-122,0,124,0,0
Zotu3657,2,5,5,1.67E-98,0,23,0.632455532,0
Zotu481,1,0,0,3.94E-153,0,393,0,0
Zotu1375,1,0,0,3.94E-153,0,187,0,0
Zotu1144,3,60,182,9.05E-31,0.666666667,6,0.059028134,0
Zotu5561,1,0,0,2.00E-122,0,141,0,0
Zotu1614,2,1,1,4.00E-122,0,145,0,0
Zotu3593,1,0,0,3.94E-153,0,333,0,0
Zotu59,2,2,2,3.21E-110,0,56,1,0
Zotu1846,1,0,0,3.94E-153,0,380,0,0
Zotu4500,1,0,0,3.94E-153,0,367,0,0
Zotu6149,1,0,0,2.05E-84,0,81,-1.414213562,0
Zotu835,1,0,0,2.00E-122,0,163,0,0
Zotu1250,1,0,0,3.94E-153,0,338,0,0
Zotu675,1,0,0,3.94E-153,0,330,0,0
Zotu3210,1,0,0,1.98E-110,0,55,-1,0
Zotu540,1,0,0,3.94E-153,0,312,0,0
Zotu790,1,0,0,3.94E-153,0,303,0,0
Zotu24,1,0,0,3.94E-153,0,289,0,0
Zotu2653,4,22,200,7.40E-33,0.666666667,3,0.745643719,0
Zotu6069,2,1,1,4.00E-122,0,158,0,0
Zotu20787,2,0,0,2.03E-91,1,98,0,0
Zotu1597,1,0,0,1.18E-98,0,35,-0.75,0
Zotu1787,6,2337.3,126537,0.001532639,0.4,1,1.601538047,0
Zotu2168,1,0,0,1.83E-104,0,72,-0.577350269,0
Zotu1379,1,0,0,3.94E-153,0,247,0,0
Zotu2407,1,0,0,3.94E-153,0,273,0,0
Zotu2291,2,0,0,2.03E-91,1,89,0,0
Zotu6119,1,0,0,3.94E-153,0,235,0,0
Zotu17775,1,0,0,3.94E-153,0,230,0,0
Zotu1186,5,419.5329496,14513,0.041807673,0.4,4,1.004975155,0
Zotu334,6,65.95238095,5956,4.63E-14,0.466666667,0,1.343502884,0
Zotu1496,1,0,0,2.00E-122,0,160,0,0
Zotu224,1,0,0,3.94E-153,0,220,0,0
Zotu244,3,3,3,5.48E-104,0,72,1.732050808,0
Zotu467,3,7,7,1.11E-95,0,27,1.788854382,0
Zotu645,3,143,9210,2.56E-07,0.333333333,1,-0.123195234,0
Zotu13,3,0,0,0.192032092,1,4,-0.156329469,0
Zotu972,2,0,0,2.03E-91,1,106,0,0
Zotu108,3,903,73848,0.009593914,0.666666667,4,-0.156329469,0
Zotu60,1,0,0,1.98E-110,0,59,-1,0
