"ID","Name","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
1,"Zotu10",3,2303,127553,0.041485061,0.666666667,4,-0.156329469,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
2,"Zotu10027",3,1412,21681,0.001339054,0,2,0.782780364,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
3,"Zotu1004",2,0,0,6.23e-45,1,10,-0.442325868,0,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","Ambiguous_taxa"
4,"Zotu1006",2,18,18,2.14e-64,0,14,0,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
5,"Zotu1007",3,0,0,2.06e-10,1,0,-0.406586399,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
6,"Zotu1008",1,0,0,3.94e-153,0,383,0,0,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","uncultured","uncultured Cytophagia bacterium"
7,"Zotu1009",1,0,0,2.05e-84,0,100,-1.414213562,0,"Latescibacteria","Latescibacteria","Latescibacterales","Latescibacteraceae","metagenome",NA
8,"Zotu10093",2,0,0,2.03e-91,1,84,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
9,"Zotu1010",5,1596.620695,101512,0.226759434,0.5,4,1.004975155,0,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora",NA
10,"Zotu1017",1,0,0,3.94e-153,0,209,0,0,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces",NA
11,"Zotu1018",2,8,8,2.02e-98,0,23,0.632455532,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured soil bacterium"
12,"Zotu102",1,0,0,3.94e-153,0,278,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
13,"Zotu1020",1,0,0,1.98e-110,0,57,-1,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
14,"Zotu1021",3,9.166666667,100,1.69e-32,0.666666667,3,-0.062136977,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
15,"Zotu1022",1,0,0,2.06e-88,0,16,-0.989949494,0,"Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
16,"Zotu1024",1,0,0,3.94e-153,0,259,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Pasteuria sp."
17,"Zotu1026",4,413.5,32066,1.83e-05,0.5,5,1.068103492,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
18,"Zotu1029",2,2,2,3.21e-110,0,56,1,0,"Patescibacteria","Saccharimonadia","Saccharimonadales","wastewater metagenome",NA,NA
19,"Zotu1033",2,12,12,7.29e-97,0,19,0.577350269,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","uncultured Burkholderiales bacterium",NA
20,"Zotu1035",1,0,0,3.94e-153,0,293,0,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)",NA,NA
21,"Zotu1039",1,0,0,2.84e-14,0,0,-1.573312588,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
22,"Zotu1042",4,1.8,9,0.000498559,0.833333333,1,0.451715859,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured proteobacterium"
23,"Zotu1043",2,0,0,2.03e-91,1,113,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","mle1-7","uncultured Burkholderiales bacterium"
24,"Zotu1045",2,0,0,2.74e-66,1,13,-1,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
25,"Zotu1049",3,5,5,2.85e-98,0,35,1.75,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
26,"Zotu1051",1,0,0,5.51e-81,0,7,-1.02105494,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA
27,"Zotu1052",1,0,0,3.94e-153,0,198,0,0,"Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia","Azospirillum sp. T2-YC6788"
28,"Zotu10557",1,0,0,2e-122,0,161,0,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","bacteriap25","unidentified",NA
29,"Zotu1066",2,8,8,3.98e-65,0,14,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
30,"Zotu1067",2,9,9,2.37e-98,0,24,0.632455532,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","bacterium Ellin517",NA
31,"Zotu107",3,2.333333333,9,6.76e-06,0.666666667,5,-0.059339083,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
32,"Zotu1072",1,0,0,3.94e-153,0,370,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
33,"Zotu1074",1,0,0,3.94e-153,0,167,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Blastocatella sp."
34,"Zotu1077",3,43,147,2.43e-31,0,6,0.059028134,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella",NA
35,"Zotu1078",1,0,0,3.94e-153,0,335,0,0,NA,NA,NA,NA,NA,NA
36,"Zotu108",3,903,73848,0.009593914,0.666666667,4,-0.156329469,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3"
37,"Zotu1082",1,0,0,3.94e-153,0,214,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84","uncultured Acidobacteria bacterium",NA
38,"Zotu1083",1,0,0,3.94e-153,0,286,0,0,"Acidobacteria","Subgroup 6","uncultured beta proteobacterium",NA,NA,NA
39,"Zotu1086",1,0,0,3.94e-153,0,344,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas",NA
40,"Zotu1087",2,1,1,4e-122,0,157,0,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
41,"Zotu1088",4,37,41,5.48e-63,0,8,1.707531157,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA
42,"Zotu109",5,63.66190476,5189,4.78e-14,0.5,0,0.76013979,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA
43,"Zotu1091",1,0,0,2e-122,0,144,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured Planctomycetales bacterium",NA
44,"Zotu1094",1,0,0,3.94e-153,0,168,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","mle1-7","uncultured Burkholderiales bacterium"
45,"Zotu1097",3,25.5,102,4.33e-31,0.333333333,6,0.059028134,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","uncultured delta proteobacterium",NA
46,"Zotu1099",3,3,4,1.18e-66,0.333333333,68,0.75,0,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Kouleothrix",NA
47,"Zotu11",1,0,0,0.000130039,0,12,-0.874157276,0,"Firmicutes","Bacilli",NA,NA,NA,NA
48,"Zotu110",2,423,4368,9.28e-06,0,2,-0.313112146,0,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
49,"Zotu1102",1,0,0,3.94e-153,0,351,0,0,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured Chloroflexaceae bacterium"
50,"Zotu1104",3,71,1456,2.38e-06,0.666666667,2,0.782780364,0,"Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae",NA,NA
51,"Zotu1108",1,0,0,2e-122,0,138,0,0,"Acidobacteria","Subgroup 6",NA,NA,NA,NA
52,"Zotu111",1,0,0,0.003424855,0,12,-0.874157276,0,"Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria Incertae Sedis","Unknown Family","EcFYyy-200",NA
53,"Zotu1112",1,0,0,1.18e-98,0,35,-0.75,0,"Chloroflexi","Dehalococcoidia","S085",NA,NA,NA
54,"Zotu1113",1,0,0,3.94e-153,0,211,0,0,"Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured Epsilonproteobacteria bacterium",NA,NA
55,"Zotu1118",2,0,0,5.65e-72,1,11,0,0,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
56,"Zotu112",1,0,0,3.94e-153,0,347,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA
57,"Zotu11218",1,0,0,3.94e-153,0,352,0,0,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
58,"Zotu1123",2,1,2,1.32e-85,0,64,0,0,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","uncultured","Bacteroidetes bacterium N2"
59,"Zotu1128",4,87,198,1.55e-30,0.5,6,0.767365737,0,"Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria Incertae Sedis","Unknown Family","Leptolyngbya ANT.L52.2","uncultured Leptolyngbya sp."
60,"Zotu113",3,285,2915,1.81e-06,0,2,0.782780364,0,"Acidobacteria","Blastocatellia (Subgroup 4)","44889","uncultivated soil bacterium clone S111",NA,NA
61,"Zotu1131",1,0,0,5.71e-101,0,31,-1.414213562,0,"Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus",NA
62,"Zotu1133",1,0,0,1.98e-110,0,58,-1,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter","uncultured Haliscomenobacter sp."
63,"Zotu1138",1,0,0,6.1e-33,0,3,-1.677698368,0,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae",NA,NA
64,"Zotu1139",1,0,0,1.83e-104,0,39,-1.224744871,0,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae",NA,NA
65,"Zotu114",7,489,12237,0.000887619,0.19047619,1,2.17644914,0,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
66,"Zotu1140",1,0,0,3.94e-153,0,305,0,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
67,"Zotu1143",2,15,15,2.08e-84,0,17,0.242535625,0,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
68,"Zotu1144",3,60,182,9.05e-31,0.666666667,6,0.059028134,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","KF-JG30-B3",NA,NA
69,"Zotu1148",2,0,0,2.03e-91,1,113,0,0,"Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus","uncultured Alicyclobacillus sp."
70,"Zotu11480",1,0,0,3.94e-153,0,284,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
71,"Zotu11516",3,285,4495,0.000715462,0,12,1.262671621,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
72,"Zotu1154",1,0,0,4.8e-85,0,17,-0.848874688,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","mle1-7","uncultured Burkholderiales bacterium"
73,"Zotu1159",1,0,0,3.94e-153,0,227,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
74,"Zotu116",2,0,0,1.88e-69,1,88,-0.5,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","uncultivated soil bacterium clone C105"
75,"Zotu1160",2,0,0,3.79e-84,1,95,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured eubacterium WD283",NA
76,"Zotu1161",2,0,0,2.03e-91,1,107,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","mle1-7","uncultured Burkholderiales bacterium"
77,"Zotu1164",1,0,0,1.83e-104,0,75,-0.577350269,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter","uncultured Haliscomenobacter sp."
78,"Zotu1165",2,6,6,1.8e-74,0,18,0,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505"
79,"Zotu1170",1,0,0,3.67e-76,0,26,-1,0,"Chloroflexi",NA,NA,NA,NA,NA
80,"Zotu1171",1,0,0,3.94e-153,0,365,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
81,"Zotu1172",1,0,0,3.94e-153,0,209,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
82,"Zotu11744",1,0,0,3.94e-153,0,278,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
83,"Zotu1175",1,0,0,3.94e-153,0,253,0,0,"Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured bacterium",NA
84,"Zotu1176",1,0,0,3.94e-153,0,168,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","MND1","uncultured Nitrosomonadales bacterium"
85,"Zotu118",1,0,0,3.94e-153,0,189,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","Planctomycetales bacterium Ellin7224",NA
86,"Zotu1183",2,20,20,5.26e-89,0,15,0.267261242,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella","uncultured soil bacterium"
87,"Zotu1186",5,419.5329496,14513,0.041807673,0.4,4,1.004975155,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
88,"Zotu1190",4,44,52,1.92e-62,0.166666667,8,1.707531157,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured Planctomycetales bacterium",NA
89,"Zotu1191",1,0,0,2e-122,0,128,0,0,"Cyanobacteria","Melainabacteria","Obscuribacterales","Ambiguous_taxa",NA,NA
90,"Zotu1192",1,0,0,2e-122,0,162,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA
91,"Zotu1194",1,0,0,3.94e-153,0,282,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter","uncultured Haliscomenobacter sp."
92,"Zotu1197",3,1,2,1.33e-66,0.666666667,68,0.75,0,"Proteobacteria","Deltaproteobacteria","Desulfarculales","Desulfarculaceae","uncultured","uncultured proteobacterium"
93,"Zotu12",2,0,0,2.03e-91,1,94,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer",NA
94,"Zotu1200",4,1100,17384,0.000277289,0.166666667,2,1.878672873,0,"Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767","uncultured Bacteroidetes bacterium",NA
95,"Zotu1201",1,0,0,3.94e-153,0,207,0,0,"Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured Epsilonproteobacteria bacterium",NA,NA
96,"Zotu1202",1,0,0,8e-65,0,61,-1.414213562,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured proteobacterium"
97,"Zotu12028",2,0,0,2.03e-91,1,97,0,0,"Chloroflexi","Ktedonobacteria","Ktedonobacterales","JG30-KF-AS9","uncultured Thermosporothrix sp.",NA
98,"Zotu1203",1,0,0,3.94e-153,0,325,0,0,"Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
99,"Zotu1207",1,0,0,1.96e-32,0,3,-1.677698368,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA
100,"Zotu1208",2,10,10,3.97e-90,0,25,0.377964473,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
101,"Zotu121",1,0,0,2e-122,0,137,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
102,"Zotu1211",5,267.6666667,13609,5.24e-13,0.1,0,0.76013979,0,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA
103,"Zotu1212",2,0,0,2.03e-91,1,118,0,0,"Acidobacteria","Subgroup 6",NA,NA,NA,NA
