Source,Target,Label,inter
1,120,1,pp
2,1075,-1,np
2,1133,-1,np
3,515,1,pp
4,1051,1,pp
4,1197,1,pp
4,1288,1,pp
5,480,-1,np
5,1293,1,pp
6,287,-1,np
6,1095,-1,np
6,1301,-1,np
7,662,-1,np
7,1263,1,pp
8,365,1,pp
8,1189,1,pp
9,145,-1,np
10,204,1,pp
10,632,1,pp
10,855,-1,np
10,1061,-1,np
11,597,-1,np
11,739,1,pp
11,1362,-1,np
12,465,1,pp
12,468,1,pp
12,1064,-1,np
12,1105,-1,np
13,1099,-1,np
14,1005,1,pp
15,113,1,pp
15,1183,1,pp
16,617,1,pp
16,936,1,pp
17,1367,-1,np
17,1396,1,pp
18,498,1,pp
18,831,-1,np
19,563,1,pp
20,314,1,pp
20,862,1,pp
20,1079,1,pp
20,1088,1,pp
21,758,1,pp
21,906,1,pp
21,1114,1,pp
21,1181,-1,np
22,1380,-1,np
23,574,-1,np
24,344,1,pp
24,828,1,pp
24,949,1,pp
24,1131,-1,np
25,521,-1,np
26,895,1,pp
27,1376,-1,np
27,1390,-1,np
28,530,-1,np
29,90,-1,np
30,964,1,pp
31,476,-1,np
32,784,-1,np
33,1128,1,pp
34,446,1,pp
35,216,1,pp
35,910,1,pp
36,1320,1,pp
36,1326,1,pp
37,1062,-1,np
37,1073,1,pp
38,884,-1,np
39,1053,-1,np
40,1081,-1,np
40,1103,-1,np
41,307,1,pp
41,475,1,pp
41,1200,1,pp
41,1377,1,pp
41,1385,1,pp
42,139,1,pp
43,636,-1,np
43,908,1,pp
43,1112,1,pp
44,547,-1,np
45,282,1,pp
46,304,1,pp
47,1068,-1,np
48,210,1,pp
49,469,-1,np
49,1351,1,pp
50,887,1,pp
51,1139,-1,np
52,513,1,pp
52,1009,1,pp
53,462,1,pp
53,1286,1,pp
54,548,-1,np
54,1155,1,pp
55,1164,1,pp
56,478,-1,np
56,571,-1,np
57,1086,1,pp
58,457,1,pp
58,818,1,pp
59,612,-1,np
60,838,1,pp
61,386,-1,np
61,541,-1,np
61,1170,-1,np
62,1132,1,pp
63,1004,1,pp
63,1072,-1,np
64,227,1,pp
64,545,1,pp
64,1391,-1,np
65,653,1,pp
65,686,1,pp
66,80,-1,np
67,1070,-1,np
