Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu1339,1,0,0,1.47800978761828e-311,0,394,0,0
Zotu1167,2,3,3,4.56E-195,0,51,0.5,0
Zotu1777,1,0,0,6.23E-246,0,168,0,0
Zotu1418,3,6.5,9,3.37E-133,0,38,0.811107106,0
Zotu934,2,26,30,3.92E-100,0,5,-0.25819889,0
Zotu100,3,11,36,1.57E-93,0.666666667,4,0.383482494,0
Zotu250,2,1,1,1.25E-245,0,171,0,0
Zotu4187,2,0,0,1.64E-164,1,99,0,0
Zotu1415,1,0,0,1.47800978761828e-311,0,327,0,0
Zotu351,4,51.33333333,192,9.34E-61,0.833333333,1,1.182624792,0
Zotu1837,3,11,21,2.82E-108,0,39,0.538815906,0
Zotu1494,4,19,29,1.60E-104,0.166666667,10,1.58771324,0
Zotu679,1,0,0,1.47800978761828e-311,0,347,0,0
Zotu136,1,0,0,6.23E-246,0,136,0,0
Zotu547,2,1,1,1.25E-245,0,140,0,0
Zotu12,2,4,4,1.33E-186,0,33,0.447213595,0
Zotu1244,2,0,0,3.76E-103,1,81,-0.816496581,0
Zotu133,2,24,26,6.36E-122,0,8,-0.165521178,0
Zotu81,1,0,0,2.61E-83,0,3,-1.355343691,0
Zotu1360,4,54.66666667,92,4.01E-62,0,2,0.61159284,0
Zotu1269,4,204,663,2.17E-05,0,0,0.452378499,0
Zotu3233,1,0,0,1.47800978761828e-311,0,250,0,0
Zotu2669,1,0,0,1.21E-106,0,10,-1.226869322,0
Zotu3344,4,299.4119048,2961,0.026686924,0.5,0,0.452378499,0
Zotu3888,1,0,0,1.47800978761828e-311,0,384,0,0
Zotu4659,1,0,0,9.67E-190,0,29,-0.894427191,0
Zotu1159,2,0,0,5.25E-180,1,104,0,0
Zotu173,1,0,0,1.47800978761828e-311,0,365,0,0
Zotu684,1,0,0,6.23E-246,0,144,0,0
Zotu1676,1,0,0,1.47800978761828e-311,0,198,0,0
Zotu777,1,0,0,2.27E-220,0,72,-1,0
Zotu476,1,0,0,6.23E-246,0,184,0,0
Zotu1525,1,0,0,1.19E-155,0,22,-1.224744871,0
Zotu3934,1,0,0,6.91E-05,0,0,-1.268275435,0
Zotu17692,2,0,0,1.64E-164,1,117,0,0
Zotu621,2,140,405,2.38E-62,0,1,-0.473049917,0
Zotu1586,2,2,2,3.68E-220,0,64,1,0
Zotu950,1,0,0,7.70E-187,0,34,-0.894427191,0
Zotu1762,1,0,0,1.47800978761828e-311,0,374,0,0
Zotu1284,2,1,1,1.25E-245,0,193,0,0
Zotu6093,5,1.666666667,5,1.50E-39,0.7,50,0.928279122,0
Zotu1555,1,0,0,1.47800978761828e-311,0,341,0,0
Zotu10219,3,0.5,1,5.36E-133,0.666666667,82,1,0
Zotu1400,1,0,0,1.47800978761828e-311,0,352,0,0
Zotu886,1,0,0,3.23E-195,0,42,-0.75,0
Zotu602,1,0,0,0.015882658,0,0,-1.268275435,0
Zotu477,1,0,0,6.23E-246,0,157,0,0
Zotu2597,1,0,0,1.52E-207,0,40,-1.224744871,0
Zotu1351,2,9,9,1.54E-186,0,24,0.40824829,0
Zotu1893,1,0,0,1.47800978761828e-311,0,217,0,0
Zotu1508,1,0,0,1.47800978761828e-311,0,329,0,0
Zotu564,2,0,0,5.25E-180,1,130,0,0
Zotu362,2,15,26,7.81E-72,0,11,-0.257722068,0
Zotu890,2,89.16666667,174,3.51E-84,0,3,-0.347524023,0
Zotu548,1,0,0,1.47800978761828e-311,0,318,0,0
Zotu274,2,2,4,7.02E-159,0,80,0,0
Zotu432,1,0,0,6.23E-246,0,194,0,0
Zotu823,2,48,54,6.50E-121,0,8,-0.165521178,0
Zotu2238,1,0,0,1.47800978761828e-311,0,297,0,0
Zotu1052,1,0,0,1.47800978761828e-311,0,210,0,0
Zotu137,3,8,16,3.15E-56,0.333333333,17,0,0
Zotu2132,1,0,0,6.23E-246,0,135,0,0
Zotu3011,2,0,0,5.25E-180,1,124,0,0
Zotu3085,3,5,5,7.79E-195,0,44,1.75,0
Zotu3657,2,0,0,5.25E-180,1,125,0,0
Zotu1375,1,0,0,1.47800978761828e-311,0,370,0,0
Zotu1322,1,0,0,1.47800978761828e-311,0,361,0,0
Zotu1144,1,0,0,1.47800978761828e-311,0,355,0,0
Zotu869,1,0,0,6.23E-246,0,191,0,0
Zotu2281,1,0,0,6.23E-246,0,148,0,0
Zotu3930,1,0,0,1.47800978761828e-311,0,332,0,0
Zotu425,1,0,0,1.47800978761828e-311,0,326,0,0
Zotu747,3,1,2,3.75E-101,0.333333333,15,0.476731295,0
Zotu675,1,0,0,1.63E-144,0,13,-1.048808848,0
Zotu400,2,0,0,5.25E-180,1,120,0,0
Zotu24,1,0,0,6.23E-246,0,187,0,0
Zotu1597,2,42.83333333,90,1.32E-84,0,3,-0.347524023,0
Zotu1787,1,0,0,1.47800978761828e-311,0,393,0,0
Zotu19090,2,2,4,1.56E-151,0,26,0,0
Zotu2168,1,0,0,1.47800978761828e-311,0,370,0,0
Zotu1873,1,0,0,1.47800978761828e-311,0,359,0,0
Zotu4377,1,0,0,1.47800978761828e-311,0,279,0,0
Zotu2407,1,0,0,1.47800978761828e-311,0,342,0,0
Zotu119,1,0,0,2.27E-220,0,61,-1,0
Zotu6119,2,12,16,1.84E-101,0,15,-0.381385036,0
Zotu18638,1,0,0,1.47800978761828e-311,0,369,0,0
Zotu17775,3,3,4,3.18E-127,0.333333333,83,0.75,0
Zotu1186,1,0,0,6.23E-246,0,174,0,0
