"ID","Name","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
1,"Zotu10",2,1,1,1.25e-245,0,190,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
2,"Zotu100",3,11,36,1.57e-93,0.666666667,4,0.383482494,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium"
3,"Zotu1006",2,1,1,1.25e-245,0,137,0,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
4,"Zotu1018",1,0,0,1.47800978761828e-293,0,204,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured soil bacterium"
5,"Zotu102",4,1.5,3,5.63e-103,0.5,81,1.224744871,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
6,"Zotu1021",1,0,0,2.22e-72,0,11,-0.987934593,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
7,"Zotu10219",3,0.5,1,5.36e-133,0.666666667,82,1,0,"Proteobacteria","Alphaproteobacteria","uncultured","uncultured Bradyrhizobiaceae bacterium",NA,NA
8,"Zotu1022",3,23,26,1.35e-144,0,13,1.048808848,0,"Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
9,"Zotu1024",4,519.5190476,4906,0.013029182,0.166666667,0,0.452378499,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Pasteuria sp."
10,"Zotu1026",1,0,0,6.23e-246,0,192,0,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
11,"Zotu10277",2,0,0,5.25e-180,1,111,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","uncultured","uncultured compost bacterium 4-29"
12,"Zotu1029",3,8,8,2.1e-186,0,35,1.788854382,0,"Patescibacteria","Saccharimonadia","Saccharimonadales","wastewater metagenome",NA,NA
13,"Zotu1033",2,0,0,5.25e-180,1,124,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","uncultured Burkholderiales bacterium",NA
14,"Zotu1035",1,0,0,1.2e-127,0,84,-1.75,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)",NA,NA
15,"Zotu1045",2,8,9,3.92e-127,0,12,-0.267261242,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
16,"Zotu1048",1,0,0,1.47800978761828e-293,0,351,0,0,"Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","AKYG587","uncultured planctomycete"
17,"Zotu1050",3,8,8,2.1e-186,0,34,1.788854382,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Firmicutes bacterium"
18,"Zotu1052",1,0,0,1.47800978761828e-293,0,210,0,0,"Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia","Azospirillum sp. T2-YC6788"
19,"Zotu1053",4,12.5,25,7.44e-99,0.5,5,1.807392228,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","uncultured prokaryote"
20,"Zotu1056",5,1238.222222,21310,0.040505838,0.2,0,1.02592981,0,"Actinobacteria","Actinobacteria",NA,NA,NA,NA
21,"Zotu10573",1,0,0,1.47800978761828e-293,0,300,0,0,"Acidobacteria","Subgroup 5",NA,NA,NA,NA
22,"Zotu1059",2,1,1,1.25e-245,0,186,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
23,"Zotu1060",2,1,1,1.25e-245,0,165,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Bauldia",NA
24,"Zotu1062",1,0,0,1.47800978761828e-293,0,312,0,0,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Punica granatum (pomegranate)"
25,"Zotu1064",3,2,2,1.92e-164,0.333333333,121,1.414213562,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","Vulgatibacteraceae","Vulgatibacter",NA
