Source,Target,Label,inter
1,100,1,pp
2,963,-1,np
3,8,1,pp
3,619,1,pp
4,1082,1,pp
5,109,-1,np
6,10,1,pp
6,1199,1,pp
7,221,-1,np
7,468,-1,np
7,743,1,pp
7,1055,-1,np
7,1212,-1,np
8,619,1,pp
9,103,-1,np
9,270,-1,np
9,1185,1,pp
9,1268,1,pp
11,36,1,pp
12,821,-1,np
13,895,1,pp
14,1062,1,pp
15,1367,-1,np
16,358,-1,np
16,770,1,pp
17,80,-1,np
18,610,1,pp
19,78,1,pp
20,443,1,pp
21,177,1,pp
21,900,-1,np
22,1033,1,pp
23,201,1,pp
23,206,1,pp
23,319,-1,np
23,529,1,pp
23,955,-1,np
24,1275,1,pp
25,1356,1,pp
26,742,1,pp
26,962,-1,np
27,207,1,pp
28,370,-1,np
28,576,-1,np
29,211,-1,np
30,1331,-1,np
31,105,1,pp
31,754,-1,np
31,1200,-1,np
32,395,-1,np
33,1088,-1,np
33,1209,-1,np
34,343,-1,np
34,528,-1,np
35,751,1,pp
35,791,1,pp
35,1072,-1,np
35,1103,-1,np
35,1276,1,pp
36,1383,-1,np
37,1248,1,pp
38,83,-1,np
38,853,-1,np
38,1304,-1,np
38,1341,-1,np
39,1313,1,pp
40,509,1,pp
41,197,1,pp
41,588,-1,np
42,136,-1,np
43,1361,-1,np
44,809,1,pp
44,1191,-1,np
45,545,-1,np
46,117,-1,np
47,88,1,pp
48,554,1,pp
49,766,1,pp
49,898,1,pp
50,756,1,pp
51,580,1,pp
51,776,1,pp
51,1008,-1,np
51,1127,-1,np
51,1345,-1,np
52,1237,1,pp
53,1243,-1,np
54,284,1,pp
55,236,-1,np
55,492,1,pp
55,515,1,pp
55,1259,-1,np
56,260,-1,np
56,273,-1,np
56,360,-1,np
57,557,1,pp
58,926,-1,np
58,973,1,pp
59,748,1,pp
60,1174,1,pp
61,934,1,pp
62,1245,-1,np
63,147,1,pp
63,1329,-1,np
64,623,1,pp
64,1157,-1,np
65,532,-1,np
65,1324,-1,np
66,472,1,pp
66,571,1,pp
67,779,1,pp
67,1187,-1,np
68,263,1,pp
68,1277,-1,np
69,430,-1,np
69,936,-1,np
69,1123,-1,np
