Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu1167,1,0,0,3.59E-38,0,12,-1.603567451,0
Zotu3037,1,0,0,4.76E-60,0,83,-0.577350269,0
Zotu1777,2,0,0,9.44E-53,1,99,0,0
Zotu1418,1,0,0,5.79E-06,0,3,-1.29001255,0
Zotu934,1,0,0,9.09E-87,0,259,0,0
Zotu100,2,4,4,7.05E-58,0,35,0.707106781,0
Zotu250,5,10,54,8.60E-12,0.7,7,1.020620726,0
Zotu1582,2,0,0,9.44E-53,1,99,0,0
Zotu1415,4,5,5,7.45E-45,0.166666667,50,1.825741858,0
Zotu351,1,0,0,3.91E-58,0,35,-1.414213562,0
Zotu1837,1,0,0,6.55E-70,0,149,0,0
Zotu4393,1,0,0,2.72E-63,0,61,-1,0
Zotu679,1,0,0,1.80E-41,0,27,-0.763762616,0
Zotu547,1,0,0,9.09E-87,0,358,0,0
Zotu1244,1,0,0,9.09E-87,0,225,0,0
Zotu694,2,6,6,1.51E-47,0,21,0,0
Zotu81,1,0,0,9.09E-87,0,346,0,0
Zotu283,1,0,0,9.09E-87,0,320,0,0
Zotu1269,1,0,0,9.09E-87,0,293,0,0
Zotu3356,1,0,0,4.76E-60,0,84,-0.577350269,0
Zotu3888,2,1,1,1.31E-69,0,144,0,0
Zotu4659,1,0,0,9.09E-87,0,369,0,0
Zotu173,5,268,402,9.89E-31,0,2,2.275078776,0
Zotu684,1,0,0,9.09E-87,0,261,0,0
Zotu1446,1,0,0,9.09E-87,0,228,0,0
Zotu1525,2,0,0,9.44E-53,1,102,0,0
Zotu3867,1,0,0,9.09E-87,0,187,0,0
Zotu2660,2,21,21,6.60E-44,0,9,0.093658581,0
Zotu1820,1,0,0,5.23E-49,0,103,-1.414213562,0
Zotu1329,1,0,0,8.03E-57,0,43,-0.75,0
Zotu16362,3,3,3,1.43E-59,0,80,1.732050808,0
Zotu17692,1,0,0,6.55E-70,0,155,0,0
Zotu6623,2,0,0,4.47E-07,1,3,-0.507545921,0
Zotu1466,2,1,1,1.31E-69,0,172,0,0
Zotu621,5,958.3333333,15865,0.001039587,0.1,0,0.92638786,0
Zotu950,2,1,1,1.31E-69,0,149,0,0
Zotu1762,1,0,0,9.09E-87,0,310,0,0
Zotu1677,4,2.069635628,18,1.26E-10,0.833333333,11,0.068761416,0
Zotu2389,1,0,0,9.09E-87,0,274,0,0
Zotu2380,1,0,0,9.09E-87,0,258,0,0
Zotu1400,2,2,2,4.39E-63,0,60,1,0
Zotu602,1,0,0,6.55E-70,0,171,0,0
Zotu2597,1,0,0,9.09E-87,0,226,0,0
Zotu1351,2,0,0,9.69E-49,1,89,0,0
Zotu1893,1,0,0,9.09E-87,0,345,0,0
Zotu1508,1,0,0,5.68E-57,0,24,-1.58113883,0
Zotu564,1,0,0,9.09E-87,0,216,0,0
Zotu629,1,0,0,9.09E-87,0,337,0,0
Zotu953,2,8,8,2.01E-50,0,22,0.277350098,0
Zotu890,1,0,0,9.09E-87,0,201,0,0
Zotu548,5,779,17719,0.052119769,0,0,0.92638786,0
Zotu4812,1,0,0,9.09E-87,0,279,0,0
Zotu830,1,0,0,9.09E-87,0,276,0,0
Zotu1640,1,0,0,9.09E-87,0,327,0,0
Zotu2208,4,1647,98271,0.01007573,0,0,0.413726617,0
Zotu2687,3,19.33333333,95,1.55E-20,0,4,0.153292839,0
Zotu4594,1,0,0,6.55E-70,0,124,0,0
Zotu137,2,926.9333333,27560,0.015988961,0,0,-0.611595869,0
Zotu1294,1,0,0,9.09E-87,0,204,0,0
Zotu2424,1,0,0,9.09E-87,0,311,0,0
Zotu5583,1,0,0,6.30E-53,0,31,-0.707106781,0
Zotu3011,1,0,0,9.09E-87,0,275,0,0
Zotu3085,2,18,27,1.02E-37,0,12,-0.267261242,0
Zotu3657,2,0,0,9.44E-53,1,100,0,0
Zotu481,2,0.833333333,2,5.73E-39,0,38,-0.5,0
Zotu1375,2,2,2,4.39E-63,0,55,1,0
Zotu1322,2,770,47170,1.46E-05,0,1,-0.469472735,0
Zotu1144,2,2,2,4.39E-63,0,63,1,0
Zotu869,3,0,0,4.13E-16,1,13,-0.125,0
Zotu59,1,0,0,4.76E-60,0,83,-0.577350269,0
Zotu1153,3,1.5,3,9.08E-39,0.666666667,28,0.894427191,0
Zotu3930,5,17.08582996,105,1.46E-10,0.4,11,0.653233456,0
Zotu2024,2,0,0,9.44E-53,1,91,0,0
Zotu1233,2,158,7375,0.000333998,0,5,-0.48507125,0
Zotu5688,1,0,0,9.09E-87,0,301,0,0
Zotu2013,1,0,0,9.09E-87,0,292,0,0
Zotu947,1,0,0,9.09E-87,0,283,0,0
Zotu675,1,0,0,9.09E-87,0,293,0,0
Zotu3210,4,0.333333333,1,2.94E-23,0.833333333,47,0.816496581,0
Zotu790,1,0,0,9.09E-87,0,346,0,0
Zotu400,1,0,0,9.09E-87,0,249,0,0
Zotu24,1,0,0,9.09E-87,0,244,0,0
Zotu2653,4,2.069635628,18,1.26E-10,0.833333333,11,0.068761416,0
Zotu1132,3,923,56639,0.000337725,0,1,0.190723299,0
Zotu7979,4,120,120,2.54E-43,0,9,2.247805948,0
Zotu1240,1,0,0,6.55E-70,0,152,0,0
Zotu7497,1,0,0,6.55E-70,0,148,0,0
Zotu3721,1,0,0,9.09E-87,0,216,0,0
Zotu20787,3,9,9,1.42E-52,0,25,1.45999279,0
Zotu1787,1,0,0,9.09E-87,0,210,0,0
Zotu1873,1,0,0,9.09E-87,0,315,0,0
Zotu1079,2,0,0,9.44E-53,1,109,0,0
Zotu2291,1,0,0,9.09E-87,0,284,0,0
Zotu17775,1,0,0,9.09E-87,0,202,0,0
Zotu18001,1,0,0,9.09E-87,0,238,0,0
Zotu1186,1,0,0,9.09E-87,0,199,0,0
Zotu334,1,0,0,1.78E-50,0,15,-0.989949494,0
Zotu268,2,0,0,3.32E-44,1,29,0,0
Zotu1496,1,0,0,6.55E-70,0,135,0,0
Zotu128,2,8,13,9.82E-38,0,12,-0.267261242,0
Zotu244,2,1,2,4.79E-47,0,39,0,0
Zotu467,2,2.5,5,1.08E-44,0,20,0,0
Zotu951,1,0,0,3.18E-45,0,50,-0.912870929,0
Zotu1346,3,1628,103708,0.000416114,0.333333333,1,0.190723299,0
Zotu16921,1,0,0,4.76E-60,0,80,-0.577350269,0
Zotu645,1,0,0,9.09E-87,0,222,0,0
Zotu20151,2,0,0,9.44E-53,1,110,0,0
Zotu13,1,0,0,9.09E-87,0,180,0,0
Zotu972,1,0,0,9.09E-87,0,259,0,0
Zotu108,2,0,0,1.60E-21,1,4,-0.562073743,0
Zotu60,3,0,0,0.000351278,1,1,0.190723299,0
Zotu130,4,83.63894439,4680,0.22153835,0.5,0,0.413726617,0
Zotu551,3,9,9,2.46E-51,0,23,1.45999279,0
Zotu1007,1,0,0,6.55E-70,0,167,0,0
Zotu326,2,0,0,1.69E-07,1,3,-0.507545921,0
Zotu261,3,7,7,8.59E-44,0.333333333,14,1.224744871,0
Zotu361,2,5,5,1.14E-56,0,24,0.632455532,0
Zotu2396,4,85,103,5.34E-35,0,6,1.576220812,0
Zotu1718,1,0,0,9.09E-87,0,182,0,0
Zotu1395,2,0,0,0.000358821,1,5,-0.48507125,0
Zotu871,1,0,0,9.09E-87,0,334,0,0
Zotu84,2,1,2,5.96E-39,0,38,-0.5,0
Zotu3468,2,1,1,1.31E-69,0,143,0,0
Zotu4411,3,7,12,5.47E-36,0.333333333,17,0.754829412,0
Zotu2390,3,0,0,2.81E-30,1,10,0.447213595,0
Zotu2973,1,0,0,9.09E-87,0,289,0,0
Zotu55,1,0,0,2.66E-47,0,39,-1.224744871,0
Zotu1065,3,169.5,7293,0.000338934,0,3,0.274920707,0
Zotu1105,1,0,0,9.09E-87,0,372,0,0
Zotu3884,2,8,11,1.85E-38,0,12,-0.267261242,0
Zotu6785,2,0,0,9.69E-49,1,95,0,0
Zotu3386,2,8,8,2.09E-54,0,26,0.40824829,0
Zotu1343,2,0,0,9.44E-53,1,111,0,0
Zotu181,2,1,1,1.31E-69,0,164,0,0
Zotu574,1,0,0,6.55E-70,0,171,0,0
Zotu1439,2,1,1,1.31E-69,0,171,0,0
Zotu1747,2,0,0,1.14E-40,1,77,-1,0
Zotu2722,1,0,0,9.77E-36,0,6,-1.024543528,0
Zotu2937,2,102,117,1.78E-32,0,2,-0.318511029,0
Zotu1559,3,0.5,1,1.46E-40,0.666666667,76,1,0
Zotu1185,2,0,0,9.44E-53,1,109,0,0
Zotu1894,2,1,1,1.31E-69,0,135,0,0
Zotu1301,3,0,0,1.82E-24,1,49,-0.114707867,0
Zotu609,3,3,3,1.43E-59,0,86,1.732050808,0
Zotu705,1,0,0,9.09E-87,0,316,0,0
Zotu472,2,1,1,1.31E-69,0,145,0,0
Zotu556,2,14,20,4.39E-38,0,12,-0.267261242,0
Zotu2020,1,0,0,9.09E-87,0,314,0,0
Zotu3299,2,0,0,1.14E-40,1,73,-1,0
