"ID","Name","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
1,"Zotu100",2,4,4,7.05e-58,0,35,0.707106781,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium"
2,"Zotu10055",1,0,0,9.09e-87,0,341,0,0,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrionales bacterium RIFCSPHIGHO2_01_FULL_40_29"
3,"Zotu1007",1,0,0,6.55e-70,0,167,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
4,"Zotu10093",1,0,0,2.72e-63,0,63,-1,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
5,"Zotu1010",2,2,2,4.39e-63,0,52,1,0,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora",NA
6,"Zotu1020",1,0,0,7.65e-52,0,23,-0.811107106,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
7,"Zotu1021",1,0,0,6.55e-70,0,123,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
8,"Zotu10235",1,0,0,9.09e-87,0,241,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
9,"Zotu1024",1,0,0,4.23e-45,0,20,-1.154700538,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Pasteuria sp."
10,"Zotu1026",5,135,155,2.43e-29,0.3,2,2.275078776,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
11,"Zotu1033",3,17,17,6.16e-50,0,15,1.555634919,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","uncultured Burkholderiales bacterium",NA
12,"Zotu1039",4,916.1666667,58947,0.001845497,0,5,1.212678125,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
13,"Zotu1042",2,36,69,1.18e-31,0,2,-0.318511029,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured proteobacterium"
14,"Zotu1043",1,0,0,6.55e-70,0,135,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","mle1-7","uncultured Burkholderiales bacterium"
15,"Zotu1045",1,0,0,2.72e-63,0,53,-1,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
16,"Zotu1048",1,0,0,9.09e-87,0,298,0,0,"Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","AKYG587","uncultured planctomycete"
17,"Zotu1050",5,3.666666667,11,5.82e-16,0.7,13,1.125,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Firmicutes bacterium"
18,"Zotu1051",1,0,0,9.09e-87,0,208,0,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA
19,"Zotu10557",1,0,0,9.09e-87,0,335,0,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","bacteriap25","unidentified",NA
20,"Zotu10558",5,46,140,1.84e-12,0.2,7,1.020620726,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","uncultured Sphingobacteriia bacterium"
21,"Zotu1059",2,1,1,1.31e-69,0,152,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
22,"Zotu1060",1,0,0,4.72e-53,0,25,-0.811107106,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Bauldia",NA
23,"Zotu1061",1,0,0,6.55e-70,0,134,0,0,"Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella",NA
24,"Zotu1065",3,169.5,7293,0.000338934,0,3,0.274920707,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
25,"Zotu1068",2,38,40,7.72e-35,0,6,-0.157622081,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
26,"Zotu10698",1,0,0,9.09e-87,0,266,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA
27,"Zotu1074",3,5.5,25,5.8e-13,0.666666667,7,-0.40824829,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Blastocatella sp."
28,"Zotu10772",2,0,0,9.34e-42,1,65,-0.447213595,0,"Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","uncultured","uncultured soil bacterium"
29,"Zotu1078",1,0,0,3.08e-31,0,2,-1.183040964,0,NA,NA,NA,NA,NA,NA
30,"Zotu1079",2,0,0,9.44e-53,1,109,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
31,"Zotu108",2,0,0,1.6e-21,1,4,-0.562073743,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3"
32,"Zotu1082",1,0,0,9.09e-87,0,250,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84","uncultured Acidobacteria bacterium",NA
33,"Zotu1083",1,0,0,9.09e-87,0,198,0,0,"Acidobacteria","Subgroup 6","uncultured beta proteobacterium",NA,NA,NA
34,"Zotu1086",1,0,0,9.09e-87,0,303,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas",NA
35,"Zotu1087",1,0,0,9.09e-87,0,325,0,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
36,"Zotu109",2,0,0,9.44e-53,1,113,0,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA
37,"Zotu1091",1,0,0,4.53e-32,0,2,-1.183040964,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured Planctomycetales bacterium",NA
38,"Zotu1094",2,0,0,9.44e-53,1,107,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","mle1-7","uncultured Burkholderiales bacterium"
39,"Zotu10953",1,0,0,2.72e-44,0,14,-1.224744871,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","bacterium Ellin5102"
40,"Zotu1096",1,0,0,9.09e-87,0,229,0,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured Pedosphaera sp.",NA
41,"Zotu1098",4,459.9346112,22647,0.121565341,0.166666667,0,0.413726617,0,"Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured anaerobic ammonium-oxidizing bacterium",NA
42,"Zotu1099",3,0.5,1,1.46e-40,0.666666667,78,1,0,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Kouleothrix",NA
43,"Zotu11",1,0,0,1.66e-53,0,18,-1.133893419,0,"Firmicutes","Bacilli",NA,NA,NA,NA
44,"Zotu1102",2,5,5,2e-44,0,19,0,0,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured Chloroflexaceae bacterium"
45,"Zotu1105",1,0,0,9.09e-87,0,372,0,0,"Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
46,"Zotu111",1,0,0,9.09e-87,0,205,0,0,"Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria Incertae Sedis","Unknown Family","EcFYyy-200",NA
47,"Zotu1112",3,19,19,6.52e-44,0,14,1.224744871,0,"Chloroflexi","Dehalococcoidia","S085",NA,NA,NA
48,"Zotu1114",3,12.5,48,1.37e-20,0.666666667,4,0.153292839,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Bryobacter",NA
