"Name","ID","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
"Zotu10",319,2,569,4378,1.73e-20,0,8,-0.218543346,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"Zotu100",5,1,0,0,5.92e-28,0,18,-1.164964745,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium"
"Zotu1006",618,1,0,0,2.56e-180,0,49,-1.58113883,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"Zotu1007",96,3,1701,5226,7.52e-26,0.333,18,0.183941802,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"Zotu1009",772,4,569,2588,1.04e-13,0.5,0,1.045952721,0,"Latescibacteria","Latescibacteria","Latescibacterales","Latescibacteraceae","metagenome",NA
"Zotu10093",271,2,0,0,3.44e-96,1,3,-0.533578375,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"Zotu1010",162,2,1,1,8.61e-270,0,99,0,0,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora",NA
"Zotu1014",29,1,0,0,0,0,121,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","uncultured","alpha proteobacterium LS7-MT"
"Zotu1015",920,7,144.9,519,5.56e-13,0.429,11,2.00403137,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pir4 lineage",NA
"Zotu1016",936,2,6982.402324,36361,8.18e-12,0,0,-0.555662383,0,"Rokubacteria","NC10","Rokubacteriales","uncultured soil bacterium",NA,NA
"Zotu10185",206,3,15.5,35,1.89e-78,0.667,6,0.46736499,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"Zotu102",1338,2,569,2301,5.72e-14,0,2,-0.482846409,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"Zotu1020",1164,4,290.3111111,2947,2.44e-10,0.5,13,0.180783587,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"Zotu1021",986,1,0,0,1.45e-25,0,14,-1.287752775,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
"Zotu1024",926,2,0,0,7.54e-145,1,29,-0.648885685,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Pasteuria sp."
"Zotu1026",1268,1,0,0,0,0,140,0,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
"Zotu1033",979,3,2264,4780,6.55e-23,0.333,7,0.113915297,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","uncultured Burkholderiales bacterium",NA
"Zotu1039",1241,3,5444.333333,34782,4.25e-13,0,12,0.514650235,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
