ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
1,Zotu660,1,0,0,2.24E-15,0.00E+00,21,-1.515847656,0
2,Zotu1339,2,14,14,1.97E-172,0.00E+00,32,0,0
3,Zotu1167,3,2,2,8.39E-184,3.33E-01,74,1.414213562,0
4,Zotu1418,1,0,0,2.15E-210,0.00E+00,45,-0.894427191,0
5,Zotu100,1,0,0,5.92E-28,0.00E+00,18,-1.164964745,0
6,Zotu250,2,922.402381,3384,3.86E-12,0.00E+00,2,-0.482846409,0
7,Zotu4187,1,0,0,0,0.00E+00,149,0,0
8,Zotu2513,3,0,0,1.45E-12,1.00E+00,0,0.245145169,0
9,Zotu351,4,377,726,3.05E-96,3.33E-01,10,2.048537661,0
10,Zotu1837,2,0,0,1.28E-165,1.00E+00,31,0,0
11,Zotu1494,2,6,6,3.48E-210,0.00E+00,45,0.447213595,0
12,Zotu265,3,2,2,8.39E-184,3.33E-01,77,1.414213562,0
13,Zotu547,1,0,0,4.53E-29,0.00E+00,9,-1.392715036,0
14,Zotu12,2,1701,4845,5.83E-15,0.00E+00,19,-0.433263506,0
15,Zotu856,1,0,0,4.71E-15,0.00E+00,16,-1.425382902,0
16,Zotu7745,3,120,172,4.74E-06,3.33E-01,5,-0.015496893,0
17,Zotu81,1,0,0,6.44E-243,0.00E+00,65,-1,0
18,Zotu1360,2,0,0,2.88E-14,1.00E+00,26,-0.832050294,0
19,Zotu283,1,0,0,8.65E-12,0.00E+00,2,-1.360748972,0
20,Zotu1269,2,0,0,1.96E-10,1.00E+00,13,-0.873787338,0
21,Zotu3233,3,322,456,1.82E-126,0.00E+00,4,0.743160536,0
22,Zotu173,1,0,0,6.67E-28,0.00E+00,20,-1.224744871,0
23,Zotu684,1,0,0,7.56E-40,0.00E+00,17,-1.195228609,0
24,Zotu1676,1,0,0,0,0.00E+00,137,0,0
25,Zotu777,2,264,420,0.016362751,0.00E+00,5,-0.557888155,0
26,Zotu1446,4,6564.093387,57181,2.83E-11,0.00E+00,19,1.540492465,0
27,Zotu476,3,35163.41493,163699,2.72E-12,0.00E+00,16,-0.34554737,0.444444444
28,Zotu1525,2,0,0,9.54E-140,1.00E+00,47,-0.25819889,0
29,Zotu1014,1,0,0,0,0,121,0,0
30,Zotu1329,3,284,1386,6.92E-15,6.67E-01,16,0.734288162,0
31,Zotu19298,1,0,0,8.61E-270,0.00E+00,89,0,0
32,Zotu621,2,1,1,8.61E-270,0.00E+00,88,0,0
33,Zotu1762,2,0,0,2.97E-200,1.00E+00,83,0,0
34,Zotu1284,1,0,0,0,0.00E+00,174,0,0
35,Zotu1677,2,1,1,8.61E-270,0.00E+00,102,0,0
36,Zotu2389,2,2,2,1.04E-242,0.00E+00,61,1,0
37,Zotu3133,6,28.09090909,125,0.383313794,6.67E-01,5,1.611676891,0
38,Zotu4277,2,2,2,1.04E-242,0.00E+00,61,1,0
39,Zotu1555,1,0,0,9.98E-21,0.00E+00,1,-1.357438615,0
40,Zotu2878,3,12,12,8.72E-145,3.33E-01,29,0.811107106,0
41,Zotu6687,1,0,0,0,0.00E+00,169,0,0
42,Zotu5255,1,0,0,2.80E-25,0.00E+00,7,-1.545993318,0
43,Zotu2380,2,32,36,9.89E-116,0.00E+00,23,-0.199501867,0
44,Zotu564,4,1701,13128,5.39E-15,3.33E-01,8,1.912254276,0
45,Zotu548,3,0,0,7.52E-15,1.00E+00,12,0.514650235,0
