Source,Target,Label,inter
1,84,1,pp
2,123,-1,np
2,349,-1,np
2,443,-1,np
2,527,1,pp
3,920,1,pp
4,523,1,pp
5,139,-1,np
6,511,1,pp
6,693,1,pp
7,626,1,pp
7,819,1,pp
8,275,1,pp
8,402,-1,np
9,777,1,pp
10,142,1,pp
10,459,-1,np
11,663,1,pp
12,565,1,pp
13,783,-1,np
14,460,-1,np
14,832,-1,np
14,974,-1,np
14,984,-1,np
15,381,1,pp
15,618,1,pp
16,168,1,pp
16,192,1,pp
16,206,1,pp
16,270,1,pp
16,758,-1,np
17,647,-1,np
18,611,-1,np
19,956,-1,np
20,346,1,pp
21,760,-1,np
21,845,-1,np
22,330,-1,np
23,716,1,pp
23,933,1,pp
23,953,1,pp
24,367,1,pp
25,668,1,pp
26,413,-1,np
27,244,1,pp
28,54,1,pp
28,701,-1,np
29,218,-1,np
29,678,-1,np
30,631,-1,np
31,259,1,pp
32,229,1,pp
33,399,-1,np
33,542,1,pp
34,79,1,pp
34,764,1,pp
35,511,-1,np
36,503,1,pp
36,533,-1,np
36,939,1,pp
37,856,1,pp
38,425,1,pp
38,678,1,pp
39,52,1,pp
39,625,-1,np
39,782,1,pp
40,952,-1,np
41,377,1,pp
42,362,-1,np
42,576,1,pp
42,689,-1,np
43,247,1,pp
44,327,1,pp
44,820,1,pp
44,910,1,pp
45,811,1,pp
46,585,-1,np
47,170,-1,np
47,373,1,pp
47,420,-1,np
48,537,1,pp
49,196,1,pp
50,702,-1,np
51,732,1,pp
52,584,-1,np
52,625,-1,np
52,782,1,pp
53,759,-1,np
53,891,-1,np
55,736,1,pp
56,882,1,pp
57,430,-1,np
58,803,1,pp
58,978,1,pp
59,464,1,pp
59,860,1,pp
60,854,1,pp
61,588,1,pp
62,703,-1,np
63,363,-1,np
64,951,-1,np
65,87,1,pp
66,106,-1,np
66,465,-1,np
66,970,1,pp
67,73,1,pp
67,548,1,pp
67,554,1,pp
68,451,-1,np
68,566,-1,np
68,650,-1,np
68,809,1,pp
68,877,-1,np
69,364,-1,np
70,120,-1,np
71,803,1,pp
72,959,1,pp
72,992,1,pp
73,176,-1,np
73,548,1,pp
73,554,1,pp
73,804,1,pp
74,537,1,pp
75,981,1,pp
76,345,-1,np
76,463,1,pp
77,195,-1,np
77,344,-1,np
78,328,1,pp
78,352,1,pp
78,546,1,pp
78,776,1,pp
78,894,1,pp
79,538,1,pp
79,764,1,pp
80,706,-1,np
81,297,-1,np
82,592,-1,np
82,849,1,pp
83,403,-1,np
85,150,1,pp
85,515,1,pp
85,972,1,pp
86,549,1,pp
88,695,-1,np
89,967,1,pp
90,219,1,pp
90,412,-1,np
91,191,1,pp
91,258,1,pp
91,268,1,pp
