"Name","ID","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
"Zotu10",257,1,0,0,1.28e-159,0,87,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"Zotu100",8,2,0,0,1.99e-84,1,16,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium"
"Zotu1006",508,1,0,0,4.38e-208,0,177,0,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"Zotu1007",76,2,1,1,2.56e-159,0,112,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"Zotu1008",774,4,5,5,1.6e-88,0.166666667,34,1.825741858,0,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","uncultured","uncultured Cytophagia bacterium"
"Zotu10093",219,1,0,0,1.28e-159,0,92,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"Zotu1014",27,1,0,0,2.87e-131,0,27,-1.224744871,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","uncultured","alpha proteobacterium LS7-MT"
"Zotu1015",721,2,4,4,1.72e-125,0,24,0.707106781,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pir4 lineage",NA
"Zotu1016",729,1,0,0,4.38e-208,0,173,0,0,"Rokubacteria","NC10","Rokubacteriales","uncultured soil bacterium",NA,NA
"Zotu1018",726,4,16,16,8.99e-84,0.166666667,12,2.309401077,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured soil bacterium"
"Zotu10189",174,3,890.8333333,4828,5.32e-18,0,1,0.252982213,0,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"Zotu102",968,1,0,0,4.38e-208,0,132,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"Zotu1020",854,1,0,0,4.38e-208,0,143,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"Zotu1021",758,2,0,0,9.17e-21,1,1,-0.632455532,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
"Zotu1033",753,4,656.1623377,5083,4.61e-17,0.333333333,0,0.872278376,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","uncultured Burkholderiales bacterium",NA
"Zotu1036",886,1,0,0,4.38e-208,0,139,0,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Bryobacter","uncultured Holophaga sp."
"Zotu1038",587,1,0,0,1.28e-159,0,107,0,0,"Acidobacteria","Subgroup 6","uncultured Holophagae bacterium",NA,NA,NA
"Zotu1039",908,1,0,0,4.38e-208,0,141,0,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
"Zotu1045",461,1,0,0,4.38e-208,0,130,0,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
"Zotu1048",619,1,0,0,4.38e-208,0,219,0,0,"Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","AKYG587","uncultured planctomycete"
"Zotu1049",859,1,0,0,4.38e-208,0,219,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"Zotu10558",800,2,0,0,6.32e-84,1,12,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","uncultured Sphingobacteriia bacterium"
"Zotu1059",650,3,0,0,3.01e-45,1,3,0.676123404,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
"Zotu106",683,2,0,0,6.63e-72,1,60,-0.5,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales",NA,NA,NA
"Zotu1066",754,1,0,0,1.28e-159,0,101,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
"Zotu107",87,1,0,0,4.38e-208,0,274,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"Zotu1074",960,1,0,0,1.28e-159,0,88,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Blastocatella sp."
"Zotu10778",649,1,0,0,4.38e-208,0,200,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","Planctomycetales bacterium Ellin7244",NA
"Zotu1078",434,3,0,0,0.318562706,1,33,-0.661437828,0,NA,NA,NA,NA,NA,NA
"Zotu1079",60,1,0,0,4.38e-208,0,143,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"Zotu1086",860,2,0,0,7.49e-111,1,73,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas",NA
"Zotu1087",912,5,797.8356061,5924,4.75e-17,0.1,0,1.545178837,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
"Zotu1088",1006,3,2,4,5.74e-70,0.666666667,13,0.811107106,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA
"Zotu109",540,1,0,0,1.28e-159,0,110,0,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA
"Zotu1090",457,1,0,0,1.28e-159,0,94,0,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
"Zotu1091",667,3,3,3,8.62e-131,0,63,1.732050808,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured Planctomycetales bacterium",NA
"Zotu1097",911,1,0,0,4.38e-208,0,190,0,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","uncultured delta proteobacterium",NA
"Zotu1099",427,1,0,0,4.38e-208,0,189,0,0,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Kouleothrix",NA
"Zotu11",272,1,0,0,4.38e-208,0,256,0,0,"Firmicutes","Bacilli",NA,NA,NA,NA
"Zotu1104",515,3,0,0,4.56e-10,1,14,-0.043355498,0,"Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae",NA,NA
"Zotu1105",91,5,154.5,481,5.38e-18,0.4,0,1.545178837,0,"Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"Zotu1106",999,1,0,0,4.38e-208,0,276,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"Zotu11072",267,1,0,0,5.65e-106,0,25,-0.603022689,0,"Firmicutes","Bacilli","Bacillales",NA,NA,NA
"Zotu1108",574,1,0,0,4.38e-208,0,241,0,0,"Acidobacteria","Subgroup 6",NA,NA,NA,NA
"Zotu1109",99,1,0,0,1.28e-159,0,93,0,0,"Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Armatimonadetes bacterium 55-13",NA
"Zotu11115",835,1,0,0,4.38e-208,0,204,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","Terrimonas lutea"
"Zotu1112",345,1,0,0,1.28e-159,0,112,0,0,"Chloroflexi","Dehalococcoidia","S085",NA,NA,NA
"Zotu1113",316,2,0,0,7.49e-111,1,78,0,0,"Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured Epsilonproteobacteria bacterium",NA,NA
"Zotu1115",460,2,1.5,3,3.57e-14,0,2,-0.501550391,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","bacteriap25","uncultured Myxococcales bacterium",NA
"Zotu1117",142,2,0,0,7.49e-111,1,77,0,0,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae",NA,NA
"Zotu1119",684,1,0,0,3.83e-122,0,30,-0.75,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
"Zotu11242",691,2,2,2,1.63e-140,0,37,1,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
"Zotu113",987,2,1,2,3.79e-92,0,11,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","44889","uncultivated soil bacterium clone S111",NA,NA
"Zotu1133",472,1,0,0,4.38e-208,0,161,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter","uncultured Haliscomenobacter sp."
"Zotu11355",218,1,0,0,5.65e-87,0,18,-1,0,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Cohnella",NA
"Zotu11360",255,1,0,0,3.15e-19,0,0,-1.146423008,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"Zotu1138",870,2,0,0,1.25e-17,1,0,-0.473522547,0,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae",NA,NA
"Zotu1140",459,2,0,0,7.49e-111,1,77,0,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
"Zotu1143",141,2,4,4,2.36e-89,0,20,0,0,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"Zotu1144",46,1,0,0,1.28e-159,0,104,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","KF-JG30-B3",NA,NA
"Zotu11516",291,1,0,0,4.38e-208,0,264,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"Zotu1153",49,1,0,0,2.93e-72,0,57,-1.75,0,"Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae",NA,NA
"Zotu1157",499,1,0,0,4.38e-208,0,256,0,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonadaceae bacterium LWQ133"
"Zotu116",939,3,1,2,8.76e-72,0.666666667,55,0.75,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","uncultivated soil bacterium clone C105"
"Zotu1160",629,2,0,0,7.49e-111,1,68,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured eubacterium WD283",NA
"Zotu11620",187,1,0,0,4.38e-208,0,269,0,0,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"Zotu11665",567,2,0,0,7.49e-111,1,67,0,0,"Acidobacteria","Subgroup 6",NA,NA,NA,NA
"Zotu1167",5,1,0,0,4.38e-208,0,254,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium"
"Zotu1168",888,1,0,0,1.01e-140,0,36,-1,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505"
