ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
1,Zotu660,1,0,0,4.38E-208,0,280,0,0
2,Zotu2743,4,23.96666667,45,3.88E-23,0,26,0.810998225,0
3,Zotu6379,1,0,0,4.38E-208,0,160,0,0
4,Zotu1339,1,0,0,1.28E-159,0,123,0,0
5,Zotu1167,1,0,0,4.38E-208,0,254,0,0
6,Zotu243,2,5,5,3.46E-77,0,17,0,0
7,Zotu934,2,0,0,7.49E-111,1,69,0,0
8,Zotu100,2,0,0,1.99E-84,1,16,0,0
9,Zotu1415,1,0,0,4.38E-208,0,240,0,0
10,Zotu5217,2,0,0,7.49E-111,1,77,0,0
11,Zotu351,1,0,0,4.38E-208,0,193,0,0
12,Zotu1825,1,0,0,1.28E-159,0,116,0,0
13,Zotu136,1,0,0,5.14E-19,0,7,-1.15872326,0
14,Zotu547,4,57.5,103,7.64E-14,0,2,0.947372961,0
15,Zotu26,2,1,1,2.56E-159,0,114,0,0
16,Zotu12,5,261,1325,2.66E-20,0.1,1,2.023857703,0
17,Zotu856,1,0,0,2.93E-72,0,60,-1.75,0
18,Zotu62,1,0,0,4.38E-208,0,239,0,0
19,Zotu7745,1,0,0,3.75E-111,0,51,-0.5,0
20,Zotu1980,1,0,0,1.15E-99,0,66,-1.414213562,0
21,Zotu1269,2,7.5,21,2.53E-13,0,2,-0.501550391,0
22,Zotu3233,1,0,0,4.38E-208,0,194,0,0
23,Zotu173,3,9,9,1.12E-110,0,15,1.45999279,0
24,Zotu4392,1,0,0,4.38E-208,0,170,0,0
25,Zotu4711,1,0,0,4.38E-208,0,192,0,0
26,Zotu4317,1,0,0,3.83E-122,0,30,-0.75,0
27,Zotu1014,1,0,0,2.87E-131,0,27,-1.224744871,0
28,Zotu1329,2,11,15,1.90E-18,0,7,-0.503792722,0
29,Zotu16362,2,4,4,1.35E-86,0,18,0,0
30,Zotu16397,1,0,0,1.03E-70,0,13,-1.45999279,0
31,Zotu17692,1,0,0,4.38E-208,0,275,0,0
32,Zotu621,1,0,0,4.38E-208,0,279,0,0
33,Zotu3619,2,1,1,2.56E-159,0,121,0,0
34,Zotu1677,2,0,0,3.35E-76,1,59,-1,0
35,Zotu2380,1,0,0,2.92E-77,0,17,-0.763762616,0
36,Zotu886,3,3,4,7.74E-72,0.333333333,55,0.75,0
37,Zotu477,1,0,0,4.38E-208,0,228,0,0
38,Zotu1893,2,0,0,1.91E-86,1,18,0,0
39,Zotu629,3,0,0,2.42E-18,1,1,0.252982213,0
40,Zotu953,1,0,0,4.38E-208,0,207,0,0
41,Zotu890,1,0,0,4.38E-208,0,195,0,0
42,Zotu432,3,0.5,1,4.29E-76,0.666666667,61,1,0
43,Zotu137,1,0,0,4.38E-208,0,186,0,0
44,Zotu1294,3,17,17,2.57E-88,0,8,0.991240707,0
45,Zotu1375,1,0,0,4.38E-208,0,178,0,0
46,Zotu1144,1,0,0,1.28E-159,0,104,0,0
47,Zotu59,3,0.5,1,4.29E-76,0.666666667,53,1,0
48,Zotu1846,1,0,0,1.09E-10,0,14,-1.170598459,0
49,Zotu1153,1,0,0,2.93E-72,0,57,-1.75,0
50,Zotu3930,1,0,0,6.99E-59,0,4,-1.458649915,0
51,Zotu2024,1,0,0,4.38E-208,0,171,0,0
52,Zotu2512,4,296,1944,3.90E-18,0.5,1,1.138419958,0
53,Zotu2013,2,6,6,2.32E-84,0,12,0,0
54,Zotu675,1,0,0,4.91E-19,0,7,-1.15872326,0
55,Zotu540,1,0,0,4.38E-208,0,167,0,0
56,Zotu790,1,0,0,2.93E-72,0,54,-1.75,0
57,Zotu24,1,0,0,1.28E-159,0,89,0,0
58,Zotu1787,2,2,2,1.63E-140,0,35,1,0
59,Zotu2168,2,0,0,7.49E-111,1,73,0,0
60,Zotu1079,1,0,0,4.38E-208,0,143,0,0
61,Zotu2291,1,0,0,4.38E-208,0,231,0,0
62,Zotu6119,1,0,0,1.28E-159,0,95,0,0
63,Zotu18638,1,0,0,4.38E-208,0,174,0,0
64,Zotu18001,1,0,0,4.38E-208,0,278,0,0
65,Zotu334,1,0,0,4.38E-208,0,274,0,0
66,Zotu268,3,20,30,2.18E-51,0.333333333,6,0.588348405,0
67,Zotu128,3,0,0,2.07E-27,1,48,-0.267261242,0
68,Zotu821,5,79,79,3.59E-45,0.3,3,2.704493615,0
69,Zotu338,1,0,0,6.77E-47,0,3,-1.352246808,0
70,Zotu1298,1,0,0,4.38E-208,0,252,0,0
71,Zotu13,1,0,0,1.01E-140,0,35,-1,0
72,Zotu972,2,0,0,7.49E-111,1,80,0,0
73,Zotu60,5,2.5,5,2.71E-27,0.5,48,1.33630621,0
74,Zotu866,1,0,0,1.09E-10,0,14,-1.170598459,0
75,Zotu130,1,0,0,1.01E-140,0,43,-1,0
76,Zotu1007,2,1,1,2.56E-159,0,112,0,0
77,Zotu174,2,0,0,2.12E-47,1,3,-0.338061702,0
78,Zotu231,5,34,34,1.72E-87,0,8,2.668724981,0
79,Zotu850,3,0.5,1,4.29E-76,0.666666667,59,1,0
80,Zotu361,1,0,0,4.21E-53,0,6,-1.372812946,0
81,Zotu1718,1,0,0,9.57E-126,0,24,-1.414213562,0
82,Zotu1395,2,0,0,7.49E-111,1,72,0,0
83,Zotu871,1,0,0,2.87E-131,0,28,-1.224744871,0
84,Zotu84,1,0,0,4.38E-208,0,280,0,0
85,Zotu3468,3,0,0,4.56E-10,1,14,-0.043355498,0
86,Zotu91,1,0,0,1.28E-159,0,111,0,0
87,Zotu107,1,0,0,4.38E-208,0,274,0,0
88,Zotu2390,1,0,0,1.01E-140,0,41,-1,0
89,Zotu7661,1,0,0,4.38E-208,0,181,0,0
90,Zotu55,2,1,1,2.56E-159,0,92,0,0
91,Zotu1105,5,154.5,481,5.38E-18,0.4,0,1.545178837,0
92,Zotu181,2,0,0,3.65E-67,1,52,-0.301511345,0
93,Zotu1559,1,0,0,1.28E-159,0,89,0,0
94,Zotu1185,1,0,0,4.38E-208,0,187,0,0
95,Zotu1259,2,1,1,2.56E-159,0,124,0,0
96,Zotu3838,1,0,0,1.28E-159,0,102,0,0
97,Zotu523,1,0,0,4.38E-208,0,157,0,0
98,Zotu948,1,0,0,1.28E-159,0,96,0,0
99,Zotu1109,1,0,0,1.28E-159,0,93,0,0
100,Zotu83,2,158,1306,8.66E-19,0,1,-0.632455532,0
101,Zotu2266,1,0,0,1.28E-159,0,104,0,0
102,Zotu1301,1,0,0,1.85E-84,0,12,-1.154700538,0
103,Zotu705,1,0,0,1.28E-159,0,124,0,0
104,Zotu472,2,4,9,3.25E-39,0,19,-0.298511157,0
105,Zotu556,4,104.5,203,4.35E-14,0,2,0.947372961,0
106,Zotu2020,4,6.5,13,2.92E-51,0.5,6,1.568929081,0
107,Zotu1759,1,0,0,3.83E-122,0,31,-0.75,0
108,Zotu2505,1,0,0,4.38E-208,0,142,0,0
109,Zotu2488,1,0,0,1.65E-15,0,2,-1.226012068,0
110,Zotu1479,2,828,4494,1.49E-18,0,1,-0.632455532,0
111,Zotu2094,4,9,34,8.30E-23,0.666666667,26,0.810998225,0
112,Zotu800,2,0,0,1.42E-10,1,14,-0.606976979,0
113,Zotu2131,1,0,0,4.38E-208,0,135,0,0
114,Zotu2645,1,0,0,4.38E-208,0,133,0,0
115,Zotu32,1,0,0,4.38E-208,0,131,0,0
116,Zotu878,1,0,0,6.46E-19,0,7,-1.15872326,0
117,Zotu27,3,8,11,4.90E-92,0,11,1.414213562,0
118,Zotu37,1,0,0,4.38E-208,0,128,0,0
119,Zotu1363,3,1.5,3,4.98E-67,0.666666667,58,0.603022689,0
120,Zotu981,1,0,0,4.38E-208,0,252,0,0
121,Zotu221,1,0,0,1.22E-17,0,0,-1.146423008,0
122,Zotu1211,1,0,0,1.28E-159,0,85,0,0
123,Zotu440,3,10.56666667,34,3.04E-23,0,26,0.057928445,0
124,Zotu761,2,0,0,6.84E-49,1,3,-0.338061702,0
125,Zotu93,4,9,34,8.30E-23,0.666666667,26,0.810998225,0
126,Zotu470,1,0,0,4.38E-208,0,183,0,0
127,Zotu582,3,13.5,42,2.25E-58,0.666666667,4,0.583459966,0
128,Zotu889,2,7,7,7.83E-100,0,10,0.242535625,0
129,Zotu2454,1,0,0,1.28E-159,0,88,0,0
130,Zotu1670,1,0,0,4.38E-208,0,273,0,0
131,Zotu525,1,0,0,1.01E-140,0,38,-1,0
132,Zotu2428,1,0,0,6.08E-20,0,1,-1.517893277,0
133,Zotu897,2,1,1,2.56E-159,0,106,0,0
134,Zotu682,1,0,0,1.28E-159,0,120,0,0
135,Zotu1628,1,0,0,6.84E-89,0,34,-0.912870929,0
136,Zotu405,2,5,5,9.92E-102,0,21,0.277350098,0
137,Zotu169,1,0,0,1.27E-23,0,26,-1.448211116,0
138,Zotu503,1,0,0,1.28E-159,0,119,0,0
139,Zotu211,1,0,0,4.38E-208,0,254,0,0
140,Zotu748,1,0,0,4.38E-208,0,251,0,0
141,Zotu1143,2,4,4,2.36E-89,0,20,0,0
142,Zotu1117,2,0,0,7.49E-111,1,77,0,0
143,Zotu772,3,6,6,4.49E-89,0.333333333,20,1.224744871,0
144,Zotu1319,2,0,0,1.24E-58,1,5,-0.282842712,0
145,Zotu973,2,0,0,7.49E-111,1,74,0,0
146,Zotu2203,1,0,0,4.38E-208,0,233,0,0
147,Zotu1350,1,0,0,1.01E-140,0,42,-1,0
148,Zotu2594,1,0,0,1.86E-89,0,20,-1.224744871,0
149,Zotu1690,1,0,0,4.38E-208,0,227,0,0
150,Zotu2161,6,20,47,7.07E-10,0.4,14,1.647508942,0
151,Zotu2258,2,2,2,1.63E-140,0,39,1,0
152,Zotu5105,1,0,0,4.38E-208,0,223,0,0
153,Zotu15334,1,0,0,3.03E-18,0,0,-1.146423008,0
154,Zotu17062,2,139.3463203,1176,6.65E-18,0,1,-0.632455532,0
155,Zotu19625,1,0,0,4.38E-208,0,218,0,0
156,Zotu17865,1,0,0,4.38E-208,0,215,0,0
157,Zotu2946,2,84.57142857,696,2.38E-17,0,0,-0.473522547,0
158,Zotu788,1,0,0,4.38E-208,0,212,0,0
159,Zotu6680,1,0,0,4.38E-208,0,210,0,0
160,Zotu7372,1,0,0,4.38E-208,0,206,0,0
161,Zotu2528,2,2,2,1.63E-140,0,41,1,0
162,Zotu4491,1,0,0,4.38E-208,0,210,0,0
163,Zotu7604,4,2.5,5,1.16E-51,0.5,49,1.206045378,0
164,Zotu9236,3,311,1839,1.47E-18,0,0,0.199377915,0
165,Zotu9982,1,0,0,7.56E-19,0,0,-1.146423008,0
166,Zotu14478,3,673.1660173,2567,1.72E-17,0,0,0.199377915,0
167,Zotu14040,3,4,9,5.12E-39,0.666666667,19,0.248759298,0
168,Zotu16648,2,0,0,9.17E-21,1,1,-0.632455532,0
169,Zotu8677,3,3.5,12,9.74E-13,0.333333333,9,-0.056077215,0
170,Zotu3328,2,0,0,3.35E-76,1,53,-1,0
171,Zotu3964,2,0,0,7.49E-111,1,79,0,0
172,Zotu2844,3,5,5,9.25E-122,0,31,1.75,0
173,Zotu9075,1,0,0,4.58E-18,0,0,-1.146423008,0
174,Zotu10189,3,890.8333333,4828,5.32E-18,0,1,0.252982213,0
175,Zotu13546,1,0,0,4.38E-208,0,266,0,0
176,Zotu8372,2,0,0,1.50E-27,1,48,-1.069044968,0
177,Zotu5906,2,1,1,2.56E-159,0,109,0,0
178,Zotu5804,1,0,0,4.38E-208,0,201,0,0
179,Zotu2181,2,0,0,7.49E-111,1,76,0,0
180,Zotu3347,2,80,654,2.37E-19,0,1,-0.632455532,0
181,Zotu16611,1,0,0,1.28E-159,0,107,0,0
182,Zotu9194,3,7,7,1.10E-117,0,22,1.788854382,0
183,Zotu6253,3,484.552381,2575,1.51E-17,0,0,0.199377915,0
184,Zotu9923,2,28,28,3.63E-58,0,5,-0.282842712,0
185,Zotu5875,2,0,0,7.49E-111,1,79,0,0
186,Zotu4298,1,0,0,4.38E-208,0,164,0,0
187,Zotu11620,1,0,0,4.38E-208,0,269,0,0
188,Zotu15895,2,0,0,4.71E-17,1,0,-0.473522547,0
189,Zotu19022,2,1,1,2.56E-159,0,100,0,0
190,Zotu20778,1,0,0,1.28E-159,0,109,0,0
191,Zotu13830,5,154.5,481,5.38E-18,0.4,0,1.545178837,0
192,Zotu20724,3,4,8,2.07E-20,0.333333333,1,0.252982213,0
193,Zotu17751,1,0,0,4.38E-208,0,158,0,0
194,Zotu296,2,1,2,1.13E-101,0,50,0,0
195,Zotu5294,4,62,62,4.64E-47,0.166666667,3,1.690308509,0
196,Zotu5152,3,3,4,7.74E-72,0.333333333,57,0.75,0
197,Zotu4485,1,0,0,5.65E-106,0,25,-0.603022689,0
198,Zotu7695,1,0,0,2.87E-131,0,62,-0.577350269,0
199,Zotu4513,2,1,1,2.56E-159,0,94,0,0
200,Zotu2545,3,9,12,5.33E-70,0.333333333,13,0.811107106,0
201,Zotu4505,4,9,9,1.87E-105,0,25,2.110579412,0
202,Zotu12433,5,31,59,7.22E-18,0.1,7,1.460998893,0
203,Zotu5671,1,0,0,4.38E-208,0,151,0,0
204,Zotu8610,3,25,327,2.71E-20,0.666666667,1,0.252982213,0
205,Zotu8893,1,0,0,2.87E-131,0,62,-0.577350269,0
206,Zotu3890,4,522,2942,5.80E-20,0.166666667,1,1.138419958,0
207,Zotu6125,2,6,6,2.15E-125,0,24,0.707106781,0
208,Zotu2905,2,4,4,7.36E-106,0,25,0.301511345,0
209,Zotu17014,2,80,462,1.11E-19,0,0,-0.473522547,0
210,Zotu13475,1,0,0,4.38E-208,0,217,0,0
211,Zotu19923,4,115.5,1536,7.81E-17,0.666666667,0,0.872278376,0
