Phylum,Accum_betw,Treatment
Acidobacteria,2117.585606,M
Actinobacteria,931.0666667,M
Armatimonadetes,267.5,M
Bacteroidetes,627.0666667,M
BRC1,0,M
Chlamydiae,0,M
Chloroflexi,410.6666667,M
Cyanobacteria,382,M
Elusimicrobia,0,M
Firmicutes,13883.83539,M
Gemmatimonadetes,178.5,M
Latescibacteria,663,M
Nitrospirae,94,M
Patescibacteria,426.85,M
Planctomycetes,882.5333333,M
Proteobacteria,2725.995671,M
Rokubacteria,0,M
Verrucomicrobia,132.0666667,M
NA,83.33333333,M
Acidobacteria,572040.5155,M+Cd
Actinobacteria,121077.1947,M+Cd
Armatimonadetes,89971.24883,M+Cd
Bacteroidetes,300376.6568,M+Cd
BRC1,2,M+Cd
Chlamydiae,0,M+Cd
Chloroflexi,232949.3162,M+Cd
Cyanobacteria,25.33333333,M+Cd
Elusimicrobia,40047.32885,M+Cd
Firmicutes,619557.7038,M+Cd
Gemmatimonadetes,81709.03498,M+Cd
Latescibacteria,7820.431536,M+Cd
Nitrospirae,5173,M+Cd
Patescibacteria,22398.97115,M+Cd
Planctomycetes,299678.5636,M+Cd
Proteobacteria,592594.3509,M+Cd
Rokubacteria,6982.402324,M+Cd
Verrucomicrobia,194588.4386,M+Cd
NA,62256.50886,M+Cd
