Phylum,Accum_degree,Treatment
Acidobacteria,262,M
Actinobacteria,82,M
Armatimonadetes,20,M
Bacteroidetes,148,M
BRC1,0,M
Chlamydiae,5,M
Chloroflexi,145,M
Cyanobacteria,11,M
Elusimicrobia,2,M
Firmicutes,302,M
Gemmatimonadetes,58,M
Latescibacteria,10,M
Nitrospirae,8,M
Patescibacteria,44,M
Planctomycetes,207,M
Proteobacteria,347,M
Rokubacteria,3,M
Verrucomicrobia,81,M
NA,35,M
Acidobacteria,562,M+Cd
Actinobacteria,132,M+Cd
Armatimonadetes,48,M+Cd
Bacteroidetes,293,M+Cd
BRC1,6,M+Cd
Chlamydiae,2,M+Cd
Chloroflexi,234,M+Cd
Cyanobacteria,12,M+Cd
Elusimicrobia,2,M+Cd
Firmicutes,434,M+Cd
Gemmatimonadetes,89,M+Cd
Latescibacteria,19,M+Cd
Nitrospirae,11,M+Cd
Patescibacteria,29,M+Cd
Planctomycetes,378,M+Cd
Proteobacteria,696,M+Cd
Rokubacteria,6,M+Cd
Verrucomicrobia,161,M+Cd
NA,54,M+Cd
