Source,Target,Label,inter
2,376,1,pp
2,67,1,pp
150,268,1,pp
150,196,-1,np
150,346,1,pp
150,334,1,pp
208,186,1,pp
157,270,-1,np
157,299,-1,np
157,170,1,pp
157,143,1,pp
53,193,1,pp
53,275,1,pp
34,145,1,pp
34,15,1,pp
34,3,1,pp
317,107,1,pp
317,210,1,pp
288,210,1,pp
119,327,1,pp
119,169,1,pp
175,33,1,pp
171,217,-1,np
171,257,1,pp
91,269,1,pp
312,14,1,pp
312,108,1,pp
312,55,1,pp
312,359,1,pp
339,335,-1,np
339,369,1,pp
339,226,-1,np
258,251,1,pp
258,135,1,pp
258,41,1,pp
139,96,1,pp
139,126,1,pp
139,274,-1,np
139,141,-1,np
80,85,1,pp
283,323,1,pp
283,241,1,pp
215,95,1,pp
215,309,1,pp
215,302,1,pp
165,156,-1,np
244,378,-1,np
56,73,-1,np
56,19,-1,np
56,231,1,pp
56,16,-1,np
161,236,1,pp
161,149,1,pp
57,158,1,pp
57,121,1,pp
57,353,1,pp
194,50,1,pp
194,218,1,pp
194,242,-1,np
329,93,-1,np
329,86,1,pp
329,338,-1,np
329,13,-1,np
329,52,-1,np
329,77,1,pp
329,253,-1,np
329,315,-1,np
310,337,-1,np
310,18,-1,np
310,220,1,pp
189,360,1,pp
145,3,1,pp
26,71,-1,np
26,144,1,pp
26,41,1,pp
14,108,1,pp
14,55,1,pp
14,359,1,pp
146,176,-1,np
245,137,-1,np
93,303,-1,np
93,72,-1,np
93,261,-1,np
95,58,1,pp
95,302,1,pp
198,66,-1,np
159,154,-1,np
352,140,-1,np
201,177,1,pp
136,63,-1,np
381,287,1,pp
381,357,-1,np
291,293,-1,np
291,257,1,pp
48,8,1,pp
3,191,1,pp
92,281,1,pp
193,275,1,pp
214,87,-1,np
214,101,1,pp
377,366,1,pp
355,256,1,pp
355,187,1,pp
355,24,1,pp
366,174,1,pp
12,337,-1,np
123,372,1,pp
123,345,1,pp
123,173,-1,np
98,265,-1,np
98,134,-1,np
285,242,-1,np
