"ID","Name","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No. module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
1,"Zotu10",1,0,0,1.66481343321323e-101,0,22,-0.577350269189626,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
2,"Zotu100",2,0,0,1.84563875592418e-88,1,30,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium"
3,"Zotu1007",3,3,3,7.8227235278845e-76,0.333333333333333,21,1.1180339887499,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
4,"Zotu1009",4,22,71,2.76680794925845e-29,0.5,4,0.6985354731357,0,"Latescibacteria","Latescibacteria","Latescibacterales","Latescibacteraceae","metagenome",NA
5,"Zotu1010",1,0,0,1.81994032463666e-119,0,39,0,0,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora",NA
6,"Zotu102",1,0,0,1.66481343321323e-101,0,22,-0.577350269189626,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
7,"Zotu104",2,163,1503,5.91720736333307e-05,0,5,-0.540738070435875,0,"Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA
8,"Zotu1046",2,1,1,3.63988064927332e-119,0,33,0,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",NA
9,"Zotu1056",1,0,0,7.9387266354428e-47,0,8,-1.05021006302101,0,"Actinobacteria","Actinobacteria",NA,NA,NA,NA
10,"Zotu106",1,0,0,3.58919942985274e-150,0,49,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales",NA,NA,NA
11,"Zotu1062",2,432.35,907,0.000520309096087335,0,3,-1.04530251250886,0.5,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Punica granatum (pomegranate)"
12,"Zotu107",1,0,0,5.39274167510406e-06,0,3,-1.04530251250886,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
13,"Zotu1072",6,2095.51897550077,19883,0.00215866741847351,0,1,1.38793665532833,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
14,"Zotu1079",4,31.85,411,0.0200658256857816,0.833333333333333,7,0.791256568074944,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
15,"Zotu108",1,0,0,3.39708454428027e-76,0,21,-1.1180339887499,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3"
16,"Zotu1085",5,802,11617,2.2364670380168e-08,0.1,2,1.85996221990111,0,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
17,"Zotu1090",4,324,5748,0.000623278306512921,0.5,1,0.315440148938256,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
