Source,Target,Label,inter
31,51,-1,np
31,164,1,pp
31,59,1,pp
31,84,1,pp
31,124,1,pp
85,103,1,pp
85,40,1,pp
85,110,-1,np
85,136,1,pp
85,130,-1,np
85,50,1,pp
116,165,1,pp
116,144,1,pp
116,8,1,pp
116,145,-1,np
79,96,1,pp
79,68,1,pp
79,154,1,pp
25,29,1,pp
87,125,1,pp
161,155,1,pp
149,180,-1,np
67,51,1,pp
67,17,1,pp
67,118,1,pp
67,122,1,pp
67,35,1,pp
67,95,1,pp
67,33,1,pp
67,98,1,pp
67,154,1,pp
159,14,1,pp
14,41,-1,np
99,178,-1,np
96,68,1,pp
96,154,1,pp
114,139,-1,np
21,53,1,pp
21,3,-1,np
21,16,1,pp
41,94,1,pp
42,17,1,pp
42,122,1,pp
42,35,1,pp
42,95,1,pp
42,125,1,pp
53,3,-1,np
53,16,1,pp
181,153,1,pp
181,121,1,pp
181,175,1,pp
181,91,1,pp
181,157,1,pp
181,71,1,pp
173,83,1,pp
173,93,1,pp
173,48,1,pp
173,9,1,pp
92,123,1,pp
92,193,1,pp
92,1,1,pp
26,52,1,pp
26,184,1,pp
26,106,1,pp
86,5,1,pp
86,188,1,pp
86,12,1,pp
86,66,1,pp
86,78,-1,np
36,186,1,pp
165,144,1,pp
165,8,1,pp
165,145,-1,np
13,90,-1,np
13,115,1,pp
82,127,1,pp
127,107,-1,np
58,100,-1,np
58,169,-1,np
58,105,1,pp
55,88,1,pp
76,109,1,pp
19,140,1,pp
19,39,1,pp
7,137,1,pp
153,51,1,pp
153,176,1,pp
153,121,1,pp
153,17,1,pp
153,175,1,pp
153,91,1,pp
153,122,1,pp
153,157,1,pp
153,35,1,pp
153,95,1,pp
153,33,1,pp
153,154,1,pp
153,71,1,pp
52,106,1,pp
174,191,-1,np
174,190,1,pp
174,89,-1,np
184,143,-1,np
184,166,-1,np
184,23,-1,np
144,8,1,pp
144,145,-1,np
172,54,1,pp
172,143,-1,np
172,72,-1,np
49,151,-1,np
49,148,1,pp
49,65,1,pp
20,60,-1,np
11,138,1,pp
11,134,1,pp
11,148,1,pp
11,38,-1,np
44,24,1,pp
44,28,1,pp
44,160,1,pp
138,134,1,pp
138,113,1,pp
138,156,1,pp
138,61,1,pp
138,70,1,pp
138,81,1,pp
138,69,1,pp
138,145,1,pp
138,147,1,pp
134,148,1,pp
134,38,-1,np
119,104,-1,np
119,102,-1,np
113,30,-1,np
113,187,-1,np
94,62,1,pp
94,57,1,pp
62,57,1,pp
129,27,1,pp
129,30,-1,np
37,34,1,pp
37,4,1,pp
37,158,1,pp
37,18,1,pp
37,111,1,pp
126,108,1,pp
24,28,1,pp
24,148,1,pp
24,160,1,pp
28,148,1,pp
28,160,1,pp
5,188,1,pp
5,12,1,pp
5,66,1,pp
5,78,-1,np
75,190,1,pp
75,83,1,pp
75,6,1,pp
75,93,1,pp
75,117,1,pp
123,193,1,pp
123,1,1,pp
128,156,-1,np
128,61,-1,np
128,70,-1,np
128,81,-1,np
128,69,-1,np
128,147,-1,np
128,2,-1,np
188,12,1,pp
188,66,1,pp
188,78,-1,np
191,189,-1,np
191,183,-1,np
191,78,-1,np
60,148,1,pp
100,115,1,pp
100,105,-1,np
190,189,1,pp
190,89,-1,np
190,183,1,pp
51,164,-1,np
51,59,-1,np
189,89,-1,np
54,43,1,pp
54,143,-1,np
68,154,1,pp
135,182,-1,np
34,4,1,pp
34,158,1,pp
34,18,1,pp
34,111,1,pp
185,125,1,pp
121,175,1,pp
121,91,1,pp
121,157,1,pp
121,71,1,pp
103,40,1,pp
103,110,-1,np
103,136,1,pp
103,130,-1,np
103,50,1,pp
164,59,1,pp
164,84,1,pp
164,124,1,pp
32,133,-1,np
17,122,1,pp
17,35,1,pp
17,95,1,pp
59,84,1,pp
59,124,1,pp
140,39,1,pp
151,65,-1,np
150,15,1,pp
8,145,-1,np
148,160,1,pp
148,65,1,pp
3,97,-1,np
3,16,-1,np
45,120,1,pp
141,33,-1,np
141,98,-1,np
167,139,-1,np
156,1,1,pp
156,80,-1,np
27,30,-1,np
89,183,-1,np
89,97,-1,np
4,158,1,pp
4,18,1,pp
4,111,1,pp
169,97,-1,np
169,124,1,pp
169,105,-1,np
61,1,1,pp
61,80,-1,np
64,133,1,pp
70,1,1,pp
70,80,-1,np
46,118,-1,np
46,1,1,pp
10,73,-1,np
40,110,-1,np
40,136,1,pp
40,130,-1,np
40,50,1,pp
158,18,1,pp
158,111,1,pp
83,179,-1,np
83,163,-1,np
83,162,-1,np
83,48,1,pp
83,9,1,pp
175,91,1,pp
175,157,1,pp
175,71,1,pp
63,179,1,pp
63,163,1,pp
63,162,1,pp
112,142,-1,np
112,74,1,pp
112,43,1,pp
112,1,1,pp
112,132,1,pp
112,73,-1,np
91,157,1,pp
91,71,1,pp
81,1,1,pp
81,80,-1,np
29,152,-1,np
142,145,-1,np
142,74,-1,np
142,132,-1,np
56,77,1,pp
38,47,-1,np
179,93,-1,np
179,192,1,pp
69,1,1,pp
69,80,-1,np
170,146,1,pp
170,43,1,pp
110,136,-1,np
110,43,1,pp
110,50,-1,np
136,130,-1,np
136,50,1,pp
101,177,-1,np
122,35,1,pp
122,95,1,pp
157,71,1,pp
93,163,-1,np
93,162,-1,np
93,48,1,pp
93,9,1,pp
35,95,1,pp
33,125,1,pp
33,98,1,pp
125,194,-1,np
125,168,-1,np
12,66,1,pp
12,78,-1,np
84,1,1,pp
84,171,1,pp
145,124,1,pp
145,43,1,pp
145,1,1,pp
147,1,1,pp
147,80,-1,np
66,78,-1,np
146,43,1,pp
130,43,1,pp
130,50,-1,np
74,43,1,pp
74,1,1,pp
74,132,1,pp
74,73,-1,np
43,1,1,pp
43,132,1,pp
1,132,1,pp
192,163,1,pp
192,162,1,pp
192,22,1,pp
192,78,1,pp
192,2,1,pp
131,72,1,pp
132,73,-1,np
80,2,-1,np
18,111,1,pp
48,9,1,pp
