Source,Target,Label,inter
Zotu100,Zotu432,1,pp
Zotu100,Zotu960,1,pp
Zotu100,Zotu147,1,pp
Zotu100,Zotu831,1,pp
Zotu250,Zotu52,1,pp
Zotu250,Zotu90,1,pp
Zotu250,Zotu33,-1,np
Zotu250,Zotu9,1,pp
Zotu250,Zotu76,1,pp
Zotu351,Zotu319,1,pp
Zotu265,Zotu5251,-1,np
Zotu265,Zotu631,-1,np
Zotu265,Zotu280,1,pp
Zotu265,Zotu237,1,pp
Zotu12,Zotu24,1,pp
Zotu12,Zotu1007,1,pp
Zotu7,Zotu189,1,pp
Zotu7,Zotu356,1,pp
Zotu2,Zotu739,1,pp
Zotu2,Zotu279,1,pp
Zotu283,Zotu60,1,pp
Zotu283,Zotu183,-1,np
Zotu283,Zotu364,-1,np
Zotu173,Zotu548,1,pp
Zotu173,Zotu77,-1,np
Zotu173,Zotu135,1,pp
Zotu476,Zotu223,1,pp
Zotu17692,Zotu1460,-1,np
Zotu17692,Zotu5,1,pp
Zotu17692,Zotu17,-1,np
Zotu362,Zotu167,1,pp
Zotu432,Zotu963,-1,np
Zotu137,Zotu11,-1,np
Zotu137,Zotu1085,-1,np
Zotu59,Zotu240,-1,np
Zotu59,Zotu94,1,pp
Zotu675,Zotu77,-1,np
Zotu675,Zotu1093,-1,np
Zotu675,Zotu367,1,pp
Zotu24,Zotu1007,1,pp
Zotu240,Zotu299,-1,np
Zotu821,Zotu23,-1,np
Zotu338,Zotu200,1,pp
Zotu13,Zotu79,1,pp
Zotu13,Zotu232,1,pp
Zotu972,Zotu582,1,pp
Zotu972,Zotu863,-1,np
Zotu108,Zotu77,-1,np
Zotu108,Zotu135,1,pp
Zotu60,Zotu601,-1,np
Zotu130,Zotu1046,1,pp
Zotu1007,Zotu922,-1,np
Zotu174,Zotu560,1,pp
Zotu361,Zotu17,-1,np
Zotu361,Zotu184,1,pp
Zotu962,Zotu922,-1,np
Zotu84,Zotu471,1,pp
Zotu84,Zotu113,1,pp
Zotu91,Zotu68,1,pp
Zotu107,Zotu77,-1,np
Zotu202,Zotu945,1,pp
Zotu202,Zotu8,1,pp
Zotu202,Zotu57,1,pp
Zotu202,Zotu45,1,pp
Zotu202,Zotu219,1,pp
Zotu202,Zotu44,1,pp
Zotu181,Zotu221,-1,np
Zotu181,Zotu935,-1,np
Zotu31,Zotu2737,-1,np
Zotu471,Zotu512,1,pp
Zotu471,Zotu113,1,pp
Zotu32,Zotu237,1,pp
Zotu165,Zotu118,-1,np
Zotu165,Zotu237,1,pp
Zotu943,Zotu405,-1,np
Zotu27,Zotu23,1,pp
Zotu110,Zotu221,-1,np
Zotu110,Zotu935,-1,np
Zotu110,Zotu73,1,pp
Zotu37,Zotu19,1,pp
Zotu37,Zotu1217,1,pp
Zotu37,Zotu88,1,pp
Zotu278,Zotu77,-1,np
Zotu278,Zotu367,1,pp
Zotu19,Zotu263,-1,np
Zotu19,Zotu88,1,pp
Zotu19,Zotu1264,-1,np
Zotu963,Zotu600,-1,np
Zotu963,Zotu346,-1,np
Zotu963,Zotu143,-1,np
Zotu1010,Zotu94,-1,np
Zotu405,Zotu238,-1,np
Zotu1056,Zotu263,-1,np
Zotu169,Zotu416,1,pp
Zotu169,Zotu704,1,pp
Zotu169,Zotu162,1,pp
Zotu169,Zotu186,1,pp
Zotu316,Zotu232,-1,np
Zotu316,Zotu46,1,pp
Zotu222,Zotu45,1,pp
Zotu813,Zotu190,-1,np
Zotu813,Zotu831,1,pp
Zotu1117,Zotu763,-1,np
Zotu960,Zotu147,1,pp
Zotu960,Zotu1264,-1,np
Zotu77,Zotu599,-1,np
Zotu77,Zotu185,-1,np
Zotu77,Zotu367,-1,np
Zotu77,Zotu851,-1,np
Zotu77,Zotu135,-1,np
Zotu177,Zotu148,1,pp
Zotu66,Zotu263,-1,np
