Source,Target,Label,inter
2,154,1,pp
2,232,1,pp
2,45,1,pp
2,213,1,pp
96,166,1,pp
96,222,1,pp
96,122,-1,np
96,221,1,pp
96,204,1,pp
130,118,1,pp
100,167,-1,np
100,188,-1,np
100,107,1,pp
100,90,1,pp
22,92,1,pp
22,3,1,pp
196,68,1,pp
196,132,1,pp
77,202,1,pp
77,106,1,pp
109,183,1,pp
109,63,-1,np
109,139,-1,np
55,173,1,pp
55,206,-1,np
55,34,1,pp
161,87,1,pp
58,44,-1,np
58,164,1,pp
58,53,-1,np
137,51,1,pp
154,234,-1,np
36,15,-1,np
36,13,-1,np
181,93,-1,np
181,228,1,pp
194,206,-1,np
194,14,-1,np
194,140,1,pp
92,3,1,pp
93,111,-1,np
212,88,-1,np
126,79,1,pp
32,207,1,pp
32,89,1,pp
236,180,1,pp
236,217,-1,np
12,206,-1,np
12,34,1,pp
183,185,-1,np
33,7,1,pp
3,226,-1,np
56,175,1,pp
136,53,-1,np
136,64,1,pp
233,226,-1,np
214,160,1,pp
214,18,1,pp
224,195,1,pp
10,206,-1,np
80,230,1,pp
80,208,1,pp
80,177,1,pp
80,157,1,pp
80,84,1,pp
80,156,1,pp
61,85,-1,np
61,227,-1,np
115,104,-1,np
160,165,1,pp
160,18,1,pp
119,90,1,pp
49,21,-1,np
49,90,1,pp
229,149,-1,np
102,88,1,pp
16,85,-1,np
16,227,-1,np
16,201,1,pp
142,69,1,pp
142,25,1,pp
142,219,1,pp
105,206,-1,np
105,140,1,pp
69,99,-1,np
69,219,1,pp
69,30,-1,np
234,184,-1,np
234,128,-1,np
234,42,-1,np
4,228,-1,np
149,91,-1,np
8,99,-1,np
52,151,1,pp
52,199,1,pp
52,47,1,pp
52,66,1,pp
116,89,-1,np
116,159,1,pp
86,157,1,pp
211,70,-1,np
211,213,1,pp
17,205,-1,np
232,45,1,pp
232,30,-1,np
206,182,-1,np
206,65,-1,np
206,140,-1,np
206,216,-1,np
206,34,-1,np
59,46,1,pp
193,99,-1,np
193,171,-1,np
193,66,-1,np
193,30,-1,np
228,117,-1,np
228,220,-1,np
44,53,1,pp
44,37,-1,np
44,94,-1,np
44,118,-1,np
164,41,1,pp
39,103,1,pp
39,174,1,pp
68,132,1,pp
78,6,1,pp
231,67,1,pp
60,75,-1,np
215,91,1,pp
215,122,-1,np
215,110,1,pp
215,127,1,pp
15,146,-1,np
15,98,1,pp
225,186,1,pp
202,106,1,pp
178,72,1,pp
29,35,1,pp
29,20,1,pp
67,6,-1,np
67,163,1,pp
40,169,1,pp
113,82,-1,np
129,83,-1,np
25,20,-1,np
25,201,1,pp
25,153,-1,np
191,134,1,pp
218,179,1,pp
135,175,-1,np
135,133,-1,np
132,23,-1,np
132,209,-1,np
5,131,1,pp
172,133,-1,np
72,222,-1,np
72,122,1,pp
72,221,-1,np
72,177,1,pp
72,209,-1,np
31,13,-1,np
150,83,1,pp
150,99,-1,np
150,95,1,pp
150,120,-1,np
150,171,-1,np
45,30,-1,np
121,220,-1,np
74,174,-1,np
182,216,1,pp
70,107,1,pp
184,35,-1,np
190,76,-1,np
190,223,-1,np
190,198,-1,np
54,73,1,pp
27,114,1,pp
81,108,-1,np
99,95,-1,np
192,76,1,pp
192,223,1,pp
192,198,1,pp
192,210,1,pp
14,64,-1,np
14,148,-1,np
151,199,1,pp
151,144,1,pp
131,144,1,pp
131,203,-1,np
131,153,-1,np
11,43,1,pp
128,35,-1,np
128,168,-1,np
185,158,-1,np
185,197,-1,np
23,204,1,pp
35,42,-1,np
200,188,1,pp
200,48,-1,np
42,187,1,pp
227,62,-1,np
20,103,-1,np
20,63,-1,np
20,189,-1,np
20,174,-1,np
138,123,1,pp
146,98,-1,np
50,143,1,pp
124,48,-1,np
124,235,-1,np
103,13,-1,np
230,152,-1,np
230,177,1,pp
166,222,1,pp
166,122,-1,np
166,221,1,pp
166,209,1,pp
62,57,1,pp
24,118,1,pp
222,122,-1,np
222,221,1,pp
222,110,1,pp
222,127,1,pp
222,66,1,pp
222,209,1,pp
222,148,1,pp
63,165,-1,np
57,88,-1,np
21,237,1,pp
19,226,-1,np
9,155,1,pp
79,112,1,pp
71,162,-1,np
71,97,-1,np
226,120,-1,np
226,171,-1,np
208,177,1,pp
208,157,1,pp
122,110,-1,np
122,209,-1,np
101,110,1,pp
101,125,-1,np
139,76,-1,np
139,223,-1,np
139,198,-1,np
221,177,-1,np
221,209,1,pp
199,144,1,pp
117,75,-1,np
145,195,1,pp
167,163,-1,np
167,90,-1,np
195,170,1,pp
152,97,-1,np
95,171,-1,np
95,30,-1,np
176,204,1,pp
147,13,-1,np
13,38,-1,np
177,156,1,pp
157,84,1,pp
157,156,1,pp
84,156,1,pp
87,28,1,pp
141,213,-1,np
1,159,-1,np
207,89,1,pp
171,125,-1,np
76,223,1,pp
76,125,-1,np
76,198,1,pp
90,153,-1,np
223,125,-1,np
223,198,1,pp
89,26,1,pp
174,165,-1,np
125,198,-1,np
165,18,1,pp
