Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu100,4,1209.695455,4597,0.000501251,0.166666667,1,0.175863115,0.375
Zotu250,5,391.8714286,1006,0.284657851,0.5,2,0.771415561,0
Zotu351,1,0,0,1.11E-06,0,3,-0.881917104,0
Zotu265,4,1063.733333,2223,5.02E-06,0.166666667,5,2.34520788,0
Zotu12,2,0,0,7.50E-05,1,1,-0.527589344,0
Zotu7,2,0,0,0.016543815,1,2,-0.701286873,0
Zotu2,2,0,0,2.19E-62,1,15,0,0
Zotu283,3,1603.077843,6644,0.000712571,0,4,-0.356034497,0.444444444
Zotu173,3,163,310,0.000297405,0.333333333,10,0.143591632,0
Zotu476,1,0,0,1.85E-83,0,17,0,0
Zotu17692,3,324,618,2.91E-05,0.333333333,3,0.881917104,0
Zotu362,1,0,0,1.57E-104,0,21,0,0
Zotu548,1,0,0,5.45E-05,0,10,-0.717958159,0
Zotu432,2,630.9758467,2504,9.55E-05,0,1,-1.231041802,0.5
Zotu137,2,483,1125,5.01E-07,0,7,0,0
Zotu59,2,14,14,6.29E-56,0,8,0.229415734,0
Zotu675,3,1683,3588,0.003486404,0.333333333,10,-0.287183263,0.444444444
Zotu24,2,0,0,7.50E-05,1,1,-0.527589344,0
Zotu240,2,8,8,2.72E-56,0,8,0.229415734,0
Zotu821,1,0,0,1.23E-09,0,0,-1.376494403,0
Zotu338,1,0,0,1.85E-83,0,18,0,0
Zotu13,2,0,0,1.50E-51,1,9,0,0
Zotu972,2,1,1,1.85E-83,0,16,0,0
Zotu108,2,0,0,0.000287429,1,10,-0.287183263,0
Zotu60,2,483,1734,0.000135379,0,4,-0.356034497,0
Zotu130,1,0,0,1.57E-104,0,19,0,0
Zotu1007,3,324,1194,0.000334472,0.333333333,1,0.175863115,0
Zotu174,1,0,0,2.62E-71,0,13,-1.224744871,0
Zotu361,2,1540,3010,0.000608473,0,3,0,0
Zotu962,1,0,0,0.000307,0,1,-1.231041802,0
Zotu84,2,0,0,2.99E-06,1,4,-0.356034497,0
Zotu91,1,0,0,3.93E-71,0,14,-0.577350269,0
Zotu107,1,0,0,0.000226352,0,10,-0.717958159,0
Zotu202,6,200.5,1764,0.068894988,0.466666667,6,2.038098661,0
Zotu181,2,3,6,3.42E-07,0,0,-0.229415734,0
Zotu31,1,0,0,1.57E-104,0,32,0,0
Zotu471,3,81,619,8.17E-06,0.666666667,4,0.593390829,0
Zotu32,1,0,0,3.68E-06,0,5,-1.17260394,0
Zotu165,2,324,710,3.81E-06,0,5,0,0
Zotu943,1,0,0,0.000820355,0,2,-1.192187685,0
Zotu27,1,0,0,1.23E-09,0,0,-1.376494403,0
Zotu110,3,1251,3183,4.66E-06,0,0,0.917662935,0
Zotu37,3,2513.459266,8348,0.000502089,0.333333333,1,-0.527589344,0.444444444
Zotu278,2,0,0,0.000398119,1,10,-0.287183263,0
Zotu19,4,2580.653909,8901,0.002134341,0.166666667,1,0.879315573,0
Zotu963,4,572.8472753,2341,2.00E-05,0,11,0.688247202,0.375
Zotu221,2,78.5,354,9.16E-07,0,0,-0.229415734,0
Zotu582,1,0,0,1.85E-83,0,16,0,0
Zotu1010,1,0,0,4.69E-56,0,8,-0.917662935,0
Zotu405,2,163,587,0.004479017,0,2,-0.701286873,0
Zotu1056,1,0,0,0.001007235,0,1,-1.231041802,0
Zotu169,4,1740.366667,4982,0.018657568,0.166666667,0,0.917662935,0.375
Zotu316,2,8,8,1.11E-51,0,9,0,0
Zotu222,1,0,0,0.007017547,0,6,-1.358732441,0
Zotu813,2,256.7333333,673,1.87E-05,0,5,0,0
Zotu1117,1,0,0,1.57E-104,0,22,0,0
Zotu960,3,595.9241979,2371,0.001271369,0.666666667,1,0.175863115,0
Zotu77,10,1347,2739,0.00123585,0.111111111,10,3.159015898,0
Zotu2737,1,0,0,1.57E-104,0,32,0,0
Zotu177,1,0,0,1.57E-104,0,29,0,0
Zotu66,4,3840.71396,12367,0.019644344,0,1,0.879315573,0
Zotu94,4,29,29,7.98E-56,0,8,2.523573073,0
Zotu1460,5,802,1537,3.09E-05,0.1,3,2.645751311,0
Zotu5,2,163,310,5.52E-06,0,3,0,0
Zotu14,2,21,63,5.71E-06,0,4,-0.356034497,0
Zotu189,2,0,0,0.016543815,1,2,-0.701286873,0
Zotu20,1,0,0,6.17E-09,0,5,-1.17260394,0
Zotu96,1,0,0,3.26E-08,0,5,-1.17260394,0
Zotu18,1,0,0,1.60E-56,0,8,-0.917662935,0
Zotu85,4,493.5,1807,0.124561466,0.166666667,2,0.280514749,0
Zotu11,3,324,752,1.00E-07,0.333333333,7,1,0
Zotu92,1,0,0,1.57E-104,0,31,0,0
Zotu739,2,0,0,2.19E-62,1,15,0,0
Zotu17,3,1395,2718,0.000122443,0.333333333,3,0.881917104,0
Zotu570,1,0,0,0.058071412,0,2,-1.192187685,0
Zotu148,1,0,0,1.57E-104,0,29,0,0
Zotu125,2,573.4182709,1438,1.18E-05,0,11,-1.147078669,0.5
Zotu187,3,485,1073,1.78E-07,0,5,1.17260394,0
Zotu141,1,0,0,1.57E-104,0,28,0,0
Zotu300,1,0,0,1.57E-104,0,27,0,0
Zotu349,1,0,0,0.000115928,0,1,-1.231041802,0
Zotu1217,4,4238.959266,10793,0.000124115,0,0,-0.229415734,0.625
Zotu653,1,0,0,1.57E-104,0,26,0,0
Zotu873,1,0,0,1.57E-104,0,25,0,0
Zotu360,2,4,4,5.23E-71,0,13,0.816496581,0
Zotu356,4,406.9,1059,0.073782994,0.166666667,2,0.280514749,0
Zotu104,1,0,0,6.59E-05,0,0,-1.376494403,0
Zotu5454,1,0,0,2.62E-71,0,13,-1.224744871,0
Zotu192,6,1107.771429,5670,0.317061416,0.4,2,0.771415561,0.277777778
Zotu763,1,0,0,1.57E-104,0,22,0,0
Zotu1295,1,0,0,4.83E-07,0,7,-1,0
Zotu41,5,566.2102956,1843,0.003339898,0.2,1,1.582768031,0
Zotu1412,1,0,0,1.01E-06,0,3,-0.881917104,0
Zotu147,3,595.9241979,2371,0.001271369,0.666666667,1,0.175863115,0
Zotu215,2,163,338,0.000632952,0,1,-0.527589344,0
Zotu325,1,0,0,2.03E-56,0,8,-0.917662935,0
Zotu196,1,0,0,3.43E-06,0,4,-1.305459824,0
Zotu599,2,0,0,0.000277106,1,10,-0.287183263,0
Zotu190,2,216.7333333,426,3.72E-06,0,5,0,0
Zotu600,2,62.29988541,421,4.53E-06,0,11,-0.229415734,0
Zotu650,3,0,0,0.003477087,1,12,-0.577350269,0
Zotu1714,1,0,0,1.57E-104,0,33,0,0
Zotu1232,1,0,0,1.57E-104,0,20,0,0
Zotu209,1,0,0,1.57E-104,0,24,0,0
Zotu138,1,0,0,5.67E-06,0,3,-0.881917104,0
Zotu263,5,1608.676833,5569,0.005499354,0.1,1,1.582768031,0
Zotu657,4,163,801,0.003597777,0.5,12,0,0
Zotu1093,3,3504,7306,0.016861581,0,3,0,0.444444444
Zotu416,3,750.85,2316,0.004573912,0.666666667,0,0.917662935,0
Zotu355,4,1718.833333,4599,0.000360016,0,0,2.064741605,0
Zotu1078,1,0,0,1.57E-104,0,23,0,0
Zotu346,3,225.2998854,780,4.69E-06,0,11,0.688247202,0
Zotu628,1,0,0,1.57E-104,0,31,0,0
Zotu601,3,325,1159,2.66E-05,0,4,0.593390829,0
Zotu1045,2,163,359,3.37E-08,0,5,0,0
Zotu1204,2,7,11,0.02423547,0,2,-0.701286873,0
Zotu530,1,0,0,1.57E-104,0,28,0,0
Zotu1046,1,0,0,1.57E-104,0,19,0,0
Zotu1361,4,487.5994398,1134,4.71E-06,0,11,1.605910137,0
Zotu721,2,483,1056,1.81E-07,0,5,0,0
Zotu184,2,1683,3300,0.003199729,0,3,0,0
Zotu143,3,225.2998854,780,4.69E-06,0,11,0.688247202,0
Zotu248,1,0,0,5.67E-06,0,3,-0.881917104,0
Zotu185,1,0,0,0.000226352,0,10,-0.717958159,0
Zotu935,3,873.5,2139,9.49E-07,0,0,0.917662935,0
Zotu1152,6,3227.630406,8096,5.96E-05,0,4,1.542816156,0.5
Zotu363,1,0,0,1.57E-104,0,34,0,0
Zotu389,2,0,0,2.24E-08,1,7,0,0
Zotu166,1,0,0,1.57E-104,0,35,0,0
Zotu238,2,324,1172,0.023634421,0,2,-0.701286873,0
Zotu335,2,163,354,6.49E-09,0,5,0,0
Zotu330,1,0,0,1.57E-104,0,34,0,0
Zotu1924,1,0,0,1.57E-104,0,33,0,0
Zotu271,3,1318.543763,3310,1.24E-05,0,4,-0.356034497,0.444444444
Zotu945,3,640,2348,0.043612704,0.333333333,6,0,0
Zotu526,1,0,0,8.59E-07,0,11,-1.147078669,0
Zotu52,5,2.021428571,11,0.329083336,0.8,2,0.771415561,0
Zotu182,2,640,1432,1.80E-07,0,0,-0.229415734,0
Zotu121,1,0,0,1.11E-06,0,3,-0.881917104,0
Zotu90,10,6503.949251,20137,0.44927689,0.266666667,2,2.244117995,0.34
Zotu183,3,1374.053893,4926,0.000147558,0,4,0.593390829,0
Zotu175,2,483,1077,3.42E-08,0,0,-0.229415734,0
Zotu118,2,163,356,7.22E-07,0,5,0,0
Zotu115,1,0,0,0.000307,0,1,-1.231041802,0
Zotu106,1,0,0,1.57E-104,0,30,0,0
Zotu200,2,1,1,1.85E-83,0,18,0,0
Zotu88,2,0,0,0.000482875,1,1,-0.527589344,0
Zotu19051,2,163,590,0.000297572,0,6,-0.67936622,0
Zotu560,2,3,3,3.93E-71,0,13,0.816496581,0
Zotu922,5,833.9952381,3119,0.001676176,0,1,1.582768031,0
Zotu8,3,102.6666667,1158,0.049114555,0.666666667,6,0,0
Zotu33,7,404.6071429,2193,0.371759775,0.428571429,2,1.753217183,0
Zotu267,2,1198.815035,5926,0.034946671,0,2,-1.192187685,0.5
Zotu364,4,1341.260721,6645,0.003607598,0.5,12,-0.577350269,0.375
Zotu367,3,77,300,0.000937822,0.666666667,10,0.143591632,0
Zotu453,1,0,0,4.87E-06,0,4,-1.305459824,0
Zotu3596,2,3,3,3.93E-71,0,13,0.816496581,0
Zotu634,1,0,0,1.09E-05,0,4,-1.305459824,0
Zotu9,6,859.75,4468,0.345531101,0.533333333,2,0.771415561,0.277777778
Zotu48,1,0,0,5.45E-05,0,6,-1.358732441,0
Zotu319,3,325,619,6.08E-06,0,3,0.881917104,0
Zotu299,1,0,0,1.60E-56,0,8,-0.917662935,0
Zotu704,3,750.85,2316,0.004573912,0.666666667,0,0.917662935,0
Zotu318,2,14,14,6.29E-56,0,8,0.229415734,0
Zotu381,1,0,0,3.93E-71,0,14,-0.577350269,0
Zotu89,2,8,8,5.89E-56,0,8,0.229415734,0
Zotu38,3,1544.433333,4504,0.001741409,0.333333333,0,0.917662935,0
Zotu5251,3,795,1775,4.76E-06,0.333333333,5,1.17260394,0
Zotu68,3,3,3,3.93E-71,0,14,1.732050808,0
Zotu2800,1,0,0,1.57E-104,0,24,0,0
Zotu631,2,640,1404,9.52E-07,0,5,0,0
Zotu279,2,0,0,2.19E-62,1,15,0,0
Zotu418,2,483,1764,0.008275478,0,6,-0.67936622,0
Zotu2501,2,324,1178,0.001570198,0,6,-0.67936622,0
Zotu146,1,0,0,1.57E-104,0,23,0,0
Zotu249,4,324.4289946,1839,0.003899849,0.333333333,1,0.879315573,0
Zotu480,2,640,1424,9.05E-07,0,5,0,0
Zotu562,1,0,0,0.010721739,0,2,-1.192187685,0
Zotu322,2,53.85714286,330,0.000918719,0,1,-0.527589344,0
Zotu280,2,222.9,256,1.60E-06,0,5,0,0
Zotu290,4,1338.986464,6532,0.179591772,0.333333333,2,0.280514749,0
Zotu997,1,0,0,1.32E-07,0,5,-1.17260394,0
Zotu3,1,0,0,1.85E-83,0,18,0,0
Zotu39,1,0,0,4.83E-07,0,7,-1,0
Zotu1085,5,1114,2612,2.64E-06,0,7,2,0.32
Zotu57,6,1688.333333,9259,0.160948518,0.266666667,6,0.67936622,0.444444444
Zotu45,5,163.8333333,1748,0.03831478,0.4,6,1.358732441,0
Zotu219,3,0,0,0.029625403,1,6,0,0
Zotu223,2,1,1,1.85E-83,0,17,0,0
Zotu164,2,324,706,3.43E-08,0,5,0,0
Zotu368,1,0,0,1.80E-05,0,5,-1.17260394,0
Zotu1,1,0,0,2.36E-52,0,9,-1.08012345,0
Zotu340,2,116.5714286,568,0.105101416,0,2,-0.701286873,0
Zotu79,2,0,0,1.50E-51,1,9,0,0
Zotu851,2,0,0,0.000277106,1,10,-0.287183263,0
Zotu971,1,0,0,1.19E-09,0,5,-1.17260394,0
Zotu750,1,0,0,6.59E-05,0,0,-1.376494403,0
Zotu162,1,0,0,0.003417229,0,0,-1.376494403,0
Zotu543,5,1434.518592,5882,0.007284482,0.1,1,0.879315573,0.32
Zotu438,1,0,0,1.57E-104,0,30,0,0
Zotu186,3,5116.051632,15103,0.089302539,0,1,-1.231041802,0.666666667
Zotu1264,5,2475.236361,9040,0.00516887,0.1,1,1.582768031,0
Zotu198,2,8,8,2.72E-56,0,8,0.229415734,0
Zotu73,2,1395,3520,2.36E-05,0,0,-0.229415734,0
Zotu167,1,0,0,1.57E-104,0,21,0,0
Zotu831,3,475.6666667,1561,9.85E-05,0,5,0,0.444444444
Zotu199,6,507.142264,2886,0.006328129,0.6,12,1.154700538,0
Zotu70,1,0,0,4.87E-06,0,4,-1.305459824,0
Zotu237,5,2493.733333,5771,2.01E-05,0.1,5,2.34520788,0.32
Zotu63,1,0,0,8.59E-07,0,11,-1.147078669,0
Zotu429,3,2926.4,6586,9.23E-05,0,0,-0.229415734,0.444444444
Zotu902,6,507.142264,2886,0.006328129,0.6,12,1.154700538,0
Zotu232,4,11,11,2.09E-51,0.166666667,9,2.160246899,0
Zotu376,1,0,0,1.57E-104,0,35,0,0
Zotu80,6,556.1714286,1403,0.345521256,0.533333333,2,1.262316372,0
Zotu54,1,0,0,3.93E-71,0,14,-0.577350269,0
Zotu36,1,0,0,1.57E-104,0,26,0,0
Zotu56,4,399.7848082,1402,1.87E-05,0,4,1.542816156,0
Zotu139,1,0,0,4.83E-07,0,7,-1,0
Zotu23,3,325,721,6.72E-09,0,0,0.917662935,0
Zotu252,2,0,0,2.24E-08,1,7,0,0
Zotu336,5,1669.719649,8655,0.011211938,0.3,12,-0.577350269,0.56
Zotu576,1,0,0,1.57E-104,0,25,0,0
Zotu512,4,515.207928,2664,3.34E-05,0.166666667,4,1.542816156,0
Zotu76,3,240.1,674,0.058539125,0,2,-0.210386062,0
Zotu124,1,0,0,1.85E-83,0,17,0,0
Zotu135,3,1,2,0.000333468,0.666666667,10,0.143591632,0
Zotu393,2,3475,7410,0.085375634,0,3,-0.881917104,0.5
Zotu308,1,0,0,1.57E-104,0,20,0,0
Zotu123,1,0,0,8.75E-52,0,9,-1.08012345,0
Zotu113,3,81,619,8.17E-06,0.666666667,4,0.593390829,0
Zotu863,1,0,0,1.85E-83,0,16,0,0
Zotu214,1,0,0,1.57E-104,0,27,0,0
Zotu46,2,5,5,5.64E-52,0,9,0,0
Zotu700,6,507.142264,2886,0.006328129,0.6,12,1.154700538,0
Zotu44,4,179.6666667,1737,0.054540598,0.666666667,6,0.67936622,0
Zotu801,1,0,0,0.000658951,0,12,-1.732050808,0
