"ID","Name","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
1,"Zotu1",1,0,0,2.36e-52,0,9,-1.08012345,0,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
2,"Zotu100",4,1209.695455,4597,0.000501251,0.166666667,1,0.175863115,0.375,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium"
3,"Zotu1007",3,324,1194,0.000334472,0.333333333,1,0.175863115,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
4,"Zotu1010",1,0,0,4.69e-56,0,8,-0.917662935,0,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora",NA
5,"Zotu104",1,0,0,6.59e-05,0,0,-1.376494403,0,"Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA
6,"Zotu1045",2,163,359,3.37e-08,0,5,0,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
7,"Zotu1046",1,0,0,1.57e-104,0,19,0,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",NA
8,"Zotu1056",1,0,0,0.001007235,0,1,-1.231041802,0,"Actinobacteria","Actinobacteria",NA,NA,NA,NA
9,"Zotu106",1,0,0,1.57e-104,0,30,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales",NA,NA,NA
10,"Zotu107",1,0,0,0.000226352,0,10,-0.717958159,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
11,"Zotu1078",1,0,0,1.57e-104,0,23,0,0,NA,NA,NA,NA,NA,NA
12,"Zotu108",2,0,0,0.000287429,1,10,-0.287183263,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3"
13,"Zotu1085",5,1114,2612,2.64e-06,0,7,2,0.32,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
14,"Zotu1093",3,3504,7306,0.016861581,0,3,0,0.444444444,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA,NA
15,"Zotu11",3,324,752,1e-07,0.333333333,7,1,0,"Firmicutes","Bacilli",NA,NA,NA,NA
16,"Zotu110",3,1251,3183,4.66e-06,0,0,0.917662935,0,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
17,"Zotu1117",1,0,0,1.57e-104,0,22,0,0,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae",NA,NA
18,"Zotu113",3,81,619,8.17e-06,0.666666667,4,0.593390829,0,"Acidobacteria","Blastocatellia (Subgroup 4)","44889","uncultivated soil bacterium clone S111",NA,NA
19,"Zotu115",1,0,0,0.000307,0,1,-1.231041802,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured soil bacterium",NA
20,"Zotu1152",6,3227.630406,8096,5.96e-05,0,4,1.542816156,0.5,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured subdivision 3 bacterium",NA
21,"Zotu118",2,163,356,7.22e-07,0,5,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","Planctomycetales bacterium Ellin7224",NA
22,"Zotu12",2,0,0,7.5e-05,1,1,-0.527589344,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer",NA
23,"Zotu1204",2,7,11,0.02423547,0,2,-0.701286873,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","uncultured Sorangiineae bacterium",NA
24,"Zotu121",1,0,0,1.11e-06,0,3,-0.881917104,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
25,"Zotu1217",4,4238.959266,10793,0.000124115,0,0,-0.229415734,0.625,"Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria Incertae Sedis","Unknown Family","EcFYyy-200",NA
26,"Zotu123",1,0,0,8.75e-52,0,9,-1.08012345,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
27,"Zotu1232",1,0,0,1.57e-104,0,20,0,0,"Chloroflexi","Ktedonobacteria","Ktedonobacterales","JG30-KF-AS9",NA,NA
28,"Zotu124",1,0,0,1.85e-83,0,17,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
29,"Zotu125",2,573.4182709,1438,1.18e-05,0,11,-1.147078669,0.5,"Cyanobacteria","Oxyphotobacteria","Nostocales",NA,NA,NA
30,"Zotu1264",5,2475.236361,9040,0.00516887,0.1,1,1.582768031,0,"Acidobacteria","Subgroup 5",NA,NA,NA,NA
31,"Zotu1295",1,0,0,4.83e-07,0,7,-1,0,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
32,"Zotu13",2,0,0,1.5e-51,1,9,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3"
33,"Zotu130",1,0,0,1.57e-104,0,19,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
34,"Zotu135",3,1,2,0.000333468,0.666666667,10,0.143591632,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
35,"Zotu1361",4,487.5994398,1134,4.71e-06,0,11,1.605910137,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",NA
36,"Zotu137",2,483,1125,5.01e-07,0,7,0,0,"Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia","Azospirillum sp. T2-YC6788"
37,"Zotu138",1,0,0,5.67e-06,0,3,-0.881917104,0,"Chloroflexi","KD4-96",NA,NA,NA,NA
