Source,Target,Label,inter
2,101,-1,np
2,39,-1,np
2,76,1,pp
7,38,-1,np
7,40,-1,np
7,49,-1,np
7,3,-1,np
102,49,-1,np
102,3,-1,np
94,43,-1,np
94,70,-1,np
41,36,1,pp
41,14,1,pp
41,72,1,pp
41,24,1,pp
41,58,1,pp
41,23,1,pp
41,104,-1,np
41,99,1,pp
12,28,-1,np
12,97,-1,np
12,29,-1,np
12,1,-1,np
108,98,-1,np
108,57,-1,np
28,57,1,pp
37,47,1,pp
37,60,-1,np
37,113,1,pp
37,54,-1,np
37,105,-1,np
37,5,1,pp
37,103,-1,np
37,107,-1,np
109,25,1,pp
109,47,1,pp
109,29,1,pp
56,87,1,pp
56,38,1,pp
56,67,1,pp
56,89,-1,np
56,91,1,pp
56,92,1,pp
56,46,1,pp
56,29,1,pp
56,1,1,pp
56,83,1,pp
96,89,1,pp
50,48,1,pp
50,64,1,pp
10,55,-1,np
10,69,1,pp
51,80,1,pp
51,22,1,pp
80,63,-1,np
48,64,1,pp
48,103,-1,np
48,18,-1,np
16,88,1,pp
16,68,-1,np
16,100,-1,np
16,15,-1,np
16,26,1,pp
6,85,1,pp
98,44,-1,np
98,36,1,pp
98,110,1,pp
98,61,1,pp
98,14,1,pp
98,72,1,pp
98,24,1,pp
98,58,1,pp
98,23,1,pp
98,104,-1,np
98,82,1,pp
98,99,1,pp
98,35,1,pp
90,73,-1,np
90,91,-1,np
90,31,-1,np
30,112,-1,np
30,29,1,pp
87,73,1,pp
87,67,1,pp
87,91,1,pp
87,46,1,pp
87,1,1,pp
87,83,1,pp
55,60,-1,np
55,84,-1,np
71,62,-1,np
25,47,1,pp
25,29,1,pp
78,11,1,pp
33,52,1,pp
34,59,-1,np
62,111,1,pp
62,79,1,pp
74,19,-1,np
47,113,1,pp
47,5,1,pp
47,106,1,pp
47,65,1,pp
47,81,1,pp
47,29,1,pp
47,32,1,pp
47,66,1,pp
47,8,1,pp
73,89,-1,np
73,29,1,pp
73,1,1,pp
85,76,-1,np
42,110,1,pp
42,61,1,pp
42,35,1,pp
60,113,-1,np
60,14,-1,np
60,69,1,pp
60,5,-1,np
60,72,-1,np
60,24,-1,np
60,58,-1,np
60,100,-1,np
60,82,-1,np
113,54,-1,np
113,105,-1,np
113,5,1,pp
113,103,-1,np
113,107,-1,np
36,14,1,pp
36,72,1,pp
36,24,1,pp
36,58,1,pp
36,99,1,pp
38,61,-1,np
38,67,1,pp
38,86,-1,np
38,46,1,pp
38,29,1,pp
38,1,1,pp
38,83,1,pp
38,35,-1,np
110,106,-1,np
110,65,-1,np
110,23,1,pp
110,81,-1,np
110,104,-1,np
61,106,-1,np
61,65,-1,np
61,92,-1,np
61,81,-1,np
61,104,-1,np
61,35,1,pp
22,63,-1,np
22,79,1,pp
14,105,-1,np
14,72,1,pp
14,24,1,pp
14,58,1,pp
14,77,1,pp
14,91,-1,np
14,107,-1,np
88,68,-1,np
88,100,-1,np
88,15,-1,np
88,26,1,pp
20,9,-1,np
64,103,-1,np
64,18,-1,np
95,40,-1,np
95,13,1,pp
93,29,1,pp
4,105,1,pp
4,59,-1,np
4,17,-1,np
54,5,-1,np
54,59,-1,np
54,18,1,pp
105,5,-1,np
105,59,-1,np
105,72,-1,np
105,24,-1,np
105,58,-1,np
105,75,1,pp
105,1,1,pp
105,82,-1,np
40,13,-1,np
67,89,-1,np
67,91,1,pp
67,92,1,pp
67,46,1,pp
67,29,1,pp
67,1,1,pp
67,83,1,pp
86,106,-1,np
86,65,-1,np
86,81,-1,np
89,91,-1,np
89,46,-1,np
89,83,-1,np
5,103,-1,np
5,107,-1,np
106,65,1,pp
106,81,1,pp
106,29,1,pp
106,35,-1,np
65,81,1,pp
65,29,1,pp
65,35,-1,np
68,26,-1,np
112,31,-1,np
59,115,-1,np
59,103,-1,np
59,107,-1,np
72,24,1,pp
72,58,1,pp
72,77,1,pp
72,91,-1,np
72,107,-1,np
24,58,1,pp
24,77,1,pp
24,91,-1,np
24,107,-1,np
58,77,1,pp
58,91,-1,np
58,107,-1,np
23,104,-1,np
77,21,1,pp
77,115,-1,np
77,104,-1,np
77,107,-1,np
53,91,1,pp
53,29,1,pp
53,1,1,pp
91,75,1,pp
91,46,1,pp
91,29,1,pp
91,1,1,pp
91,83,1,pp
115,82,-1,np
115,15,-1,np
75,1,1,pp
27,45,1,pp
92,46,1,pp
92,29,1,pp
92,1,1,pp
92,83,1,pp
92,35,-1,np
81,29,1,pp
81,35,-1,np
46,29,1,pp
46,1,1,pp
46,83,1,pp
29,83,1,pp
1,83,1,pp
100,26,-1,np
104,35,-1,np
114,99,1,pp
114,17,1,pp
82,15,1,pp
82,107,-1,np
15,32,1,pp
15,66,1,pp
15,26,-1,np
15,8,1,pp
49,3,1,pp
32,103,-1,np
32,18,-1,np
32,66,1,pp
32,8,1,pp
103,66,-1,np
103,8,-1,np
18,66,-1,np
18,8,-1,np
66,8,1,pp
