Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu100,3,7,7,2.39E-91,0,6,1.788854382,0
Zotu1116,4,495,4681,0.021485315,0.166666667,2,0.866025404,0.375
Zotu7,2,0,0,0.000577416,1,2,-1.154700538,0
Zotu583,2,1,1,2.88E-108,0,8,0,0
Zotu2,8,45.50259121,1124,0.115077996,0.428571429,1,0.867155248,0
Zotu1210,4,186.546948,1246,0.056195129,0,5,0.816496581,0.5
Zotu81,2,68.00659581,681,0.017299355,0,5,-1.224744871,0.5
Zotu16362,2,32.64884301,189,0.006347163,0,5,0.816496581,0
Zotu17692,8,132.9921114,2999,0.082250161,0.464285714,0,1.458109314,0
Zotu830,3,0,0,0.044212699,1,4,-0.950665919,0.444444444
Zotu274,10,38.54542021,787,0.240329541,0.733333333,4,0.990276999,0.18
Zotu59,1,0,0,0.016010778,0,4,-1.227943479,0
Zotu24,2,0,0,0.001449592,1,0,-1.14787329,0
Zotu119,2,1,2,0.002954705,0,0,-1.14787329,0
Zotu240,2,2.5,5,6.35E-83,0,3,0,0
Zotu433,2,0.5,1,6.96E-83,0,3,0,0
Zotu224,4,42.7,1813,0.006708769,0.5,0,-0.279212422,0
Zotu13,5,29.91025641,284,0.004985112,0.7,7,0.816496581,0.32
Zotu108,1,0,0,5.65E-92,0,6,-0.894427191,0
Zotu60,14,547.6291634,6348,0.15756947,0.186813187,1,2.45693987,0.255102041
Zotu55,3,91.60794746,1228,0.043155337,0,4,-0.67338836,0
Zotu202,1,0,0,1.44E-108,0,8,0,0
Zotu165,2,79.23929803,647,0.028591133,0,4,-0.950665919,0
Zotu51,7,3.847245496,81,0.173122323,0.761904762,4,0.43572188,0
Zotu27,3,128,1847,0.013754763,0,0,-0.713542856,0
Zotu37,1,0,0,1.97E-83,0,3,-1.414213562,0
Zotu278,2,16.49004292,102,0.002554702,0,5,0.816496581,0
Zotu156,3,0,0,0.044212699,1,4,-0.950665919,0.444444444
Zotu426,1,0,0,3.90E-128,0,9,0,0
Zotu120,1,0,0,3.90E-128,0,9,0,0
Zotu169,1,0,0,3.90E-128,0,13,0,0
Zotu1703,1,0,0,0.004947572,0,0,-1.582203724,0
Zotu302,3,11,13,5.31E-83,0,3,1.414213562,0
Zotu394,1,0,0,3.90E-128,0,12,0,0
Zotu205,1,0,0,0.017023352,0,1,-1.91496784,0
