"ID","Name","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
1,"Zotu1",13,391.4800587,3922,0.246721453,0.346153846,4,1.267554559,0.390532544,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
2,"Zotu100",3,7,7,2.39e-91,0,6,1.788854382,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium"
3,"Zotu102",3,42.5,671,0.002672302,0.666666667,2,0.866025404,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
4,"Zotu104",3,90.47768043,313,0.022621771,0.333333333,0,-0.713542856,0,"Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA
5,"Zotu106",8,132.9921114,2999,0.082250161,0.464285714,0,1.458109314,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales",NA,NA,NA
6,"Zotu108",1,0,0,5.65e-92,0,6,-0.894427191,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3"
7,"Zotu1116",4,495,4681,0.021485315,0.166666667,2,0.866025404,0.375,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
8,"Zotu113",6,89.48115887,1180,0.024478955,0.6,0,0.589448446,0,"Acidobacteria","Blastocatellia (Subgroup 4)","44889","uncultivated soil bacterium clone S111",NA,NA
9,"Zotu1133",1,0,0,3.9e-128,0,10,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter","uncultured Haliscomenobacter sp."
10,"Zotu119",2,1,2,0.002954705,0,0,-1.14787329,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
11,"Zotu120",1,0,0,3.9e-128,0,9,0,0,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia",NA
12,"Zotu1210",4,186.546948,1246,0.056195129,0,5,0.816496581,0.5,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
13,"Zotu123",2,0,0,0.000288708,1,2,-1.154700538,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
14,"Zotu125",11,170.8613539,3446,0.195274893,0.545454545,1,0.469709093,0.512396694,"Cyanobacteria","Oxyphotobacteria","Nostocales",NA,NA,NA
15,"Zotu127",8,297.3012543,1746,0.019665899,0.25,0,0.155118012,0.46875,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","JGI 0001001-H03","uncultured bacterium 164"
16,"Zotu13",5,29.91025641,284,0.004985112,0.7,7,0.816496581,0.32,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3"
17,"Zotu134",2,21.97768043,48,0.002978187,0,0,-1.14787329,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
18,"Zotu135",6,50.99500855,1072,0.012949242,0.266666667,0,0.589448446,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
19,"Zotu14",1,0,0,3.9e-128,0,12,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
20,"Zotu141",1,0,0,3.9e-128,0,10,0,0,"Cyanobacteria","Oxyphotobacteria","Nostocales",NA,NA,NA
21,"Zotu146",1,0,0,0.012054171,0,1,-1.91496784,0,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Punica granatum (pomegranate)"
22,"Zotu148",3,12.5,17,1.01e-82,0,3,1.414213562,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
23,"Zotu150",4,2.511151576,30,0.044932703,0.666666667,1,-0.722629374,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA
24,"Zotu153",11,170.8613539,3446,0.195274893,0.545454545,1,0.469709093,0.512396694,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA
25,"Zotu156",3,0,0,0.044212699,1,4,-0.950665919,0.444444444,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Kitasatospora",NA
26,"Zotu15827",5,29.91025641,284,0.004985112,0.7,7,0.816496581,0.32,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Acidobacteriales bacterium"
27,"Zotu16",1,0,0,3.9e-128,0,11,0,0,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
28,"Zotu16362",2,32.64884301,189,0.006347163,0,5,0.816496581,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA
29,"Zotu164",18,789.4840153,6800,0.261006704,0.183006536,4,1.822109679,0.5,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter",NA
30,"Zotu165",2,79.23929803,647,0.028591133,0,4,-0.950665919,0,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
31,"Zotu167",2,13.46700464,167,0.005055098,0,4,-0.950665919,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","bacterium Ellin7529",NA
32,"Zotu168",6,89.48115887,1180,0.024478955,0.6,0,0.589448446,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Blastocatella sp."
33,"Zotu169",1,0,0,3.9e-128,0,13,0,0,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis",NA
34,"Zotu1703",1,0,0,0.004947572,0,0,-1.582203724,0,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Kibdelosporangium",NA
35,"Zotu171",9,166.1249162,1900,0.113183008,0.333333333,1,0.867155248,0.197530864,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
36,"Zotu172",7,21.73654327,626,0.118466602,0.761904762,1,0.469709093,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
37,"Zotu17692",8,132.9921114,2999,0.082250161,0.464285714,0,1.458109314,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
38,"Zotu18",10,625.5293515,6026,0.191141551,0.333333333,1,-1.120075529,0.54,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
