Source,Target,Label,inter
1578,296,-1,np
1578,1293,-1,np
814,668,-1,np
203,1513,1,pp
807,1132,-1,np
424,1038,1,pp
250,767,1,pp
250,1453,-1,np
1813,1275,-1,np
1813,271,-1,np
742,187,1,pp
1454,943,1,pp
247,207,-1,np
1406,103,1,pp
1031,1715,-1,np
1031,75,1,pp
1031,789,-1,np
458,1267,1,pp
458,1766,1,pp
458,1646,1,pp
458,361,1,pp
386,1034,-1,np
386,1720,1,pp
279,352,-1,np
279,1787,1,pp
785,1632,1,pp
451,1487,1,pp
451,1348,1,pp
451,900,1,pp
772,765,-1,np
772,1220,1,pp
1612,1394,-1,np
1612,644,-1,np
1612,1501,-1,np
1612,1820,-1,np
867,677,-1,np
196,319,-1,np
216,798,-1,np
216,571,-1,np
216,1190,1,pp
216,17,1,pp
840,1047,1,pp
529,556,1,pp
529,1583,1,pp
529,1644,-1,np
161,1834,1,pp
161,751,1,pp
790,123,1,pp
980,1483,1,pp
984,1739,1,pp
1204,1658,1,pp
101,1417,-1,np
955,477,1,pp
401,499,1,pp
372,34,-1,np
372,1485,1,pp
1672,120,1,pp
1318,1158,1,pp
1318,1288,1,pp
295,1531,-1,np
295,1559,-1,np
295,610,-1,np
295,351,1,pp
295,854,1,pp
1124,1678,1,pp
1124,1770,-1,np
449,617,1,pp
8,1811,-1,np
8,1622,-1,np
329,142,-1,np
329,323,1,pp
1826,1041,-1,np
1826,317,1,pp
1508,1068,1,pp
421,1436,1,pp
421,595,1,pp
421,890,1,pp
171,1711,-1,np
706,1502,1,pp
922,1474,1,pp
1211,1577,1,pp
1211,337,1,pp
1432,872,1,pp
1432,1449,1,pp
311,1409,1,pp
311,690,-1,np
311,1463,1,pp
850,388,1,pp
700,1442,-1,np
1631,1106,1,pp
1773,37,1,pp
1773,1058,1,pp
1773,1402,1,pp
1773,422,-1,np
1320,375,1,pp
1320,132,1,pp
1320,759,-1,np
1320,224,1,pp
771,437,1,pp
213,657,1,pp
288,1629,1,pp
288,1253,1,pp
288,111,-1,np
1539,54,1,pp
1539,1077,-1,np
1539,848,-1,np
1539,1233,-1,np
1447,812,-1,np
1447,949,-1,np
1447,1016,-1,np
923,584,-1,np
923,670,-1,np
1725,866,1,pp
813,1523,1,pp
353,1188,-1,np
635,1451,1,pp
635,622,1,pp
1224,211,1,pp
1224,693,1,pp
32,464,1,pp
175,773,-1,np
175,1104,1,pp
175,1438,1,pp
175,1429,1,pp
601,839,1,pp
601,381,1,pp
888,1794,1,pp
888,1227,1,pp
888,1788,1,pp
1536,591,1,pp
1536,1281,1,pp
912,959,1,pp
912,16,1,pp
912,184,1,pp
1331,1490,1,pp
192,1350,1,pp
90,339,1,pp
90,901,1,pp
90,1581,1,pp
1063,1120,1,pp
465,414,1,pp
1000,393,1,pp
1401,1537,1,pp
97,132,-1,np
97,224,-1,np
97,206,-1,np
1209,1125,-1,np
1209,303,1,pp
1138,1421,-1,np
1138,1376,1,pp
1642,1669,1,pp
1642,1187,1,pp
1627,1015,1,pp
1627,33,1,pp
747,1780,1,pp
1817,761,1,pp
28,1744,-1,np
927,662,1,pp
141,1513,1,pp
1205,1686,1,pp
434,1611,1,pp
434,1701,1,pp
1591,496,-1,np
1683,1051,1,pp
1152,1167,1,pp
786,358,1,pp
786,1798,-1,np
86,749,1,pp
1517,1781,1,pp
77,1758,1,pp
1706,511,1,pp
336,708,1,pp
432,616,1,pp
432,1092,1,pp
432,1336,1,pp
1225,1039,1,pp
53,636,-1,np
1722,1705,1,pp
1236,1137,1,pp
545,1771,1,pp
545,780,1,pp
668,589,-1,np
668,1753,-1,np
668,1061,-1,np
1525,1704,1,pp
1525,1479,1,pp
1525,535,-1,np
1525,1756,-1,np
474,704,-1,np
474,299,1,pp
474,484,-1,np
474,355,1,pp
116,110,1,pp
116,1687,1,pp
116,510,1,pp
795,418,-1,np
795,241,-1,np
795,1195,1,pp
169,1703,1,pp
169,158,1,pp
989,1727,1,pp
989,940,1,pp
650,252,1,pp
650,1734,-1,np
177,1439,-1,np
1300,1791,-1,np
1300,1665,1,pp
210,1618,1,pp
210,1613,1,pp
1560,138,-1,np
415,64,1,pp
553,1754,1,pp
553,586,1,pp
179,1322,-1,np
1835,832,-1,np
1835,471,-1,np
54,1201,1,pp
1505,564,-1,np
1757,536,-1,np
1757,1812,-1,np
180,970,-1,np
6,705,1,pp
6,1344,-1,np
406,1130,1,pp
406,707,-1,np
676,576,-1,np
777,968,1,pp
710,1597,1,pp
710,1542,1,pp
397,1733,1,pp
397,1419,1,pp
1831,1358,1,pp
1831,339,1,pp
1831,167,1,pp
1831,905,-1,np
235,799,1,pp
1761,1675,1,pp
1761,265,-1,np
1761,127,1,pp
1761,1767,1,pp
1098,1213,-1,np
1098,286,1,pp
1098,508,-1,np
1735,1476,1,pp
1358,167,1,pp
1015,1228,1,pp
1015,1747,1,pp
1015,233,1,pp
1015,820,-1,np
1015,1048,-1,np
1248,427,-1,np
48,1825,1,pp
48,1413,1,pp
879,81,-1,np
1662,189,1,pp
1451,1752,1,pp
1451,1387,1,pp
44,547,1,pp
1140,871,1,pp
1140,759,-1,np
991,1089,1,pp
991,1519,1,pp
208,1532,1,pp
444,461,-1,np
847,339,1,pp
847,5,1,pp
34,1661,1,pp
34,699,-1,np
914,357,1,pp
826,854,-1,np
1457,1482,1,pp
1457,367,1,pp
1575,586,1,pp
1575,854,-1,np
314,584,1,pp
291,1310,1,pp
291,1023,1,pp
1310,1023,1,pp
827,245,1,pp
827,744,1,pp
156,128,1,pp
280,1816,1,pp
1823,849,1,pp
73,624,1,pp
73,323,1,pp
181,230,1,pp
181,475,-1,np
181,178,-1,np
1521,1378,-1,np
1521,407,-1,np
1521,119,-1,np
1618,766,-1,np
1618,1613,1,pp
1458,30,1,pp
556,1644,-1,np
556,1359,-1,np
239,594,1,pp
447,78,-1,np
447,144,-1,np
419,1670,1,pp
419,308,1,pp
1302,1597,1,pp
222,1695,1,pp
222,1021,1,pp
222,743,1,pp
1128,373,1,pp
273,219,1,pp
875,998,1,pp
875,1069,1,pp
1077,848,1,pp
237,711,1,pp
237,1073,-1,np
237,1210,-1,np
1375,1157,1,pp
1375,1760,1,pp
1121,712,1,pp
1335,613,1,pp
783,1469,1,pp
1212,1555,1,pp
1084,1775,1,pp
1084,1576,1,pp
1084,1511,1,pp
10,379,1,pp
946,691,1,pp
357,1572,-1,np
357,859,-1,np
1388,478,-1,np
1388,1691,-1,np
135,347,-1,np
135,466,-1,np
1340,604,-1,np
1340,1718,1,pp
1340,517,1,pp
1345,1156,1,pp
1821,1698,-1,np
1821,215,-1,np
1821,725,-1,np
133,864,-1,np
1844,1538,-1,np
1844,1365,-1,np
340,541,1,pp
800,1572,1,pp
800,892,1,pp
800,859,1,pp
800,631,1,pp
68,1342,1,pp
1082,1252,1,pp
1082,1085,1,pp
824,38,1,pp
824,956,1,pp
824,861,1,pp
296,1428,1,pp
296,1293,1,pp
492,1165,-1,np
1062,1278,1,pp
1639,1603,1,pp
1235,1621,-1,np
315,1094,-1,np
315,982,-1,np
315,810,1,pp
883,23,-1,np
1840,435,1,pp
637,24,1,pp
130,500,-1,np
130,439,-1,np
130,838,1,pp
1242,1433,-1,np
1807,254,-1,np
1485,1661,-1,np
1485,1256,1,pp
1485,1299,-1,np
1485,165,1,pp
711,1073,-1,np
711,1210,-1,np
1677,560,1,pp
1777,974,1,pp
1777,1446,1,pp
1777,1589,1,pp
1777,874,-1,np
816,1250,-1,np
1286,1143,-1,np
768,272,1,pp
768,675,-1,np
768,1570,1,pp
369,952,1,pp
1477,309,1,pp
1649,1799,1,pp
502,1362,1,pp
1386,1330,1,pp
1386,1346,1,pp
863,1699,-1,np
339,194,1,pp
339,1581,1,pp
339,5,1,pp
339,817,1,pp
339,498,-1,np
1415,1532,1,pp
1783,1378,1,pp
1783,66,1,pp
1783,551,1,pp
1783,429,1,pp
533,801,1,pp
1598,1400,1,pp
1739,713,1,pp
37,1058,1,pp
382,83,1,pp
1364,1422,1,pp
1364,380,1,pp
1364,1319,1,pp
1378,429,1,pp
569,166,1,pp
1169,1590,-1,np
630,47,-1,np
630,600,1,pp
80,1040,1,pp
1704,1479,1,pp
1704,535,-1,np
1704,1756,-1,np
89,1308,1,pp
407,119,1,pp
1666,525,1,pp
549,1834,1,pp
549,751,1,pp
370,1545,1,pp
370,164,1,pp
733,1839,-1,np
733,364,-1,np
873,1195,1,pp
1830,648,-1,np
1830,1270,-1,np
1830,550,1,pp
1830,926,1,pp
1409,831,1,pp
632,1197,1,pp
632,109,-1,np
1151,1130,-1,np
1151,75,1,pp
865,881,-1,np
1234,619,-1,np
