Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu660,2,0,0,2.47E-78,1,109,-1,0
Zotu2743,1,0,0,3.57E-105,0,59,-0.603022689,0
Zotu1339,1,0,0,1.71E-153,0,176,0,0
Zotu2726,1,0,0,3.82E-197,0,491,0,0
Zotu1777,1,0,0,3.82E-197,0,365,0,0
Zotu1418,2,2,2,2.93E-136,0,82,1,0
Zotu934,2,0,0,1.52E-109,1,144,0,0
Zotu250,1,0,0,1.71E-153,0,212,0,0
Zotu5529,1,0,0,3.82E-197,0,454,0,0
Zotu1415,1,0,0,1.71E-153,0,204,0,0
Zotu5217,1,0,0,3.82E-197,0,460,0,0
Zotu351,3,155,155,4.40E-89,0,6,1.178511302,0
Zotu1837,4,5,5,2.06E-89,0.166666667,89,1.825741858,0
Zotu1698,2,1,1,3.41E-153,0,159,0,0
Zotu1494,2,0,0,1.03E-91,1,96,0,0
Zotu265,1,0,0,3.82E-197,0,490,0,0
Zotu1825,3,0,0,2.66E-58,1,80,0,0
Zotu26,2,27,50,3.90E-45,0,3,-0.366166919,0
Zotu7,4,0.333333333,1,1.23E-33,0.833333333,72,0.816496581,0
Zotu293,1,0,0,3.82E-197,0,428,0,0
Zotu133,1,0,0,3.82E-197,0,339,0,0
Zotu1360,4,5,5,2.06E-89,0.166666667,85,1.825741858,0
Zotu283,1,0,0,3.82E-197,0,483,0,0
Zotu1980,3,9,9,1.99E-89,0.333333333,36,1.322875656,0
Zotu1269,2,0,0,2.47E-78,1,114,-1,0
Zotu2669,1,0,0,3.82E-197,0,286,0,0
Zotu3344,1,0,0,3.82E-197,0,251,0,0
Zotu3356,1,0,0,1.71E-153,0,157,0,0
Zotu4237,1,0,0,1.00E-45,0,3,-1.251070305,0
Zotu1159,1,0,0,6.63E-90,0,23,-1.354006401,0
Zotu3245,1,0,0,1.81E-136,0,86,-1,0
Zotu173,1,0,0,3.82E-197,0,489,0,0
Zotu1676,2,7.5,15,2.93E-68,0,50,-0.288675135,0
Zotu777,1,0,0,1.50E-24,0,7,-1.177177389,0
Zotu476,2,6,6,1.23E-122,0,57,0.707106781,0
Zotu1525,5,29,29,6.33E-64,0.1,16,2.030406122,0
Zotu3867,2,24,48,1.07E-54,0,13,-0.237356332,0
Zotu1820,1,0,0,3.82E-197,0,398,0,0
Zotu1014,2,16,16,1.77E-109,0,29,0.353553391,0
Zotu1586,2,5,7,4.28E-94,0,46,0,0
Zotu950,2,0,0,2.79E-27,1,0,-0.486111273,0
Zotu6009,1,0,0,3.82E-197,0,338,0,0
Zotu1762,3,1,2,2.43E-74,0.666666667,110,0.75,0
Zotu1284,1,0,0,3.82E-197,0,308,0,0
Zotu2389,1,0,0,1.71E-153,0,180,0,0
Zotu3133,1,0,0,3.82E-197,0,392,0,0
Zotu4277,2,0,0,1.52E-109,1,133,0,0
Zotu5354,2,0,0,1.16E-96,1,54,0,0
Zotu1555,3,12.5,21,5.60E-92,0,27,1.5,0
Zotu2878,1,0,0,1.81E-136,0,90,-1,0
Zotu2380,1,0,0,3.82E-197,0,465,0,0
Zotu7233,1,0,0,2.15E-13,0,5,-1.144025966,0
