"ID","Name","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
1,"Zotu10",1,0,0,6.6e-48,0,31,-1.178511302,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
2,"Zotu1002",1,0,0,3.82e-197,0,303,0,0,NA,NA,NA,NA,NA,NA
3,"Zotu10027",1,0,0,3.82e-197,0,322,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
4,"Zotu1004",1,0,0,3.82e-197,0,375,0,0,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","Ambiguous_taxa"
5,"Zotu10045",2,0,0,4.21e-44,1,12,-0.24913644,0,"Acidobacteria","Subgroup 6",NA,NA,NA,NA
6,"Zotu1007",2,28,35,2.13e-77,0,14,-0.169030851,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
7,"Zotu10093",1,0,0,1.71e-153,0,201,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
8,"Zotu1014",2,16,16,1.77e-109,0,29,0.353553391,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","uncultured","alpha proteobacterium LS7-MT"
9,"Zotu1015",2,4,4,1.16e-127,0,68,0.816496581,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pir4 lineage",NA
10,"Zotu10156",1,0,0,1.71e-153,0,190,0,0,"Actinobacteria","Actinobacteria","Frankiales",NA,NA,NA
11,"Zotu1016",2,0,0,1.52e-109,1,142,0,0,"Rokubacteria","NC10","Rokubacteriales","uncultured soil bacterium",NA,NA
12,"Zotu1018",1,0,0,3.82e-197,0,395,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured soil bacterium"
13,"Zotu1020",1,0,0,3.82e-197,0,270,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
14,"Zotu1021",1,0,0,1.86e-106,0,45,-0.811107106,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
15,"Zotu1024",2,0,0,1.52e-109,1,127,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Pasteuria sp."
16,"Zotu10257",1,0,0,4.26e-116,0,49,-0.894427191,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Ellin6067","uncultured Burkholderia sp."
17,"Zotu1026",1,0,0,8.77e-90,0,85,-0.912870929,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
18,"Zotu1033",2,0,0,6.34e-64,1,10,-0.237356332,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","uncultured Burkholderiales bacterium",NA
19,"Zotu1035",1,0,0,3.82e-197,0,260,0,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)",NA,NA
20,"Zotu1038",1,0,0,3.82e-197,0,258,0,0,"Acidobacteria","Subgroup 6","uncultured Holophagae bacterium",NA,NA,NA
21,"Zotu10406",3,41,41,1.24e-85,0,17,1.040833,0,"Acidobacteria","Subgroup 6",NA,NA,NA,NA
22,"Zotu10419",1,0,0,3.82e-197,0,477,0,0,"Latescibacteria",NA,NA,NA,NA,NA
23,"Zotu1043",1,0,0,3.82e-197,0,354,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","mle1-7","uncultured Burkholderiales bacterium"
24,"Zotu10431",1,0,0,3.82e-197,0,237,0,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","bacterium Ellin5102"
25,"Zotu1045",1,0,0,3.82e-197,0,310,0,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
26,"Zotu1047",1,0,0,3.82e-197,0,319,0,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter",NA
27,"Zotu1049",1,0,0,2.56e-86,0,17,-1.040833,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
28,"Zotu105",1,0,0,1.71e-34,0,97,-1.414213562,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA
