Source,Target,Label,inter
3,6,-1,np
3,48,-1,np
3,10,-1,np
3,25,-1,np
3,50,1,pp
3,21,1,pp
3,31,-1,np
3,44,1,pp
3,28,-1,np
3,43,-1,np
3,20,1,pp
3,54,-1,np
3,46,-1,np
3,11,-1,np
3,47,1,pp
3,35,-1,np
3,26,1,pp
3,17,-1,np
3,42,-1,np
3,60,-1,np
3,52,-1,np
3,7,-1,np
3,14,1,pp
3,40,-1,np
3,37,1,pp
3,1,1,pp
3,57,-1,np
29,48,-1,np
29,44,-1,np
29,28,-1,np
29,23,1,pp
29,24,-1,np
29,20,-1,np
29,55,-1,np
29,11,1,pp
29,36,-1,np
29,18,-1,np
29,13,1,pp
29,60,-1,np
29,12,1,pp
29,27,-1,np
29,62,-1,np
29,38,-1,np
29,14,-1,np
29,61,-1,np
29,56,-1,np
29,5,1,pp
29,58,-1,np
9,6,1,pp
9,48,1,pp
9,59,-1,np
9,8,-1,np
9,50,1,pp
9,21,-1,np
9,31,-1,np
9,30,1,pp
9,15,-1,np
9,16,1,pp
9,53,-1,np
9,22,-1,np
9,23,-1,np
9,2,-1,np
9,55,-1,np
9,26,-1,np
9,18,-1,np
9,42,1,pp
9,52,-1,np
9,12,1,pp
9,38,-1,np
9,14,-1,np
9,37,-1,np
9,1,-1,np
9,41,-1,np
9,58,-1,np
6,48,1,pp
6,59,-1,np
6,21,-1,np
6,44,-1,np
6,30,1,pp
6,16,1,pp
6,28,1,pp
6,22,-1,np
6,2,-1,np
6,46,1,pp
6,55,-1,np
6,34,-1,np
6,47,-1,np
6,36,1,pp
6,26,-1,np
6,18,-1,np
6,17,1,pp
6,42,1,pp
6,52,-1,np
6,27,-1,np
6,38,-1,np
6,14,-1,np
6,37,-1,np
6,41,-1,np
6,58,-1,np
48,59,-1,np
48,21,-1,np
48,32,1,pp
48,53,-1,np
48,22,-1,np
48,23,-1,np
48,2,-1,np
48,54,1,pp
48,46,1,pp
48,34,-1,np
48,26,-1,np
48,60,1,pp
48,52,-1,np
48,37,-1,np
48,61,-1,np
48,41,-1,np
19,59,-1,np
19,25,-1,np
19,50,1,pp
19,31,-1,np
19,44,1,pp
19,30,1,pp
19,16,-1,np
19,53,-1,np
19,22,-1,np
19,23,-1,np
19,24,1,pp
19,43,-1,np
19,20,1,pp
19,2,1,pp
19,54,-1,np
19,46,-1,np
19,18,-1,np
19,17,-1,np
19,42,-1,np
19,60,-1,np
19,52,-1,np
19,12,1,pp
19,62,-1,np
19,7,-1,np
19,14,1,pp
19,40,-1,np
19,37,-1,np
19,57,-1,np
19,58,-1,np
59,10,-1,np
59,25,1,pp
59,8,-1,np
59,50,-1,np
59,44,-1,np
59,30,-1,np
59,28,-1,np
59,53,1,pp
59,22,1,pp
59,23,1,pp
59,24,-1,np
59,43,-1,np
59,54,1,pp
59,34,1,pp
59,47,-1,np
59,35,-1,np
59,45,-1,np
59,33,-1,np
59,52,1,pp
59,39,-1,np
59,14,-1,np
59,40,1,pp
59,37,1,pp
59,57,1,pp
59,61,-1,np
10,4,1,pp
10,50,1,pp
10,15,1,pp
10,53,-1,np
10,23,-1,np
10,24,1,pp
10,2,1,pp
10,46,-1,np
10,34,-1,np
10,47,1,pp
10,36,-1,np
10,13,-1,np
10,17,-1,np
10,33,1,pp
10,42,-1,np
10,12,1,pp
10,62,-1,np
10,14,1,pp
10,57,-1,np
10,56,-1,np
10,41,1,pp
10,58,-1,np
49,8,1,pp
49,4,1,pp
49,43,1,pp
49,51,1,pp
49,35,-1,np
49,26,1,pp
49,18,-1,np
49,17,-1,np
49,45,1,pp
49,12,1,pp
49,57,-1,np
49,56,-1,np
49,58,1,pp
25,50,-1,np
25,44,-1,np
25,30,-1,np
25,15,1,pp
25,16,1,pp
25,22,1,pp
25,20,-1,np
25,54,1,pp
25,46,1,pp
25,34,-1,np
25,36,-1,np
25,26,-1,np
25,42,1,pp
25,60,1,pp
25,52,1,pp
25,62,-1,np
25,7,1,pp
25,40,1,pp
25,57,1,pp
25,61,-1,np
25,56,-1,np
25,58,-1,np
8,4,1,pp
8,31,1,pp
8,30,-1,np
8,15,1,pp
8,24,1,pp
8,51,1,pp
8,34,-1,np
8,36,-1,np
8,13,-1,np
8,17,-1,np
8,42,-1,np
8,52,1,pp
8,62,-1,np
8,14,1,pp
8,56,-1,np
8,41,1,pp
8,58,1,pp
4,31,1,pp
4,15,1,pp
4,24,1,pp
4,43,1,pp
4,20,-1,np
4,2,1,pp
4,51,1,pp
4,47,1,pp
4,36,-1,np
4,13,-1,np
4,45,1,pp
4,33,1,pp
4,39,1,pp
4,27,1,pp
4,14,1,pp
4,1,1,pp
4,57,-1,np
4,58,1,pp
50,44,1,pp
50,15,-1,np
50,16,-1,np
50,53,-1,np
50,22,-1,np
50,23,-1,np
50,24,1,pp
50,20,1,pp
50,2,1,pp
50,54,-1,np
50,46,-1,np
50,47,1,pp
50,36,1,pp
50,35,1,pp
50,33,1,pp
50,42,-1,np
50,39,1,pp
50,12,1,pp
50,27,1,pp
50,7,-1,np
50,38,1,pp
50,40,-1,np
50,37,-1,np
50,1,1,pp
50,57,-1,np
50,61,1,pp
21,30,-1,np
21,16,-1,np
21,28,-1,np
21,53,1,pp
21,23,1,pp
21,54,-1,np
21,46,-1,np
21,34,1,pp
21,35,-1,np
21,26,1,pp
21,17,-1,np
21,42,-1,np
21,60,-1,np
21,7,-1,np
21,58,1,pp
31,44,-1,np
31,30,-1,np
31,15,1,pp
31,20,-1,np
31,2,1,pp
31,11,1,pp
31,34,-1,np
31,36,-1,np
31,33,-1,np
31,52,1,pp
31,39,-1,np
31,62,-1,np
31,61,-1,np
31,56,-1,np
31,41,1,pp
32,44,1,pp
32,15,-1,np
32,28,-1,np
32,23,-1,np
32,54,-1,np
32,11,1,pp
32,51,1,pp
32,26,-1,np
32,13,1,pp
32,52,-1,np
32,62,-1,np
32,7,-1,np
32,38,1,pp
32,1,1,pp
32,57,-1,np
44,15,-1,np
44,16,-1,np
44,28,-1,np
44,53,-1,np
44,22,-1,np
44,23,-1,np
44,24,1,pp
44,20,1,pp
44,2,1,pp
44,54,-1,np
44,46,-1,np
44,47,1,pp
44,35,1,pp
44,18,1,pp
44,17,-1,np
44,45,-1,np
44,42,-1,np
44,27,1,pp
44,7,-1,np
44,14,1,pp
44,40,-1,np
44,1,1,pp
44,57,-1,np
44,61,1,pp
44,41,1,pp
44,5,-1,np
30,53,-1,np
30,22,-1,np
30,23,-1,np
30,34,-1,np
30,36,1,pp
30,26,-1,np
30,18,-1,np
30,33,1,pp
30,52,-1,np
30,39,1,pp
30,12,1,pp
30,27,-1,np
30,62,-1,np
30,37,-1,np
30,1,-1,np
30,57,-1,np
30,41,-1,np
15,22,1,pp
15,23,1,pp
15,43,1,pp
15,20,-1,np
15,54,1,pp
15,51,1,pp
15,34,-1,np
15,26,1,pp
15,18,-1,np
15,45,1,pp
15,52,1,pp
15,7,1,pp
15,40,1,pp
15,56,-1,np
16,24,-1,np
16,20,-1,np
16,2,-1,np
16,54,1,pp
16,46,1,pp
16,55,-1,np
16,11,-1,np
16,51,1,pp
16,34,-1,np
16,42,1,pp
16,60,1,pp
16,38,-1,np
16,14,-1,np
16,37,-1,np
16,61,-1,np
16,41,-1,np
16,5,1,pp
28,53,-1,np
28,22,-1,np
28,23,-1,np
28,20,-1,np
28,54,1,pp
28,46,1,pp
28,34,-1,np
28,47,-1,np
28,26,-1,np
28,17,1,pp
28,33,-1,np
28,60,1,pp
28,62,1,pp
28,40,-1,np
28,37,-1,np
28,56,1,pp
28,5,-1,np
53,22,1,pp
53,20,-1,np
53,11,-1,np
53,35,-1,np
53,39,-1,np
53,12,-1,np
53,62,1,pp
53,7,-1,np
53,37,1,pp
53,57,1,pp
53,61,-1,np
53,58,1,pp
22,23,1,pp
22,20,-1,np
22,54,1,pp
22,11,-1,np
22,35,-1,np
22,52,1,pp
22,39,-1,np
22,12,-1,np
22,40,1,pp
22,37,1,pp
22,57,1,pp
22,61,-1,np
22,56,-1,np
23,24,-1,np
23,43,-1,np
23,20,-1,np
23,55,-1,np
23,47,-1,np
23,35,-1,np
23,39,-1,np
23,27,-1,np
23,7,-1,np
23,38,-1,np
23,14,-1,np
23,40,1,pp
23,37,1,pp
23,1,-1,np
23,57,1,pp
24,43,1,pp
24,20,1,pp
24,54,-1,np
24,46,-1,np
24,55,1,pp
24,47,1,pp
24,35,1,pp
24,17,-1,np
24,42,-1,np
24,39,1,pp
24,12,1,pp
24,62,-1,np
24,38,1,pp
24,14,1,pp
24,40,-1,np
24,1,1,pp
24,57,-1,np
24,61,1,pp
24,56,-1,np
24,41,1,pp
24,5,-1,np
43,51,1,pp
43,34,-1,np
43,47,1,pp
43,36,-1,np
43,13,-1,np
43,17,-1,np
43,27,1,pp
43,62,-1,np
43,14,1,pp
43,57,-1,np
43,61,-1,np
43,56,-1,np
20,2,1,pp
20,54,-1,np
20,46,-1,np
20,34,1,pp
20,47,1,pp
20,60,-1,np
20,52,-1,np
20,39,1,pp
20,27,1,pp
20,7,-1,np
20,38,1,pp
20,14,1,pp
20,40,-1,np
20,1,1,pp
20,57,-1,np
20,61,1,pp
20,56,1,pp
20,41,1,pp
2,46,-1,np
2,55,1,pp
2,11,1,pp
2,18,1,pp
2,42,-1,np
2,60,-1,np
2,52,1,pp
2,39,1,pp
2,12,1,pp
2,62,-1,np
2,38,1,pp
2,14,1,pp
2,57,-1,np
2,61,1,pp
2,56,-1,np
2,41,1,pp
54,46,1,pp
54,47,-1,np
54,36,-1,np
54,13,-1,np
54,45,-1,np
54,33,-1,np
54,42,1,pp
54,60,1,pp
54,52,1,pp
54,39,-1,np
54,12,-1,np
54,27,-1,np
54,7,1,pp
54,38,-1,np
54,14,-1,np
54,40,1,pp
54,1,-1,np
54,61,-1,np
54,58,-1,np
46,33,-1,np
46,42,1,pp
46,60,1,pp
46,39,-1,np
46,62,1,pp
46,14,-1,np
46,37,-1,np
46,57,1,pp
46,61,-1,np
46,41,-1,np
55,51,-1,np
55,35,1,pp
55,26,1,pp
55,18,1,pp
55,13,-1,np
55,45,-1,np
55,42,-1,np
55,12,-1,np
55,27,1,pp
55,7,1,pp
55,40,-1,np
55,1,1,pp
55,41,1,pp
55,5,-1,np
11,36,-1,np
11,26,-1,np
11,13,1,pp
11,17,1,pp
11,33,-1,np
11,60,-1,np
11,12,1,pp
11,62,-1,np
11,40,-1,np
11,37,-1,np
11,57,-1,np
11,41,1,pp
51,47,1,pp
51,36,-1,np
51,17,-1,np
51,45,1,pp
51,27,1,pp
51,7,-1,np
51,1,1,pp
51,57,-1,np
51,61,-1,np
51,58,1,pp
34,35,-1,np
34,13,1,pp
34,45,-1,np
34,33,-1,np
34,60,-1,np
34,52,-1,np
34,39,-1,np
34,12,-1,np
34,7,-1,np
34,40,-1,np
34,37,1,pp
47,17,-1,np
47,33,1,pp
47,42,-1,np
47,39,1,pp
47,12,1,pp
47,62,-1,np
47,7,-1,np
47,38,1,pp
47,14,1,pp
47,1,1,pp
47,57,-1,np
47,56,-1,np
36,52,-1,np
36,62,1,pp
36,7,-1,np
36,40,-1,np
36,56,1,pp
36,41,-1,np
35,26,-1,np
35,18,1,pp
35,13,-1,np
35,62,-1,np
35,38,1,pp
35,14,1,pp
35,57,-1,np
35,58,-1,np
26,13,-1,np
26,17,-1,np
26,42,-1,np
26,39,-1,np
26,14,1,pp
26,37,1,pp
