"ID","Name","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
1,"Zotu1006",6,36,36,5.07e-85,0.133333333,10,3.015424266,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
2,"Zotu1007",1,0,0,2.98e-225,0,51,-0.75,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
3,"Zotu1008",1,0,0,5.38e-104,0,79,-1.206045378,0,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","uncultured","uncultured Cytophagia bacterium"
4,"Zotu1009",1,0,0,0,0,231,0,0,"Latescibacteria","Latescibacteria","Latescibacterales","Latescibacteraceae","metagenome",NA
5,"Zotu1010",1,0,0,1.97e-266,0,68,-1,0,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora",NA
6,"Zotu1014",1,0,0,0,0,391,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","uncultured","alpha proteobacterium LS7-MT"
7,"Zotu1016",3,5,5,7.21e-225,0,47,1.75,0,"Rokubacteria","NC10","Rokubacteriales","uncultured soil bacterium",NA,NA
8,"Zotu1018",2,0,0,1.76e-200,1,103,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured soil bacterium"
9,"Zotu1020",3,0,0,8.97e-66,1,55,0.204124145,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
10,"Zotu1021",1,0,0,0,0,283,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
11,"Zotu1022",1,0,0,1.3e-10,0,7,-1.917028951,0,"Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
12,"Zotu1024",1,0,0,0,0,329,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Pasteuria sp."
13,"Zotu1026",3,39,47,0.040747627,0,4,0.206284249,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
14,"Zotu1033",1,0,0,0,0,363,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","uncultured Burkholderiales bacterium",NA
15,"Zotu1036",2,2,2,3.18e-266,0,66,1,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Bryobacter","uncultured Holophaga sp."
16,"Zotu1039",1,0,0,0,0,294,0,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
17,"Zotu1045",1,0,0,0,0,359,0,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
18,"Zotu1047",2,0,0,1.76e-200,1,101,0,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter",NA
19,"Zotu1048",2,0,0,1.76e-200,1,108,0,0,"Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","AKYG587","uncultured planctomycete"
20,"Zotu1049",1,0,0,0,0,338,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
21,"Zotu1054",1,0,0,1.23e-211,0,25,-1.020620726,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
22,"Zotu10558",2,0,0,8.39e-114,1,8,-0.208514414,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","uncultured Sphingobacteriia bacterium"
23,"Zotu1056",1,0,0,0,0,222,0,0,"Actinobacteria","Actinobacteria",NA,NA,NA,NA
24,"Zotu10564",1,0,0,2.99e-305,0,141,0,0,"Acidobacteria","Subgroup 17","uncultured prokaryote",NA,NA,NA
25,"Zotu1059",4,24,36,1.51e-09,0.5,7,1.095445115,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
26,"Zotu106",1,0,0,2.99e-305,0,128,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales",NA,NA,NA
27,"Zotu1061",3,195,342,1.91e-111,0,0,0.861880301,0,"Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella",NA
28,"Zotu1062",1,0,0,0,0,333,0,0,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Punica granatum (pomegranate)"
29,"Zotu1066",3,1.5,3,1.47e-103,0.666666667,79,0.603022689,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
30,"Zotu107",1,0,0,1.27e-94,0,3,-1.483239697,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
31,"Zotu1072",2,0,0,9.93e-18,1,1,-0.447213595,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
32,"Zotu1076",4,9.5,19,2.71e-63,0.5,12,1.436842416,0,"Chloroflexi","KD4-96",NA,NA,NA,NA
