Source,Target,Label,inter
914,847,-1,np
585,98,1,pp
585,584,1,pp
164,105,-1,np
164,627,-1,np
82,796,-1,np
82,890,1,pp
1073,213,-1,np
1073,657,1,pp
2,891,-1,np
534,825,-1,np
534,153,1,pp
538,311,-1,np
195,462,-1,np
195,167,-1,np
683,1051,-1,np
345,676,-1,np
345,273,1,pp
568,1081,-1,np
174,853,1,pp
174,217,1,pp
555,551,-1,np
994,237,-1,np
994,231,-1,np
175,575,-1,np
175,432,-1,np
175,11,1,pp
128,584,-1,np
128,1089,1,pp
128,540,1,pp
128,430,-1,np
649,151,-1,np
649,548,1,pp
78,855,-1,np
302,233,1,pp
302,819,-1,np
302,648,1,pp
302,445,-1,np
283,25,-1,np
283,874,1,pp
283,552,1,pp
283,691,-1,np
283,176,-1,np
283,132,1,pp
972,824,-1,np
972,763,-1,np
972,91,1,pp
972,931,-1,np
801,686,1,pp
801,569,-1,np
801,169,1,pp
232,267,1,pp
232,608,1,pp
340,211,-1,np
6,959,-1,np
6,1071,-1,np
6,297,1,pp
160,736,1,pp
160,383,1,pp
266,570,1,pp
266,934,1,pp
317,77,-1,np
317,918,1,pp
317,37,1,pp
315,269,-1,np
315,448,1,pp
315,624,1,pp
315,117,-1,np
284,1010,1,pp
284,586,1,pp
284,645,1,pp
284,747,1,pp
243,672,-1,np
243,504,-1,np
243,235,-1,np
243,596,1,pp
243,860,1,pp
603,790,1,pp
603,292,1,pp
603,823,-1,np
511,872,-1,np
1043,693,1,pp
1043,836,1,pp
226,859,-1,np
226,950,1,pp
226,84,-1,np
700,645,1,pp
700,747,1,pp
859,71,-1,np
859,29,-1,np
1010,802,-1,np
1010,612,1,pp
583,544,-1,np
583,529,-1,np
583,852,-1,np
269,624,-1,np
1004,96,-1,np
1004,898,1,pp
481,903,-1,np
179,94,1,pp
141,557,-1,np
141,718,1,pp
141,848,1,pp
452,290,1,pp
623,767,1,pp
623,1055,1,pp
623,697,-1,np
157,512,1,pp
157,810,1,pp
68,258,1,pp
68,171,1,pp
1035,265,1,pp
75,103,-1,np
75,183,-1,np
75,166,-1,np
735,845,-1,np
112,614,-1,np
761,996,1,pp
761,980,1,pp
761,829,-1,np
924,1088,-1,np
924,293,-1,np
740,255,-1,np
740,1098,1,pp
257,514,1,pp
327,463,1,pp
327,807,1,pp
359,362,1,pp
359,185,-1,np
359,813,-1,np
516,774,1,pp
889,873,1,pp
889,407,-1,np
889,382,1,pp
889,1032,-1,np
356,1092,1,pp
89,56,-1,np
89,52,1,pp
89,1099,-1,np
658,952,-1,np
658,764,-1,np
572,193,-1,np
135,43,-1,np
135,127,1,pp
1002,1059,-1,np
662,707,-1,np
662,690,-1,np
662,1012,1,pp
662,817,1,pp
482,1016,-1,np
522,1066,1,pp
522,835,1,pp
143,1058,1,pp
143,854,-1,np
794,320,1,pp
145,906,-1,np
146,401,-1,np
146,654,-1,np
861,67,1,pp
3,1056,-1,np
304,236,-1,np
304,579,1,pp
304,513,-1,np
652,554,-1,np
496,704,1,pp
560,663,-1,np
560,906,-1,np
560,461,1,pp
560,1070,-1,np
1028,520,-1,np
699,198,-1,np
699,1052,-1,np
1087,258,1,pp
1087,411,1,pp
1087,629,-1,np
1036,1009,1,pp
1036,114,-1,np
1036,355,-1,np
715,224,1,pp
715,178,1,pp
1017,126,-1,np
1017,69,1,pp
24,737,-1,np
678,589,-1,np
1058,402,-1,np
773,324,-1,np
773,749,1,pp
35,1082,1,pp
35,875,-1,np
35,954,1,pp
968,155,1,pp
968,677,-1,np
53,564,1,pp
663,276,1,pp
663,906,1,pp
663,1070,1,pp
663,377,1,pp
168,842,1,pp
336,347,-1,np
336,430,-1,np
532,92,1,pp
25,874,-1,np
25,691,1,pp
25,176,1,pp
25,132,-1,np
798,681,1,pp
798,1024,-1,np
124,99,1,pp
124,422,-1,np
840,115,-1,np
147,144,-1,np
885,824,-1,np
885,225,-1,np
939,1000,-1,np
939,552,-1,np
939,809,-1,np
865,960,1,pp
865,556,1,pp
865,22,1,pp
865,148,1,pp
314,971,1,pp
314,1094,-1,np
314,87,1,pp
314,641,-1,np
181,233,1,pp
181,535,1,pp
181,362,-1,np
1001,338,1,pp
1001,156,1,pp
215,177,1,pp
215,489,1,pp
215,491,-1,np
191,789,-1,np
191,507,1,pp
984,1033,1,pp
984,559,-1,np
643,944,-1,np
271,737,-1,np
828,405,1,pp
828,900,-1,np
828,985,-1,np
106,349,-1,np
