Source,Target,Label,inter
Zotu660,Zotu1331,1,pp
Zotu1167,Zotu3276,1,pp
Zotu1167,Zotu463,-1,np
Zotu1167,Zotu2557,1,pp
Zotu1777,Zotu548,-1,np
Zotu1777,Zotu2722,-1,np
Zotu1777,Zotu2978,1,pp
Zotu1418,Zotu190,-1,np
Zotu1418,Zotu1042,1,pp
Zotu1418,Zotu1072,-1,np
Zotu934,Zotu3267,-1,np
Zotu100,Zotu13038,1,pp
Zotu250,Zotu709,-1,np
Zotu250,Zotu707,-1,np
Zotu1415,Zotu684,1,pp
Zotu351,Zotu1139,-1,np
Zotu1698,Zotu1710,-1,np
Zotu265,Zotu995,-1,np
Zotu265,Zotu1076,1,pp
Zotu26,Zotu3047,-1,np
Zotu12,Zotu867,-1,np
Zotu2,Zotu638,1,pp
Zotu2,Zotu2259,1,pp
Zotu293,Zotu1439,1,pp
Zotu293,Zotu242,1,pp
Zotu293,Zotu637,1,pp
Zotu81,Zotu616,1,pp
Zotu81,Zotu770,-1,np
Zotu1360,Zotu1505,1,pp
Zotu5076,Zotu5009,1,pp
Zotu5076,Zotu1809,1,pp
Zotu5076,Zotu1532,-1,np
Zotu283,Zotu1350,1,pp
Zotu283,Zotu2163,1,pp
Zotu4248,Zotu857,1,pp
Zotu1269,Zotu2597,1,pp
Zotu1159,Zotu1924,1,pp
Zotu1159,Zotu1008,-1,np
Zotu1159,Zotu460,1,pp
Zotu1159,Zotu1745,1,pp
Zotu1159,Zotu662,1,pp
Zotu173,Zotu1479,1,pp
Zotu1676,Zotu1376,-1,np
Zotu1676,Zotu803,-1,np
Zotu1676,Zotu1026,-1,np
Zotu777,Zotu709,-1,np
Zotu777,Zotu994,-1,np
Zotu777,Zotu1581,1,pp
Zotu777,Zotu927,-1,np
Zotu476,Zotu346,1,pp
Zotu476,Zotu1344,1,pp
Zotu1525,Zotu1977,-1,np
Zotu1525,Zotu1843,1,pp
Zotu1092,Zotu527,1,pp
Zotu1092,Zotu1342,-1,np
Zotu4374,Zotu641,-1,np
Zotu4374,Zotu1588,1,pp
Zotu4374,Zotu732,-1,np
Zotu3934,Zotu1566,1,pp
Zotu3934,Zotu2091,-1,np
Zotu1329,Zotu2168,-1,np
Zotu1329,Zotu4018,-1,np
Zotu16362,Zotu2709,1,pp
Zotu17692,Zotu2139,1,pp
Zotu17692,Zotu1198,-1,np
Zotu17692,Zotu711,1,pp
Zotu17692,Zotu2559,1,pp
Zotu621,Zotu212,-1,np
Zotu1586,Zotu842,-1,np
Zotu1284,Zotu808,1,pp
Zotu1555,Zotu2750,-1,np
Zotu1555,Zotu54,1,pp
Zotu2878,Zotu3422,1,pp
Zotu1400,Zotu1846,-1,np
Zotu1400,Zotu3295,1,pp
Zotu477,Zotu2395,-1,np
Zotu477,Zotu382,-1,np
Zotu477,Zotu3181,-1,np
Zotu4198,Zotu7249,-1,np
Zotu4198,Zotu1961,1,pp
Zotu4198,Zotu3427,1,pp
Zotu4198,Zotu186,-1,np
Zotu1351,Zotu256,-1,np
Zotu1351,Zotu2604,1,pp
Zotu1893,Zotu1437,1,pp
Zotu564,Zotu3555,1,pp
Zotu564,Zotu2187,-1,np
Zotu564,Zotu2734,-1,np
Zotu629,Zotu1543,1,pp
Zotu953,Zotu3576,1,pp
Zotu362,Zotu943,-1,np
Zotu362,Zotu525,-1,np
Zotu548,Zotu2722,1,pp
Zotu548,Zotu2978,-1,np
Zotu830,Zotu585,1,pp
Zotu830,Zotu200,1,pp
Zotu830,Zotu2497,1,pp
Zotu274,Zotu2011,-1,np
Zotu274,Zotu335,-1,np
Zotu274,Zotu3414,-1,np
Zotu274,Zotu2569,-1,np
Zotu1640,Zotu2594,1,pp
Zotu1640,Zotu841,1,pp
Zotu1640,Zotu554,-1,np
Zotu823,Zotu76,1,pp
Zotu4594,Zotu2013,-1,np
Zotu4594,Zotu3979,1,pp
Zotu2238,Zotu2631,1,pp
Zotu2238,Zotu683,-1,np
Zotu2238,Zotu2209,-1,np
Zotu2238,Zotu831,-1,np
Zotu1052,Zotu1273,1,pp
Zotu1052,Zotu711,1,pp
Zotu1052,Zotu858,-1,np
Zotu1294,Zotu501,-1,np
Zotu1294,Zotu3377,-1,np
Zotu481,Zotu839,1,pp
Zotu1375,Zotu2102,1,pp
Zotu1322,Zotu2839,1,pp
Zotu1144,Zotu1439,-1,np
Zotu869,Zotu1279,1,pp
Zotu869,Zotu4564,1,pp
Zotu869,Zotu1816,1,pp
Zotu869,Zotu3335,-1,np
Zotu3593,Zotu1550,1,pp
Zotu3593,Zotu1437,-1,np
Zotu1846,Zotu781,-1,np
Zotu1153,Zotu2329,1,pp
Zotu1153,Zotu2575,1,pp
Zotu1153,Zotu1861,1,pp
Zotu2281,Zotu485,-1,np
Zotu2281,Zotu410,1,pp
Zotu2281,Zotu520,1,pp
Zotu4500,Zotu2054,1,pp
Zotu4500,Zotu2260,1,pp
Zotu4500,Zotu1854,1,pp
Zotu4500,Zotu1522,1,pp
Zotu1233,Zotu555,1,pp
Zotu1233,Zotu1087,-1,np
